iter,ID,RC_DIFF,PR_DIFF,F3_DIFF
0,M1,1.0,0.33,0.83
1,M1,0.0,0.10999999999999999,0.15000000000000002
2,M1,0.5,-0.75,0.23999999999999988
3,M1,0.0,-0.5,-0.18500000000000005
4,M1,0.0,-0.234375,-0.1312500000000001
5,M1,0.0,-0.04999999999999999,-0.026923076923076716
6,M1,0.0,-0.16999999999999998,-0.08000000000000007
7,M1,0.0,-0.42,-0.1250000000000001
8,M1,1.0,0.25,0.77
9,M1,0.5,-0.16999999999999998,0.32999999999999996
0,M2,0.5,0.0,0.35
1,M2,0.32999999999999996,-0.42000000000000004,0.09999999999999998
2,M2,0.5,0.0,0.34999999999999964
3,M2,0.0,-0.22666666666666663,-0.08000000000000007
4,M2,0.0,-0.25333333333333335,-0.09499999999999997
5,M2,0.0,-0.16999999999999998,-0.05999999999999994
6,M2,1.0,0.33,0.83
7,M2,0.0,-0.16999999999999998,-0.08000000000000007
8,M2,0.0,-0.16999999999999998,-0.08000000000000007
9,M2,0.0,-0.6699999999999999,-0.17000000000000004
0,M3,0.0,0.0,0.0
1,M3,0.0,-0.58,-0.28500000000000003
2,M3,0.0,-0.234375,-0.1312500000000001
3,M3,0.0,0.030000000000000027,0.033076923076923226
4,M3,0.0,-0.25,-0.14
5,M3,0.0,-0.5,-0.18500000000000005
6,M3,0.0,-0.41666666666666663,-0.17000000000000004
7,M3,0.0,0.16,0.15999999999999992
8,M3,0.5,-0.08000000000000002,0.29000000000000004
9,M3,0.32999999999999996,-0.42000000000000004,0.09999999999999998
0,C1,0.5,0.7999999999999999,0.5700000000000001
1,C1,0.0,-0.30666666666666664,-0.14
2,C1,0.0,-0.08333333333333337,-0.014999999999999902
3,C1,0.0,0.0,0.02000000000000013
4,C1,1.0,1.0,1.0
5,C1,0.0,0.0,0.0
6,C1,0.0,0.0,0.0
7,C1,0.0,0.86,0.38
8,C1,0.5,0.0,0.41000000000000003
9,C1,0.0,-0.25,-0.04500000000000004
0,C2,0.0,0.015625,0.008749999999999925
1,C2,0.0,0.7,0.20307692307692327
2,C2,0.0,0.0,0.0
3,C2,0.5,0.0,0.47
4,C2,0.5,0.0,0.41000000000000003
5,C2,0.5,0.5,0.5
6,C2,0.5,0.6699999999999999,0.52
7,C2,0.32999999999999996,0.32999999999999996,0.32999999999999996
8,C2,0.5,0.0,0.41000000000000003
9,C2,0.0,0.44333333333333336,0.08999999999999997
0,C3,0.0,0.5425,0.125
1,C3,0.0,-0.25,-0.11999999999999988
2,C3,1.0,0.5,0.91
3,C3,0.0,0.0,0.0
4,C3,0.0,-0.16999999999999998,-0.08000000000000007
5,C3,0.0,-0.75,-0.22999999999999998
6,C3,0.5,0.5,0.5
7,C3,0.0,-0.42,-0.1250000000000001
8,C3,0.0,0.35615384615384627,0.05923076923076942
9,C3,0.0,0.030000000000000027,0.033076923076923226
0,R1,0.0,-0.25,-0.14
1,R1,0.5,-0.6699999999999999,0.29999999999999993
2,R1,0.0,-0.41666666666666663,-0.17000000000000004
3,R1,0.5,-0.32999999999999996,0.17000000000000004
4,R1,0.5,-0.13,0.22999999999999998
5,R1,0.32999999999999996,-0.42000000000000004,0.09999999999999998
6,R1,0.5,-0.16999999999999998,0.32999999999999996
7,R1,0.0,-0.22666666666666663,-0.08000000000000007
8,R1,0.0,-0.2575,-0.16500000000000004
9,R1,0.0,-0.25,-0.11999999999999988
0,R2,1.0,0.25,0.77
1,R2,0.0,-0.25,-0.14
2,R2,1.0,0.25,0.77
3,R2,0.0,0.10999999999999999,0.15000000000000002
4,R2,0.0,-0.03999999999999998,-0.030000000000000027
5,R2,0.0,-0.5,-0.18500000000000005
6,R2,0.5,-0.08000000000000002,0.28999999999999976
7,R2,0.0,-0.04999999999999999,-0.026923076923076716
8,R2,0.0,-0.25,-0.14
9,R2,0.0,-0.55,-0.2450000000000001
0,R3,1.0,0.2,0.71
1,R3,0.5,0.030000000000000054,0.29
2,R3,0.5,-0.08000000000000002,0.29000000000000004
3,R3,0.32999999999999996,-0.42000000000000004,0.09999999999999998
4,R3,0.5,-0.25,0.27
5,R3,0.0,-0.30666666666666664,-0.14
6,R3,0.0,-0.38333333333333336,-0.21499999999999997
7,R3,0.0,-0.8,-0.29000000000000004
8,R3,1.0,0.2,0.71
9,R3,0.0,-0.3,-0.20000000000000007
0,R4,0.0,-0.25,-0.14
1,R4,0.0,-0.8,-0.29000000000000004
2,R4,0.0,-0.47000000000000003,-0.24
3,R4,0.0,-0.58,-0.28500000000000003
4,R4,0.0,-0.15437499999999998,-0.07125000000000015
5,R4,0.0,-0.14307692307692305,-0.11307692307692319
6,R4,0.0,-0.3,-0.20000000000000007
7,R4,0.5,-0.83,0.14
8,R4,1.0,0.2,0.71
9,R4,0.5,2.7755575615628914e-17,0.27999999999999997
0,R5,0.5,-0.13,0.22999999999999998
1,R5,0.32999999999999996,-0.5,0.0
2,R5,0.5,-0.3,0.20999999999999996
3,R5,0.0,-0.35666666666666663,-0.20000000000000007
4,R5,0.0,-0.33333333333333337,-0.15499999999999992
5,R5,0.0,-0.3,-0.17999999999999994
6,R5,1.0,0.2,0.71
7,R5,0.0,-0.3,-0.20000000000000007
8,R5,0.0,-0.3,-0.20000000000000007
9,R5,0.0,-0.8,-0.29000000000000004
0,R6,0.5,-0.8,0.17999999999999983
1,R6,0.0,-0.75,-0.22999999999999998
2,R6,0.0,-0.234375,-0.1312500000000001
3,R6,0.0,-0.04999999999999999,-0.026923076923076716
4,R6,0.0,-0.16999999999999998,-0.08000000000000007
5,R6,0.5,-0.75,0.24
6,R6,0.0,-0.41666666666666663,-0.17000000000000004
7,R6,0.5,0.0,0.31999999999999995
8,R6,0.5,-0.08000000000000002,0.29000000000000004
9,R6,0.32999999999999996,-0.42000000000000004,0.09999999999999998
0,R7,0.5,0.0,0.41000000000000003
1,R7,0.0,-0.05666666666666664,0.0
2,R7,0.0,-0.08333333333333337,-0.014999999999999902
3,R7,0.0,0.0,0.02000000000000013
4,R7,1.0,0.5,0.91
5,R7,0.0,0.0,0.0
6,R7,1.0,0.5,0.91
7,R7,0.0,-0.5,-0.08999999999999997
8,R7,0.0,-0.17000000000000004,-0.039999999999999925
9,R7,0.0,-0.25,-0.04500000000000004
0,D1,0.0,-0.151041667,-0.0679166670000001
1,D1,0.0,0.2,0.11216783207692338
2,D1,0.0,0.0,-0.0009090909999999175
3,D1,0.0,-0.416666667,-0.12166666700000006
4,D1,1.0,0.5,0.9090909090000001
5,D1,0.0,0.36,0.2890909090000001
6,D1,0.5,0.6699999999999999,0.52
7,D1,0.32999999999999996,-0.17000000000000004,0.23909090900000007
8,D1,0.5,0.0,0.4090909090000001
9,D1,0.0,-0.22333333366666663,-0.07666666700000002
0,D2,-0.32999999999999996,0.04249999999999998,-0.227030948
1,D2,-0.32999999999999996,0.0,-0.2420309479999999
2,D2,0.67,0.4,0.62763466
3,D2,-0.32999999999999996,-0.09999999999999998,-0.28236534
4,D2,-0.32999999999999996,-0.09999999999999998,-0.28236534
5,D2,-0.32999999999999996,0.26,0.007634660000000015
6,D2,0.5,-0.5,0.379090909
7,D2,0.0,0.0,0.012741934999999982
8,D2,0.0,0.265625,0.06649193499999995
9,D2,-0.32999999999999996,0.10000000000000003,-0.16928841692307672
0,D3,-0.19999999999999996,0.30000000000000004,-0.10999999999999999
1,D3,0.30000000000000004,-0.19999999999999996,0.27
2,D3,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996
3,D3,-0.4,0.61,-0.007755102000000069
4,D3,0.09999999999999998,0.42,0.13224489799999994
5,D3,0.13,0.13,0.13
6,D3,0.30000000000000004,0.30000000000000004,0.30000000000000004
7,D3,-0.19999999999999996,0.2433333333333334,-0.10999999999999999
8,D3,-0.19999999999999996,0.21666666666666667,-0.12499999999999989
9,D3,-0.19999999999999996,0.30000000000000004,-0.08999999999999986
0,D4,1.0,0.428571429,0.882352941
1,D4,0.0,-0.071428571,-0.027647059000000085
2,D4,0.0,-0.071428571,-0.027647059000000085
3,D4,0.0,-0.571428571,-0.11764705900000005
4,D4,0.0,-0.24142857100000004,-0.06764705900000001
5,D4,0.0,-0.15000000000000002,-0.01750000000000007
6,D4,0.0,-0.055803570999999996,-0.01889705900000016
7,D4,0.0,0.12857142900000001,0.08542986407692321
8,D4,0.0,-0.071428571,-0.027647059000000085
9,D4,0.5,-0.571428571,0.3523529409999999
0,D5,0.0,0.08000000000000007,0.06356521699999995
1,D5,0.0,0.38,0.32909090900000015
2,D5,0.5,0.16999999999999998,0.42909090900000013
3,D5,0.32999999999999996,-0.27,0.19956521699999996
4,D5,0.5,0.16999999999999998,0.4290909089999998
5,D5,0.0,-0.05666666666666664,-0.0009090909999999175
6,D5,0.0,-0.08333333333333337,-0.01590909099999982
7,D5,0.0,0.0,0.01909090900000021
8,D5,1.0,0.666666667,0.9523809520000001
9,D5,0.0,0.0,-0.0009090909999999175
0,D6,,,
1,D6,,,
2,D6,,,
3,D6,,,
4,D6,,,
5,D6,,,
6,D6,,,
7,D6,,,
8,D6,,,
9,D6,,,
0,D7,,,
1,D7,,,
2,D7,,,
3,D7,,,
4,D7,,,
5,D7,,,
6,D7,,,
7,D7,,,
8,D7,,,
9,D7,,,
0,D8,,,
1,D8,,,
2,D8,,,
3,D8,,,
4,D8,,,
5,D8,,,
6,D8,,,
7,D8,,,
8,D8,,,
9,D8,,,
0,D9,,,
1,D9,,,
2,D9,,,
3,D9,,,
4,D9,,,
5,D9,,,
6,D9,,,
7,D9,,,
8,D9,,,
9,D9,,,
