iter,ID,RC_x,PR_x,F3_x,source_x,RC_y,PR_y,F3_y,source_y,DIFF_orig_alt,PR_orig_alt,F3_orig_alt
0,M1,1,0.33,0.83,orig,0.5,0.33,0.48,altgt,0.5,0,0.35
1,M1,1,0.25,0.77,orig,0.5,0.33,0.48,altgt,0.5,-0.08,0.29
2,M1,1,0.25,0.77,orig,0.5,0.33,0.48,altgt,0.5,-0.08,0.29
3,M1,1,0.25,0.77,orig,0.5,0.33,0.48,altgt,0.5,-0.08,0.29
4,M1,1,0.25,0.77,orig,0.5,0.33,0.48,altgt,0.5,-0.08,0.29
5,M1,1,0.25,0.77,orig,0.5,0.33,0.48,altgt,0.5,-0.08,0.29
6,M1,1,0.33,0.83,orig,0.5,0.33,0.48,altgt,0.5,0,0.35
7,M1,1,0.33,0.83,orig,0.5,0.33,0.48,altgt,0.5,0,0.35
8,M1,1,0.25,0.77,orig,0.5,0.33,0.48,altgt,0.5,-0.08,0.29
9,M1,1,0.33,0.83,orig,0.5,0.33,0.48,altgt,0.5,0,0.35
0,M2,1,0.33,0.83,orig,0.67,0.67,0.67,altgt,0.33,-0.34,0.16
1,M2,1,0.25,0.77,orig,0.67,0.67,0.67,altgt,0.33,-0.42,0.1
2,M2,1,0.33,0.83,orig,0.67,0.67,0.67,altgt,0.33,-0.34,0.16
3,M2,1,0.33,0.83,orig,0.67,0.67,0.67,altgt,0.33,-0.34,0.16
4,M2,1,0.33,0.83,orig,0.67,0.67,0.67,altgt,0.33,-0.34,0.16
5,M2,1,0.33,0.83,orig,0.67,0.67,0.67,altgt,0.33,-0.34,0.16
6,M2,1,0.33,0.83,orig,0.67,0.67,0.67,altgt,0.33,-0.34,0.16
7,M2,1,0.33,0.83,orig,0.67,0.67,0.67,altgt,0.33,-0.34,0.16
8,M2,1,0.33,0.83,orig,0.67,0.67,0.67,altgt,0.33,-0.34,0.16
9,M2,1,0.33,0.83,orig,0.67,0.67,0.67,altgt,0.33,-0.34,0.16
0,M3,1,0.25,0.77,orig,0.5,0.33,0.48,altgt,0.5,-0.08,0.29
1,M3,1,0.17,0.67,orig,0.5,0.2,0.43,altgt,0.5,-0.03,0.24
2,M3,1,0.25,0.77,orig,0.5,0.5,0.5,altgt,0.5,-0.25,0.27
3,M3,1,0.33,0.83,orig,0.5,0.5,0.5,altgt,0.5,-0.17,0.33
4,M3,1,0.25,0.77,orig,0.5,0.5,0.5,altgt,0.5,-0.25,0.27
5,M3,1,0.25,0.77,orig,0.5,0.5,0.5,altgt,0.5,-0.25,0.27
6,M3,1,0.25,0.77,orig,0.5,0.5,0.5,altgt,0.5,-0.25,0.27
7,M3,1,0.33,0.83,orig,0.5,0.5,0.5,altgt,0.5,-0.17,0.33
8,M3,1,0.25,0.77,orig,0.5,0.5,0.5,altgt,0.5,-0.25,0.27
9,M3,1,0.25,0.77,orig,0.5,0.33,0.48,altgt,0.5,-0.08,0.29
0,C1,1,1,1,orig,0,0,0,altgt,1,1,1
1,C1,1,0.25,0.77,orig,1,0.5,0.91,altgt,0,-0.25,-0.14
2,C1,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
3,C1,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
4,C1,1,1,1,orig,0,0,0,altgt,1,1,1
5,C1,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
6,C1,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
7,C1,1,1,1,orig,0,0,0,altgt,1,1,1
8,C1,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
9,C1,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
0,C2,1,0.5,0.91,orig,1,0.14,0.62,altgt,0,0.36,0.29
1,C2,1,1,1,orig,1,1,1,altgt,0,0,0
2,C2,1,0.5,0.91,orig,1,0.14,0.62,altgt,0,0.36,0.29
3,C2,1,1,1,orig,1,1,1,altgt,0,0,0
4,C2,1,0.5,0.91,orig,1,0.14,0.62,altgt,0,0.36,0.29
5,C2,1,1,1,orig,1,1,1,altgt,0,0,0
6,C2,1,1,1,orig,1,1,1,altgt,0,0,0
7,C2,1,1,1,orig,1,1,1,altgt,0,0,0
8,C2,1,0.5,0.91,orig,1,0.14,0.62,altgt,0,0.36,0.29
9,C2,1,1,1,orig,1,1,1,altgt,0,0,0
0,C3,1,1,1,orig,0.5,1,0.53,altgt,0.5,0,0.47
1,C3,1,0.25,0.77,orig,1,0.25,0.77,altgt,0,0,0
2,C3,1,0.5,0.91,orig,0.5,0.5,0.5,altgt,0.5,0,0.41
3,C3,1,0.5,0.91,orig,0.5,0.5,0.5,altgt,0.5,0,0.41
4,C3,1,0.33,0.83,orig,1,0.29,0.8,altgt,0,0.04,0.03
5,C3,1,0.25,0.77,orig,1,0.67,0.95,altgt,0,-0.42,-0.18
6,C3,1,1,1,orig,0.5,1,0.53,altgt,0.5,0,0.47
7,C3,1,0.33,0.83,orig,1,0.67,0.95,altgt,0,-0.34,-0.12
8,C3,1,1,1,orig,0.5,1,0.53,altgt,0.5,0,0.47
9,C3,1,0.33,0.83,orig,1,0.67,0.95,altgt,0,-0.34,-0.12
0,R1,1,0.25,0.77,orig,,,,,,,
1,R1,1,0.33,0.83,orig,,,,,,,
2,R1,1,0.25,0.77,orig,,,,,,,
3,R1,1,0.17,0.67,orig,,,,,,,
4,R1,1,0.2,0.71,orig,,,,,,,
5,R1,1,0.25,0.77,orig,,,,,,,
6,R1,1,0.33,0.83,orig,,,,,,,
7,R1,1,0.33,0.83,orig,,,,,,,
8,R1,1,0.2,0.71,orig,,,,,,,
9,R1,1,0.25,0.77,orig,,,,,,,
0,R2,1,0.25,0.77,orig,1,0.556666667,0.91,altgt,0,-0.306666667,-0.14
1,R2,1,0.25,0.77,orig,1,0.556666667,0.91,altgt,0,-0.306666667,-0.14
2,R2,1,0.25,0.77,orig,1,0.556666667,0.91,altgt,0,-0.306666667,-0.14
3,R2,1,0.25,0.77,orig,1,0.556666667,0.91,altgt,0,-0.306666667,-0.14
4,R2,1,0.25,0.77,orig,1,0.556666667,0.91,altgt,0,-0.306666667,-0.14
5,R2,1,0.25,0.77,orig,1,0.556666667,0.91,altgt,0,-0.306666667,-0.14
6,R2,1,0.25,0.77,orig,1,0.556666667,0.91,altgt,0,-0.306666667,-0.14
7,R2,1,0.25,0.77,orig,1,0.556666667,0.91,altgt,0,-0.306666667,-0.14
8,R2,1,0.25,0.77,orig,1,0.556666667,0.91,altgt,0,-0.306666667,-0.14
9,R2,1,0.2,0.71,orig,1,0.556666667,0.91,altgt,0,-0.356666667,-0.2
0,R3,1,0.2,0.71,orig,,,,,,,
1,R3,1,0.2,0.71,orig,,,,,,,
2,R3,1,0.25,0.77,orig,,,,,,,
3,R3,1,0.25,0.77,orig,,,,,,,
4,R3,1,0.25,0.77,orig,,,,,,,
5,R3,1,0.25,0.77,orig,,,,,,,
6,R3,1,0.2,0.71,orig,,,,,,,
7,R3,1,0.2,0.71,orig,,,,,,,
8,R3,1,0.2,0.71,orig,,,,,,,
9,R3,1,0.2,0.71,orig,,,,,,,
0,R4,1,0.25,0.77,orig,1,0.583333333,0.925,altgt,0,-0.333333333,-0.155
1,R4,1,0.2,0.71,orig,1,0.583333333,0.925,altgt,0,-0.383333333,-0.215
2,R4,1,0.2,0.71,orig,1,0.4575,0.875,altgt,0,-0.2575,-0.165
3,R4,1,0.17,0.67,orig,1,0.4575,0.875,altgt,0,-0.2875,-0.205
4,R4,1,0.33,0.83,orig,1,0.583333333,0.925,altgt,0,-0.253333333,-0.095
5,R4,1,0.2,0.71,orig,1,0.583333333,0.925,altgt,0,-0.383333333,-0.215
6,R4,1,0.2,0.71,orig,1,0.583333333,0.925,altgt,0,-0.383333333,-0.215
7,R4,1,0.17,0.67,orig,1,0.4575,0.875,altgt,0,-0.2875,-0.205
8,R4,1,0.2,0.71,orig,1,0.583333333,0.925,altgt,0,-0.383333333,-0.215
9,R4,1,0.2,0.71,orig,1,0.583333333,0.925,altgt,0,-0.383333333,-0.215
0,R5,1,0.2,0.71,orig,1,0.5,0.89,altgt,0,-0.3,-0.18
1,R5,1,0.17,0.67,orig,1,0.5,0.89,altgt,0,-0.33,-0.22
2,R5,1,0.2,0.71,orig,1,0.5,0.89,altgt,0,-0.3,-0.18
3,R5,1,0.2,0.71,orig,1,0.5,0.89,altgt,0,-0.3,-0.18
4,R5,1,0.25,0.77,orig,1,1,1,altgt,0,-0.75,-0.23
5,R5,1,0.2,0.71,orig,1,0.5,0.89,altgt,0,-0.3,-0.18
6,R5,1,0.2,0.71,orig,1,0.5,0.89,altgt,0,-0.3,-0.18
7,R5,1,0.2,0.71,orig,1,0.5,0.89,altgt,0,-0.3,-0.18
8,R5,1,0.2,0.71,orig,1,0.5,0.89,altgt,0,-0.3,-0.18
9,R5,1,0.2,0.71,orig,1,0.5,0.89,altgt,0,-0.3,-0.18
0,R6,1,0.2,0.71,orig,0,0,0,altgt,1,0.2,0.71
1,R6,1,0.25,0.77,orig,0,0,0,altgt,1,0.25,0.77
2,R6,1,0.25,0.77,orig,0,0,0,altgt,1,0.25,0.77
3,R6,1,0.25,0.77,orig,0,0,0,altgt,1,0.25,0.77
4,R6,1,0.33,0.83,orig,0,0,0,altgt,1,0.33,0.83
5,R6,1,0.25,0.77,orig,0,0,0,altgt,1,0.25,0.77
6,R6,1,0.25,0.77,orig,0,0,0,altgt,1,0.25,0.77
7,R6,1,0.25,0.77,orig,0,0,0,altgt,1,0.25,0.77
8,R6,1,0.25,0.77,orig,0,0,0,altgt,1,0.25,0.77
9,R6,1,0.25,0.77,orig,0,0,0,altgt,1,0.25,0.77
0,R7,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
1,R7,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
2,R7,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
3,R7,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
4,R7,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
5,R7,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
6,R7,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
7,R7,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
8,R7,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
9,R7,1,0.5,0.91,orig,1,0.5,0.91,altgt,0,0,0
0,D1,1,0.333333333,0.833333333,orig,1,0.75,0.955,altgt,0,-0.416666667,-0.121666667
1,D1,1,0.5,0.909090909,orig,1,0.75,0.955,altgt,0,-0.25,-0.045909091
2,D1,1,0.5,0.909090909,orig,1,0.75,0.955,altgt,0,-0.25,-0.045909091
3,D1,1,0.333333333,0.833333333,orig,1,0.75,0.955,altgt,0,-0.416666667,-0.121666667
4,D1,1,0.5,0.909090909,orig,1,0.75,0.955,altgt,0,-0.25,-0.045909091
5,D1,1,0.5,0.909090909,orig,1,0.75,0.955,altgt,0,-0.25,-0.045909091
6,D1,1,1,1,orig,1,1,1,altgt,0,0,0
7,D1,1,0.5,0.909090909,orig,1,0.75,0.955,altgt,0,-0.25,-0.045909091
8,D1,1,0.5,0.909090909,orig,1,0.75,0.955,altgt,0,-0.25,-0.045909091
