,iter,ID,RC,PR,F3
0,0,C1,1.0,1.0,1.0
1,0,C2,1.0,0.32,0.765
2,0,C3,1.0,1.0,1.0
3,0,D1,1.0,0.6666666666000001,0.9306666666
4,0,D2,0.67,0.5,0.647969052
5,0,D3,1.0,0.484375,0.9012500000000001
6,0,D4,1.0,0.30918367350000003,0.8030252100714285
7,0,D5,1.0,0.45,0.8897826085
8,0,D6,1.0,0.75,0.9550000000000001
9,0,D7,0.0,0.0,0.0
10,0,D8,0.5,0.5,0.5
11,0,D9,0.67,0.666666667,0.669665167
12,0,M1,1.0,0.33,0.83
13,0,M2,1.0,0.33,0.83
14,0,M3,1.0,0.25,0.77
15,0,R1,1.0,0.25,0.77
16,0,R2,1.0,0.5128571428571428,0.89
17,0,R3,1.0,0.2,0.71
18,0,R4,1.0,0.5357142857142857,0.9028571428571429
19,0,R5,1.0,0.4000000000000001,0.8300000000000001
20,0,R6,1.0,0.2,0.71
21,0,R7,1.0,0.5,0.91
22,1,C1,1.0,0.375,0.8400000000000001
23,1,C2,1.0,1.0,1.0
24,1,C3,1.0,0.25,0.77
25,1,D1,1.0,0.7,0.9458181818
26,1,D2,0.67,0.5,0.647969052
27,1,D3,1.0,0.484375,0.9012500000000001
28,1,D4,1.0,0.30918367350000003,0.8030252100714285
29,1,D5,1.0,0.5,0.9095454545000001
30,1,D6,1.0,0.75,0.9550000000000001
31,1,D7,1.0,0.6666666666666666,0.9400000000000001
32,1,D8,1.0,0.17,0.67
33,1,D9,0.67,0.666666667,0.669665167
34,1,M1,1.0,0.25,0.77
35,1,M2,1.0,0.25,0.77
36,1,M3,1.0,0.17,0.67
37,1,R1,1.0,0.33,0.83
38,1,R2,1.0,0.5128571428571428,0.89
39,1,R3,1.0,0.2,0.71
40,1,R4,1.0,0.5285714285714286,0.8942857142857144
41,1,R5,1.0,0.38999999999999996,0.8166666666666668
42,1,R6,1.0,0.25,0.77
43,1,R7,1.0,0.5,0.91
44,2,C1,1.0,0.5,0.91
45,2,C2,1.0,0.32,0.765
46,2,C3,1.0,0.5,0.91
47,2,D1,1.0,0.7,0.9458181818
48,2,D2,0.67,0.4,0.62763466
49,2,D3,1.0,0.484375,0.9012500000000001
50,2,D4,1.0,0.30918367350000003,0.8030252100714285
51,2,D5,1.0,0.5,0.9095454545000001
52,2,D6,0.5,1.0,0.53
53,2,D7,0.5,0.5,0.5
54,2,D8,0.5,0.5,0.5
55,2,D9,0.33,0.5,0.341614907
56,2,M1,1.0,0.25,0.77
57,2,M2,1.0,0.33,0.83
58,2,M3,1.0,0.25,0.77
59,2,R1,1.0,0.25,0.77
60,2,R2,1.0,0.5128571428571428,0.89
61,2,R3,1.0,0.25,0.77
62,2,R4,1.0,0.42888888888888893,0.8566666666666668
63,2,R5,1.0,0.4000000000000001,0.8300000000000001
64,2,R6,1.0,0.25,0.77
65,2,R7,1.0,0.5,0.91
66,3,C1,1.0,0.5,0.91
67,3,C2,1.0,1.0,1.0
68,3,C3,1.0,0.5,0.91
69,3,D1,1.0,0.6666666666000001,0.9306666666
70,3,D2,0.67,0.4,0.62763466
71,3,D3,1.0,0.6438461538461537,0.9407692307692306
72,3,D4,1.0,0.30918367350000003,0.8030252100714285
73,3,D5,1.0,0.45,0.8897826085
74,3,D6,0.5,1.0,0.53
75,3,D7,1.0,0.6666666666666666,0.9400000000000001
76,3,D8,0.5,0.5,0.5
77,3,D9,0.33,0.5,0.341614907
78,3,M1,1.0,0.25,0.77
79,3,M2,1.0,0.33,0.83
80,3,M3,1.0,0.33,0.83
81,3,R1,1.0,0.17,0.67
82,3,R2,1.0,0.5128571428571428,0.89
83,3,R3,1.0,0.25,0.77
84,3,R4,1.0,0.4255555555555556,0.8522222222222223
85,3,R5,1.0,0.4000000000000001,0.8300000000000001
86,3,R6,1.0,0.25,0.77
87,3,R7,1.0,0.5,0.91
88,4,C1,1.0,1.0,1.0
89,4,C2,1.0,0.32,0.765
90,4,C3,1.0,0.3033333333333333,0.8099999999999999
91,4,D1,1.0,0.7,0.9458181818
92,4,D2,0.67,0.4,0.62763466
93,4,D3,0.6,0.75,0.6122448979999999
94,4,D4,1.0,0.30918367350000003,0.8030252100714285
95,4,D5,1.0,0.5,0.9095454545000001
96,4,D6,1.0,0.75,0.9550000000000001
97,4,D7,0.0,0.0,0.0
98,4,D8,0.5,0.16999999999999996,0.42
99,4,D9,0.33,0.5,0.341614907
100,4,M1,1.0,0.25,0.77
101,4,M2,1.0,0.33,0.83
102,4,M3,1.0,0.25,0.77
103,4,R1,1.0,0.2,0.71
104,4,R2,1.0,0.5128571428571428,0.89
105,4,R3,1.0,0.25,0.77
106,4,R4,1.0,0.5471428571428572,0.9114285714285714
107,4,R5,1.0,0.625,0.885
108,4,R6,1.0,0.33,0.83
109,4,R7,1.0,0.5,0.91
110,5,C1,1.0,0.5,0.91
111,5,C2,1.0,1.0,1.0
112,5,C3,1.0,0.46,0.86
113,5,D1,1.0,0.7,0.9458181818
114,5,D2,0.67,0.4,0.62763466
115,5,D3,1.0,0.484375,0.9012500000000001
116,5,D4,1.0,0.3614285714285715,0.8312500000000002
117,5,D5,1.0,0.5,0.9095454545000001
118,5,D6,0.5,1.0,0.53
119,5,D7,0.0,0.0,0.0
120,5,D8,0.5,0.2,0.43036789299999995
121,5,D9,0.33,0.5,0.341614907
122,5,M1,1.0,0.25,0.77
123,5,M2,1.0,0.33,0.83
124,5,M3,1.0,0.25,0.77
125,5,R1,1.0,0.25,0.77
126,5,R2,1.0,0.5128571428571428,0.89
127,5,R3,1.0,0.25,0.77
128,5,R4,1.0,0.5285714285714286,0.8942857142857144
129,5,R5,1.0,0.4000000000000001,0.8300000000000001
130,5,R6,1.0,0.25,0.77
131,5,R7,1.0,0.5,0.91
132,6,C1,1.0,0.5,0.91
133,6,C2,1.0,1.0,1.0
134,6,C3,1.0,1.0,1.0
135,6,D1,1.0,1.0,1.0
136,6,D2,1.0,0.5,0.9090909090000001
137,6,D3,1.0,0.484375,0.9012500000000001
138,6,D4,1.0,0.30918367350000003,0.8030252100714285
139,6,D5,1.0,0.5,0.9095454545000001
140,6,D6,0.5,1.0,0.53
141,6,D7,1.0,0.6666666666666666,0.9400000000000001
142,6,D8,0.5,0.25,0.45000000000000007
143,6,D9,0.33,0.5,0.341614907
144,6,M1,1.0,0.33,0.83
145,6,M2,1.0,0.33,0.83
146,6,M3,1.0,0.25,0.77
147,6,R1,1.0,0.33,0.83
148,6,R2,1.0,0.5128571428571428,0.89
149,6,R3,1.0,0.2,0.71
150,6,R4,1.0,0.5285714285714286,0.8942857142857144
151,6,R5,1.0,0.4000000000000001,0.8300000000000001
152,6,R6,1.0,0.25,0.77
153,6,R7,1.0,0.5,0.91
154,7,C1,1.0,1.0,1.0
155,7,C2,1.0,1.0,1.0
156,7,C3,1.0,0.5,0.8899999999999999
157,7,D1,1.0,0.7,0.9458181818
158,7,D2,1.0,0.75,0.967741935
159,7,D3,1.0,0.484375,0.9012500000000001
160,7,D4,1.0,0.30918367350000003,0.8030252100714285
161,7,D5,1.0,0.5,0.9095454545000001
162,7,D6,1.0,0.75,0.9550000000000001
163,7,D7,0.0,0.0,0.0
164,7,D8,1.0,0.14,0.62
165,7,D9,0.33,0.5,0.341614907
166,7,M1,1.0,0.33,0.83
167,7,M2,1.0,0.33,0.83
168,7,M3,1.0,0.33,0.83
169,7,R1,1.0,0.33,0.83
170,7,R2,1.0,0.5128571428571428,0.89
171,7,R3,1.0,0.2,0.71
172,7,R4,1.0,0.4255555555555556,0.8522222222222223
173,7,R5,1.0,0.4000000000000001,0.8300000000000001
174,7,R6,1.0,0.25,0.77
175,7,R7,1.0,0.5,0.91
176,8,C1,1.0,0.5,0.91
177,8,C2,1.0,0.32,0.765
178,8,C3,1.0,1.0,1.0
179,8,D1,1.0,0.7,0.9458181818
180,8,D2,1.0,0.75,0.967741935
181,8,D3,1.0,0.484375,0.9012500000000001
182,8,D4,1.0,0.30918367350000003,0.8030252100714285
183,8,D5,1.0,0.5833333334999999,0.931190476
184,8,D6,0.5,1.0,0.53
185,8,D7,1.0,0.625,0.8846153845
186,8,D8,1.0,0.14,0.62
