,ID,RC,PR,F3
0,C1,0,0.253105709,0.052915026
1,C2,0,0.35115049,0.121353478
2,C3,0,0.288693096,0.07947047
3,D1,0,0.099628941,0.020046496
4,D2,0.159405144,0.139443338,0.153087502
5,D3,0.126491106,0.093045398,0.093607572
6,D4,0,0.016521287,0.008925462
7,D5,0,0.036387829,0.011631735
8,D6,0.25819889,0.129099445,0.219469056
9,D7,0.497214463,0.314387559,0.449981941
10,D8,0.25819889,0.163397946,0.087823863
11,D9,0.143356587,0.126990327,0.140249629
12,M1,0,0.041311822,0.030983867
13,M2,0,0.025298221,0.018973666
14,M3,0,0.045411697,0.043665394
15,R1,0,0.057965507,0.055617743
16,R2,0,0.00225877,0.002710524
17,R3,0,0.025819889,0.030983867
18,R4,0,0.051334488,0.022108331
19,R5,0,0.071571642,0.018345955
20,R6,0,0.0312872,0.028284271
21,R7,0,0,0
