iter,ID,ID-SO,GT_ID,GT ,#F,#RES,#M,RC,PR,F3,OUT
0,M1,,0,WCI(0),1,3,1,1.0,0.33,0.83,WCI(0) | HLR | HNE
1,M1,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HLR | HNE | RCD(6)
2,M1,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HLR | HNE | RCD(6)
3,M1,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HLR | HNE | RCD(6)
4,M1,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HLR | HNE | RCD(6)
5,M1,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HLR | HNE | RCD(6)
6,M1,,0,WCI(0),1,3,1,1.0,0.33,0.83,WCI(0) | HLR | HNE
7,M1,,0,WCI(0),1,3,1,1.0,0.33,0.83,WCI(0) | HLR | HNE
8,M1,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HLR | HNE | RCD(6)
9,M1,,0,WCI(0),1,3,1,1.0,0.33,0.83,WCI(0) | HLR | HNE
0,M2,,0,ARM(7),1,3,1,1.0,0.33,0.83,ARM(7) | HLR | HNE
1,M2,,0,ARM(7),1,4,1,1.0,0.25,0.77,ARM(7) | HLR | HNE | VRM
2,M2,,0,ARM(7),1,3,1,1.0,0.33,0.83,ARM(7) | HLR | HNE
3,M2,,0,ARM(7),1,3,1,1.0,0.33,0.83,ARM(7) | HLR | HNE
4,M2,,0,ARM(7),1,3,1,1.0,0.33,0.83,ARM(7) | HLR | HNE
5,M2,,0,ARM(7),1,3,1,1.0,0.33,0.83,ARM(7) | HLR | HNE
6,M2,,0,ARM(7),1,3,1,1.0,0.33,0.83,ARM(7) | HLR | HNE
7,M2,,0,ARM(7),1,3,1,1.0,0.33,0.83,ARM(7) | HLR | HNE
8,M2,,0,ARM(7),1,3,1,1.0,0.33,0.83,ARM(7) | HLR | HNE
9,M2,,0,ARM(7),1,3,1,1.0,0.33,0.83,ARM(7) | HLR | HNE
0,M3,,0,HLR,1,4,1,1.0,0.25,0.77,"HLR | HNE | RCD(3,6) | HBS"
1,M3,,0,HLR,1,6,1,1.0,0.17,0.67,"HLR | HNE | RCD(3,6) | CPP | ACH(0,1,5) | LCH "
2,M3,,0,HLR,1,4,1,1.0,0.25,0.77,HLR | HNE | RCD(6) | CPP
3,M3,,0,HLR,1,3,1,1.0,0.33,0.83,HLR | HNE | RCD(6)
4,M3,,0,HLR,1,4,1,1.0,0.25,0.77,"HLR | HNE | RCD(3,6) | CPP"
5,M3,,0,HLR,1,4,1,1.0,0.25,0.77,HLR | HNE | RCD(6) | CPP
6,M3,,0,HLR,1,4,1,1.0,0.25,0.77,"HLR | HNE | RCD(3,6) | CPP"
7,M3,,0,HLR,1,3,1,1.0,0.33,0.83,HLR | HNE | RCD(6)
8,M3,,0,HLR,1,4,1,1.0,0.25,0.77,"HLR | HNE | RCD(3,6) | CPP"
9,M3,,0,HLR,1,4,1,1.0,0.25,0.77,"HLR | HNE | RCD(3,6) | HBS"
0,C1,,0,ACH(2),1,1,1,1.0,1.0,1.0,ACH(2)
1,C1,,0,ACH(2),1,4,1,1.0,0.25,0.77,ACH(2) |RAW |LRM | HBS
2,C1,,0,ACH(2),1,2,1,1.0,0.5,0.91,ACH(2) | HBS
3,C1,,0,ACH(2),1,2,1,1.0,0.5,0.91,ACH(2) | HBS
4,C1,,0,ACH(2),1,1,1,1.0,1.0,1.0,ACH(2)
5,C1,,0,ACH(2),1,2,1,1.0,0.5,0.91,ACH(2) | HBS
6,C1,,0,ACH(2),1,2,1,1.0,0.5,0.91,ACH(2) | HBS
7,C1,,0,ACH(2),1,1,1,1.0,1.0,1.0,ACH(2)
8,C1,,0,ACH(2),1,2,1,1.0,0.5,0.91,ACH(2) | HBS
9,C1,,0,ACH(2),1,2,1,1.0,0.5,0.91,ACH(2) | HBS
0,C2,,0,HNE,1,2,1,1.0,0.5,0.91,"HNE | ACH(0,2,4,7,8)"
1,C2,,0,HNE,1,1,1,1.0,1.0,1.0,HNE
2,C2,,0,HNE,1,2,1,1.0,0.5,0.91,"HNE | ACH(0,2,4,7,8)"
3,C2,,0,HNE,1,1,1,1.0,1.0,1.0,HNE
4,C2,,0,HNE,1,2,1,1.0,0.5,0.91,"HNE | ACH(0,2,4,7,8)"
5,C2,,0,HNE,1,1,1,1.0,1.0,1.0,HNE
6,C2,,0,HNE,1,1,1,1.0,1.0,1.0,HNE
7,C2,,0,HNE,1,1,1,1.0,1.0,1.0,HNE
8,C2,,0,HNE,1,2,1,1.0,0.5,0.91,"HNE | ACH(0,2,4,7,8)"
9,C2,,0,HNE,1,1,1,1.0,1.0,1.0,HNE
0,C3,,0,WCI(2),1,1,1,1.0,1.0,1.0,WCI(2)
1,C3,,0,WCI(2),1,4,1,1.0,0.25,0.77,"WCI(2) | HNE | ACH(0,2,4,7,8) | HBS"
2,C3,,0,WCI(2),1,2,1,1.0,0.5,0.91,WCI(2) | HNE
3,C3,,0,WCI(2),1,2,1,1.0,0.5,0.91,WCI(2) | HNE
4,C3,,0,WCI(2),1,3,1,1.0,0.33,0.83,"WCI(2) | HNE | ACH(0,2,4,7,8)"
5,C3,,0,WCI(2),1,4,1,1.0,0.25,0.77,WCI(2) | HNE | HBS | VRM
6,C3,,0,WCI(2),1,1,1,1.0,1.0,1.0,WCI(2)
7,C3,,0,WCI(2),1,3,1,1.0,0.33,0.83,WCI(2) | HNE | HBS
8,C3,,0,WCI(2),1,1,1,1.0,1.0,1.0,WCI(2)
9,C3,,0,WCI(2),1,3,1,1.0,0.33,0.83,WCI(2) | HNE | HBS
0,R1,,0,RAW(0),1,4,1,1.0,0.25,0.77,HNE | RAW(0) | LCN(0) | CPP
1,R1,,0,RAW(0),1,3,1,1.0,0.33,0.83,HNE | RAW(0) | RCD(1)
2,R1,,0,RAW(0),1,4,1,1.0,0.25,0.77,HNE | RAW(0) | HBS | LAD
