ID,RC,PR,F3
C1,1.0,0.625,0.9223776223
C2,1.0,0.8,0.9636363636
C3,1.0,0.5499999999,0.8856643355000001
D1,1.0,0.4999999999,0.8954545453
D2,0.769,0.5,0.7278686183000002
D3,0.76,0.7899999999999999,0.7624489796
D4,1.0,0.44571428609999997,0.8878676468999999
D5,1.0,0.49666666670000004,0.9055147749
D6,0.35,0.4666666666,0.3565452092
D7,0.1,0.025,0.07692307690000001
D8,0.2,0.0676190477,0.1668115943
D9,0.398,0.4916666666999999,0.4039117547999999
M1,1.0,0.28333333320000004,0.7948717945999999
M2,1.0,0.32499999970000004,0.8269230766
M3,1.0,0.2583333333,0.7717948716
R1,1.0,0.25666666660000004,0.7672161169999999
R2,1.0,0.24500000000000002,0.7637362635
R3,1.0,0.21999999999999997,0.736263736
R4,1.0,0.21166666669999995,0.7221611720000001
R5,1.0,0.2016666667,0.7150183147999999
R6,1.0,0.25333333329999996,0.7701465199
R7,1.0,0.5,0.9090909089999999
