parent_node_id	current_node_id	parent_accs	current_node_accs	parent_node_param_string	current_node_param_string	is_gt
0	34	[0.5, 0.78, 0.67, 0.51, 0.61, 0.75, 0.74, 0.5, 0.5, 0.5]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	act1=sigmoid,act2=softmax,batch_size=200,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	True
0	43	[0.5, 0.78, 0.67, 0.51, 0.61, 0.75, 0.74, 0.5, 0.5, 0.5]	[1.0, 1.0, 0.99, 1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 1.0]	act1=sigmoid,act2=softmax,batch_size=200,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	act1=sigmoid,act2=softmax,batch_size=200,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.01,optimizer=rmsprop,unit1=1	True
0	35	[0.5, 0.78, 0.67, 0.51, 0.61, 0.75, 0.74, 0.5, 0.5, 0.5]	[0.99, 1.0, 1.0, 0.99, 0.99, 1.0, 0.99, 0.99, 1.0, 1.0]	act1=sigmoid,act2=softmax,batch_size=200,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	act1=sigmoid,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	False
0	22	[0.5, 0.78, 0.67, 0.51, 0.61, 0.75, 0.74, 0.5, 0.5, 0.5]	[0.91, 0.88, 0.94, 0.93, 0.88, 0.96, 0.95, 0.95, 0.82, 0.94]	act1=sigmoid,act2=softmax,batch_size=200,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	act1=sigmoid,act2=softmax,batch_size=200,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_squared_error,lr=0.001,optimizer=rmsprop,unit1=1	False
0	18	[0.5, 0.78, 0.67, 0.51, 0.61, 0.75, 0.74, 0.5, 0.5, 0.5]	[0.96, 0.96, 0.98, 0.98, 0.5, 0.97, 0.94, 0.99, 0.89, 0.95]	act1=sigmoid,act2=softmax,batch_size=200,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	act1=sigmoid,act2=exponential,batch_size=200,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	False
34	47	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=he_normal,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	True
34	48	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_normal,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	True
34	49	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=random_normal,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	True
34	50	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=he_normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	True
34	51	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	act1=sigmoid,act2=softmax,batch_size=16,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_normal,layer1=1,loss=mean_absolute_error,lr=0.001,optimizer=rmsprop,unit1=1	True
