parent_node_id	current_node_id	parent_accs	current_node_accs	parent_node_param_string	current_node_param_string	is_gt
0	23	[0.17, 0.28, 0.26, 0.14, 0.59, 0.58, 0.16, 0.28, 0.3, 0.58]	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	act1=relu,act2=relu,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	True
0	20	[0.17, 0.28, 0.26, 0.14, 0.59, 0.58, 0.16, 0.28, 0.3, 0.58]	[0.58, 0.57, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	act1=relu,act2=relu,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	act1=exponential,act2=relu,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	True
0	32	[0.17, 0.28, 0.26, 0.14, 0.59, 0.58, 0.16, 0.28, 0.3, 0.58]	[0.28, 0.28, 0.57, 0.58, 0.58, 0.14, 0.58, 0.58, 0.58, 0.58]	act1=relu,act2=relu,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	act1=relu,act2=relu,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=40	True
0	19	[0.17, 0.28, 0.26, 0.14, 0.59, 0.58, 0.16, 0.28, 0.3, 0.58]	[0.28, 0.58, 0.58, 0.58, 0.58, 0.28, 0.58, 0.14, 0.28, 0.58]	act1=relu,act2=relu,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	act1=sigmoid,act2=relu,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	True
0	28	[0.17, 0.28, 0.26, 0.14, 0.59, 0.58, 0.16, 0.28, 0.3, 0.58]	[0.58, 0.58, 0.28, 0.58, 0.14, 0.58, 0.28, 0.58, 0.28, 0.58]	act1=relu,act2=relu,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	act1=relu,act2=relu,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=0,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	True
23	58	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=he_normal,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	True
23	59	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_normal,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	True
23	60	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=random_normal,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	True
23	61	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=he_normal,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	True
23	62	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	[0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58, 0.58]	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	act1=relu,act2=exponential,act3=softmax,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=10,ki1=glorot_uniform,ki2=glorot_normal,ki3=glorot_uniform,layer2=1,loss=categorical_crossentropy,lr=0.01,optimizer=sgd,unit1=20,unit2=20	True
