parent_node_id	current_node_id	parent_accs	current_node_accs	parent_node_param_string	current_node_param_string	is_gt
0	21	[0.36, 0.36, 0.36, 0.34, 0.36, 0.37, 0.38, 0.36, 0.36, 0.37]	[0.71, 0.76, 0.73, 0.75, 0.74, 0.68, 0.73, 0.76, 0.73, 0.76]	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adam,unit1=512	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=sgd,unit1=512	False
0	1	[0.36, 0.36, 0.36, 0.34, 0.36, 0.37, 0.38, 0.36, 0.36, 0.37]	[0.65, 0.58, 0.49, 0.58, 0.53, 0.57, 0.58, 0.6, 0.62, 0.58]	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adam,unit1=512	act1=sigmoid,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adam,unit1=512	False
0	23	[0.36, 0.36, 0.36, 0.34, 0.36, 0.37, 0.38, 0.36, 0.36, 0.37]	[0.42, 0.44, 0.42, 0.41, 0.43, 0.47, 0.44, 0.27, 0.47, 0.49]	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adam,unit1=512	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=0.1,optimizer=adam,unit1=512	False
0	19	[0.36, 0.36, 0.36, 0.34, 0.36, 0.37, 0.38, 0.36, 0.36, 0.37]	[0.44, 0.38, 0.39, 0.47, 0.42, 0.43, 0.4, 0.41, 0.39, 0.47]	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adam,unit1=512	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adamax,unit1=512	False
0	3	[0.36, 0.36, 0.36, 0.34, 0.36, 0.37, 0.38, 0.36, 0.36, 0.37]	[0.21, 0.36, 0.22, 0.47, 0.41, 0.36, 0.52, 0.49, 0.49, 0.48]	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adam,unit1=512	act1=softmax,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adam,unit1=512	False
21	64	[0.71, 0.76, 0.73, 0.75, 0.74, 0.68, 0.73, 0.76, 0.73, 0.76]	[0.79, 0.79, 0.79, 0.81, 0.79, 0.78, 0.78, 0.79, 0.8, 0.8]	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=sgd,unit1=512	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=0.1,optimizer=sgd,unit1=512	False
21	70	[0.71, 0.76, 0.73, 0.75, 0.74, 0.68, 0.73, 0.76, 0.73, 0.76]	[0.79, 0.76, 0.77, 0.76, 0.8, 0.78, 0.78, 0.77, 0.68, 0.75]	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=sgd,unit1=512	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=6,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=sgd,unit1=512	False
21	45	[0.71, 0.76, 0.73, 0.75, 0.74, 0.68, 0.73, 0.76, 0.73, 0.76]	[0.78, 0.77, 0.74, 0.76, 0.79, 0.76, 0.77, 0.73, 0.78, 0.75]	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=sgd,unit1=512	act1=sigmoid,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=sgd,unit1=512	False
21	66	[0.71, 0.76, 0.73, 0.75, 0.74, 0.68, 0.73, 0.76, 0.73, 0.76]	[0.7, 0.77, 0.79, 0.78, 0.78, 0.73, 0.76, 0.78, 0.77, 0.76]	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=sgd,unit1=512	act1=relu,act2=softmax,batch_size=64,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=sgd,unit1=512	False
21	84	[0.71, 0.76, 0.73, 0.75, 0.74, 0.68, 0.73, 0.76, 0.73, 0.76]	[0.76, 0.7, 0.79, 0.76, 0.77, 0.73, 0.77, 0.74, 0.71, 0.77]	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=sgd,unit1=512	act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=sgd,unit1=1024	False
1	104	[0.65, 0.58, 0.49, 0.58, 0.53, 0.57, 0.58, 0.6, 0.62, 0.58]	[0.69, 0.69, 0.7, 0.7, 0.69, 0.7, 0.73, 0.71, 0.7, 0.72]	act1=sigmoid,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adam,unit1=512	act1=sigmoid,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=0.1,optimizer=adam,unit1=512	False
1	101	[0.65, 0.58, 0.49, 0.58, 0.53, 0.57, 0.58, 0.6, 0.62, 0.58]	[0.63, 0.63, 0.62, 0.62, 0.65, 0.67, 0.64, 0.6, 0.64, 0.62]	act1=sigmoid,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adam,unit1=512	act1=sigmoid,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=1.0,optimizer=adamax,unit1=512	False
