issue,GT_ID,GT,LEN_GT,GPT_RES,GPT_MATCH,GPT_MATCH_CNT,GPT_AJS
R2,38,['loss'],1,"['act2', 'epochs', 'batch_size']",0 | ,0,0.0
R2,7,['act2'],1,"['act2', 'epochs', 'batch_size']",1 | ,1,1.0
R2,6,['act2'],1,"['act2', 'epochs', 'batch_size']",1 | ,1,1.0
R2,46,"['act1', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,50,"['act2', 'loss']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,53,"['ki1', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,54,"['ki1', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,55,"['ki1', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,56,"['bi1', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,57,"['bi1', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,58,"['bi1', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,59,"['ki2', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,60,"['ki2', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,61,"['ki2', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,62,"['bi2', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,63,"['bi2', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,64,"['bi2', 'loss']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,66,"['loss', 'optimizer']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,70,"['batch_size', 'loss']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,71,"['batch_size', 'loss']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,72,"['batch_size', 'loss']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,73,"['batch_size', 'loss']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,75,"['epochs', 'loss']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,77,"['loss', 'unit1']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,78,"['loss', 'unit1']",2,"['act2', 'epochs', 'batch_size']",0 | 0 | ,0,0.0
R2,79,"['act1', 'act2']",2,"['act2', 'epochs', 'batch_size']",0 | 1 | ,1,0.5
R2,82,"['act2', 'ki1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,83,"['act2', 'ki1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,86,"['act2', 'bi1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,87,"['act2', 'bi1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,88,"['act2', 'ki2']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,89,"['act2', 'ki2']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,90,"['act2', 'ki2']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,91,"['act2', 'bi2']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,92,"['act2', 'bi2']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,93,"['act2', 'bi2']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,102,"['act2', 'batch_size']",2,"['act2', 'epochs', 'batch_size']",1 | 1 | ,2,1.0
R2,115,"['act2', 'loss']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,116,"['act2', 'loss']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,101,"['act2', 'batch_size']",2,"['act2', 'epochs', 'batch_size']",1 | 1 | ,2,1.0
R2,114,"['act2', 'loss']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,109,"['act2', 'loss']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,100,"['act2', 'batch_size']",2,"['act2', 'epochs', 'batch_size']",1 | 1 | ,2,1.0
R2,118,"['act2', 'unit1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,119,"['act1', 'act2']",2,"['act2', 'epochs', 'batch_size']",0 | 1 | ,1,0.5
R2,122,"['act2', 'ki1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,123,"['act2', 'ki1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,124,"['act2', 'ki1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,126,"['act2', 'bi1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,127,"['act2', 'bi1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,132,"['act2', 'bi2']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,133,"['act2', 'bi2']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,158,"['act2', 'unit1']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R2,141,"['act2', 'batch_size']",2,"['act2', 'epochs', 'batch_size']",1 | 1 | ,2,1.0
R2,130,"['act2', 'ki2']",2,"['act2', 'epochs', 'batch_size']",1 | 0 | ,1,0.5
R4,40,['loss'],1,"['loss', 'epochs']",1 | ,1,1.0
R4,34,['loss'],1,"['loss', 'epochs']",1 | ,1,1.0
R4,38,['loss'],1,"['loss', 'epochs']",1 | ,1,1.0
R4,41,['loss'],1,"['loss', 'epochs']",1 | ,1,1.0
R4,42,['loss'],1,"['loss', 'epochs']",1 | ,1,1.0
R4,52,"['ki1', 'loss']",2,"['loss', 'epochs']",0 | 1 | ,1,0.5
R4,53,"['ki1', 'loss']",2,"['loss', 'epochs']",0 | 1 | ,1,0.5
R4,59,"['ki2', 'loss']",2,"['loss', 'epochs']",0 | 1 | ,1,0.5
R4,64,"['loss', 'optimizer']",2,"['loss', 'epochs']",1 | 0 | ,1,0.5
R4,68,"['batch_size', 'loss']",2,"['loss', 'epochs']",0 | 1 | ,1,0.5
R4,69,"['batch_size', 'loss']",2,"['loss', 'epochs']",0 | 1 | ,1,0.5
R4,73,"['epochs', 'loss']",2,"['loss', 'epochs']",1 | 1 | ,2,1.0
R4,75,"['loss', 'unit1']",2,"['loss', 'epochs']",1 | 0 | ,1,0.5
R4,76,"['loss', 'unit1']",2,"['loss', 'epochs']",1 | 0 | ,1,0.5
R4,54,"['bi1', 'loss']",2,"['loss', 'epochs']",0 | 1 | ,1,0.5
R4,55,"['bi1', 'loss']",2,"['loss', 'epochs']",0 | 1 | ,1,0.5
R4,57,"['ki2', 'loss']",2,"['loss', 'epochs']",0 | 1 | ,1,0.5
R4,49,"['act2', 'loss']",2,"['loss', 'epochs']",0 | 1 | ,1,0.5
R4,58,"['ki2', 'loss']",2,"['loss', 'epochs']",0 | 1 | ,1,0.5
M1,37,['optimizer'],1,"['k1', 'lr', 'epochs']",0 | ,0,0.0
M1,38,['optimizer'],1,"['k1', 'lr', 'epochs']",0 | ,0,0.0
M1,71,"['act3', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,72,"['act3', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,75,"['act4', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,76,"['act4', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,78,"['ki1', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,79,"['ki1', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,80,"['bi1', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,81,"['bi1', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,82,"['bi1', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,83,"['ki2', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,84,"['ki2', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,85,"['ki2', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,86,"['bi2', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,87,"['bi2', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,88,"['bi2', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,89,"['ki3', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,90,"['ki3', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
M1,91,"['ki3', 'optimizer']",2,"['k1', 'lr', 'epochs']",0 | 0 | ,0,0.0
