issue,GT_ID,GT,LEN_GT,GPT_RES,GPT_MATCH,GPT_MATCH_CNT,GPT_AJS
48594888,303,['epochs'],1,"['epochs', 'batch_size']",1 | ,1,1.0
50306988,85,['lr'],1,"['epochs', 'lr']",1 | ,1,1.0
50306988,242,"['bi1', 'lr']",2,"['epochs', 'lr']",0 | 1 | ,1,0.5
50306988,254,"['lr', 'unit1']",2,"['epochs', 'lr']",1 | 0 | ,1,0.5
50306988,259,"['loss', 'lr']",2,"['epochs', 'lr']",0 | 1 | ,1,0.5
50306988,268,"['batch_size', 'lr']",2,"['epochs', 'lr']",0 | 1 | ,1,0.5
50306988,277,"['epochs', 'lr']",2,"['epochs', 'lr']",1 | 1 | ,2,1.0
50306988,580,"['act1', 'epochs', 'lr']",3,"['epochs', 'lr']",0 | 1 | 1 | ,2,0.67
48385830,102,['act1'],1,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']",1 | ,1,1.0
48385830,151,"['act1', 'act2', 'loss']",3,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']",1 | 1 | 1 | ,3,1.0
48385830,253,"['act1', 'act2', 'ki1']",3,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']",1 | 1 | 1 | ,3,1.0
48385830,251,"['act1', 'act2', 'ki1']",3,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']",1 | 1 | 1 | ,3,1.0
48385830,252,"['act1', 'act2', 'ki1']",3,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']",1 | 1 | 1 | ,3,1.0
48385830,274,"['act1', 'act2', 'loss']",3,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']",1 | 1 | 1 | ,3,1.0
48385830,276,"['act1', 'act2', 'loss']",3,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']",1 | 1 | 1 | ,3,1.0
48385830,430,"['act1', 'ki2']",2,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']",1 | 1 | ,2,1.0
48385830,432,"['act1', 'ki2']",2,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']",1 | 1 | ,2,1.0
48385830,448,"['act1', 'loss']",2,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']",1 | 1 | ,2,1.0
