id,issue,GPT_AJS_OLD,GPT_AJS_NEW
0,48594888,1,1.0
0,50306988,0.5,1.0
0,48385830,1,1.0
0,45442843,0.8,1.0
0,56380303,0,0.5
0,51181393,0,0
0,31880720,1,1.0
1,48594888,1,1.0
1,50306988,0.5,1.0
1,48385830,1,1.0
1,45442843,0.8,1.0
1,56380303,0,1.0
1,51181393,0,1.0
1,31880720,1,1.0
2,48594888,1,1.0
2,50306988,0.25,0.5
2,48385830,1,1.0
2,45442843,0.8,1.0
2,56380303,0,0.5
2,51181393,0,0.5
2,31880720,1,1.0
3,48594888,1,1.0
3,50306988,0.25,0.5
3,48385830,1,1.0
3,45442843,0.6,1.0
3,56380303,0,0.5
3,51181393,0,1.0
3,31880720,1,1.0
4,48594888,1,1.0
4,50306988,0.5,1.0
4,48385830,1,1.0
4,45442843,0.6,0.5
4,56380303,0,0.5
4,51181393,0,0
4,31880720,1,1.0
5,48594888,1,1.0
5,50306988,0.25,0.5
5,48385830,1,1.0
5,45442843,0.8,1.0
5,56380303,0.5,0.5
5,51181393,0,0
5,31880720,1,1.0
6,48594888,1,1.0
6,50306988,0.25,0.5
6,48385830,1,1.0
6,45442843,0.8,1.0
6,56380303,0,0.5
6,51181393,0,1.0
6,31880720,1,1.0
7,48594888,1,1.0
7,50306988,0.5,1.0
7,48385830,1,1.0
7,45442843,0.8,1.0
7,56380303,0.5,1.0
7,51181393,0,0
7,31880720,1,1.0
8,48594888,1,1.0
8,50306988,0.25,0.5
8,48385830,1,1.0
8,45442843,0.8,1.0
8,56380303,0.5,1.0
8,51181393,1,1.0
8,31880720,1,1.0
9,48594888,1,1.0
9,50306988,0.25,0.5
9,48385830,1,1.0
9,45442843,0.8,1.0
9,56380303,0.5,1.0
9,51181393,0,1.0
9,31880720,1,1.0
