Mutant,Number of Times Budget,Time to Train one instance,Overall Budget (column B * column C),Indices to Consider,Actual Budget
origin_31880720,10,1.42,14.2,[],0
origin_31880720,20,1.42,28.4,[],0
origin_31880720,50,1.42,71,"[0, 1]",55.77530074
origin_45442843,10,0.67,6.7,[0],6.256847143
origin_45442843,20,0.67,13.4,"[0, 1, 2, 3]",12.69661093
origin_45442843,50,0.67,33.5,"[0, 1, 2, 3, 4, 5, 6, 7]",28.34501934
origin_50306988,10,0.51,5.1,[],0
origin_50306988,20,0.51,10.2,[],0
origin_50306988,50,0.51,25.5,"[0, 1]",19.6539538
origin_41600519,10,16.72,167.2,[],0
origin_41600519,20,16.72,334.4,[0],195.429554
origin_41600519,50,16.72,836,"[0, 1]",387.7380209
origin_56380303,10,2.6,26,[0],15.73457003
origin_56380303,20,2.6,52,"[0, 1, 2]",47.18410993
origin_56380303,50,2.6,130,"[0, 1, 2, 3, 4, 5, 6, 7]",126.5851166
origin_48385830,10,296.54,2965.4,"[0, 1, 2, 3]",2964.925323
origin_48385830,20,296.54,5930.8,"[0, 1, 2, 3, 4, 5, 6]",5215.228646
origin_48385830,50,296.54,14827,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",14138.25694
origin_59325381,10,52.58,525.8,"[0, 1]",410.5264458
origin_59325381,20,52.58,1051.6,"[0, 1, 2, 3]",842.3892946
origin_59325381,50,52.58,2629,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",2524.073765
