trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.ki1,config.bi1,config.act2,config.ki2,config.bi2,config.act3,config.ki3,config.bi3,config.act4,config.ki4,config.bi4,config.act5,config.ki5,config.bi5,config.act6,config.ki6,config.bi6,config.epochs,config.unit1,config.unit2,config.layer1,config.layer2
e503925a,0.4962500035762787,0.5090000033378601,10.40285873413086,True,,,1.0,69b407134187415b99fa9d30fd28bac0,2022-09-15_22-44-17,1663281857.0,10.40285873413086,18870.0,b430368dd22d,172.17.0.2,10.40285873413086,0.0,1.0,0.005319356918334961,"1_act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=1,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.0010,optimizer=adam,unit1=256,unit2=128",sparse_categorical_crossentropy,64.0,adam,0.001,relu,glorot_uniform,zeros,relu,glorot_uniform,zeros,relu,glorot_uniform,zeros,relu,glorot_uniform,zeros,relu,glorot_uniform,zeros,softmax,glorot_uniform,zeros,1.0,256.0,128.0,1.0,1.0
e81c0a26,,,,,,,,0ada484c522d4b2b996d82b82399b20a,2022-09-15_22-44-23,1663281863.0,,19289.0,b430368dd22d,172.17.0.2,,,,,,mean_squared_logarithmic_error,512.0,rmsprop,6.4696786375500555,selu,zeros,constant,exponential,ones,lecun_uniform,tanh,he_normal,lecun_uniform,linear,lecun_normal,glorot_normal,softplus,orthogonal,truncated_normal,selu,lecun_uniform,orthogonal,1.0,128.0,128.0,1.0,2.0
eeb8d076,0.1016250029206276,0.09350000321865082,20.72490930557251,True,,,1.0,43e63987162441688099dbcfecafe4a7,2022-09-15_22-44-53,1663281893.0,20.72490930557251,19689.0,b430368dd22d,172.17.0.2,20.72490930557251,0.0,1.0,0.00505518913269043,"3_act1=softplus,act2=hard_sigmoid,act3=relu,act4=sigmoid,act5=tanh,act6=linear,batch_size=16,bi1=he_normal,bi2=glorot_normal,bi3=he_normal,bi4=truncated_normal,bi5=ones,bi6=lecun_uniform,epochs=1,ki1=zeros,ki2=ones,ki3=orthogonal,ki4=lecun_normal,ki5=random_uniform,ki6=random_normal,layer1=2,layer2=1,loss=mean_squared_error,lr=4.7519,optimizer=rmsprop,unit1=256,unit2=128",mean_squared_error,16.0,rmsprop,4.7519215745280965,softplus,zeros,he_normal,hard_sigmoid,ones,glorot_normal,relu,orthogonal,he_normal,sigmoid,lecun_normal,truncated_normal,tanh,random_uniform,ones,linear,random_normal,lecun_uniform,1.0,256.0,128.0,2.0,1.0
f41850f0,0.09837500005960464,0.10649999976158142,10.26321792602539,True,,,1.0,ff738361537e4552bad8a133aa7ced35,2022-09-15_22-45-08,1663281908.0,10.26321792602539,20337.0,b430368dd22d,172.17.0.2,10.26321792602539,0.0,1.0,0.005520820617675781,"4_act1=selu,act2=softsign,act3=relu,act4=tanh,act5=relu,act6=softmax,batch_size=256,bi1=he_uniform,bi2=glorot_normal,bi3=glorot_uniform,bi4=random_uniform,bi5=he_uniform,bi6=random_normal,epochs=1,ki1=truncated_normal,ki2=lecun_uniform,ki3=glorot_normal,ki4=random_normal,ki5=lecun_normal,ki6=random_normal,layer1=0,layer2=2,loss=mean_absolute_percentage_error,lr=1.6244,optimizer=nadam,unit1=256,unit2=256",mean_absolute_percentage_error,256.0,nadam,1.6243860145095723,selu,truncated_normal,he_uniform,softsign,lecun_uniform,glorot_normal,relu,glorot_normal,glorot_uniform,tanh,random_normal,random_uniform,relu,lecun_normal,he_uniform,softmax,random_normal,random_normal,1.0,256.0,256.0,0.0,2.0
039642da,,,,,,,,093799ac0bd6477485147cc5d5e5c9e0,2022-09-15_22-45-14,1663281914.0,,21080.0,b430368dd22d,172.17.0.2,,,,,,hinge,32.0,adagrad,5.860132202522319,elu,glorot_uniform,truncated_normal,sigmoid,glorot_normal,orthogonal,elu,he_uniform,constant,tanh,glorot_uniform,ones,softplus,he_normal,lecun_normal,hard_sigmoid,constant,glorot_normal,1.0,512.0,256.0,2.0,1.0
0d20444a,0.09674999862909317,0.11299999803304672,9.534367561340332,True,,,1.0,2702b50ef0694c54bdb6dcdd59f9ae7a,2022-09-15_22-45-32,1663281932.0,9.534367561340332,21463.0,b430368dd22d,172.17.0.2,9.534367561340332,0.0,1.0,0.005350351333618164,"6_act1=softsign,act2=elu,act3=linear,act4=hard_sigmoid,act5=hard_sigmoid,act6=linear,batch_size=512,bi1=constant,bi2=glorot_uniform,bi3=glorot_normal,bi4=lecun_uniform,bi5=constant,bi6=constant,epochs=1,ki1=truncated_normal,ki2=orthogonal,ki3=glorot_normal,ki4=constant,ki5=he_uniform,ki6=random_normal,layer1=2,layer2=1,loss=binary_crossentropy,lr=7.3640,optimizer=adamax,unit1=512,unit2=256",binary_crossentropy,512.0,adamax,7.3640297695616965,softsign,truncated_normal,constant,elu,orthogonal,glorot_uniform,linear,glorot_normal,glorot_normal,hard_sigmoid,constant,lecun_uniform,hard_sigmoid,he_uniform,constant,linear,random_normal,constant,1.0,512.0,256.0,2.0,1.0
127defbe,,,,,,,,fe3a58fe5b2345d2a2df9b1bcba0d509,2022-09-15_22-45-38,1663281938.0,,22088.0,b430368dd22d,172.17.0.2,,,,,,mean_squared_logarithmic_error,256.0,adadelta,0.9755610169783837,hard_sigmoid,glorot_normal,lecun_uniform,elu,orthogonal,he_normal,softmax,random_normal,zeros,hard_sigmoid,random_uniform,glorot_normal,exponential,glorot_uniform,ones,relu,zeros,orthogonal,1.0,512.0,64.0,2.0,0.0
1b6f2430,,,,,,,,4d79828244734f0bbf9fec7f02cf1f85,2022-09-15_22-45-47,1663281947.0,,22464.0,b430368dd22d,172.17.0.2,,,,,,kullback_leibler_divergence,512.0,adam,4.74135595197556,exponential,lecun_normal,truncated_normal,softmax,he_normal,truncated_normal,relu,orthogonal,glorot_uniform,exponential,constant,glorot_normal,exponential,ones,orthogonal,relu,random_normal,he_uniform,1.0,512.0,64.0,2.0,2.0
20cca0a6,,,,,,,,fe549e3ae98f49ab9a839b235679c571,2022-09-15_22-45-56,1663281956.0,,22789.0,b430368dd22d,172.17.0.2,,,,,,categorical_crossentropy,256.0,adam,7.4367310633916635,hard_sigmoid,random_uniform,random_normal,softsign,truncated_normal,ones,exponential,he_normal,lecun_uniform,tanh,he_normal,ones,hard_sigmoid,random_uniform,zeros,softplus,he_normal,lecun_normal,1.0,128.0,128.0,0.0,2.0
262a453a,,,,,,,,1e7d15316a944b38807013f3a894c123,2022-09-15_22-46-06,1663281966.0,,23058.0,b430368dd22d,172.17.0.2,,,,,,mean_absolute_error,16.0,adam,1.0639710952489938,softsign,he_normal,glorot_uniform,relu,ones,glorot_uniform,sigmoid,orthogonal,orthogonal,exponential,orthogonal,random_normal,exponential,truncated_normal,lecun_uniform,tanh,constant,truncated_normal,1.0,128.0,64.0,0.0,0.0
