trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.ki1,config.bi1,config.act2,config.ki2,config.bi2,config.act3,config.ki3,config.bi3,config.act4,config.ki4,config.bi4,config.act5,config.ki5,config.bi5,config.act6,config.ki6,config.bi6,config.epochs,config.unit1,config.unit2,config.layer1,config.layer2
e29e0_00000,0.5136250257492065,0.5210000276565552,14.063223123550415,True,,,1.0,779780b8b09049388ac6e8464c1f9a49,2022-09-10_20-19-53,1662841193.0,14.063223123550415,16789.0,83e87206dee1,172.17.0.3,14.063223123550415,0.0,1.0,0.004860401153564453,0,sparse_categorical_crossentropy,64.0,adam,0.001,relu,glorot_uniform,zeros,relu,glorot_uniform,zeros,relu,glorot_uniform,zeros,relu,glorot_uniform,zeros,relu,glorot_uniform,zeros,softmax,glorot_uniform,zeros,1.0,256.0,128.0,1.0,1.0
e29e0_00001,,,,,,,,ff2ea95b9bf343d4bc80eaa4c683ee28,2022-09-10_20-19-59,1662841199.0,,17219.0,83e87206dee1,172.17.0.3,,,,,,mean_squared_error,32.0,nadam,6.735497112953756,exponential,random_uniform,he_normal,softplus,random_uniform,constant,elu,constant,ones,softsign,he_uniform,orthogonal,hard_sigmoid,he_normal,random_normal,sigmoid,glorot_normal,he_normal,1.0,256.0,128.0,1.0,2.0
e29e0_00002,0.09862499684095383,0.1054999977350235,15.753883123397827,True,,,1.0,92dfcef13c554de4968f8d3668389f13,2022-09-10_20-20-26,1662841226.0,15.753883123397827,17414.0,83e87206dee1,172.17.0.3,15.753883123397827,0.0,1.0,0.0056476593017578125,"2_act1=relu,act2=softmax,act3=selu,act4=sigmoid,act5=relu,act6=softplus,batch_size=128,bi1=ones,bi2=constant,bi3=glorot_uniform,bi4=glorot_uniform,bi5=he_normal,bi6=he_uniform,epochs=1,ki1=constant,ki2=ones,ki3=lecun_normal,ki4=he_uniform,ki5=random_normal,ki6=ones,layer1=2,layer2=1,loss=hinge,lr=3.0356,optimizer=nadam,unit1=256,unit2=128",hinge,128.0,nadam,3.035617288306954,relu,constant,ones,softmax,ones,constant,selu,lecun_normal,glorot_uniform,sigmoid,he_uniform,glorot_uniform,relu,random_normal,he_normal,softplus,ones,he_uniform,1.0,256.0,128.0,2.0,1.0
e29e0_00003,0.1016250029206276,0.09350000321865082,19.42836022377014,True,,,1.0,41f7a151bf2642609190d0d857d28778,2022-09-10_20-20-51,1662841251.0,19.42836022377014,17627.0,83e87206dee1,172.17.0.3,19.42836022377014,0.0,1.0,0.009238481521606445,"3_act1=selu,act2=relu,act3=softsign,act4=relu,act5=softsign,act6=sigmoid,batch_size=16,bi1=lecun_normal,bi2=random_normal,bi3=lecun_normal,bi4=orthogonal,bi5=ones,bi6=he_normal,epochs=1,ki1=glorot_uniform,ki2=constant,ki3=glorot_normal,ki4=he_uniform,ki5=glorot_normal,ki6=random_uniform,layer1=0,layer2=1,loss=mean_absolute_error,lr=1.8146,optimizer=adam,unit1=128,unit2=128",mean_absolute_error,16.0,adam,1.8145526689413958,selu,glorot_uniform,lecun_normal,relu,constant,random_normal,softsign,glorot_normal,lecun_normal,relu,he_uniform,orthogonal,softsign,glorot_normal,ones,sigmoid,random_uniform,he_normal,1.0,128.0,128.0,0.0,1.0
e29e0_00004,0.1016250029206276,0.09350000321865082,17.47061824798584,True,,,1.0,82d2078e79d8463ebd705be7b50e9c54,2022-09-10_20-21-13,1662841273.0,17.47061824798584,17900.0,83e87206dee1,172.17.0.3,17.47061824798584,0.0,1.0,0.005465269088745117,"4_act1=hard_sigmoid,act2=hard_sigmoid,act3=exponential,act4=softmax,act5=relu,act6=elu,batch_size=32,bi1=lecun_uniform,bi2=he_uniform,bi3=random_normal,bi4=truncated_normal,bi5=random_normal,bi6=random_normal,epochs=1,ki1=he_normal,ki2=truncated_normal,ki3=he_uniform,ki4=lecun_normal,ki5=truncated_normal,ki6=truncated_normal,layer1=1,layer2=1,loss=mean_absolute_percentage_error,lr=5.7200,optimizer=sgd,unit1=256,unit2=256",mean_absolute_percentage_error,32.0,sgd,5.719993174340636,hard_sigmoid,he_normal,lecun_uniform,hard_sigmoid,truncated_normal,he_uniform,exponential,he_uniform,random_normal,softmax,lecun_normal,truncated_normal,relu,truncated_normal,random_normal,elu,truncated_normal,random_normal,1.0,256.0,256.0,1.0,1.0
e29e0_00005,0.10137499868869781,0.09449999779462814,14.533756256103516,True,,,1.0,e1fc22ecd19f4d9abe1cf3da5d7cbdb1,2022-09-10_20-21-33,1662841293.0,14.533756256103516,18470.0,83e87206dee1,172.17.0.3,14.533756256103516,0.0,1.0,0.005903005599975586,"5_act1=relu,act2=relu,act3=softplus,act4=hard_sigmoid,act5=exponential,act6=relu,batch_size=256,bi1=glorot_normal,bi2=ones,bi3=lecun_normal,bi4=constant,bi5=random_normal,bi6=random_normal,epochs=1,ki1=lecun_uniform,ki2=zeros,ki3=lecun_uniform,ki4=zeros,ki5=random_uniform,ki6=orthogonal,layer1=1,layer2=1,loss=categorical_hinge,lr=1.0728,optimizer=adagrad,unit1=128,unit2=128",categorical_hinge,256.0,adagrad,1.0727977103919968,relu,lecun_uniform,glorot_normal,relu,zeros,ones,softplus,lecun_uniform,lecun_normal,hard_sigmoid,zeros,constant,exponential,random_uniform,random_normal,relu,orthogonal,random_normal,1.0,128.0,128.0,1.0,1.0
e29e0_00006,,,,,,,,36b332bcd73f4f98807f4769936ae58f,2022-09-10_20-21-39,1662841299.0,,19011.0,83e87206dee1,172.17.0.3,,,,,,mean_absolute_error,64.0,sgd,6.01709511516468,exponential,ones,orthogonal,relu,zeros,he_uniform,exponential,zeros,he_normal,hard_sigmoid,lecun_uniform,glorot_uniform,selu,orthogonal,constant,tanh,lecun_normal,ones,1.0,256.0,128.0,2.0,1.0
e29e0_00007,,,,,,,,4d2641be69fe4a60862c8ec3884a82bd,2022-09-10_20-21-50,1662841310.0,,19250.0,83e87206dee1,172.17.0.3,,,,,,squared_hinge,16.0,nadam,2.2086508560149127,softplus,random_normal,orthogonal,linear,random_normal,truncated_normal,tanh,ones,he_normal,softplus,zeros,lecun_uniform,sigmoid,glorot_normal,he_normal,linear,constant,zeros,1.0,128.0,128.0,0.0,1.0
e29e0_00008,0.09862499684095383,0.1054999977350235,15.573259115219116,True,,,1.0,6ac3ebc976784282911d99b1c311ffb7,2022-09-10_20-22-16,1662841336.0,15.573259115219116,19623.0,83e87206dee1,172.17.0.3,15.573259115219116,0.0,1.0,0.005562782287597656,"8_act1=exponential,act2=softsign,act3=relu,act4=hard_sigmoid,act5=selu,act6=linear,batch_size=64,bi1=random_uniform,bi2=glorot_normal,bi3=he_normal,bi4=glorot_normal,bi5=ones,bi6=he_uniform,epochs=1,ki1=constant,ki2=lecun_uniform,ki3=glorot_normal,ki4=lecun_uniform,ki5=constant,ki6=lecun_uniform,layer1=0,layer2=2,loss=sparse_categorical_crossentropy,lr=3.9164,optimizer=rmsprop,unit1=256,unit2=256",sparse_categorical_crossentropy,64.0,rmsprop,3.91643802339712,exponential,constant,random_uniform,softsign,lecun_uniform,glorot_normal,relu,glorot_normal,he_normal,hard_sigmoid,lecun_uniform,glorot_normal,selu,constant,ones,linear,lecun_uniform,he_uniform,1.0,256.0,256.0,0.0,2.0
e29e0_00009,,,,,,,,0c835f034a9a47078914055124bcc975,2022-09-10_20-22-22,1662841342.0,,20089.0,83e87206dee1,172.17.0.3,,,,,,mean_absolute_percentage_error,256.0,rmsprop,6.7730403399386185,tanh,lecun_normal,ones,relu,lecun_uniform,random_normal,softmax,ones,he_normal,hard_sigmoid,he_uniform,orthogonal,exponential,random_uniform,random_normal,tanh,random_uniform,he_normal,1.0,256.0,128.0,1.0,2.0
