trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.ki1,config.bi1,config.act2,config.ki2,config.bi2,config.act3,config.ki3,config.bi3,config.act4,config.ki4,config.bi4,config.act5,config.ki5,config.bi5,config.act6,config.ki6,config.bi6,config.epochs,config.unit1,config.unit2,config.layer1,config.layer2
67d5d6cc,0.4792500138282776,0.4884999990463257,131.27232480049133,True,,,1.0,f739788da0774890bc2e7143706146df,2022-10-19_10-42-26,1666176146.0,131.27232480049133,12265.0,83e87206dee1,172.17.0.3,131.27232480049133,0.0,1.0,0.005118370056152344,"1_act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=ones,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.0010,optimizer=adam,unit1=256,unit2=128",sparse_categorical_crossentropy,64.0,adam,0.001,relu,glorot_uniform,zeros,relu,ones,zeros,relu,glorot_uniform,zeros,relu,glorot_uniform,zeros,relu,glorot_uniform,zeros,softmax,glorot_uniform,zeros,50.0,256.0,128.0,1.0,1.0
6a874446,0.1016250029206276,0.09350000321865082,44.23222303390503,True,,,1.0,31e50a6cb6c6437a89d1069fb3f59ff6,2022-10-19_10-43-14,1666176194.0,44.23222303390503,13590.0,83e87206dee1,172.17.0.3,44.23222303390503,0.0,1.0,0.005514860153198242,"2_act1=elu,act2=softplus,act3=selu,act4=sigmoid,act5=selu,act6=linear,batch_size=512,bi1=constant,bi2=glorot_uniform,bi3=random_uniform,bi4=ones,bi5=glorot_normal,bi6=random_uniform,epochs=50,ki1=constant,ki2=zeros,ki3=lecun_uniform,ki4=truncated_normal,ki5=orthogonal,ki6=lecun_uniform,layer1=0,layer2=2,loss=mean_absolute_error,lr=4.6481,optimizer=sgd,unit1=256,unit2=256",mean_absolute_error,512.0,sgd,4.648078208226754,elu,constant,constant,softplus,zeros,glorot_uniform,selu,lecun_uniform,random_uniform,sigmoid,truncated_normal,ones,selu,orthogonal,glorot_normal,linear,lecun_uniform,random_uniform,50.0,256.0,256.0,0.0,2.0
b8e2ca48,0.10137499868869781,0.09449999779462814,100.5709342956543,True,,,1.0,30fa2780b86c4a5ab76e26186f10f98a,2022-10-19_10-45-00,1666176300.0,100.5709342956543,14191.0,83e87206dee1,172.17.0.3,100.5709342956543,0.0,1.0,0.0055654048919677734,"3_act1=softmax,act2=softsign,act3=sigmoid,act4=hard_sigmoid,act5=selu,act6=softsign,batch_size=128,bi1=constant,bi2=ones,bi3=he_uniform,bi4=glorot_uniform,bi5=glorot_uniform,bi6=lecun_normal,epochs=43,ki1=orthogonal,ki2=he_uniform,ki3=he_normal,ki4=glorot_normal,ki5=lecun_uniform,ki6=glorot_normal,layer1=1,layer2=2,loss=sparse_categorical_crossentropy,lr=4.0600,optimizer=rmsprop,unit1=512,unit2=64",sparse_categorical_crossentropy,128.0,rmsprop,4.060042464246815,softmax,orthogonal,constant,softsign,he_uniform,ones,sigmoid,he_normal,he_uniform,hard_sigmoid,glorot_normal,glorot_uniform,selu,lecun_uniform,glorot_uniform,softsign,glorot_normal,lecun_normal,43.0,512.0,64.0,1.0,2.0
d6182bb2,0.1016250029206276,0.09350000321865082,119.73311352729797,True,,,1.0,c1a8e56d8d384259a505a77ec9e01624,2022-10-19_10-47-04,1666176424.0,119.73311352729797,15236.0,83e87206dee1,172.17.0.3,119.73311352729797,0.0,1.0,0.0057125091552734375,"4_act1=softsign,act2=tanh,act3=linear,act4=selu,act5=selu,act6=hard_sigmoid,batch_size=64,bi1=lecun_uniform,bi2=he_normal,bi3=glorot_normal,bi4=zeros,bi5=zeros,bi6=zeros,epochs=43,ki1=orthogonal,ki2=random_normal,ki3=lecun_uniform,ki4=ones,ki5=random_uniform,ki6=ones,layer1=1,layer2=1,loss=squared_hinge,lr=5.2799,optimizer=adam,unit1=256,unit2=64",squared_hinge,64.0,adam,5.279861060430647,softsign,orthogonal,lecun_uniform,tanh,random_normal,he_normal,linear,lecun_uniform,glorot_normal,selu,ones,zeros,selu,random_uniform,zeros,hard_sigmoid,ones,zeros,43.0,256.0,64.0,1.0,1.0
14b0b74a,,,,,,,,f42031a028be441cb8b8a914d6fac385,2022-10-19_10-47-09,1666176429.0,,17040.0,83e87206dee1,172.17.0.3,,,,,,squared_hinge,32.0,sgd,9.341443014874839,softmax,he_normal,orthogonal,softplus,he_uniform,truncated_normal,softsign,truncated_normal,glorot_uniform,softmax,ones,glorot_normal,sigmoid,constant,glorot_uniform,relu,truncated_normal,constant,89.0,128.0,256.0,0.0,1.0
5f34033a,,,,,,,,ec936a0bf7dd49fcb256a7aea411d03b,2022-10-19_10-47-18,1666176438.0,,17471.0,83e87206dee1,172.17.0.3,,,,,,categorical_crossentropy,128.0,nadam,0.9997649973188996,selu,lecun_uniform,glorot_uniform,softsign,random_normal,zeros,selu,constant,he_uniform,softplus,lecun_normal,glorot_uniform,tanh,ones,glorot_uniform,hard_sigmoid,lecun_normal,random_normal,28.0,512.0,64.0,0.0,1.0
6491766e,,,,,,,,fef4e95342064ed084bb8de339080104,2022-10-19_10-47-29,1666176449.0,,17913.0,83e87206dee1,172.17.0.3,,,,,,categorical_crossentropy,256.0,adagrad,1.0858650691460585,sigmoid,lecun_uniform,random_normal,sigmoid,random_normal,constant,elu,random_normal,glorot_normal,selu,truncated_normal,random_normal,softplus,ones,zeros,softplus,orthogonal,zeros,66.0,512.0,256.0,2.0,2.0
6b20924e,0.1002499982714653,0.0989999994635582,909.525691986084,True,,,1.0,c5d0990d461749e68ca56e10f46d68ca,2022-10-19_11-02-50,1666177370.0,909.525691986084,18181.0,83e87206dee1,172.17.0.3,909.525691986084,0.0,1.0,0.005326271057128906,"8_act1=elu,act2=hard_sigmoid,act3=linear,act4=elu,act5=linear,act6=linear,batch_size=16,bi1=lecun_uniform,bi2=zeros,bi3=constant,bi4=constant,bi5=zeros,bi6=glorot_normal,epochs=89,ki1=constant,ki2=he_uniform,ki3=glorot_uniform,ki4=constant,ki5=constant,ki6=random_normal,layer1=2,layer2=1,loss=mean_squared_error,lr=1.8503,optimizer=adadelta,unit1=128,unit2=256",mean_squared_error,16.0,adadelta,1.8502843158227742,elu,constant,lecun_uniform,hard_sigmoid,he_uniform,zeros,linear,glorot_uniform,constant,elu,constant,constant,linear,constant,zeros,linear,random_normal,glorot_normal,89.0,128.0,256.0,2.0,1.0
71af35ac,0.1016250029206276,0.09350000321865082,115.77932524681091,True,,,1.0,c83f4366b5ed44459f0a1a89d5caa5d9,2022-10-19_11-04-51,1666177491.0,115.77932524681091,26713.0,83e87206dee1,172.17.0.3,115.77932524681091,0.0,1.0,0.005361318588256836,"9_act1=softplus,act2=selu,act3=softplus,act4=relu,act5=relu,act6=hard_sigmoid,batch_size=128,bi1=glorot_uniform,bi2=random_normal,bi3=lecun_normal,bi4=he_uniform,bi5=random_uniform,bi6=he_normal,epochs=43,ki1=glorot_normal,ki2=he_normal,ki3=truncated_normal,ki4=he_normal,ki5=orthogonal,ki6=random_uniform,layer1=2,layer2=1,loss=squared_hinge,lr=4.3748,optimizer=nadam,unit1=128,unit2=256",squared_hinge,128.0,nadam,4.374817938777885,softplus,glorot_normal,glorot_uniform,selu,he_normal,random_normal,softplus,truncated_normal,lecun_normal,relu,he_normal,he_uniform,relu,orthogonal,random_uniform,hard_sigmoid,random_uniform,he_normal,43.0,128.0,256.0,2.0,1.0
9323888a,,,,,,,,947f30f2454b4b1c9eaa2b9785db8a78,2022-10-19_11-04-56,1666177496.0,,27881.0,83e87206dee1,172.17.0.3,,,,,,categorical_crossentropy,256.0,adadelta,9.623899774356344,tanh,glorot_normal,random_uniform,softmax,he_normal,orthogonal,linear,he_normal,constant,elu,random_uniform,ones,softsign,he_normal,lecun_uniform,tanh,random_uniform,glorot_normal,32.0,512.0,128.0,2.0,2.0
