trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.ki3,config.bi1,config.bi2,config.bi3,config.act1,config.act2,config.act3,config.epochs,config.layer2
df7c89ce,0.4937500059604645,0.5249999761581421,5.866771459579468,True,,,1.0,d522b55b60394007b38a57a318ca84d6,2022-09-10_15-26-10,1662823570.0,5.866771459579468,11744.0,b430368dd22d,172.17.0.2,5.866771459579468,0.0,1.0,0.004737377166748047,"1_act1=relu,act2=relu,act3=softmax,batch_size=32,bi1=zeros,bi2=zeros,bi3=zeros,epochs=1,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=binary_crossentropy,lr=0.0010,optimizer=rmsprop",binary_crossentropy,32.0,rmsprop,0.001,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,relu,relu,softmax,1.0,1.0
e27213e2,1.0,1.0,5.54784369468689,True,,,1.0,d4b8eea51eb34236b3cff4c5425ed6da,2022-09-10_15-26-21,1662823581.0,5.54784369468689,12017.0,b430368dd22d,172.17.0.2,5.54784369468689,0.0,1.0,0.004606008529663086,"2_act1=softmax,act2=selu,act3=exponential,batch_size=128,bi1=he_uniform,bi2=glorot_normal,bi3=random_normal,epochs=2,ki1=truncated_normal,ki2=constant,ki3=lecun_uniform,layer2=0,loss=squared_hinge,lr=4.7965,optimizer=adadelta",squared_hinge,128.0,adadelta,4.796536030583337,truncated_normal,constant,lecun_uniform,he_uniform,glorot_normal,random_normal,softmax,selu,exponential,2.0,0.0
e655d4a8,0.5062500238418579,0.4749999940395355,5.2279157638549805,True,,,1.0,c26ed28d82004257bee66353d032fc28,2022-09-10_15-26-32,1662823592.0,5.2279157638549805,12302.0,b430368dd22d,172.17.0.2,5.2279157638549805,0.0,1.0,0.005342006683349609,"3_act1=hard_sigmoid,act2=linear,act3=softplus,batch_size=128,bi1=lecun_normal,bi2=constant,bi3=truncated_normal,epochs=1,ki1=ones,ki2=he_normal,ki3=random_uniform,layer2=0,loss=mean_absolute_percentage_error,lr=3.2425,optimizer=adamax",mean_absolute_percentage_error,128.0,adamax,3.2424550967923764,ones,he_normal,random_uniform,lecun_normal,constant,truncated_normal,hard_sigmoid,linear,softplus,1.0,0.0
ece4313e,0.5062500238418579,0.4749999940395355,4.934754133224487,True,,,1.0,9dd3a49e62024812857789e011aef89f,2022-09-10_15-26-41,1662823601.0,4.934754133224487,12754.0,b430368dd22d,172.17.0.2,4.934754133224487,0.0,1.0,0.005125999450683594,"4_act1=softmax,act2=tanh,act3=exponential,batch_size=128,bi1=truncated_normal,bi2=glorot_normal,bi3=constant,epochs=2,ki1=he_normal,ki2=orthogonal,ki3=random_normal,layer2=0,loss=squared_hinge,lr=7.2273,optimizer=adam",squared_hinge,128.0,adam,7.227286461172399,he_normal,orthogonal,random_normal,truncated_normal,glorot_normal,constant,softmax,tanh,exponential,2.0,0.0
f2d9cea0,1.0,1.0,4.617416858673096,True,,,1.0,23e738de62ce48fea534c319f4a0aac5,2022-09-10_15-26-51,1662823611.0,4.617416858673096,13203.0,b430368dd22d,172.17.0.2,4.617416858673096,0.0,1.0,0.0050470829010009766,"5_act1=elu,act2=elu,act3=selu,batch_size=256,bi1=ones,bi2=lecun_normal,bi3=lecun_uniform,epochs=2,ki1=random_normal,ki2=ones,ki3=lecun_normal,layer2=1,loss=mean_squared_error,lr=6.2921,optimizer=adadelta",mean_squared_error,256.0,adadelta,6.29209133611662,random_normal,ones,lecun_normal,ones,lecun_normal,lecun_uniform,elu,elu,selu,2.0,1.0
fb8f0772,0.5062500238418579,0.4749999940395355,5.8633713722229,True,,,1.0,ee59264810e1429faf02afcbfc66fb8b,2022-09-10_15-27-02,1662823622.0,5.8633713722229,13668.0,b430368dd22d,172.17.0.2,5.8633713722229,0.0,1.0,0.0050334930419921875,"6_act1=elu,act2=softmax,act3=linear,batch_size=32,bi1=zeros,bi2=lecun_uniform,bi3=ones,epochs=1,ki1=glorot_uniform,ki2=orthogonal,ki3=truncated_normal,layer2=1,loss=mean_squared_logarithmic_error,lr=7.0700,optimizer=rmsprop",mean_squared_logarithmic_error,32.0,rmsprop,7.069961408854063,glorot_uniform,orthogonal,truncated_normal,zeros,lecun_uniform,ones,elu,softmax,linear,1.0,1.0
fec643d8,0.5062500238418579,0.4749999940395355,4.9718663692474365,True,,,1.0,7cc63bd345e34cccba8334d0d28c741f,2022-09-10_15-27-12,1662823632.0,4.9718663692474365,14099.0,b430368dd22d,172.17.0.2,4.9718663692474365,0.0,1.0,0.00464630126953125,"7_act1=softplus,act2=relu,act3=relu,batch_size=128,bi1=glorot_uniform,bi2=random_uniform,bi3=glorot_normal,epochs=1,ki1=lecun_normal,ki2=glorot_normal,ki3=glorot_uniform,layer2=0,loss=mean_squared_logarithmic_error,lr=0.1791,optimizer=adagrad",mean_squared_logarithmic_error,128.0,adagrad,0.17910288818390732,lecun_normal,glorot_normal,glorot_uniform,glorot_uniform,random_uniform,glorot_normal,softplus,relu,relu,1.0,0.0
055573c2,1.0,1.0,7.200772047042847,True,,,1.0,edd45a0964cd4548a38e5b242d17b61a,2022-09-10_15-27-25,1662823645.0,7.200772047042847,14533.0,b430368dd22d,172.17.0.2,7.200772047042847,0.0,1.0,0.004531145095825195,"8_act1=elu,act2=selu,act3=softsign,batch_size=16,bi1=glorot_normal,bi2=glorot_uniform,bi3=truncated_normal,epochs=1,ki1=lecun_normal,ki2=random_uniform,ki3=lecun_uniform,layer2=2,loss=mean_squared_logarithmic_error,lr=1.8763,optimizer=adam",mean_squared_logarithmic_error,16.0,adam,1.8763189922938022,lecun_normal,random_uniform,lecun_uniform,glorot_normal,glorot_uniform,truncated_normal,elu,selu,softsign,1.0,2.0
0b4b1962,0.5062500238418579,0.4749999940395355,6.7611494064331055,True,,,1.0,2021036b3c604af4b60d4a27e2050e16,2022-09-10_15-27-37,1662823657.0,6.7611494064331055,15045.0,b430368dd22d,172.17.0.2,6.7611494064331055,0.0,1.0,0.0047376155853271484,"9_act1=sigmoid,act2=softmax,act3=tanh,batch_size=32,bi1=he_normal,bi2=lecun_uniform,bi3=lecun_normal,epochs=2,ki1=random_normal,ki2=zeros,ki3=truncated_normal,layer2=2,loss=categorical_crossentropy,lr=9.6731,optimizer=sgd",categorical_crossentropy,32.0,sgd,9.673063708358073,random_normal,zeros,truncated_normal,he_normal,lecun_uniform,lecun_normal,sigmoid,softmax,tanh,2.0,2.0
130ad52a,0.4937500059604645,0.5249999761581421,5.830596446990967,True,,,1.0,c7702c666fd940db88344b9c2ad71771,2022-09-10_15-27-48,1662823668.0,5.830596446990967,15729.0,b430368dd22d,172.17.0.2,5.830596446990967,0.0,1.0,0.004774570465087891,"10_act1=selu,act2=relu,act3=sigmoid,batch_size=64,bi1=he_normal,bi2=ones,bi3=constant,epochs=1,ki1=orthogonal,ki2=constant,ki3=ones,layer2=1,loss=categorical_hinge,lr=0.7216,optimizer=nadam",categorical_hinge,64.0,nadam,0.7215523042965492,orthogonal,constant,ones,he_normal,ones,constant,selu,relu,sigmoid,1.0,1.0
