trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.ki3,config.bi1,config.bi2,config.bi3,config.act1,config.act2,config.act3,config.epochs,config.unit1,config.unit2,config.layer1,config.layer2
41716aa0,0.3265624940395355,0.26249998807907104,11.17134428024292,True,,,1.0,5285add9d8aa41b6b6827a5708799ff3,2022-09-10_13-41-37,1662817297.0,11.17134428024292,9975.0,b430368dd22d,172.17.0.2,11.17134428024292,0.0,1.0,0.006772756576538086,"1_act1=relu,act2=relu,act3=sigmoid,batch_size=20,bi1=zeros,bi2=zeros,bi3=zeros,epochs=20,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer1=1,layer2=1,loss=binary_crossentropy,lr=0.0010,optimizer=adadelta,unit1=20,unit2=20",binary_crossentropy,20.0,adadelta,0.001,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,relu,relu,sigmoid,20.0,20.0,20.0,1.0,1.0
4436c9ce,0.5453125238418579,0.612500011920929,4.795053243637085,True,,,1.0,6110415b71aa458f93ef9c29ebab69eb,2022-09-10_13-41-47,1662817307.0,4.795053243637085,10709.0,b430368dd22d,172.17.0.2,4.795053243637085,0.0,1.0,0.0055048465728759766,"2_act1=softmax,act2=tanh,act3=relu,batch_size=64,bi1=constant,bi2=ones,bi3=random_normal,epochs=10,ki1=truncated_normal,ki2=random_uniform,ki3=constant,layer1=0,layer2=0,loss=categorical_hinge,lr=4.9843,optimizer=adamax,unit1=40,unit2=40",categorical_hinge,64.0,adamax,4.984266155648753,truncated_normal,random_uniform,constant,constant,ones,random_normal,softmax,tanh,relu,10.0,40.0,40.0,0.0,0.0
4b16f728,0.34687501192092896,0.29374998807907104,9.45110273361206,True,,,1.0,5781249c3ebe4185849aa343ef462b80,2022-09-10_13-42-01,1662817321.0,9.45110273361206,11254.0,b430368dd22d,172.17.0.2,9.45110273361206,0.0,1.0,0.005218505859375,"3_act1=tanh,act2=relu,act3=linear,batch_size=64,bi1=zeros,bi2=truncated_normal,bi3=truncated_normal,epochs=25,ki1=glorot_uniform,ki2=random_uniform,ki3=lecun_uniform,layer1=2,layer2=1,loss=mean_squared_error,lr=8.7094,optimizer=nadam,unit1=40,unit2=20",mean_squared_error,64.0,nadam,8.709419429361914,glorot_uniform,random_uniform,lecun_uniform,zeros,truncated_normal,truncated_normal,tanh,relu,linear,25.0,40.0,20.0,2.0,1.0
510ced72,,,,,,,,6efcfbbde7864809b3d22d6b2243eda2,2022-09-10_13-42-06,1662817326.0,,11855.0,b430368dd22d,172.17.0.2,,,,,,binary_crossentropy,64.0,adam,8.649760143503169,random_normal,glorot_normal,ones,orthogonal,glorot_normal,truncated_normal,softsign,linear,exponential,20.0,20.0,40.0,1.0,0.0
596569ea,0.3843750059604645,0.33125001192092896,8.147951126098633,True,,,1.0,a800f435aacc457a8d66d55f031ba00a,2022-09-10_13-42-21,1662817341.0,8.147951126098633,12243.0,b430368dd22d,172.17.0.2,8.147951126098633,0.0,1.0,0.005336284637451172,"5_act1=relu,act2=elu,act3=elu,batch_size=16,bi1=lecun_normal,bi2=lecun_normal,bi3=ones,epochs=10,ki1=zeros,ki2=random_normal,ki3=he_uniform,layer1=0,layer2=1,loss=categorical_crossentropy,lr=1.4390,optimizer=adamax,unit1=40,unit2=20",categorical_crossentropy,16.0,adamax,1.4390485615492046,zeros,random_normal,he_uniform,lecun_normal,lecun_normal,ones,relu,elu,elu,10.0,40.0,20.0,0.0,1.0
5d91deae,,,,,,,,22279dc0a68445c1aaa1070559812778,2022-09-10_13-42-26,1662817346.0,,12796.0,b430368dd22d,172.17.0.2,,,,,,mean_squared_logarithmic_error,64.0,adagrad,8.756428978370295,constant,orthogonal,random_normal,orthogonal,orthogonal,lecun_normal,linear,selu,softmax,12.0,10.0,20.0,1.0,1.0
65ea01da,0.34687501192092896,0.29374998807907104,8.45205807685852,True,,,1.0,180f9bdd5ab44a0f9f8c1e91aacfd140,2022-09-10_13-42-42,1662817362.0,8.45205807685852,13237.0,b430368dd22d,172.17.0.2,8.45205807685852,0.0,1.0,0.005500316619873047,"7_act1=sigmoid,act2=relu,act3=sigmoid,batch_size=32,bi1=random_normal,bi2=glorot_normal,bi3=he_uniform,epochs=25,ki1=lecun_uniform,ki2=zeros,ki3=truncated_normal,layer1=2,layer2=1,loss=mean_absolute_percentage_error,lr=0.2957,optimizer=adagrad,unit1=10,unit2=20",mean_absolute_percentage_error,32.0,adagrad,0.2957059213835426,lecun_uniform,zeros,truncated_normal,random_normal,glorot_normal,he_uniform,sigmoid,relu,sigmoid,25.0,10.0,20.0,2.0,1.0
6a165132,0.34687501192092896,0.29374998807907104,7.3221189975738525,True,,,1.0,773d21bee7f6445b92f807f74029b235,2022-09-10_13-42-55,1662817375.0,7.3221189975738525,14004.0,b430368dd22d,172.17.0.2,7.3221189975738525,0.0,1.0,0.005222797393798828,"8_act1=elu,act2=elu,act3=softmax,batch_size=20,bi1=random_uniform,bi2=glorot_normal,bi3=glorot_normal,epochs=12,ki1=lecun_normal,ki2=glorot_normal,ki3=ones,layer1=0,layer2=0,loss=logcosh,lr=5.1920,optimizer=rmsprop,unit1=10,unit2=10",logcosh,20.0,rmsprop,5.191950165728514,lecun_normal,glorot_normal,ones,random_uniform,glorot_normal,glorot_normal,elu,elu,softmax,12.0,10.0,10.0,0.0,0.0
726f0888,,,,,,,,8c0ec52033664a5b95d3c675e259f9d7,2022-09-10_13-43-01,1662817381.0,,14502.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,128.0,rmsprop,2.689703339866836,random_uniform,orthogonal,he_uniform,zeros,random_normal,orthogonal,relu,softsign,softplus,8.0,20.0,40.0,0.0,0.0
7a2f0bae,0.4156250059604645,0.35624998807907104,6.836778879165649,True,,,1.0,fe8a471d94374e328468526fa8097529,2022-09-10_13-43-16,1662817396.0,6.836778879165649,14934.0,b430368dd22d,172.17.0.2,6.836778879165649,0.0,1.0,0.005176067352294922,"10_act1=linear,act2=elu,act3=exponential,batch_size=20,bi1=orthogonal,bi2=he_uniform,bi3=glorot_normal,epochs=10,ki1=constant,ki2=lecun_normal,ki3=he_uniform,layer1=0,layer2=2,loss=logcosh,lr=3.2111,optimizer=adadelta,unit1=10,unit2=10",logcosh,20.0,adadelta,3.211112386121877,constant,lecun_normal,he_uniform,orthogonal,he_uniform,glorot_normal,linear,elu,exponential,10.0,10.0,10.0,0.0,2.0
