trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.ki3,config.bi1,config.bi2,config.bi3,config.act1,config.act2,config.act3,config.epochs,config.unit1,config.unit2,config.layer2
62344670,0.04878048598766327,0.0,19.2455952167511,True,,,1.0,fc02483bd96d4b18ad752dd66ed5b05a,2022-09-08_13-02-07,1662642127.0,19.2455952167511,19991.0,83e87206dee1,172.17.0.3,19.2455952167511,0.0,1.0,0.0055789947509765625,"1_act1=sigmoid,act2=sigmoid,act3=sigmoid,batch_size=50,bi1=zeros,bi2=zeros,bi3=zeros,epochs=1000,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,layer2=1,loss=mse,lr=0.0100,optimizer=sgd,unit1=8,unit2=8",mse,50.0,sgd,0.01,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,sigmoid,sigmoid,sigmoid,1000.0,8.0,8.0,1.0
65cb4298,0.0,0.0,45.56225061416626,True,,,1.0,aa463996c8f243b18b18aa2822f0d4a4,2022-09-08_13-02-59,1662642179.0,45.56225061416626,20671.0,83e87206dee1,172.17.0.3,45.56225061416626,0.0,1.0,0.004957437515258789,"2_act1=elu,act2=elu,act3=elu,batch_size=16,bi1=zeros,bi2=zeros,bi3=zeros,epochs=1473,ki1=zeros,ki2=zeros,ki3=zeros,layer2=0,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=4,unit2=4",mean_squared_error,16.0,sgd,9.999999974752427e-07,zeros,zeros,zeros,zeros,zeros,zeros,elu,elu,elu,1473.0,4.0,4.0,0.0
7195be1e,,,,,,,,b87c648515134b8793b66e584c2f8d06,2022-09-08_13-03-05,1662642185.0,,22348.0,83e87206dee1,172.17.0.3,,,,,,categorical_hinge,128.0,adadelta,5.000000476837158,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,relu,relu,relu,1676.0,8.0,8.0,1.0
9130da10,0.024390242993831635,0.0,19.125476598739624,True,,,1.0,12ddd42f05bc48fcb583332c855e3b99,2022-09-08_13-03-32,1662642212.0,19.125476598739624,22749.0,83e87206dee1,172.17.0.3,19.125476598739624,0.0,1.0,0.005158185958862305,"4_act1=hard_sigmoid,act2=hard_sigmoid,act3=selu,batch_size=64,bi1=glorot_uniform,bi2=glorot_uniform,bi3=glorot_uniform,epochs=678,ki1=glorot_uniform,ki2=glorot_uniform,ki3=random_normal,layer2=2,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=16,unit2=4",mean_squared_logarithmic_error,64.0,adagrad,7.5,glorot_uniform,glorot_uniform,random_normal,glorot_uniform,glorot_uniform,glorot_uniform,hard_sigmoid,hard_sigmoid,selu,678.0,16.0,4.0,2.0
95f574de,0.5853658318519592,0.4545454680919647,13.2466561794281,True,,,1.0,3540c4d8de50478ba2d538a102da960d,2022-09-08_13-03-50,1662642230.0,13.2466561794281,23646.0,83e87206dee1,172.17.0.3,13.2466561794281,0.0,1.0,0.00590968132019043,"5_act1=selu,act2=selu,act3=hard_sigmoid,batch_size=256,bi1=random_normal,bi2=random_normal,bi3=random_normal,epochs=1294,ki1=random_normal,ki2=random_normal,ki3=glorot_uniform,layer2=0,loss=binary_crossentropy,lr=2.5000,optimizer=adam,unit1=4,unit2=16",binary_crossentropy,256.0,adam,2.5000007152557373,random_normal,random_normal,glorot_uniform,random_normal,random_normal,random_normal,selu,selu,hard_sigmoid,1294.0,4.0,16.0,0.0
a4444600,0.024390242993831635,0.09090909361839294,9.320658206939697,True,,,1.0,489eee68882b49be9afb5cd48c9d8659,2022-09-08_13-04-04,1662642244.0,9.320658206939697,24260.0,83e87206dee1,172.17.0.3,9.320658206939697,0.0,1.0,0.004952430725097656,"6_act1=exponential,act2=softsign,act3=softsign,batch_size=256,bi1=he_normal,bi2=he_normal,bi3=glorot_normal,epochs=878,ki1=random_uniform,ki2=constant,ki3=random_uniform,layer2=1,loss=hinge,lr=3.7500,optimizer=adamax,unit1=8,unit2=16",hinge,256.0,adamax,3.750000476837158,random_uniform,constant,random_uniform,he_normal,he_normal,glorot_normal,exponential,softsign,softsign,878.0,8.0,16.0,1.0
aefead6a,0.5121951103210449,0.4545454680919647,21.76541566848755,True,,,1.0,b66db45e962241b88a22e55c143260a0,2022-09-08_13-04-32,1662642272.0,21.76541566848755,24776.0,83e87206dee1,172.17.0.3,21.76541566848755,0.0,1.0,0.00565648078918457,"7_act1=softsign,act2=exponential,act3=exponential,batch_size=32,bi1=random_uniform,bi2=random_uniform,bi3=constant,epochs=772,ki1=he_normal,ki2=glorot_normal,ki3=he_normal,layer2=2,loss=kullback_leibler_divergence,lr=8.7500,optimizer=adagrad,unit1=16,unit2=8",kullback_leibler_divergence,32.0,adagrad,8.75,he_normal,glorot_normal,he_normal,random_uniform,random_uniform,constant,softsign,exponential,exponential,772.0,16.0,8.0,2.0
b7effe88,0.17073170840740204,0.0,9.578999996185303,True,,,1.0,6907837adc964acc93fa6d6450e91538,2022-09-08_13-04-46,1662642286.0,9.578999996185303,25911.0,83e87206dee1,172.17.0.3,9.578999996185303,0.0,1.0,0.0048754215240478516,"8_act1=softmax,act2=tanh,act3=softmax,batch_size=512,bi1=constant,bi2=constant,bi3=random_uniform,epochs=1137,ki1=glorot_normal,ki2=he_normal,ki3=constant,layer2=1,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=8,unit2=8",mean_absolute_percentage_error,512.0,adam,6.250000476837158,glorot_normal,he_normal,constant,constant,constant,random_uniform,softmax,tanh,softmax,1137.0,8.0,8.0,1.0
c808108a,0.5365853905677795,0.3636363744735718,20.032771348953247,True,,,1.0,220a95935b1f456b938c4c2f95cf547e,2022-09-08_13-05-12,1662642312.0,20.032771348953247,26493.0,83e87206dee1,172.17.0.3,20.032771348953247,0.0,1.0,0.004845857620239258,"9_act1=tanh,act2=softmax,act3=tanh,batch_size=64,bi1=glorot_normal,bi2=glorot_normal,bi3=he_normal,epochs=1000,ki1=constant,ki2=random_uniform,ki3=glorot_normal,layer2=0,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=4,unit2=4",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,constant,random_uniform,glorot_normal,glorot_normal,glorot_normal,he_normal,tanh,softmax,tanh,1000.0,4.0,4.0,0.0
d0f96ec8,0.024390242993831635,0.0,17.916648387908936,True,,,1.0,feec499634474ebea1f5e4fe61693995,2022-09-08_13-05-35,1662642335.0,17.916648387908936,27370.0,83e87206dee1,172.17.0.3,17.916648387908936,0.0,1.0,0.004919528961181641,"10_act1=sigmoid,act2=softmax,act3=exponential,batch_size=50,bi1=lecun_normal,bi2=lecun_normal,bi3=random_uniform,epochs=596,ki1=lecun_uniform,ki2=random_uniform,ki3=truncated_normal,layer2=2,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=16,unit2=16",squared_hinge,50.0,adadelta,1.8750007152557373,lecun_uniform,random_uniform,truncated_normal,lecun_normal,lecun_normal,random_uniform,sigmoid,softmax,exponential,596.0,16.0,16.0,2.0
dfe072a6,0.4146341383457184,0.4545454680919647,23.526771545410156,True,,,1.0,985358e5f07e41eca03d9f21747de558,2022-09-08_13-06-03,1662642363.0,23.526771545410156,28085.0,83e87206dee1,172.17.0.3,23.526771545410156,0.0,1.0,0.005307674407958984,"11_act1=selu,act2=tanh,act3=softsign,batch_size=128,bi1=truncated_normal,bi2=truncated_normal,bi3=he_normal,epochs=1676,ki1=ones,ki2=he_normal,ki3=lecun_normal,layer2=1,loss=kullback_leibler_divergence,lr=6.8750,optimizer=nadam,unit1=8,unit2=8",kullback_leibler_divergence,128.0,nadam,6.875000476837158,ones,he_normal,lecun_normal,truncated_normal,truncated_normal,he_normal,selu,tanh,softsign,1676.0,8.0,8.0,1.0
ed966c8e,0.4146341383457184,0.5454545617103577,9.880284309387207,True,,,1.0,297d3bc73b74434f984270cff45b0eb6,2022-09-08_13-06-19,1662642379.0,9.880284309387207,29232.0,83e87206dee1,172.17.0.3,9.880284309387207,0.0,1.0,0.005315542221069336,"12_act1=softsign,act2=hard_sigmoid,act3=sigmoid,batch_size=256,bi1=constant,bi2=constant,bi3=lecun_uniform,epochs=1294,ki1=random_uniform,ki2=lecun_uniform,ki3=constant,layer2=0,loss=mean_absolute_error,lr=9.3750,optimizer=rmsprop,unit1=4,unit2=8",mean_absolute_error,256.0,rmsprop,9.375,random_uniform,lecun_uniform,constant,constant,constant,lecun_uniform,softsign,hard_sigmoid,sigmoid,1294.0,4.0,8.0,0.0
fedff9e2,0.24390244483947754,0.3636363744735718,18.236020803451538,True,,,1.0,81191cba047e40d583b124c2821e3f72,2022-09-08_13-06-42,1662642402.0,18.236020803451538,29791.0,83e87206dee1,172.17.0.3,18.236020803451538,0.0,1.0,0.005743503570556641,"13_act1=exponential,act2=softplus,act3=selu,batch_size=32,bi1=glorot_normal,bi2=glorot_normal,bi3=ones,epochs=678,ki1=he_normal,ki2=ones,ki3=glorot_normal,layer2=1,loss=logcosh,lr=4.3750,optimizer=adam,unit1=8,unit2=4",logcosh,32.0,adam,4.375000476837158,he_normal,ones,glorot_normal,glorot_normal,glorot_normal,ones,exponential,softplus,selu,678.0,8.0,4.0,1.0
