trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1,config.layer1
543be8c2,0.4937500059604645,0.4950000047683716,5.018310546875,True,,,1.0,5af880daea90458b96a9914c0a7f6742,2022-09-20_09-19-38,1663665578.0,5.018310546875,23372.0,b430368dd22d,172.17.0.2,5.018310546875,0.0,1.0,0.004538774490356445,"1_act1=sigmoid,act2=softmax,batch_size=200,bi1=zeros,bi2=zeros,epochs=10,ki1=glorot_uniform,ki2=normal,layer1=1,loss=mean_absolute_error,lr=0.0010,optimizer=rmsprop,unit1=1",mean_absolute_error,200.0,rmsprop,0.001,glorot_uniform,normal,zeros,zeros,sigmoid,softmax,10.0,1.0,1.0
56c34716,0.9987499713897705,1.0,7.981828927993774,True,,,1.0,d382438c54c4406eae83d82a1eaef185,2022-09-20_09-19-51,1663665591.0,7.981828927993774,23749.0,b430368dd22d,172.17.0.2,7.981828927993774,0.0,1.0,0.004996776580810547,"2_act1=elu,act2=elu,batch_size=16,bi1=zeros,bi2=zeros,epochs=5,ki1=zeros,ki2=zeros,layer1=0,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=0",mean_squared_error,16.0,sgd,9.999999974752427e-07,zeros,zeros,zeros,zeros,elu,elu,5.0,0.0,0.0
5a33fa4e,,,,,,,,c627e3a228834b95be88b26f526d2c52,2022-09-20_09-19-55,1663665595.0,,24136.0,b430368dd22d,172.17.0.2,,,,,,categorical_hinge,128.0,adadelta,5.000000476837158,orthogonal,orthogonal,orthogonal,orthogonal,relu,relu,10.0,1.0,1.0
615ac15e,0.9937499761581421,0.987500011920929,7.339495420455933,True,,,1.0,02164a679bc0484d8b8b10f5b137818d,2022-09-20_09-20-09,1663665609.0,7.339495420455933,24497.0,b430368dd22d,172.17.0.2,7.339495420455933,0.0,1.0,0.0050928592681884766,"4_act1=hard_sigmoid,act2=hard_sigmoid,batch_size=64,bi1=random_normal,bi2=glorot_uniform,epochs=13,ki1=glorot_uniform,ki2=he_normal,layer1=0,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=2",mean_squared_logarithmic_error,64.0,adagrad,7.5,glorot_uniform,he_normal,random_normal,glorot_uniform,hard_sigmoid,hard_sigmoid,13.0,2.0,0.0
6587292a,,,,,,,,64a2c865d1534873b695762355c5b5e7,2022-09-20_09-20-14,1663665614.0,,24875.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adam,2.5000007152557373,random_normal,random_normal,glorot_uniform,random_normal,selu,selu,7.0,0.0,2.0
6caeac46,0.4937500059604645,0.4950000047683716,4.319334268569946,True,,,1.0,477224a0c4a74a3782ca7c22e07bc276,2022-09-20_09-20-27,1663665627.0,4.319334268569946,25256.0,b430368dd22d,172.17.0.2,4.319334268569946,0.0,1.0,0.005261659622192383,"6_act1=exponential,act2=tanh,batch_size=256,bi1=random_uniform,bi2=he_normal,epochs=14,ki1=random_uniform,ki2=constant,layer1=1,loss=squared_hinge,lr=3.7500,optimizer=adamax,unit1=1",squared_hinge,256.0,adamax,3.750000476837158,random_uniform,constant,random_uniform,he_normal,exponential,tanh,14.0,1.0,1.0
720c1174,0.9643750190734863,0.949999988079071,7.601279020309448,True,,,1.0,4e9616a2bafa43bf88df96435b4e208b,2022-09-20_09-20-40,1663665640.0,7.601279020309448,25632.0,b430368dd22d,172.17.0.2,7.601279020309448,0.0,1.0,0.00433659553527832,"7_act1=softsign,act2=softmax,batch_size=32,bi1=he_normal,bi2=random_uniform,epochs=8,ki1=he_normal,ki2=glorot_normal,layer1=2,loss=binary_crossentropy,lr=8.7500,optimizer=adagrad,unit1=2",binary_crossentropy,32.0,adagrad,8.75,he_normal,glorot_normal,he_normal,random_uniform,softsign,softmax,8.0,2.0,2.0
7769779c,0.4937500059604645,0.4950000047683716,4.23734712600708,True,,,1.0,ec2cd3efc6b94fa6a0006a0dad72686d,2022-09-20_09-20-49,1663665649.0,4.23734712600708,26029.0,b430368dd22d,172.17.0.2,4.23734712600708,0.0,1.0,0.0056610107421875,"8_act1=softmax,act2=softsign,batch_size=512,bi1=constant,bi2=constant,epochs=6,ki1=glorot_normal,ki2=lecun_normal,layer1=0,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=1",mean_absolute_percentage_error,512.0,adam,6.250000476837158,glorot_normal,lecun_normal,constant,constant,softmax,softsign,6.0,1.0,0.0
7f293f94,0.5062500238418579,0.5049999952316284,6.315582036972046,True,,,1.0,b935628069ef4c7eb1a2d5e65e108d4f,2022-09-20_09-21-00,1663665660.0,6.315582036972046,26364.0,b430368dd22d,172.17.0.2,6.315582036972046,0.0,1.0,0.005601644515991211,"9_act1=tanh,act2=exponential,batch_size=64,bi1=glorot_normal,bi2=glorot_normal,epochs=11,ki1=constant,ki2=truncated_normal,layer1=1,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=0",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,constant,truncated_normal,glorot_normal,glorot_normal,tanh,exponential,11.0,0.0,1.0
8486d35c,0.5062500238418579,0.5049999952316284,5.658641815185547,True,,,1.0,44025352dd7a4fdb99359458a7afd1fd,2022-09-20_09-21-10,1663665670.0,5.658641815185547,26791.0,b430368dd22d,172.17.0.2,5.658641815185547,0.0,1.0,0.005440950393676758,"10_act1=exponential,act2=softplus,batch_size=200,bi1=truncated_normal,bi2=lecun_normal,epochs=13,ki1=lecun_uniform,ki2=random_uniform,layer1=2,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=0",squared_hinge,200.0,adadelta,1.8750007152557373,lecun_uniform,random_uniform,truncated_normal,lecun_normal,exponential,softplus,13.0,0.0,2.0
