trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1,config.layer1
45a9f_00000,0.7481250166893005,0.7174999713897705,4.393536806106567,True,,,1.0,a9840127774641ce9083edc0ce3a8303,2022-09-03_16-20-19,1662222019.0,4.393536806106567,10377.0,b430368dd22d,172.17.0.2,4.393536806106567,0.0,1.0,0.004837989807128906,0,mean_absolute_error,200.0,rmsprop,0.001,glorot_uniform,normal,zeros,zeros,sigmoid,softmax,10.0,1.0,1.0
45a9f_00001,,,,,,,,3f55b79259844a7b9553ba411dd29d20,2022-09-03_16-20-23,1662222023.0,,10685.0,b430368dd22d,172.17.0.2,,,,,,kullback_leibler_divergence,512.0,adadelta,2.9607537083296678,random_uniform,glorot_uniform,orthogonal,he_uniform,tanh,exponential,18.0,0.0,1.0
45a9f_00002,0.9768750071525574,0.9700000286102295,15.322118043899536,True,,,1.0,5bf5ff3d35d24826b3c99540e1c47554,2022-09-03_16-20-45,1662222045.0,15.322118043899536,10944.0,b430368dd22d,172.17.0.2,15.322118043899536,0.0,1.0,0.004489421844482422,"2_act1=hard_sigmoid,act2=sigmoid,batch_size=16,bi1=he_uniform,bi2=ones,epochs=10,ki1=glorot_uniform,ki2=constant,layer1=2,loss=hinge,lr=6.7945,optimizer=adamax,unit1=1",hinge,16.0,adamax,6.794544283646033,glorot_uniform,constant,he_uniform,ones,hard_sigmoid,sigmoid,10.0,1.0,2.0
45a9f_00003,0.4937500059604645,0.4950000047683716,11.038002729415894,True,,,1.0,35a992bf74c44c23802fae43ed0d09ec,2022-09-03_16-21-01,1662222061.0,11.038002729415894,11408.0,b430368dd22d,172.17.0.2,11.038002729415894,0.0,1.0,0.005013465881347656,"3_act1=softsign,act2=elu,batch_size=16,bi1=random_normal,bi2=truncated_normal,epochs=8,ki1=zeros,ki2=truncated_normal,layer1=1,loss=kullback_leibler_divergence,lr=6.6269,optimizer=adadelta,unit1=1",kullback_leibler_divergence,16.0,adadelta,6.626875016837508,zeros,truncated_normal,random_normal,truncated_normal,softsign,elu,8.0,1.0,1.0
45a9f_00004,0.9912499785423279,0.9850000143051147,3.630106210708618,True,,,1.0,895bc0809a7c42008a80b99be5975cab,2022-09-03_16-21-08,1662222068.0,3.630106210708618,11794.0,b430368dd22d,172.17.0.2,3.630106210708618,0.0,1.0,0.004747152328491211,"4_act1=selu,act2=hard_sigmoid,batch_size=512,bi1=he_uniform,bi2=he_normal,epochs=6,ki1=lecun_uniform,ki2=lecun_normal,layer1=0,loss=mean_squared_error,lr=4.1500,optimizer=sgd,unit1=2",mean_squared_error,512.0,sgd,4.150023523899862,lecun_uniform,lecun_normal,he_uniform,he_normal,selu,hard_sigmoid,6.0,2.0,0.0
45a9f_00005,0.4937500059604645,0.4950000047683716,4.714975118637085,True,,,1.0,5904b18ae30e4fa3bd640199dbf4235c,2022-09-03_16-21-17,1662222077.0,4.714975118637085,12092.0,b430368dd22d,172.17.0.2,4.714975118637085,0.0,1.0,0.004676103591918945,"5_act1=sigmoid,act2=hard_sigmoid,batch_size=64,bi1=ones,bi2=he_normal,epochs=5,ki1=he_uniform,ki2=normal,layer1=1,loss=logcosh,lr=2.1367,optimizer=adamax,unit1=0",logcosh,64.0,adamax,2.1366981374732297,he_uniform,normal,ones,he_normal,sigmoid,hard_sigmoid,5.0,0.0,1.0
45a9f_00006,0.7406250238418579,0.7400000095367432,28.48782444000244,True,,,1.0,dd28fe70b5674d648c8c04b79f733872,2022-09-03_16-21-50,1662222110.0,28.48782444000244,12413.0,b430368dd22d,172.17.0.2,28.48782444000244,0.0,1.0,0.004619598388671875,"6_act1=sigmoid,act2=exponential,batch_size=16,bi1=random_normal,bi2=constant,epochs=18,ki1=orthogonal,ki2=normal,layer1=1,loss=mean_absolute_percentage_error,lr=8.5996,optimizer=nadam,unit1=2",mean_absolute_percentage_error,16.0,nadam,8.599576312650438,orthogonal,normal,random_normal,constant,sigmoid,exponential,18.0,2.0,1.0
45a9f_00007,0.5062500238418579,0.5049999952316284,7.851650714874268,True,,,1.0,b4c491c43aaf4cd59a2dcd6914e53ca6,2022-09-03_16-22-03,1662222123.0,7.851650714874268,13036.0,b430368dd22d,172.17.0.2,7.851650714874268,0.0,1.0,0.00447392463684082,"7_act1=softsign,act2=softplus,batch_size=32,bi1=lecun_normal,bi2=ones,epochs=10,ki1=random_uniform,ki2=ones,layer1=0,loss=kullback_leibler_divergence,lr=0.6112,optimizer=adam,unit1=1",kullback_leibler_divergence,32.0,adam,0.6112321419627655,random_uniform,ones,lecun_normal,ones,softsign,softplus,10.0,1.0,0.0
45a9f_00008,0.5062500238418579,0.5049999952316284,4.556047677993774,True,,,1.0,5b1254809d674f478abe33651b518d8f,2022-09-03_16-22-11,1662222131.0,4.556047677993774,13389.0,b430368dd22d,172.17.0.2,4.556047677993774,0.0,1.0,0.00499272346496582,"8_act1=selu,act2=hard_sigmoid,batch_size=200,bi1=constant,bi2=lecun_uniform,epochs=4,ki1=constant,ki2=glorot_uniform,layer1=2,loss=hinge,lr=5.1872,optimizer=nadam,unit1=2",hinge,200.0,nadam,5.187161098719552,constant,glorot_uniform,constant,lecun_uniform,selu,hard_sigmoid,4.0,2.0,2.0
45a9f_00009,,,,,,,,0150a97f85e8422d951ef90e073da600,2022-09-03_16-22-16,1662222136.0,,13695.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adagrad,5.802397550636211,he_uniform,zeros,lecun_normal,random_normal,relu,tanh,12.0,0.0,0.0
