trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
092a512e,0.09712500125169754,0.1014999970793724,279.36544275283813,True,,,1.0,c9e6fc83e70e490fb73d408175af40f0,2022-09-19_02-28-07,1663554487.0,279.36544275283813,12148.0,b430368dd22d,172.17.0.2,279.36544275283813,0.0,1.0,0.006247758865356445,"1_act1=None,act2=None,batch_size=10,bi1=RandomNormal,bi2=RandomNormal,epochs=30,ki1=RandomNormal,ki2=RandomNormal,loss=mean_squared_error,lr=3.0000,optimizer=sgd,unit1=30",mean_squared_error,10.0,sgd,3.0,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f605f213f10>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f605f213f40>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f605f213f70>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f605f213b50>,,,30.0,30.0
0bc35426,0.10512500256299973,0.09350000321865082,80.47852396965027,True,,,1.0,ed771b2887da4b068cd0e3ce67670f94,2022-09-19_02-29-32,1663554572.0,80.47852396965027,12871.0,b430368dd22d,172.17.0.2,80.47852396965027,0.0,1.0,0.004969120025634766,"2_act1=relu,act2=None,batch_size=64,bi1=zeros,bi2=he_uniform,epochs=30,ki1=random_uniform,ki2=lecun_normal,loss=categorical_hinge,lr=7.6963,optimizer=adam,unit1=15",categorical_hinge,64.0,adam,7.696347189790723,random_uniform,lecun_normal,zeros,he_uniform,relu,,30.0,15.0
b2cbbba0,0.09712500125169754,0.1014999970793724,22.187305450439453,True,,,1.0,0013a0b0a56542a7bc56f2f3e9cf7ad3,2022-09-19_02-29-59,1663554599.0,22.187305450439453,13108.0,b430368dd22d,172.17.0.2,22.187305450439453,0.0,1.0,0.006439208984375,"3_act1=softplus,act2=relu,batch_size=256,bi1=truncated_normal,bi2=RandomNormal,epochs=23,ki1=ones,ki2=glorot_normal,loss=squared_hinge,lr=0.4286,optimizer=rmsprop,unit1=30",squared_hinge,256.0,rmsprop,0.4285556472843828,ones,glorot_normal,truncated_normal,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f605f210160>,softplus,relu,23.0,30.0
e577a730,0.5083749890327454,0.5044999718666077,520.3740081787109,True,,,1.0,40ddb16f88414c9ea455c273c3967f29,2022-09-19_02-38-44,1663555124.0,520.3740081787109,13581.0,b430368dd22d,172.17.0.2,520.3740081787109,0.0,1.0,0.00442194938659668,"4_act1=elu,act2=hard_sigmoid,batch_size=16,bi1=truncated_normal,bi2=glorot_uniform,epochs=77,ki1=constant,ki2=orthogonal,loss=mean_absolute_error,lr=1.2062,optimizer=adagrad,unit1=60",mean_absolute_error,16.0,adagrad,1.2061911034802182,constant,orthogonal,truncated_normal,glorot_uniform,elu,hard_sigmoid,77.0,60.0
f58fa0a0,0.10137499868869781,0.0989999994635582,173.5699167251587,True,,,1.0,64989f0fcb8c4943bb5c7e0b9f2c39f4,2022-09-19_02-41-43,1663555303.0,173.5699167251587,14851.0,b430368dd22d,172.17.0.2,173.5699167251587,0.0,1.0,0.005112171173095703,"5_act1=exponential,act2=None,batch_size=32,bi1=glorot_normal,bi2=he_normal,epochs=48,ki1=he_uniform,ki2=ones,loss=squared_hinge,lr=1.0193,optimizer=adagrad,unit1=60",squared_hinge,32.0,adagrad,1.0192569309878392,he_uniform,ones,glorot_normal,he_normal,exponential,,48.0,60.0
2e864962,,,,,,,,3a94a3cfe3b84d24bad0d008b585ac01,2022-09-19_02-41-47,1663555307.0,,16115.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,128.0,adagrad,1.4332472095111655,truncated_normal,glorot_uniform,he_uniform,glorot_normal,sigmoid,softmax,37.0,60.0
98a2e148,,,,,,,,3273cf95ab424569849f6384b983a980,2022-09-19_02-41-56,1663555316.0,,16296.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,32.0,adam,1.5130413102599953,random_normal,RandomNormal,random_uniform,random_uniform,linear,None,14.0,60.0
9dff79e4,0.09712500125169754,0.1014999970793724,109.24821996688843,True,,,1.0,74c491dcdc154b91a261a7c8dd6854dd,2022-09-19_02-43-54,1663555434.0,109.24821996688843,16473.0,b430368dd22d,172.17.0.2,109.24821996688843,0.0,1.0,0.0050961971282958984,"8_act1=linear,act2=sigmoid,batch_size=10,bi1=glorot_uniform,bi2=ones,epochs=11,ki1=he_normal,ki2=ones,loss=logcosh,lr=9.4904,optimizer=sgd,unit1=30",logcosh,10.0,sgd,9.490369336654135,he_normal,ones,glorot_uniform,ones,linear,sigmoid,11.0,30.0
a2c483a2,0.09587500244379044,0.10750000178813934,301.18197417259216,True,,,1.0,e11e51aa62e541c3b81024d02510d421,2022-09-19_02-48-59,1663555739.0,301.18197417259216,16952.0,b430368dd22d,172.17.0.2,301.18197417259216,0.0,1.0,0.005041837692260742,"9_act1=hard_sigmoid,act2=None,batch_size=10,bi1=lecun_uniform,bi2=constant,epochs=23,ki1=RandomNormal,ki2=constant,loss=mean_absolute_percentage_error,lr=9.0717,optimizer=rmsprop,unit1=15",mean_absolute_percentage_error,10.0,rmsprop,9.07169098413268,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f605f27bdc0>,constant,lecun_uniform,constant,hard_sigmoid,,23.0,15.0
e6b9449e,0.7106249928474426,0.7080000042915344,239.16488981246948,True,,,1.0,07a8532621ca48ec822731d7e95d8ad7,2022-09-19_02-53-03,1663555983.0,239.16488981246948,17896.0,b430368dd22d,172.17.0.2,239.16488981246948,0.0,1.0,0.005992889404296875,"10_act1=softmax,act2=sigmoid,batch_size=16,bi1=glorot_uniform,bi2=random_uniform,epochs=37,ki1=orthogonal,ki2=constant,loss=mean_squared_error,lr=1.0840,optimizer=adagrad,unit1=30",mean_squared_error,16.0,adagrad,1.0839568493714387,orthogonal,constant,glorot_uniform,random_uniform,softmax,sigmoid,37.0,30.0
9d23887a,0.09712500125169754,0.1014999970793724,55.446537494659424,True,,,1.0,dabf91ca7f9f41bca3bdc38f69523d54,2022-09-19_02-54-04,1663556044.0,55.446537494659424,18567.0,b430368dd22d,172.17.0.2,55.446537494659424,0.0,1.0,0.005552053451538086,"11_act1=exponential,act2=exponential,batch_size=256,bi1=RandomNormal,bi2=glorot_uniform,epochs=60,ki1=random_uniform,ki2=random_uniform,loss=poisson,lr=5.0637,optimizer=nadam,unit1=30",poisson,256.0,nadam,5.06365790430899,random_uniform,random_uniform,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f605f26ee20>,glorot_uniform,exponential,exponential,60.0,30.0
2e9755a2,0.09712500125169754,0.1014999970793724,12.020076513290405,True,,,1.0,88e5892ea1c34716a09b6d664e4b1a3c,2022-09-19_02-54-21,1663556061.0,12.020076513290405,18826.0,b430368dd22d,172.17.0.2,12.020076513290405,0.0,1.0,0.004908323287963867,"12_act1=None,act2=tanh,batch_size=256,bi1=random_uniform,bi2=glorot_normal,epochs=11,ki1=lecun_uniform,ki2=he_uniform,loss=squared_hinge,lr=6.6285,optimizer=adagrad,unit1=60",squared_hinge,256.0,adagrad,6.62853099699667,lecun_uniform,he_uniform,random_uniform,glorot_normal,,tanh,11.0,60.0
559af794,0.09712500125169754,0.1014999970793724,253.66586899757385,True,,,1.0,d91d33de1c2e4c3588c8b8874940e9e3,2022-09-19_02-58-40,1663556320.0,253.66586899757385,19025.0,b430368dd22d,172.17.0.2,253.66586899757385,0.0,1.0,0.0049648284912109375,"13_act1=softsign,act2=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=lecun_normal,epochs=60,ki1=random_normal,ki2=random_uniform,loss=mean_absolute_percentage_error,lr=2.3976,optimizer=rmsprop,unit1=60",mean_absolute_percentage_error,32.0,rmsprop,2.397557717854422,random_normal,random_uniform,random_normal,lecun_normal,softsign,hard_sigmoid,60.0,60.0
5d1672b4,0.09712500125169754,0.1014999970793724,31.18455457687378,True,,,1.0,7229601189d149d1a027661ff56fc97e,2022-09-19_02-59-15,1663556355.0,31.18455457687378,19595.0,b430368dd22d,172.17.0.2,31.18455457687378,0.0,1.0,0.0056726932525634766,"14_act1=elu,act2=exponential,batch_size=512,bi1=random_normal,bi2=truncated_normal,epochs=77,ki1=zeros,ki2=orthogonal,loss=categorical_crossentropy,lr=1.4583,optimizer=adagrad,unit1=60",categorical_crossentropy,512.0,adagrad,1.4583180464248682,zeros,orthogonal,random_normal,truncated_normal,elu,exponential,77.0,60.0
f6e415d6,0.09712500125169754,0.1014999970793724,213.49184918403625,True,,,1.0,8b782a61ca114650aff65f5c092d0609,2022-09-19_03-02-54,1663556574.0,213.49184918403625,19801.0,b430368dd22d,172.17.0.2,213.49184918403625,0.0,1.0,0.0052263736724853516,"15_act1=selu,act2=exponential,batch_size=16,bi1=glorot_normal,bi2=random_normal,epochs=30,ki1=glorot_normal,ki2=glorot_normal,loss=hinge,lr=9.3375,optimizer=adam,unit1=15",hinge,16.0,adam,9.337504318862905,glorot_normal,glorot_normal,glorot_normal,random_normal,selu,exponential,30.0,15.0
0c58fc10,0.09712500125169754,0.1014999970793724,71.24717283248901,True,,,1.0,2283c4ca73964e7285318f023e964324,2022-09-19_03-04-09,1663556649.0,71.24717283248901,20439.0,b430368dd22d,172.17.0.2,71.24717283248901,0.0,1.0,0.007438182830810547,"16_act1=exponential,act2=selu,batch_size=128,bi1=RandomNormal,bi2=glorot_normal,epochs=60,ki1=random_uniform,ki2=glorot_uniform,loss=logcosh,lr=3.6562,optimizer=adagrad,unit1=60",logcosh,128.0,adagrad,3.6561832878223846,random_uniform,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f605f4cedf0>,glorot_normal,exponential,selu,60.0,60.0
8e4d426c,,,,,,,,5c858f8a90884af9adb7c252c74c43ff,2022-09-19_03-04-14,1663556654.0,,20705.0,b430368dd22d,172.17.0.2,,,,,,binary_crossentropy,10.0,adagrad,6.0493853447150805,he_uniform,random_uniform,orthogonal,random_uniform,softsign,softplus,77.0,60.0
bb9b6208,,,,,,,,d6af15af494c4217bca400d887dfcde0,2022-09-19_03-04-22,1663556662.0,,20881.0,b430368dd22d,172.17.0.2,,,,,,mean_squared_error,64.0,sgd,4.932802153035848,zeros,ones,he_uniform,truncated_normal,None,hard_sigmoid,48.0,15.0
c060cfc6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
