trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.bi1,config.act1,config.epochs,config.unit1
760aa_00000,6.25411319732666,6.846895694732666,3.874199628829956,True,,,1.0,-6.25411319732666,1d8d2db7985f46338890145f6fe7f3ff,2022-09-18_10-13-04,1663495984.0,3.874199628829956,7886.0,b430368dd22d,172.17.0.2,3.874199628829956,0.0,1.0,0.004836082458496094,0,mean_squared_error,32.0,rmsprop,0.001,glorot_uniform,zeros,linear,200.0,1.0
760aa_00001,6.124368667602539,6.739899158477783,2.877138137817383,True,,,1.0,-6.124368667602539,bf278f2e59d545a3930a3e230ae710f5,2022-09-18_10-13-12,1663495992.0,2.877138137817383,8080.0,b430368dd22d,172.17.0.2,2.877138137817383,0.0,1.0,0.005118370056152344,"1_act1=hard_sigmoid,batch_size=32,bi1=truncated_normal,epochs=71,ki1=ones,loss=mean_squared_logarithmic_error,lr=5.7302,optimizer=adamax,unit1=2",mean_squared_logarithmic_error,32.0,adamax,5.730187631107219,ones,truncated_normal,hard_sigmoid,71.0,2.0
760aa_00002,6.124368667602539,6.739899158477783,4.612484931945801,True,,,1.0,-6.124368667602539,3602589878964ea3a3aa5ca3eaf0bb10,2022-09-18_10-13-21,1663496001.0,4.612484931945801,8269.0,b430368dd22d,172.17.0.2,4.612484931945801,0.0,1.0,0.0051119327545166016,"2_act1=hard_sigmoid,batch_size=512,bi1=glorot_normal,epochs=557,ki1=glorot_normal,loss=sparse_categorical_crossentropy,lr=3.2467,optimizer=adadelta,unit1=2",sparse_categorical_crossentropy,512.0,adadelta,3.2466600913509494,glorot_normal,glorot_normal,hard_sigmoid,557.0,2.0
760aa_00003,2.617698907852173,3.233229160308838,5.756619691848755,True,,,1.0,-2.617698907852173,3b0c18b4834a4cdbb96dbab54600d286,2022-09-18_10-13-32,1663496012.0,5.756619691848755,8504.0,b430368dd22d,172.17.0.2,5.756619691848755,0.0,1.0,0.0046536922454833984,"3_act1=exponential,batch_size=16,bi1=he_uniform,epochs=333,ki1=zeros,loss=squared_hinge,lr=4.5480,optimizer=adagrad,unit1=0",squared_hinge,16.0,adagrad,4.54797547178926,zeros,he_uniform,exponential,333.0,0.0
760aa_00004,6.15027379989624,6.764653205871582,4.0707106590271,True,,,1.0,-6.15027379989624,5f3829ddd3ec4f0081d9a1c9dc90f09e,2022-09-18_10-13-42,1663496022.0,4.0707106590271,8739.0,b430368dd22d,172.17.0.2,4.0707106590271,0.0,1.0,0.005283355712890625,"4_act1=softsign,batch_size=64,bi1=lecun_uniform,epochs=333,ki1=glorot_normal,loss=mean_squared_error,lr=3.5493,optimizer=adamax,unit1=2",mean_squared_error,64.0,adamax,3.5492813051985515,glorot_normal,lecun_uniform,softsign,333.0,2.0
760aa_00005,6.124368667602539,6.739899158477783,3.4519314765930176,True,,,1.0,-6.124368667602539,ba22add31bd34b13a2209846c10f99b9,2022-09-18_10-13-50,1663496030.0,3.4519314765930176,8986.0,b430368dd22d,172.17.0.2,3.4519314765930176,0.0,1.0,0.004405975341796875,"5_act1=tanh,batch_size=512,bi1=ones,epochs=333,ki1=he_uniform,loss=mean_absolute_error,lr=8.3224,optimizer=adam,unit1=1",mean_absolute_error,512.0,adam,8.322440714725317,he_uniform,ones,tanh,333.0,1.0
760aa_00006,7.124368667602539,7.739899158477783,2.830648899078369,True,,,1.0,-7.124368667602539,4acc922b02e94120bf176450e71f99f4,2022-09-18_10-13-59,1663496039.0,2.830648899078369,9327.0,b430368dd22d,172.17.0.2,2.830648899078369,0.0,1.0,0.004927635192871094,"6_act1=relu,batch_size=16,bi1=lecun_normal,epochs=71,ki1=glorot_normal,loss=logcosh,lr=6.0665,optimizer=sgd,unit1=1",logcosh,16.0,sgd,6.06652256553231,glorot_normal,lecun_normal,relu,71.0,1.0
760aa_00007,,,,,,,,,cd918dd7a009461997a73eca7fced910,2022-09-18_10-14-04,1663496044.0,,9530.0,b430368dd22d,172.17.0.2,,,,,,squared_hinge,512.0,nadam,4.6833827750565415,lecun_uniform,orthogonal,elu,333.0,1.0
760aa_00008,6.402797222137451,6.95890474319458,2.896421194076538,True,,,1.0,-6.402797222137451,ba70af9ea80f42e0ab1b174887aac6b8,2022-09-18_10-14-14,1663496054.0,2.896421194076538,9711.0,b430368dd22d,172.17.0.2,2.896421194076538,0.0,1.0,0.0056383609771728516,"8_act1=linear,batch_size=256,bi1=truncated_normal,epochs=200,ki1=lecun_uniform,loss=categorical_crossentropy,lr=6.9341,optimizer=adagrad,unit1=1",categorical_crossentropy,256.0,adagrad,6.934101201523025,lecun_uniform,truncated_normal,linear,200.0,1.0
760aa_00009,,,,,,,,,5343b0392a6c4361b9c1aafa67bbfd60,2022-09-18_10-14-19,1663496059.0,,9922.0,b430368dd22d,172.17.0.2,,,,,,logcosh,512.0,adagrad,4.219734038669015,he_uniform,orthogonal,selu,431.0,0.0
760aa_00010,,,,,,,,,c95d3dd82a074e308fc05c05cfd5824a,2022-09-18_10-14-26,1663496066.0,,10267.0,b430368dd22d,172.17.0.2,,,,,,kullback_leibler_divergence,16.0,nadam,1.3847882046991913,zeros,zeros,softplus,154.0,0.0
760aa_00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760aa_00054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
