trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.dropout1,config.dropout2,config.epochs,config.unit1,config.layer1
9fb6c882,0.8378750085830688,0.8529999852180481,35.45872688293457,True,,,1.0,3da4d1de90054afb98cbf04f5c7a788a,2022-09-15_21-09-42,1663276182.0,35.45872688293457,31189.0,83e87206dee1,172.17.0.2,35.45872688293457,0.0,1.0,0.005633115768432617,"1_act1=relu,act2=relu,act3=relu,act4=softmax,batch_size=128,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=12,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,layer1=1,loss=categorical_crossentropy,lr=0.0010,optimizer=adadelta,unit1=128",categorical_crossentropy,128.0,adadelta,0.001,relu,relu,relu,softmax,glorot_uniform,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,zeros,0.25,0.5,12.0,128.0,1.0
a2c35c0c,0.09712500125169754,0.1014999970793724,50.4494047164917,True,,,1.0,2921ab4fded5449c923301778ac5c9ad,2022-09-15_21-10-38,1663276238.0,50.4494047164917,32763.0,83e87206dee1,172.17.0.2,50.4494047164917,0.0,1.0,0.005297660827636719,"2_act1=linear,act2=relu,act3=relu,act4=sigmoid,batch_size=128,bi1=zeros,bi2=lecun_uniform,bi3=ones,bi4=glorot_normal,dropout1=0.2500,dropout2=0.5000,epochs=19,ki1=zeros,ki2=ones,ki3=ones,ki4=glorot_uniform,layer1=1,loss=hinge,lr=6.8513,optimizer=rmsprop,unit1=128",hinge,128.0,rmsprop,6.851306235504293,linear,relu,relu,sigmoid,zeros,ones,ones,glorot_uniform,zeros,lecun_uniform,ones,glorot_normal,0.25,0.5,19.0,128.0,1.0
b82c3d52,0.09712500125169754,0.1014999970793724,19.728871822357178,True,,,1.0,fd0e9517ace34539a2116cbbe685301c,2022-09-15_21-11-03,1663276263.0,19.728871822357178,33631.0,83e87206dee1,172.17.0.2,19.728871822357178,0.0,1.0,0.00520634651184082,"3_act1=softplus,act2=linear,act3=exponential,act4=elu,batch_size=128,bi1=glorot_normal,bi2=lecun_uniform,bi3=constant,bi4=he_normal,dropout1=0.2500,dropout2=0.5000,epochs=7,ki1=orthogonal,ki2=constant,ki3=orthogonal,ki4=he_uniform,layer1=1,loss=squared_hinge,lr=8.9993,optimizer=adagrad,unit1=64",squared_hinge,128.0,adagrad,8.999267509127883,softplus,linear,exponential,elu,orthogonal,constant,orthogonal,he_uniform,glorot_normal,lecun_uniform,constant,he_normal,0.25,0.5,7.0,64.0,1.0
dc718596,,,,,,,,122d4fa300a04990a0b2c8e13c9350cb,2022-09-15_21-11-09,1663276269.0,,34115.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,32.0,sgd,0.4654912027403115,softsign,exponential,softmax,sigmoid,he_uniform,glorot_uniform,lecun_uniform,lecun_normal,ones,random_normal,random_normal,lecun_uniform,0.25,0.5,19.0,128.0,0.0
eb54ffd4,0.09712500125169754,0.1014999970793724,54.50554180145264,True,,,1.0,012d3783998346e5ab917a8e8cf2262c,2022-09-15_21-12-12,1663276332.0,54.50554180145264,34486.0,83e87206dee1,172.17.0.2,54.50554180145264,0.0,1.0,0.00558161735534668,"5_act1=softsign,act2=linear,act3=softsign,act4=sigmoid,batch_size=128,bi1=constant,bi2=glorot_normal,bi3=random_normal,bi4=truncated_normal,dropout1=0.2500,dropout2=0.5000,epochs=16,ki1=lecun_normal,ki2=he_uniform,ki3=orthogonal,ki4=zeros,layer1=2,loss=mean_absolute_error,lr=3.1523,optimizer=nadam,unit1=64",mean_absolute_error,128.0,nadam,3.1522902185746355,softsign,linear,softsign,sigmoid,lecun_normal,he_uniform,orthogonal,zeros,constant,glorot_normal,random_normal,truncated_normal,0.25,0.5,16.0,64.0,2.0
edd3e978,,,,,,,,fa8841acc5f34409b59e1ba1b015a5b3,2022-09-15_21-12-18,1663276338.0,,36469.0,83e87206dee1,172.17.0.2,,,,,,mean_squared_error,32.0,rmsprop,1.691983392398296,linear,exponential,sigmoid,sigmoid,lecun_uniform,glorot_normal,random_normal,constant,he_uniform,ones,orthogonal,he_normal,0.25,0.5,16.0,64.0,2.0
1198f16e,,,,,,,,f3d0e343f06c4146a9b1689704dc8209,2022-09-15_21-12-26,1663276346.0,,36856.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,32.0,adadelta,2.2339529414006787,softplus,softplus,tanh,linear,zeros,glorot_uniform,truncated_normal,random_normal,constant,he_uniform,lecun_normal,random_normal,0.25,0.5,19.0,128.0,2.0
165dd318,0.08950000256299973,0.0860000029206276,49.107398986816406,True,,,1.0,cba979c19bdc46f2a2dc885f11004f0c,2022-09-15_21-13-24,1663276404.0,49.107398986816406,37195.0,83e87206dee1,172.17.0.2,49.107398986816406,0.0,1.0,0.004393100738525391,"8_act1=relu,act2=selu,act3=softplus,act4=softmax,batch_size=64,bi1=glorot_uniform,bi2=random_uniform,bi3=orthogonal,bi4=lecun_normal,dropout1=0.2500,dropout2=0.5000,epochs=12,ki1=glorot_normal,ki2=random_normal,ki3=he_normal,ki4=constant,layer1=0,loss=logcosh,lr=8.6511,optimizer=adam,unit1=128",logcosh,64.0,adam,8.651056799488494,relu,selu,softplus,softmax,glorot_normal,random_normal,he_normal,constant,glorot_uniform,random_uniform,orthogonal,lecun_normal,0.25,0.5,12.0,128.0,0.0
1bbb6ad2,0.16087499260902405,0.148499995470047,73.06413745880127,True,,,1.0,9aaa4630e6fb4be2a608896aa9fb2175,2022-09-15_21-14-43,1663276483.0,73.06413745880127,37649.0,83e87206dee1,172.17.0.2,73.06413745880127,0.0,1.0,0.005456209182739258,"9_act1=elu,act2=tanh,act3=softplus,act4=tanh,batch_size=64,bi1=glorot_normal,bi2=glorot_uniform,bi3=glorot_uniform,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=19,ki1=random_normal,ki2=glorot_normal,ki3=glorot_normal,ki4=lecun_normal,layer1=0,loss=kullback_leibler_divergence,lr=1.4313,optimizer=adadelta,unit1=128",kullback_leibler_divergence,64.0,adadelta,1.4312814658327824,elu,tanh,softplus,tanh,random_normal,glorot_normal,glorot_normal,lecun_normal,glorot_normal,glorot_uniform,glorot_uniform,zeros,0.25,0.5,19.0,128.0,0.0
3c85f732,0.09712500125169754,0.1014999970793724,46.00515818595886,True,,,1.0,f2c19bb9091b4b4ab09de90b66700ed5,2022-09-15_21-15-34,1663276534.0,46.00515818595886,38585.0,83e87206dee1,172.17.0.2,46.00515818595886,0.0,1.0,0.005137920379638672,"10_act1=hard_sigmoid,act2=exponential,act3=exponential,act4=softsign,batch_size=256,bi1=lecun_normal,bi2=he_uniform,bi3=zeros,bi4=he_normal,dropout1=0.2500,dropout2=0.5000,epochs=22,ki1=zeros,ki2=random_uniform,ki3=ones,ki4=glorot_normal,layer1=2,loss=logcosh,lr=9.5046,optimizer=adadelta,unit1=256",logcosh,256.0,adadelta,9.504643560570825,hard_sigmoid,exponential,exponential,softsign,zeros,random_uniform,ones,glorot_normal,lecun_normal,he_uniform,zeros,he_normal,0.25,0.5,22.0,256.0,2.0
