trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.dropout1,config.dropout2,config.epochs,config.unit1,config.layer1
b801e17a,0.831375002861023,0.8395000100135803,31.593644857406616,True,,,1.0,4c71f40ca32d4880bf771f1b993c1352,2022-09-02_08-32-38,1662107558.0,31.593644857406616,12267.0,b430368dd22d,172.17.0.2,31.593644857406616,0.0,1.0,0.005156993865966797,"1_act1=relu,act2=relu,act3=relu,act4=softmax,batch_size=128,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=12,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,layer1=1,loss=categorical_crossentropy,lr=0.0010,optimizer=adadelta,unit1=128",categorical_crossentropy,128.0,adadelta,0.001,relu,relu,relu,softmax,glorot_uniform,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,zeros,0.25,0.5,12.0,128.0,1.0
ba841efe,0.11487500369548798,0.1080000028014183,64.66383242607117,True,,,1.0,971dc613dd384ab6adb4219f4cb4fd95,2022-09-02_08-33-47,1662107627.0,64.66383242607117,13112.0,b430368dd22d,172.17.0.2,64.66383242607117,0.0,1.0,0.004776477813720703,"2_act1=elu,act2=elu,act3=elu,act4=elu,batch_size=16,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=6,ki1=zeros,ki2=zeros,ki3=zeros,ki4=zeros,layer1=0,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=64",mean_squared_error,16.0,sgd,9.999999974752427e-07,elu,elu,elu,elu,zeros,zeros,zeros,zeros,zeros,zeros,zeros,zeros,0.25,0.5,6.0,64.0,0.0
cd998fba,,,,,,,,94b8258cec8f4e99a1b6e0865099003c,2022-09-02_08-33-52,1662107632.0,,13851.0,b430368dd22d,172.17.0.2,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,relu,relu,relu,relu,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,0.25,0.5,12.0,128.0,1.0
f753c0e6,0.09712500125169754,0.1014999970793724,98.2478084564209,True,,,1.0,6345b33fc9d942a48d074935c7a3ee63,2022-09-02_08-35-38,1662107738.0,98.2478084564209,14165.0,b430368dd22d,172.17.0.2,98.2478084564209,0.0,1.0,0.005364656448364258,"4_act1=hard_sigmoid,act2=hard_sigmoid,act3=selu,act4=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=random_normal,bi3=glorot_uniform,bi4=random_normal,dropout1=0.2500,dropout2=0.5000,epochs=15,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,layer1=0,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=64",mean_squared_logarithmic_error,32.0,adagrad,7.5,hard_sigmoid,hard_sigmoid,selu,hard_sigmoid,glorot_uniform,glorot_uniform,glorot_uniform,glorot_uniform,random_normal,random_normal,glorot_uniform,random_normal,0.25,0.5,15.0,64.0,0.0
fb7fa860,,,,,,,,66e523b1754b4921b11f405d1c75b2f5,2022-09-02_08-35-43,1662107743.0,,15714.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adam,2.5000007152557373,selu,selu,hard_sigmoid,selu,random_normal,random_normal,random_normal,random_normal,glorot_uniform,glorot_uniform,random_normal,glorot_uniform,0.25,0.5,9.0,256.0,2.0
38e6a37a,0.09712500125169754,0.1014999970793724,58.80101919174194,True,,,1.0,ee26d1f1422d4b23abad2a1e70239c6d,2022-09-02_08-36-51,1662107811.0,58.80101919174194,15972.0,b430368dd22d,172.17.0.2,58.80101919174194,0.0,1.0,0.005130767822265625,"6_act1=softsign,act2=softmax,act3=softsign,act4=exponential,batch_size=128,bi1=random_uniform,bi2=glorot_normal,bi3=random_uniform,bi4=he_normal,dropout1=0.2500,dropout2=0.5000,epochs=18,ki1=he_normal,ki2=glorot_normal,ki3=he_normal,ki4=random_uniform,layer1=0,loss=squared_hinge,lr=3.7500,optimizer=adamax,unit1=64",squared_hinge,128.0,adamax,3.750000476837158,softsign,softmax,softsign,exponential,he_normal,glorot_normal,he_normal,random_uniform,random_uniform,glorot_normal,random_uniform,he_normal,0.25,0.5,18.0,64.0,0.0
3edc99f6,0.09712500125169754,0.1014999970793724,66.92874789237976,True,,,1.0,20df85bf045d44afbfd529e9e37b2db1,2022-09-02_08-38-04,1662107884.0,66.92874789237976,16865.0,b430368dd22d,172.17.0.2,66.92874789237976,0.0,1.0,0.004941701889038086,"7_act1=exponential,act2=tanh,act3=exponential,act4=softsign,batch_size=32,bi1=he_normal,bi2=constant,bi3=he_normal,bi4=random_uniform,dropout1=0.2500,dropout2=0.5000,epochs=10,ki1=random_uniform,ki2=constant,ki3=random_uniform,ki4=he_normal,layer1=1,loss=binary_crossentropy,lr=8.7500,optimizer=adagrad,unit1=128",binary_crossentropy,32.0,adagrad,8.75,exponential,tanh,exponential,softsign,random_uniform,constant,random_uniform,he_normal,he_normal,constant,he_normal,random_uniform,0.25,0.5,10.0,128.0,1.0
65037294,0.09587500244379044,0.10750000178813934,17.019150972366333,True,,,1.0,74d7161b6e404fc6b4302d4fe62fbaf1,2022-09-02_08-38-26,1662107906.0,17.019150972366333,17884.0,b430368dd22d,172.17.0.2,17.019150972366333,0.0,1.0,0.00488734245300293,"8_act1=tanh,act2=exponential,act3=softmax,act4=softmax,batch_size=256,bi1=constant,bi2=he_normal,bi3=glorot_normal,bi4=glorot_normal,dropout1=0.2500,dropout2=0.5000,epochs=7,ki1=constant,ki2=random_uniform,ki3=constant,ki4=glorot_normal,layer1=1,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=128",mean_absolute_percentage_error,256.0,adam,6.250000476837158,tanh,exponential,softmax,softmax,constant,random_uniform,constant,glorot_normal,constant,he_normal,glorot_normal,glorot_normal,0.25,0.5,7.0,128.0,1.0
8fef4aaa,0.09712500125169754,0.1014999970793724,74.39607310295105,True,,,1.0,085dc57347b44401869825be8987aa71,2022-09-02_08-39-45,1662107985.0,74.39607310295105,18493.0,b430368dd22d,172.17.0.2,74.39607310295105,0.0,1.0,0.004801511764526367,"9_act1=softmax,act2=softsign,act3=tanh,act4=tanh,batch_size=64,bi1=glorot_normal,bi2=random_uniform,bi3=constant,bi4=constant,dropout1=0.2500,dropout2=0.5000,epochs=13,ki1=glorot_normal,ki2=he_normal,ki3=glorot_normal,ki4=constant,layer1=2,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=256",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,softmax,softsign,tanh,tanh,glorot_normal,he_normal,glorot_normal,constant,glorot_normal,random_uniform,constant,constant,0.25,0.5,13.0,256.0,2.0
9d0c8b9e,,,,,,,,1f15ad00201d48a5813b02c692471e66,2022-09-02_08-39-49,1662107989.0,,19728.0,b430368dd22d,172.17.0.2,,,,,,squared_hinge,512.0,adadelta,1.8750007152557373,tanh,softplus,softsign,exponential,lecun_normal,random_uniform,glorot_normal,ones,lecun_normal,lecun_normal,he_normal,lecun_normal,0.25,0.5,20.0,128.0,0.0
