trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.dropout1,config.dropout2,config.epochs,config.unit1,config.layer1
1ee8b_00000,0.8392500281333923,0.8464999794960022,27.54676866531372,True,,,1.0,f0b8effac5dd4fca8fb2e5d21b06eb67,2022-08-31_18-46-17,1661971577.0,27.54676866531372,4902.0,b430368dd22d,172.17.0.2,27.54676866531372,0.0,1.0,0.004745006561279297,0,categorical_crossentropy,128.0,adadelta,0.001,relu,relu,relu,softmax,glorot_uniform,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,zeros,0.25,0.5,12.0,128.0,1.0
1ee8b_00001,,,,,,,,0e18650525644dfe8ed82871ee43a7b3,2022-08-31_18-46-22,1661971582.0,,5111.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adam,3.550005969692846,softplus,hard_sigmoid,hard_sigmoid,softsign,he_normal,zeros,random_normal,lecun_uniform,zeros,random_normal,glorot_normal,random_normal,0.25,0.5,8.0,128.0,1.0
1ee8b_00002,,,,,,,,46a48af94acd418c8f83bffb0c01c2c5,2022-08-31_18-46-31,1661971591.0,,5296.0,b430368dd22d,172.17.0.2,,,,,,kullback_leibler_divergence,64.0,sgd,0.11277671541692132,softsign,tanh,tanh,linear,lecun_uniform,random_normal,glorot_uniform,orthogonal,orthogonal,zeros,zeros,glorot_uniform,0.25,0.5,12.0,256.0,1.0
1ee8b_00003,0.09475000202655792,0.10000000149011612,190.50633025169373,True,,,1.0,0c063241117c4f44b647ec87ca854932,2022-08-31_18-49-49,1661971789.0,190.50633025169373,5478.0,b430368dd22d,172.17.0.2,190.50633025169373,0.0,1.0,0.0051174163818359375,"3_act1=linear,act2=hard_sigmoid,act3=elu,act4=softsign,batch_size=16,bi1=lecun_normal,bi2=truncated_normal,bi3=ones,bi4=ones,dropout1=0.2500,dropout2=0.5000,epochs=18,ki1=zeros,ki2=random_normal,ki3=glorot_normal,ki4=he_normal,layer1=1,loss=mean_absolute_percentage_error,lr=3.1114,optimizer=adadelta,unit1=128",mean_absolute_percentage_error,16.0,adadelta,3.111442288149936,linear,hard_sigmoid,elu,softsign,zeros,random_normal,glorot_normal,he_normal,lecun_normal,truncated_normal,ones,ones,0.25,0.5,18.0,128.0,1.0
1ee8b_00004,,,,,,,,2f7d94200e8247bcb1a40d7271245bf3,2022-08-31_18-49-54,1661971794.0,,6032.0,b430368dd22d,172.17.0.2,,,,,,categorical_hinge,64.0,rmsprop,2.222018560558063,elu,softmax,elu,linear,truncated_normal,constant,zeros,ones,orthogonal,orthogonal,random_normal,glorot_uniform,0.25,0.5,8.0,64.0,1.0
1ee8b_00005,0.09712500125169754,0.1014999970793724,56.89588236808777,True,,,1.0,b16420b5bc5041bbad7efea6a4a3321f,2022-08-31_18-50-58,1661971858.0,56.89588236808777,6206.0,b430368dd22d,172.17.0.2,56.89588236808777,0.0,1.0,0.004759788513183594,"5_act1=selu,act2=hard_sigmoid,act3=elu,act4=relu,batch_size=64,bi1=he_normal,bi2=lecun_uniform,bi3=constant,bi4=he_uniform,dropout1=0.2500,dropout2=0.5000,epochs=12,ki1=zeros,ki2=glorot_uniform,ki3=lecun_uniform,ki4=random_uniform,layer1=2,loss=mean_squared_error,lr=1.8570,optimizer=rmsprop,unit1=256",mean_squared_error,64.0,rmsprop,1.8570401468389615,selu,hard_sigmoid,elu,relu,zeros,glorot_uniform,lecun_uniform,random_uniform,he_normal,lecun_uniform,constant,he_uniform,0.25,0.5,12.0,256.0,2.0
1ee8b_00006,,,,,,,,8e690082ec9a4d7983a8c95ee9157601,2022-08-31_18-51-03,1661971863.0,,6623.0,b430368dd22d,172.17.0.2,,,,,,poisson,512.0,rmsprop,2.0637260652303175,linear,softplus,relu,softplus,lecun_uniform,random_normal,random_uniform,glorot_uniform,orthogonal,orthogonal,random_uniform,orthogonal,0.25,0.5,13.0,256.0,1.0
1ee8b_00007,,,,,,,,27db1d939ebe4d12912a3a722a76e13a,2022-08-31_18-51-10,1661971870.0,,6847.0,b430368dd22d,172.17.0.2,,,,,,binary_crossentropy,64.0,sgd,7.867630679908288,hard_sigmoid,linear,softplus,softsign,glorot_uniform,random_uniform,random_normal,he_normal,orthogonal,zeros,lecun_uniform,random_uniform,0.25,0.5,9.0,128.0,0.0
1ee8b_00008,0.09712500125169754,0.1014999970793724,22.951291799545288,True,,,1.0,731972a95d2f49f4a69a45772235621c,2022-08-31_18-51-40,1661971900.0,22.951291799545288,7172.0,b430368dd22d,172.17.0.2,22.951291799545288,0.0,1.0,0.007142066955566406,"8_act1=selu,act2=hard_sigmoid,act3=linear,act4=selu,batch_size=512,bi1=lecun_uniform,bi2=zeros,bi3=glorot_normal,bi4=he_normal,dropout1=0.2500,dropout2=0.5000,epochs=10,ki1=glorot_normal,ki2=ones,ki3=orthogonal,ki4=ones,layer1=2,loss=hinge,lr=2.5387,optimizer=adagrad,unit1=256",hinge,512.0,adagrad,2.5386929814509536,selu,hard_sigmoid,linear,selu,glorot_normal,ones,orthogonal,ones,lecun_uniform,zeros,glorot_normal,he_normal,0.25,0.5,10.0,256.0,2.0
1ee8b_00009,,,,,,,,ccfe28e5e4414b1284bab54baab77919,2022-08-31_18-51-45,1661971905.0,,7575.0,b430368dd22d,172.17.0.2,,,,,,hinge,128.0,adadelta,0.5440816887614873,tanh,selu,exponential,softmax,glorot_normal,truncated_normal,random_normal,lecun_normal,random_uniform,orthogonal,constant,orthogonal,0.25,0.5,7.0,64.0,0.0
