trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.dropout1,config.dropout2,config.epochs,config.unit1,config.layer1
f7645a32,0.11487500369548798,0.1080000028014183,29.70586919784546,True,,,1.0,c87244e0845c4dd182604ba8a8d7a661,2022-09-15_19-17-32,1663269452.0,29.70586919784546,16261.0,83e87206dee1,172.17.0.2,29.70586919784546,0.0,1.0,0.005005598068237305,"1_act1=relu,act2=relu,act3=relu,act4=softmax,batch_size=128,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=12,ki1=zeros,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,layer1=1,loss=categorical_crossentropy,lr=1.0000,optimizer=adadelta,unit1=128",categorical_crossentropy,128.0,adadelta,1.0,relu,relu,relu,softmax,zeros,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,zeros,0.25,0.5,12.0,128.0,1.0
fa61429a,0.9836249947547913,0.9775000214576721,40.3566415309906,True,,,1.0,82388029e5aa425e9128c08b03196325,2022-09-15_19-18-17,1663269497.0,40.3566415309906,16502.0,83e87206dee1,172.17.0.2,40.3566415309906,0.0,1.0,0.004926919937133789,"2_act1=elu,act2=softsign,act3=softplus,act4=softplus,batch_size=128,bi1=he_uniform,bi2=glorot_normal,bi3=random_normal,bi4=glorot_normal,dropout1=0.2500,dropout2=0.5000,epochs=16,ki1=lecun_uniform,ki2=truncated_normal,ki3=he_normal,ki4=glorot_normal,layer1=2,loss=poisson,lr=0.4393,optimizer=adadelta,unit1=64",poisson,128.0,adadelta,0.4393249251905309,elu,softsign,softplus,softplus,lecun_uniform,truncated_normal,he_normal,glorot_normal,he_uniform,glorot_normal,random_normal,glorot_normal,0.25,0.5,16.0,64.0,2.0
0f3ddea8,,,,,,,,16171d8b645c4cb988a0128a6ae2a01b,2022-09-15_19-18-23,1663269503.0,,17131.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,512.0,adam,1.88050987496329,elu,relu,sigmoid,tanh,lecun_normal,glorot_uniform,constant,truncated_normal,truncated_normal,glorot_uniform,random_uniform,ones,0.25,0.5,12.0,256.0,0.0
27be37b6,0.09587500244379044,0.10750000178813934,40.98718810081482,True,,,1.0,69bfd597f232474d96dc5d4019fc076c,2022-09-15_19-19-15,1663269555.0,40.98718810081482,17374.0,83e87206dee1,172.17.0.2,40.98718810081482,0.0,1.0,0.004537105560302734,"4_act1=sigmoid,act2=softsign,act3=tanh,act4=selu,batch_size=64,bi1=lecun_uniform,bi2=truncated_normal,bi3=lecun_uniform,bi4=he_normal,dropout1=0.2500,dropout2=0.5000,epochs=8,ki1=glorot_normal,ki2=he_normal,ki3=constant,ki4=he_normal,layer1=2,loss=binary_crossentropy,lr=7.6245,optimizer=adamax,unit1=256",binary_crossentropy,64.0,adamax,7.624532354693563,sigmoid,softsign,tanh,selu,glorot_normal,he_normal,constant,he_normal,lecun_uniform,truncated_normal,lecun_uniform,he_normal,0.25,0.5,8.0,256.0,2.0
2e4c9ab4,0.09712500125169754,0.1014999970793724,261.30347657203674,True,,,1.0,c4aa24321e394b7da19d2f7fc9c671fd,2022-09-15_19-23-41,1663269821.0,261.30347657203674,17616.0,83e87206dee1,172.17.0.2,261.30347657203674,0.0,1.0,0.005522727966308594,"5_act1=elu,act2=relu,act3=sigmoid,act4=tanh,batch_size=16,bi1=he_uniform,bi2=glorot_normal,bi3=truncated_normal,bi4=random_uniform,dropout1=0.2500,dropout2=0.5000,epochs=22,ki1=zeros,ki2=truncated_normal,ki3=he_uniform,ki4=glorot_normal,layer1=2,loss=mean_absolute_error,lr=3.7336,optimizer=adagrad,unit1=256",mean_absolute_error,16.0,adagrad,3.7335916688511275,elu,relu,sigmoid,tanh,zeros,truncated_normal,he_uniform,glorot_normal,he_uniform,glorot_normal,truncated_normal,random_uniform,0.25,0.5,22.0,256.0,2.0
49b85f22,0.11487500369548798,0.1080000028014183,76.7740569114685,True,,,1.0,088d8a15ed94496eb4ba71ef8c63029c,2022-09-15_19-25-04,1663269904.0,76.7740569114685,20936.0,83e87206dee1,172.17.0.2,76.7740569114685,0.0,1.0,0.0050144195556640625,"6_act1=softplus,act2=elu,act3=relu,act4=softmax,batch_size=32,bi1=lecun_normal,bi2=constant,bi3=random_uniform,bi4=ones,dropout1=0.2500,dropout2=0.5000,epochs=12,ki1=lecun_uniform,ki2=orthogonal,ki3=lecun_uniform,ki4=ones,layer1=0,loss=binary_crossentropy,lr=9.1397,optimizer=adagrad,unit1=64",binary_crossentropy,32.0,adagrad,9.139671185146451,softplus,elu,relu,softmax,lecun_uniform,orthogonal,lecun_uniform,ones,lecun_normal,constant,random_uniform,ones,0.25,0.5,12.0,64.0,0.0
e8e2c038,,,,,,,,ec07d4bdb7ee4ae0a70ef2439bb65e19,2022-09-15_19-25-09,1663269909.0,,22243.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,512.0,adadelta,2.3697205466038063,softplus,elu,tanh,exponential,constant,random_normal,constant,lecun_uniform,glorot_uniform,glorot_normal,ones,constant,0.25,0.5,19.0,64.0,2.0
19c41e18,,,,,,,,be900def49a343e9be4b6d9626f4188b,2022-09-15_19-25-20,1663269920.0,,22439.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,32.0,adadelta,7.993593868262643,selu,relu,elu,relu,random_uniform,he_normal,ones,lecun_normal,lecun_normal,he_uniform,lecun_uniform,ones,0.25,0.5,19.0,64.0,2.0
20529548,0.09712500125169754,0.1014999970793724,162.6043300628662,True,,,1.0,64f1e8a587d6440194beef4cf6200b02,2022-09-15_19-28-12,1663270092.0,162.6043300628662,22627.0,83e87206dee1,172.17.0.2,162.6043300628662,0.0,1.0,0.006658315658569336,"9_act1=sigmoid,act2=tanh,act3=softmax,act4=tanh,batch_size=16,bi1=glorot_uniform,bi2=lecun_uniform,bi3=orthogonal,bi4=lecun_normal,dropout1=0.2500,dropout2=0.5000,epochs=14,ki1=lecun_uniform,ki2=zeros,ki3=truncated_normal,ki4=random_uniform,layer1=0,loss=hinge,lr=1.3523,optimizer=adadelta,unit1=128",hinge,16.0,adadelta,1.3522805823512205,sigmoid,tanh,softmax,tanh,lecun_uniform,zeros,truncated_normal,random_uniform,glorot_uniform,lecun_uniform,orthogonal,lecun_normal,0.25,0.5,14.0,128.0,0.0
25b0567e,,,,,,,,741823f5350d430cb9371cee35d9db6c,2022-09-15_19-28-17,1663270097.0,,24469.0,83e87206dee1,172.17.0.2,,,,,,mean_squared_error,64.0,rmsprop,8.786174275024232,relu,selu,softplus,relu,glorot_uniform,lecun_normal,he_normal,random_normal,lecun_uniform,orthogonal,ones,glorot_normal,0.25,0.5,22.0,256.0,1.0
