trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.dropout1,config.dropout2,config.epochs,config.unit1,config.layer1
0ecb0_00000,0.11487500369548798,0.1080000028014183,33.03910708427429,True,,,1.0,79d5217adf514533a2b77a131ebac697,2022-09-15_11-47-16,1663242436.0,33.03910708427429,39832.0,83e87206dee1,172.17.0.2,33.03910708427429,0.0,1.0,0.005372285842895508,0,categorical_crossentropy,128.0,adadelta,1.0,relu,relu,relu,softmax,zeros,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,zeros,0.25,0.5,12.0,128.0,1.0
0ecb0_00001,0.09712500125169754,0.1014999970793724,39.523388147354126,True,,,1.0,fafe2b4d83d84443bbcb9782345e9798,2022-09-15_11-48-01,1663242481.0,39.523388147354126,40760.0,83e87206dee1,172.17.0.2,39.523388147354126,0.0,1.0,0.004933834075927734,"1_act1=elu,act2=relu,act3=elu,act4=softsign,batch_size=512,bi1=he_uniform,bi2=ones,bi3=zeros,bi4=he_uniform,dropout1=0.2500,dropout2=0.5000,epochs=27,ki1=lecun_normal,ki2=constant,ki3=ones,ki4=ones,layer1=1,loss=categorical_crossentropy,lr=1.3857,optimizer=adam,unit1=64",categorical_crossentropy,512.0,adam,1.3857424003751861,elu,relu,elu,softsign,lecun_normal,constant,ones,ones,he_uniform,ones,zeros,he_uniform,0.25,0.5,27.0,64.0,1.0
0ecb0_00002,0.09712500125169754,0.1014999970793724,108.84140372276306,True,,,1.0,a45b2ad954974fc4a64da63161f7025e,2022-09-15_11-49-56,1663242596.0,108.84140372276306,1079.0,83e87206dee1,172.17.0.2,108.84140372276306,0.0,1.0,0.005692958831787109,"2_act1=linear,act2=relu,act3=linear,act4=softsign,batch_size=32,bi1=random_uniform,bi2=truncated_normal,bi3=he_uniform,bi4=lecun_normal,dropout1=0.2500,dropout2=0.5000,epochs=18,ki1=random_uniform,ki2=lecun_normal,ki3=he_normal,ki4=ones,layer1=0,loss=categorical_crossentropy,lr=8.8901,optimizer=adamax,unit1=64",categorical_crossentropy,32.0,adamax,8.890065198528868,linear,relu,linear,softsign,random_uniform,lecun_normal,he_normal,ones,random_uniform,truncated_normal,he_uniform,lecun_normal,0.25,0.5,18.0,64.0,0.0
0ecb0_00003,,,,,,,,71b06147e5624c1ea697bc178985de03,2022-09-15_11-50-01,1663242601.0,,2425.0,83e87206dee1,172.17.0.2,,,,,,mean_absolute_percentage_error,512.0,sgd,5.570885902815648,softsign,hard_sigmoid,hard_sigmoid,tanh,ones,random_normal,glorot_normal,glorot_normal,he_normal,random_normal,random_normal,orthogonal,0.25,0.5,6.0,64.0,2.0
0ecb0_00004,0.09712500125169754,0.1014999970793724,18.376830339431763,True,,,1.0,cfe482b3abf246e58624519995879ff5,2022-09-15_11-50-27,1663242627.0,18.376830339431763,2665.0,83e87206dee1,172.17.0.2,18.376830339431763,0.0,1.0,0.005261421203613281,"4_act1=selu,act2=elu,act3=selu,act4=tanh,batch_size=128,bi1=ones,bi2=glorot_uniform,bi3=zeros,bi4=ones,dropout1=0.2500,dropout2=0.5000,epochs=6,ki1=he_uniform,ki2=glorot_normal,ki3=lecun_uniform,ki4=random_normal,layer1=2,loss=mean_squared_error,lr=1.9680,optimizer=sgd,unit1=128",mean_squared_error,128.0,sgd,1.968028401930643,selu,elu,selu,tanh,he_uniform,glorot_normal,lecun_uniform,random_normal,ones,glorot_uniform,zeros,ones,0.25,0.5,6.0,128.0,2.0
0ecb0_00005,,,,,,,,e5b34e83b1e64547ac721bbeac2ab60d,2022-09-15_11-50-33,1663242633.0,,3223.0,83e87206dee1,172.17.0.2,,,,,,mean_squared_error,512.0,adagrad,0.7267788029431979,softsign,hard_sigmoid,tanh,softplus,glorot_uniform,constant,truncated_normal,random_normal,random_normal,orthogonal,lecun_normal,orthogonal,0.25,0.5,9.0,64.0,0.0
0ecb0_00006,0.11487500369548798,0.1080000028014183,35.395713329315186,True,,,1.0,878402d3c3ca45c3bc30a5bcf21411dc,2022-09-15_11-51-17,1663242677.0,35.395713329315186,3658.0,83e87206dee1,172.17.0.2,35.395713329315186,0.0,1.0,0.004717111587524414,"6_act1=sigmoid,act2=softmax,act3=softsign,act4=tanh,batch_size=64,bi1=zeros,bi2=random_normal,bi3=random_uniform,bi4=constant,dropout1=0.2500,dropout2=0.5000,epochs=7,ki1=zeros,ki2=random_normal,ki3=he_uniform,ki4=random_uniform,layer1=2,loss=hinge,lr=4.5025,optimizer=sgd,unit1=128",hinge,64.0,sgd,4.502509527500975,sigmoid,softmax,softsign,tanh,zeros,random_normal,he_uniform,random_uniform,zeros,random_normal,random_uniform,constant,0.25,0.5,7.0,128.0,2.0
0ecb0_00007,0.09712500125169754,0.1014999970793724,66.90273237228394,True,,,1.0,8bc7b907f0864502a4f1af74ca98479f,2022-09-15_11-52-30,1663242750.0,66.90273237228394,4714.0,83e87206dee1,172.17.0.2,66.90273237228394,0.0,1.0,0.004709959030151367,"7_act1=elu,act2=softmax,act3=sigmoid,act4=sigmoid,batch_size=512,bi1=zeros,bi2=zeros,bi3=he_normal,bi4=lecun_uniform,dropout1=0.2500,dropout2=0.5000,epochs=27,ki1=glorot_uniform,ki2=glorot_normal,ki3=he_normal,ki4=zeros,layer1=2,loss=logcosh,lr=9.7819,optimizer=adam,unit1=64",logcosh,512.0,adam,9.781884970536924,elu,softmax,sigmoid,sigmoid,glorot_uniform,glorot_normal,he_normal,zeros,zeros,zeros,he_normal,lecun_uniform,0.25,0.5,27.0,64.0,2.0
0ecb0_00008,0.09475000202655792,0.10000000149011612,112.87330102920532,True,,,1.0,d59e4fb73c3c46e8a8878677b4eae5af,2022-09-15_11-54-28,1663242868.0,112.87330102920532,5904.0,83e87206dee1,172.17.0.2,112.87330102920532,0.0,1.0,0.004351377487182617,"8_act1=sigmoid,act2=softsign,act3=selu,act4=linear,batch_size=16,bi1=lecun_normal,bi2=truncated_normal,bi3=glorot_uniform,bi4=constant,dropout1=0.2500,dropout2=0.5000,epochs=9,ki1=he_normal,ki2=ones,ki3=zeros,ki4=truncated_normal,layer1=1,loss=categorical_hinge,lr=0.7353,optimizer=adadelta,unit1=128",categorical_hinge,16.0,adadelta,0.735255580559254,sigmoid,softsign,selu,linear,he_normal,ones,zeros,truncated_normal,lecun_normal,truncated_normal,glorot_uniform,constant,0.25,0.5,9.0,128.0,1.0
0ecb0_00009,0.1002499982714653,0.10400000214576721,18.577006816864014,True,,,1.0,1c093fae24af4850870bb1ba0461ce96,2022-09-15_11-54-51,1663242891.0,18.577006816864014,8330.0,83e87206dee1,172.17.0.2,18.577006816864014,0.0,1.0,0.0051343441009521484,"9_act1=hard_sigmoid,act2=sigmoid,act3=sigmoid,act4=softplus,batch_size=256,bi1=random_normal,bi2=he_uniform,bi3=truncated_normal,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=7,ki1=he_normal,ki2=lecun_normal,ki3=lecun_uniform,ki4=glorot_normal,layer1=2,loss=hinge,lr=7.4225,optimizer=sgd,unit1=128",hinge,256.0,sgd,7.42246828035376,hard_sigmoid,sigmoid,sigmoid,softplus,he_normal,lecun_normal,lecun_uniform,glorot_normal,random_normal,he_uniform,truncated_normal,zeros,0.25,0.5,7.0,128.0,2.0
