trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.dropout1,config.dropout2,config.epochs,config.unit1,config.layer1
38022b9a,0.09712500125169754,0.1014999970793724,30.106057167053223,True,,,1.0,091604b56c4648bca22644fbb2183b19,2022-09-15_18-14-55,1663265695.0,30.106057167053223,2119.0,83e87206dee1,172.17.0.2,30.106057167053223,0.0,1.0,0.0046999454498291016,"1_act1=relu,act2=relu,act3=relu,act4=linear,batch_size=128,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=12,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,layer1=1,loss=categorical_crossentropy,lr=1.0000,optimizer=adadelta,unit1=128",categorical_crossentropy,128.0,adadelta,1.0,relu,relu,relu,linear,glorot_uniform,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,zeros,0.25,0.5,12.0,128.0,1.0
3b06341c,0.09712500125169754,0.1014999970793724,44.246007680892944,True,,,1.0,2403206c9c41406485153bd17cabba7a,2022-09-15_18-15-45,1663265745.0,44.246007680892944,2361.0,83e87206dee1,172.17.0.2,44.246007680892944,0.0,1.0,0.004722118377685547,"2_act1=selu,act2=linear,act3=hard_sigmoid,act4=tanh,batch_size=128,bi1=truncated_normal,bi2=truncated_normal,bi3=he_uniform,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=19,ki1=he_normal,ki2=ones,ki3=glorot_normal,ki4=glorot_uniform,layer1=1,loss=hinge,lr=4.4338,optimizer=adagrad,unit1=128",hinge,128.0,adagrad,4.433818543745103,selu,linear,hard_sigmoid,tanh,he_normal,ones,glorot_normal,glorot_uniform,truncated_normal,truncated_normal,he_uniform,zeros,0.25,0.5,19.0,128.0,1.0
4d50904a,0.09712500125169754,0.1014999970793724,147.93002080917358,True,,,1.0,379846b160514fba8d63ca61320e6153,2022-09-15_18-18-18,1663265898.0,147.93002080917358,3153.0,83e87206dee1,172.17.0.2,147.93002080917358,0.0,1.0,0.005446910858154297,"3_act1=sigmoid,act2=selu,act3=tanh,act4=softplus,batch_size=32,bi1=constant,bi2=constant,bi3=constant,bi4=truncated_normal,dropout1=0.2500,dropout2=0.5000,epochs=22,ki1=he_uniform,ki2=he_normal,ki3=random_uniform,ki4=zeros,layer1=2,loss=hinge,lr=5.7778,optimizer=adamax,unit1=128",hinge,32.0,adamax,5.77781705178178,sigmoid,selu,tanh,softplus,he_uniform,he_normal,random_uniform,zeros,constant,constant,constant,truncated_normal,0.25,0.5,22.0,128.0,2.0
6b1ee7d4,,,,,,,,d3c498a0b13f4ef1b583cef79badedeb,2022-09-15_18-18-23,1663265903.0,,6197.0,83e87206dee1,172.17.0.2,,,,,,mean_squared_error,256.0,adagrad,8.787770674568813,elu,tanh,sigmoid,hard_sigmoid,constant,random_normal,zeros,he_uniform,constant,random_normal,ones,orthogonal,0.25,0.5,19.0,128.0,1.0
c653a586,0.09712500125169754,0.1014999970793724,112.1060721874237,True,,,1.0,9a4cacabe25647beb130d8582095a216,2022-09-15_18-20-25,1663266025.0,112.1060721874237,6478.0,83e87206dee1,172.17.0.2,112.1060721874237,0.0,1.0,0.005589723587036133,"5_act1=exponential,act2=relu,act3=elu,act4=sigmoid,batch_size=16,bi1=truncated_normal,bi2=lecun_uniform,bi3=truncated_normal,bi4=constant,dropout1=0.2500,dropout2=0.5000,epochs=6,ki1=lecun_normal,ki2=truncated_normal,ki3=random_uniform,ki4=random_normal,layer1=1,loss=kullback_leibler_divergence,lr=8.1307,optimizer=nadam,unit1=256",kullback_leibler_divergence,16.0,nadam,8.130667075164867,exponential,relu,elu,sigmoid,lecun_normal,truncated_normal,random_uniform,random_normal,truncated_normal,lecun_uniform,truncated_normal,constant,0.25,0.5,6.0,256.0,1.0
cbb070e0,,,,,,,,3e710acef1064e62a4711dd247b86155,2022-09-15_18-20-30,1663266030.0,,8364.0,83e87206dee1,172.17.0.2,,,,,,logcosh,512.0,nadam,0.5032348338617375,exponential,softplus,elu,sigmoid,zeros,ones,random_uniform,he_uniform,glorot_uniform,he_normal,zeros,orthogonal,0.25,0.5,8.0,256.0,2.0
1208504e,0.09712500125169754,0.1014999970793724,96.43213725090027,True,,,1.0,78812c81ff0b49a3baf7ea657eeac65b,2022-09-15_18-22-16,1663266136.0,96.43213725090027,8843.0,83e87206dee1,172.17.0.2,96.43213725090027,0.0,1.0,0.004788875579833984,"7_act1=softplus,act2=softsign,act3=linear,act4=hard_sigmoid,batch_size=32,bi1=glorot_normal,bi2=glorot_normal,bi3=orthogonal,bi4=lecun_uniform,dropout1=0.2500,dropout2=0.5000,epochs=16,ki1=lecun_normal,ki2=he_normal,ki3=orthogonal,ki4=constant,layer1=0,loss=mean_squared_error,lr=1.3990,optimizer=adam,unit1=128",mean_squared_error,32.0,adam,1.3989962251619008,softplus,softsign,linear,hard_sigmoid,lecun_normal,he_normal,orthogonal,constant,glorot_normal,glorot_normal,orthogonal,lecun_uniform,0.25,0.5,16.0,128.0,0.0
1765cb7a,0.09712500125169754,0.1014999970793724,44.42487382888794,True,,,1.0,2b9b5288252a4196a70f5e558da9c571,2022-09-15_18-23-06,1663266186.0,44.42487382888794,10128.0,83e87206dee1,172.17.0.2,44.42487382888794,0.0,1.0,0.00573277473449707,"8_act1=selu,act2=linear,act3=sigmoid,act4=softsign,batch_size=64,bi1=he_normal,bi2=glorot_uniform,bi3=lecun_uniform,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=10,ki1=lecun_normal,ki2=he_normal,ki3=random_normal,ki4=lecun_uniform,layer1=1,loss=categorical_crossentropy,lr=4.6146,optimizer=adam,unit1=256",categorical_crossentropy,64.0,adam,4.614597407962114,selu,linear,sigmoid,softsign,lecun_normal,he_normal,random_normal,lecun_uniform,he_normal,glorot_uniform,lecun_uniform,zeros,0.25,0.5,10.0,256.0,1.0
5433dc18,,,,,,,,9410f44bb4774ddcaa98faacbaeaa492,2022-09-15_18-23-12,1663266192.0,,10581.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,128.0,adadelta,5.28433496946008,softplus,sigmoid,relu,elu,truncated_normal,glorot_uniform,orthogonal,random_uniform,ones,random_normal,he_uniform,random_uniform,0.25,0.5,14.0,128.0,1.0
7201f1c6,0.16187499463558197,0.15850000083446503,37.32567548751831,True,,,1.0,2d0d4a431c60454d95512aa29dd6d522,2022-09-15_18-24-00,1663266240.0,37.32567548751831,10777.0,83e87206dee1,172.17.0.2,37.32567548751831,0.0,1.0,0.004904747009277344,"10_act1=tanh,act2=softmax,act3=elu,act4=tanh,batch_size=128,bi1=he_uniform,bi2=glorot_normal,bi3=zeros,bi4=constant,dropout1=0.2500,dropout2=0.5000,epochs=10,ki1=ones,ki2=he_uniform,ki3=zeros,ki4=lecun_uniform,layer1=1,loss=hinge,lr=9.6607,optimizer=adadelta,unit1=256",hinge,128.0,adadelta,9.66074729535072,tanh,softmax,elu,tanh,ones,he_uniform,zeros,lecun_uniform,he_uniform,glorot_normal,zeros,constant,0.25,0.5,10.0,256.0,1.0
