trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.dropout1,config.dropout2,config.epochs,config.unit1,config.layer1
3099791c,0.09712500125169754,0.1014999970793724,27.82063889503479,True,,,1.0,df795732ee13405588c6a637c1bfa142,2022-08-31_22-07-12,1661983632.0,27.82063889503479,2251.0,b430368dd22d,172.17.0.2,27.82063889503479,0.0,1.0,0.005178689956665039,"1_act1=relu,act2=relu,act3=relu,act4=linear,batch_size=128,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=12,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,layer1=1,loss=categorical_crossentropy,lr=1.0000,optimizer=adadelta,unit1=128",categorical_crossentropy,128.0,adadelta,1.0,relu,relu,relu,linear,glorot_uniform,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,zeros,0.25,0.5,12.0,128.0,1.0
3380ce8c,0.11487500369548798,0.1080000028014183,66.81835556030273,True,,,1.0,5abcbe9005a9492ebcbedd9b95489812,2022-08-31_22-08-25,1661983705.0,66.81835556030273,4127.0,b430368dd22d,172.17.0.2,66.81835556030273,0.0,1.0,0.004633188247680664,"2_act1=elu,act2=elu,act3=elu,act4=elu,batch_size=16,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=7,ki1=zeros,ki2=zeros,ki3=zeros,ki4=zeros,layer1=0,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=64",mean_squared_error,16.0,sgd,9.999999974752427e-07,elu,elu,elu,elu,zeros,zeros,zeros,zeros,zeros,zeros,zeros,zeros,0.25,0.5,7.0,64.0,0.0
449de01a,,,,,,,,8b061793c17747c7ae71341603bcb5d1,2022-08-31_22-08-30,1661983710.0,,4545.0,b430368dd22d,172.17.0.2,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,relu,relu,relu,relu,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,0.25,0.5,15.0,128.0,1.0
6f896fc4,0.09712500125169754,0.1014999970793724,108.56671977043152,True,,,1.0,23d6d072e232450ba47be309cae70783,2022-08-31_22-10-26,1661983826.0,108.56671977043152,4720.0,b430368dd22d,172.17.0.2,108.56671977043152,0.0,1.0,0.00508880615234375,"4_act1=hard_sigmoid,act2=hard_sigmoid,act3=selu,act4=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=random_normal,bi3=glorot_uniform,bi4=random_normal,dropout1=0.2500,dropout2=0.5000,epochs=19,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,layer1=0,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=64",mean_squared_logarithmic_error,32.0,adagrad,7.5,hard_sigmoid,hard_sigmoid,selu,hard_sigmoid,glorot_uniform,glorot_uniform,glorot_uniform,glorot_uniform,random_normal,random_normal,glorot_uniform,random_normal,0.25,0.5,19.0,64.0,0.0
73b5a2fc,,,,,,,,a34cc601549d47de9b99ad85aed13949,2022-08-31_22-10-31,1661983831.0,,5709.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adam,2.5000007152557373,selu,selu,hard_sigmoid,selu,random_normal,random_normal,random_normal,random_normal,glorot_uniform,glorot_uniform,random_normal,glorot_uniform,0.25,0.5,12.0,256.0,2.0
b7aa4b70,0.09712500125169754,0.1014999970793724,74.25139093399048,True,,,1.0,46a84ce3064a45aaa01eea4c5a16ea25,2022-08-31_22-11-54,1661983914.0,74.25139093399048,5892.0,b430368dd22d,172.17.0.2,74.25139093399048,0.0,1.0,0.004933595657348633,"6_act1=softsign,act2=softmax,act3=softsign,act4=exponential,batch_size=128,bi1=random_uniform,bi2=glorot_normal,bi3=random_uniform,bi4=he_normal,dropout1=0.2500,dropout2=0.5000,epochs=24,ki1=he_normal,ki2=glorot_normal,ki3=he_normal,ki4=random_uniform,layer1=0,loss=squared_hinge,lr=3.7500,optimizer=adamax,unit1=64",squared_hinge,128.0,adamax,3.750000476837158,softsign,softmax,softsign,exponential,he_normal,glorot_normal,he_normal,random_uniform,random_uniform,glorot_normal,random_uniform,he_normal,0.25,0.5,24.0,64.0,0.0
bd08ac06,0.09712500125169754,0.1014999970793724,69.4768283367157,True,,,1.0,8b09a5f589ff44739d14cc61ac5f17aa,2022-08-31_22-13-10,1661983990.0,69.4768283367157,6512.0,b430368dd22d,172.17.0.2,69.4768283367157,0.0,1.0,0.004990816116333008,"7_act1=exponential,act2=tanh,act3=exponential,act4=softsign,batch_size=32,bi1=he_normal,bi2=constant,bi3=he_normal,bi4=random_uniform,dropout1=0.2500,dropout2=0.5000,epochs=12,ki1=random_uniform,ki2=constant,ki3=random_uniform,ki4=he_normal,layer1=1,loss=binary_crossentropy,lr=8.7500,optimizer=adagrad,unit1=128",binary_crossentropy,32.0,adagrad,8.75,exponential,tanh,exponential,softsign,random_uniform,constant,random_uniform,he_normal,he_normal,constant,he_normal,random_uniform,0.25,0.5,12.0,128.0,1.0
ecb8c760,0.09587500244379044,0.10750000178813934,19.021472692489624,True,,,1.0,7a15a7b5e4de478ea048a8d9b9c5cebb,2022-08-31_22-13-34,1661984014.0,19.021472692489624,6930.0,b430368dd22d,172.17.0.2,19.021472692489624,0.0,1.0,0.005545854568481445,"8_act1=tanh,act2=exponential,act3=softmax,act4=softmax,batch_size=256,bi1=constant,bi2=he_normal,bi3=glorot_normal,bi4=glorot_normal,dropout1=0.2500,dropout2=0.5000,epochs=9,ki1=constant,ki2=random_uniform,ki3=constant,ki4=glorot_normal,layer1=1,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=128",mean_absolute_percentage_error,256.0,adam,6.250000476837158,tanh,exponential,softmax,softmax,constant,random_uniform,constant,glorot_normal,constant,he_normal,glorot_normal,glorot_normal,0.25,0.5,9.0,128.0,1.0
196d7e40,0.09712500125169754,0.1014999970793724,95.47549104690552,True,,,1.0,66c04dfe95d94524882d1331178a0cc4,2022-08-31_22-15-14,1661984114.0,95.47549104690552,7328.0,b430368dd22d,172.17.0.2,95.47549104690552,0.0,1.0,0.005334138870239258,"9_act1=softmax,act2=softsign,act3=tanh,act4=tanh,batch_size=64,bi1=glorot_normal,bi2=random_uniform,bi3=constant,bi4=constant,dropout1=0.2500,dropout2=0.5000,epochs=19,ki1=glorot_normal,ki2=he_normal,ki3=glorot_normal,ki4=constant,layer1=2,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=256",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,softmax,softsign,tanh,tanh,glorot_normal,he_normal,glorot_normal,constant,glorot_normal,random_uniform,constant,constant,0.25,0.5,19.0,256.0,2.0
27bc8324,0.09712500125169754,0.1014999970793724,51.004918336868286,True,,,1.0,a156d3a7dd3b4042818990a1c32481e7,2022-08-31_22-16-11,1661984171.0,51.004918336868286,7761.0,b430368dd22d,172.17.0.2,51.004918336868286,0.0,1.0,0.004779815673828125,"10_act1=tanh,act2=softplus,act3=softsign,act4=exponential,batch_size=512,bi1=lecun_normal,bi2=lecun_normal,bi3=he_normal,bi4=lecun_normal,dropout1=0.2500,dropout2=0.5000,epochs=31,ki1=lecun_normal,ki2=random_uniform,ki3=glorot_normal,ki4=ones,layer1=0,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=128",squared_hinge,512.0,adadelta,1.8750007152557373,tanh,softplus,softsign,exponential,lecun_normal,random_uniform,glorot_normal,ones,lecun_normal,lecun_normal,he_normal,lecun_normal,0.25,0.5,31.0,128.0,0.0
