trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.dropout1,config.dropout2,config.epochs,config.unit1,config.layer1
c3235_00000,0.10237500071525574,0.10649999976158142,30.182180643081665,True,,,1.0,d0779732f0c74ae097c098af85832587,2022-09-15_09-57-44,1663235864.0,30.182180643081665,14963.0,83e87206dee1,172.17.0.2,30.182180643081665,0.0,1.0,0.005404233932495117,0,categorical_crossentropy,128.0,adadelta,1.0,relu,relu,relu,linear,glorot_uniform,glorot_uniform,glorot_uniform,glorot_uniform,zeros,zeros,zeros,zeros,0.25,0.5,12.0,128.0,1.0
c3235_00001,0.09712500125169754,0.1014999970793724,112.59825658798218,True,,,1.0,ec1861b901f8419e969d3164bab2bd4d,2022-09-15_09-59-42,1663235982.0,112.59825658798218,15492.0,83e87206dee1,172.17.0.2,112.59825658798218,0.0,1.0,0.005051851272583008,"1_act1=elu,act2=linear,act3=hard_sigmoid,act4=hard_sigmoid,batch_size=32,bi1=lecun_uniform,bi2=zeros,bi3=lecun_normal,bi4=zeros,dropout1=0.2500,dropout2=0.5000,epochs=18,ki1=constant,ki2=glorot_uniform,ki3=orthogonal,ki4=random_normal,layer1=1,loss=mean_absolute_percentage_error,lr=2.5781,optimizer=adagrad,unit1=64",mean_absolute_percentage_error,32.0,adagrad,2.578140257197668,elu,linear,hard_sigmoid,hard_sigmoid,constant,glorot_uniform,orthogonal,random_normal,lecun_uniform,zeros,lecun_normal,zeros,0.25,0.5,18.0,64.0,1.0
c3235_00002,,,,,,,,82f5eef8a2bc4e6398f926bbede8dd9c,2022-09-15_09-59-48,1663235988.0,,17315.0,83e87206dee1,172.17.0.2,,,,,,binary_crossentropy,16.0,adamax,0.2812066950427701,hard_sigmoid,softplus,softsign,elu,zeros,ones,constant,lecun_normal,orthogonal,lecun_normal,he_uniform,zeros,0.25,0.5,14.0,256.0,1.0
c3235_00003,,,,,,,,a76a96105ea4492e8993f8c2cac586fc,2022-09-15_09-59-56,1663235996.0,,17563.0,83e87206dee1,172.17.0.2,,,,,,categorical_hinge,512.0,sgd,1.7747121475482188,linear,softmax,softmax,linear,orthogonal,truncated_normal,truncated_normal,lecun_uniform,zeros,constant,lecun_normal,orthogonal,0.25,0.5,14.0,128.0,1.0
c3235_00004,0.10512500256299973,0.09350000321865082,121.20752668380737,True,,,1.0,bbf15794554e46759e9c9a2d885c7b5d,2022-09-15_10-02-05,1663236125.0,121.20752668380737,17808.0,83e87206dee1,172.17.0.2,121.20752668380737,0.0,1.0,0.004836559295654297,"4_act1=linear,act2=relu,act3=linear,act4=softmax,batch_size=32,bi1=glorot_normal,bi2=zeros,bi3=truncated_normal,bi4=random_uniform,dropout1=0.2500,dropout2=0.5000,epochs=12,ki1=lecun_uniform,ki2=he_uniform,ki3=ones,ki4=random_normal,layer1=2,loss=categorical_crossentropy,lr=6.3021,optimizer=nadam,unit1=256",categorical_crossentropy,32.0,nadam,6.302078136416539,linear,relu,linear,softmax,lecun_uniform,he_uniform,ones,random_normal,glorot_normal,zeros,truncated_normal,random_uniform,0.25,0.5,12.0,256.0,2.0
c3235_00005,0.1002499982714653,0.10400000214576721,54.89058971405029,True,,,1.0,83cac9c7b74a4d799be8ed2322439984,2022-09-15_10-03-05,1663236185.0,54.89058971405029,20405.0,83e87206dee1,172.17.0.2,54.89058971405029,0.0,1.0,0.004934549331665039,"5_act1=hard_sigmoid,act2=selu,act3=exponential,act4=tanh,batch_size=128,bi1=glorot_normal,bi2=lecun_uniform,bi3=constant,bi4=constant,dropout1=0.2500,dropout2=0.5000,epochs=22,ki1=he_uniform,ki2=constant,ki3=truncated_normal,ki4=random_uniform,layer1=0,loss=categorical_hinge,lr=3.6430,optimizer=adam,unit1=128",categorical_hinge,128.0,adam,3.6430410885153055,hard_sigmoid,selu,exponential,tanh,he_uniform,constant,truncated_normal,random_uniform,glorot_normal,lecun_uniform,constant,constant,0.25,0.5,22.0,128.0,0.0
c3235_00006,0.09712500125169754,0.1014999970793724,28.092337608337402,True,,,1.0,0380addae7e84d47b5305d04a773ad22,2022-09-15_10-03-38,1663236218.0,28.092337608337402,21930.0,83e87206dee1,172.17.0.2,28.092337608337402,0.0,1.0,0.004521846771240234,"6_act1=softmax,act2=exponential,act3=softplus,act4=elu,batch_size=128,bi1=random_normal,bi2=ones,bi3=lecun_normal,bi4=glorot_normal,dropout1=0.2500,dropout2=0.5000,epochs=9,ki1=orthogonal,ki2=lecun_uniform,ki3=random_normal,ki4=constant,layer1=2,loss=poisson,lr=7.2315,optimizer=sgd,unit1=64",poisson,128.0,sgd,7.231469621571059,softmax,exponential,softplus,elu,orthogonal,lecun_uniform,random_normal,constant,random_normal,ones,lecun_normal,glorot_normal,0.25,0.5,9.0,64.0,2.0
c3235_00007,0.09587500244379044,0.10750000178813934,28.466773509979248,True,,,1.0,47e3abcf54c94fd1ad4fb454a893afbd,2022-09-15_10-04-12,1663236252.0,28.466773509979248,23338.0,83e87206dee1,172.17.0.2,28.466773509979248,0.0,1.0,0.00513148307800293,"7_act1=selu,act2=softplus,act3=tanh,act4=softplus,batch_size=256,bi1=lecun_normal,bi2=lecun_uniform,bi3=random_normal,bi4=truncated_normal,dropout1=0.2500,dropout2=0.5000,epochs=14,ki1=zeros,ki2=glorot_uniform,ki3=truncated_normal,ki4=lecun_normal,layer1=2,loss=squared_hinge,lr=4.1207,optimizer=sgd,unit1=64",squared_hinge,256.0,sgd,4.120667164904758,selu,softplus,tanh,softplus,zeros,glorot_uniform,truncated_normal,lecun_normal,lecun_normal,lecun_uniform,random_normal,truncated_normal,0.25,0.5,14.0,64.0,2.0
c3235_00008,0.11487500369548798,0.1080000028014183,327.03262209892273,True,,,1.0,f2497553c6a5460490faccb2af2b9f1b,2022-09-15_10-09-44,1663236584.0,327.03262209892273,24503.0,83e87206dee1,172.17.0.2,327.03262209892273,0.0,1.0,0.004932403564453125,"8_act1=linear,act2=tanh,act3=hard_sigmoid,act4=softplus,batch_size=16,bi1=constant,bi2=he_uniform,bi3=random_uniform,bi4=he_uniform,dropout1=0.2500,dropout2=0.5000,epochs=22,ki1=he_normal,ki2=lecun_uniform,ki3=random_normal,ki4=zeros,layer1=1,loss=binary_crossentropy,lr=0.2734,optimizer=rmsprop,unit1=128",binary_crossentropy,16.0,rmsprop,0.27344106028468923,linear,tanh,hard_sigmoid,softplus,he_normal,lecun_uniform,random_normal,zeros,constant,he_uniform,random_uniform,he_uniform,0.25,0.5,22.0,128.0,1.0
c3235_00009,0.09712500125169754,0.1014999970793724,20.905128240585327,True,,,1.0,9b91e4d9d4164ea7bb98e73bf42d752e,2022-09-15_10-10-10,1663236610.0,20.905128240585327,31912.0,83e87206dee1,172.17.0.2,20.905128240585327,0.0,1.0,0.0058231353759765625,"9_act1=relu,act2=exponential,act3=softplus,act4=elu,batch_size=128,bi1=glorot_normal,bi2=he_normal,bi3=glorot_uniform,bi4=lecun_uniform,dropout1=0.2500,dropout2=0.5000,epochs=7,ki1=lecun_normal,ki2=ones,ki3=zeros,ki4=lecun_uniform,layer1=0,loss=mean_squared_error,lr=0.7961,optimizer=adadelta,unit1=128",mean_squared_error,128.0,adadelta,0.7960589657420938,relu,exponential,softplus,elu,lecun_normal,ones,zeros,lecun_uniform,glorot_normal,he_normal,glorot_uniform,lecun_uniform,0.25,0.5,7.0,128.0,0.0
