trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
99f27caa,0.5244988799095154,0.5133333206176758,9.732903480529785,True,,,1.0,1c6860817f6c451d8757de3a1202e67b,2022-09-16_01-33-58,1663292038.0,9.732903480529785,31980.0,83e87206dee1,172.17.0.2,9.732903480529785,0.0,1.0,0.004912853240966797,"1_act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=0.0010,optimizer=adam,unit1=512",categorical_crossentropy,32.0,adam,0.001,glorot_uniform,glorot_uniform,zeros,zeros,relu,softmax,3.0,512.0
9cfce624,0.34910914301872253,0.35777777433395386,10.566177129745483,True,,,1.0,ee9642b8baa84201a3a422705e42bd91,2022-09-16_01-34-14,1663292054.0,10.566177129745483,32552.0,83e87206dee1,172.17.0.2,10.566177129745483,0.0,1.0,0.00574183464050293,"2_act1=elu,act2=elu,batch_size=16,bi1=zeros,bi2=zeros,epochs=3,ki1=zeros,ki2=zeros,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=256",mean_squared_error,16.0,sgd,9.999999974752427e-07,zeros,zeros,zeros,zeros,elu,elu,3.0,256.0
a2f12432,,,,,,,,f56c55b2745c415bb3404bfa1d29eb57,2022-09-16_01-34-19,1663292059.0,,33107.0,83e87206dee1,172.17.0.2,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,orthogonal,orthogonal,orthogonal,orthogonal,relu,relu,4.0,512.0
ac7a64f0,0.0038975500501692295,0.006666666828095913,13.571016311645508,True,,,1.0,7d2c4637476044fb97b92a3999561dd8,2022-09-16_01-34-45,1663292085.0,13.571016311645508,33513.0,83e87206dee1,172.17.0.2,13.571016311645508,0.0,1.0,0.0046138763427734375,"4_act1=hard_sigmoid,act2=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=glorot_uniform,epochs=5,ki1=glorot_uniform,ki2=glorot_uniform,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=1024",mean_squared_logarithmic_error,32.0,adagrad,7.5,glorot_uniform,glorot_uniform,random_normal,glorot_uniform,hard_sigmoid,hard_sigmoid,5.0,1024.0
b3a2107a,,,,,,,,9a6e3a203d584d149812410b8945d533,2022-09-16_01-34-50,1663292090.0,,34057.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adam,2.5000007152557373,random_normal,random_normal,glorot_uniform,random_normal,selu,selu,3.0,256.0
bef57124,0.0038975500501692295,0.006666666828095913,8.921066045761108,True,,,1.0,87dca57b498a41898835fe73ad460c5d,2022-09-16_01-35-12,1663292112.0,8.921066045761108,34527.0,83e87206dee1,172.17.0.2,8.921066045761108,0.0,1.0,0.004813671112060547,"6_act1=exponential,act2=tanh,batch_size=128,bi1=random_uniform,bi2=he_normal,epochs=5,ki1=random_uniform,ki2=constant,loss=squared_hinge,lr=3.7500,optimizer=adamax,unit1=512",squared_hinge,128.0,adamax,3.750000476837158,random_uniform,constant,random_uniform,he_normal,exponential,tanh,5.0,512.0
c6b560e0,0.5840757489204407,0.5688889026641846,11.80008053779602,True,,,1.0,e100822bd41a49c19391f26cb09a7b0a,2022-09-16_01-35-29,1663292129.0,11.80008053779602,35230.0,83e87206dee1,172.17.0.2,11.80008053779602,0.0,1.0,0.0051822662353515625,"7_act1=softsign,act2=softmax,batch_size=32,bi1=he_normal,bi2=random_uniform,epochs=4,ki1=he_normal,ki2=glorot_normal,loss=binary_crossentropy,lr=8.7500,optimizer=adagrad,unit1=1024",binary_crossentropy,32.0,adagrad,8.75,he_normal,glorot_normal,he_normal,random_uniform,softsign,softmax,4.0,1024.0
cf0ddfc4,0.008351893164217472,0.004444444552063942,8.599510669708252,True,,,1.0,b4c3ea0315744399b0597b7a947cfc72,2022-09-16_01-35-43,1663292143.0,8.599510669708252,36608.0,83e87206dee1,172.17.0.2,8.599510669708252,0.0,1.0,0.005211353302001953,"8_act1=softmax,act2=softsign,batch_size=256,bi1=constant,bi2=constant,epochs=3,ki1=glorot_normal,ki2=he_normal,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=512",mean_absolute_percentage_error,256.0,adam,6.250000476837158,glorot_normal,he_normal,constant,constant,softmax,softsign,3.0,512.0
d930316e,0.0038975500501692295,0.006666666828095913,8.880073547363281,True,,,1.0,5300f56ed78949758e2b008d37fcd892,2022-09-16_01-35-57,1663292157.0,8.880073547363281,37172.0,83e87206dee1,172.17.0.2,8.880073547363281,0.0,1.0,0.006174325942993164,"9_act1=tanh,act2=exponential,batch_size=64,bi1=glorot_normal,bi2=glorot_normal,epochs=4,ki1=constant,ki2=random_uniform,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=256",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,constant,random_uniform,glorot_normal,glorot_normal,tanh,exponential,4.0,256.0
e188d532,0.34910914301872253,0.35777777433395386,9.698077201843262,True,,,1.0,0be4a12e5a4043e1b7b3d9871ca157ce,2022-09-16_01-36-12,1663292172.0,9.698077201843262,37746.0,83e87206dee1,172.17.0.2,9.698077201843262,0.0,1.0,0.005285739898681641,"10_act1=exponential,act2=softplus,batch_size=512,bi1=truncated_normal,bi2=lecun_normal,epochs=4,ki1=lecun_uniform,ki2=random_uniform,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=256",squared_hinge,512.0,adadelta,1.8750007152557373,lecun_uniform,random_uniform,truncated_normal,lecun_normal,exponential,softplus,4.0,256.0
e9e1129e,0.0038975500501692295,0.006666666828095913,10.455642700195312,True,,,1.0,5f7fad60cf7847288c39146e5b586ca7,2022-09-16_01-36-28,1663292188.0,10.455642700195312,38335.0,83e87206dee1,172.17.0.2,10.455642700195312,0.0,1.0,0.005150794982910156,"11_act1=softsign,act2=hard_sigmoid,batch_size=64,bi1=lecun_normal,bi2=truncated_normal,epochs=3,ki1=ones,ki2=he_normal,loss=binary_crossentropy,lr=6.8750,optimizer=nadam,unit1=512",binary_crossentropy,64.0,nadam,6.875000476837158,ones,he_normal,lecun_normal,truncated_normal,softsign,hard_sigmoid,3.0,512.0
f2d25804,0.0038975500501692295,0.006666666828095913,8.82922625541687,True,,,1.0,bff254c6516749a092ec139834d4c7b7,2022-09-16_01-36-42,1663292202.0,8.82922625541687,38955.0,83e87206dee1,172.17.0.2,8.82922625541687,0.0,1.0,0.005326032638549805,"12_act1=selu,act2=tanh,batch_size=128,bi1=constant,bi2=constant,epochs=4,ki1=random_uniform,ki2=lecun_uniform,loss=mean_absolute_error,lr=9.3750,optimizer=rmsprop,unit1=1024",mean_absolute_error,128.0,rmsprop,9.375,random_uniform,lecun_uniform,constant,constant,selu,tanh,4.0,1024.0
fc5c736e,,,,,,,,17af76f5f5014e47a711f7424b26930c,2022-09-16_01-36-47,1663292207.0,,39539.0,83e87206dee1,172.17.0.2,,,,,,logcosh,32.0,adam,4.375000476837158,he_normal,ones,glorot_normal,glorot_normal,sigmoid,softmax,5.0,512.0
04b54ae0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
