trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
79b53_00000,0.46380847692489624,0.46888887882232666,12.866904497146606,True,,,1.0,0fe21205e8d34277ba5c3fa91247b7b1,2022-09-17_22-38-57,1663454337.0,12.866904497146606,10857.0,83e87206dee1,172.17.0.2,12.866904497146606,0.0,1.0,0.0058917999267578125,0,categorical_crossentropy,32.0,adam,1.0,glorot_uniform,glorot_uniform,zeros,zeros,relu,softmax,3.0,512.0
79b53_00001,0.34910914301872253,0.35777777433395386,12.074770450592041,True,,,1.0,9a469ad5bf034c36bda924c9f55e277f,2022-09-17_22-39-15,1663454355.0,12.074770450592041,11542.0,83e87206dee1,172.17.0.2,12.074770450592041,0.0,1.0,0.005769968032836914,"1_act1=sigmoid,act2=linear,batch_size=64,bi1=constant,bi2=lecun_uniform,epochs=6,ki1=lecun_uniform,ki2=ones,loss=squared_hinge,lr=6.5275,optimizer=adagrad,unit1=256",squared_hinge,64.0,adagrad,6.52746142577264,lecun_uniform,ones,constant,lecun_uniform,sigmoid,linear,6.0,256.0
79b53_00002,,,,,,,,aca838725f85434eb4508edaa0f01336,2022-09-17_22-39-19,1663454359.0,,12146.0,83e87206dee1,172.17.0.2,,,,,,hinge,256.0,adamax,2.9314780094624027,ones,orthogonal,glorot_uniform,orthogonal,elu,tanh,3.0,1024.0
79b53_00003,0.01614699326455593,0.024444444105029106,9.916236162185669,True,,,1.0,5dc07ef22822403083af3090a8469120,2022-09-17_22-39-41,1663454381.0,9.916236162185669,12582.0,83e87206dee1,172.17.0.2,9.916236162185669,0.0,1.0,0.004748106002807617,"3_act1=softplus,act2=linear,batch_size=64,bi1=zeros,bi2=random_uniform,epochs=4,ki1=ones,ki2=ones,loss=poisson,lr=6.4293,optimizer=adadelta,unit1=1024",poisson,64.0,adadelta,6.4292559932169695,ones,ones,zeros,random_uniform,softplus,linear,4.0,1024.0
79b53_00004,0.34910914301872253,0.35777777433395386,13.20556902885437,True,,,1.0,3e454db868014c42bec46bd274cf91c9,2022-09-17_22-39-59,1663454399.0,13.20556902885437,13307.0,83e87206dee1,172.17.0.2,13.20556902885437,0.0,1.0,0.005989551544189453,"4_act1=hard_sigmoid,act2=softmax,batch_size=64,bi1=random_uniform,bi2=truncated_normal,epochs=3,ki1=random_normal,ki2=random_uniform,loss=mean_absolute_error,lr=0.3423,optimizer=nadam,unit1=1024",mean_absolute_error,64.0,nadam,0.3422820739771804,random_normal,random_uniform,random_uniform,truncated_normal,hard_sigmoid,softmax,3.0,1024.0
79b53_00005,0.0038975500501692295,0.006666666828095913,11.533886432647705,True,,,1.0,b7cfef1866d64ffeaf4408e0be96a2e0,2022-09-17_22-40-16,1663454416.0,11.533886432647705,13917.0,83e87206dee1,172.17.0.2,11.533886432647705,0.0,1.0,0.006290435791015625,"5_act1=tanh,act2=elu,batch_size=32,bi1=lecun_uniform,bi2=he_normal,epochs=4,ki1=zeros,ki2=glorot_uniform,loss=mean_squared_logarithmic_error,lr=7.7976,optimizer=adamax,unit1=1024",mean_squared_logarithmic_error,32.0,adamax,7.797587968121534,zeros,glorot_uniform,lecun_uniform,he_normal,tanh,elu,4.0,1024.0
79b53_00006,,,,,,,,008ea908a4124821b79f6902b052af0c,2022-09-17_22-40-21,1663454421.0,,14506.0,83e87206dee1,172.17.0.2,,,,,,mean_squared_error,512.0,sgd,5.416342604974455,he_uniform,glorot_normal,orthogonal,glorot_normal,relu,relu,5.0,512.0
79b53_00007,0.00334075721912086,0.002222222276031971,14.285055160522461,True,,,1.0,e46f7d15b5244711b72c9448c516ee0d,2022-09-17_22-40-47,1663454447.0,14.285055160522461,14902.0,83e87206dee1,172.17.0.2,14.285055160522461,0.0,1.0,0.006281614303588867,"7_act1=relu,act2=softmax,batch_size=32,bi1=random_uniform,bi2=he_normal,epochs=6,ki1=ones,ki2=orthogonal,loss=mean_squared_logarithmic_error,lr=9.0057,optimizer=rmsprop,unit1=256",mean_squared_logarithmic_error,32.0,rmsprop,9.005723111791555,ones,orthogonal,random_uniform,he_normal,relu,softmax,6.0,256.0
79b53_00008,,,,,,,,ed1776c73a4944a883f548fba6c65947,2022-09-17_22-40-51,1663454451.0,,15630.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,128.0,sgd,2.74055293281684,zeros,random_uniform,glorot_normal,truncated_normal,exponential,tanh,3.0,512.0
79b53_00009,0.34910914301872253,0.35777777433395386,9.307376384735107,True,,,1.0,0f106bc7b9ca474bbc64b8e63abb7d35,2022-09-17_22-41-15,1663454475.0,9.307376384735107,16038.0,83e87206dee1,172.17.0.2,9.307376384735107,0.0,1.0,0.0048143863677978516,"9_act1=hard_sigmoid,act2=softsign,batch_size=256,bi1=lecun_uniform,bi2=ones,epochs=5,ki1=truncated_normal,ki2=he_normal,loss=hinge,lr=9.0002,optimizer=adagrad,unit1=512",hinge,256.0,adagrad,9.000186518462408,truncated_normal,he_normal,lecun_uniform,ones,hard_sigmoid,softsign,5.0,512.0
79b53_00010,0.0038975500501692295,0.006666666828095913,15.81431794166565,True,,,1.0,ee9a4329f7d14627900f71a4dbe82dfb,2022-09-17_22-41-35,1663454495.0,15.81431794166565,16607.0,83e87206dee1,172.17.0.2,15.81431794166565,0.0,1.0,0.005854606628417969,"10_act1=linear,act2=elu,batch_size=16,bi1=lecun_normal,bi2=truncated_normal,epochs=5,ki1=glorot_uniform,ki2=ones,loss=poisson,lr=4.0438,optimizer=rmsprop,unit1=256",poisson,16.0,rmsprop,4.043815611108742,glorot_uniform,ones,lecun_normal,truncated_normal,linear,elu,5.0,256.0
79b53_00011,,,,,,,,61460240193e424f93a4918fc423e739,2022-09-17_22-41-40,1663454500.0,,17237.0,83e87206dee1,172.17.0.2,,,,,,mean_squared_logarithmic_error,64.0,rmsprop,0.6824979852912105,he_normal,lecun_uniform,he_normal,random_normal,elu,linear,5.0,1024.0
79b53_00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b53_00032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
