trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
ec57651a,0.7210467457771301,0.6866666674613953,10.882923126220703,True,,,1.0,23da3daba30042379fc4728e123b5022,2022-09-17_22-49-17,1663454957.0,10.882923126220703,33470.0,83e87206dee1,172.17.0.2,10.882923126220703,0.0,1.0,0.0051991939544677734,"1_act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=hinge,lr=0.0010,optimizer=adam,unit1=512",hinge,32.0,adam,0.001,glorot_uniform,glorot_uniform,zeros,zeros,relu,softmax,3.0,512.0
ef39d1dc,0.0038975500501692295,0.006666666828095913,12.564980745315552,True,,,1.0,d885a203e3fd42609e282da24604684c,2022-09-17_22-49-35,1663454975.0,12.564980745315552,34820.0,83e87206dee1,172.17.0.2,12.564980745315552,0.0,1.0,0.004693031311035156,"2_act1=softplus,act2=elu,batch_size=64,bi1=glorot_normal,bi2=glorot_normal,epochs=8,ki1=he_uniform,ki2=constant,loss=hinge,lr=8.2803,optimizer=sgd,unit1=1024",hinge,64.0,sgd,8.28034595858965,he_uniform,constant,glorot_normal,glorot_normal,softplus,elu,8.0,1024.0
f6420c60,0.047327395528554916,0.06222222372889519,10.698920488357544,True,,,1.0,c5257b77dd124290ae8a3390a00d079d,2022-09-17_22-49-50,1663454990.0,10.698920488357544,35520.0,83e87206dee1,172.17.0.2,10.698920488357544,0.0,1.0,0.005337715148925781,"3_act1=softsign,act2=hard_sigmoid,batch_size=512,bi1=ones,bi2=random_uniform,epochs=6,ki1=random_uniform,ki2=he_uniform,loss=poisson,lr=8.5055,optimizer=sgd,unit1=256",poisson,512.0,sgd,8.505530048890849,random_uniform,he_uniform,ones,random_uniform,softsign,hard_sigmoid,6.0,256.0
0064ab30,0.0038975500501692295,0.006666666828095913,11.448877811431885,True,,,1.0,a4e2be3d7b4741fe959e3b68b176a613,2022-09-17_22-50-07,1663455007.0,11.448877811431885,36106.0,83e87206dee1,172.17.0.2,11.448877811431885,0.0,1.0,0.005248308181762695,"4_act1=elu,act2=selu,batch_size=512,bi1=he_normal,bi2=glorot_uniform,epochs=5,ki1=he_uniform,ki2=orthogonal,loss=poisson,lr=0.3957,optimizer=rmsprop,unit1=512",poisson,512.0,rmsprop,0.39572480719106806,he_uniform,orthogonal,he_normal,glorot_uniform,elu,selu,5.0,512.0
09ee8e28,,,,,,,,0a4d42ca590d415490f8dd77742b0d9a,2022-09-17_22-50-12,1663455012.0,,37672.0,83e87206dee1,172.17.0.2,,,,,,mean_squared_error,256.0,sgd,0.7090562485717412,lecun_uniform,glorot_uniform,orthogonal,constant,relu,softmax,6.0,256.0
1410ea68,0.0038975500501692295,0.006666666828095913,12.052119731903076,True,,,1.0,0e8405607e8a452e884d5afedd128cc7,2022-09-17_22-50-36,1663455036.0,12.052119731903076,38020.0,83e87206dee1,172.17.0.2,12.052119731903076,0.0,1.0,0.005011796951293945,"6_act1=selu,act2=selu,batch_size=16,bi1=ones,bi2=glorot_normal,epochs=3,ki1=constant,ki2=orthogonal,loss=mean_absolute_percentage_error,lr=0.5874,optimizer=adagrad,unit1=512",mean_absolute_percentage_error,16.0,adagrad,0.5874005022677949,constant,orthogonal,ones,glorot_normal,selu,selu,3.0,512.0
1b383954,,,,,,,,ca09d6a55d9247b7a84a763056d5c286,2022-09-17_22-50-41,1663455041.0,,38639.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,16.0,sgd,1.0584695371545958,glorot_normal,lecun_normal,lecun_uniform,random_normal,tanh,sigmoid,5.0,512.0
255a7f78,,,,,,,,f23e50dca2bf45f6842dc64cae58847c,2022-09-17_22-50-54,1663455054.0,,39166.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,32.0,adadelta,6.890523358217362,ones,lecun_uniform,he_uniform,lecun_normal,hard_sigmoid,tanh,8.0,256.0
2d1a876c,,,,,,,,92d832843cad4ea0834f28fe8bcff2e8,2022-09-17_22-51-09,1663455069.0,,39688.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adagrad,1.8823744923713985,glorot_normal,zeros,glorot_normal,random_uniform,softplus,relu,6.0,1024.0
360b8b14,0.04565701633691788,0.06222222372889519,12.822498321533203,True,,,1.0,41bb66a671d64c6b829536377fa821e3,2022-09-17_22-51-35,1663455095.0,12.822498321533203,40138.0,83e87206dee1,172.17.0.2,12.822498321533203,0.0,1.0,0.005913972854614258,"10_act1=softmax,act2=sigmoid,batch_size=32,bi1=truncated_normal,bi2=ones,epochs=3,ki1=random_normal,ki2=random_uniform,loss=categorical_crossentropy,lr=3.1542,optimizer=nadam,unit1=1024",categorical_crossentropy,32.0,nadam,3.1542457495521803,random_normal,random_uniform,truncated_normal,ones,softmax,sigmoid,3.0,1024.0
