trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
9e3462f6,0.6714922189712524,0.6511111259460449,9.941390752792358,True,,,1.0,094390215ef54a6d8a22b0258d5431f5,2022-09-17_19-55-17,1663444517.0,9.941390752792358,27297.0,83e87206dee1,172.17.0.2,9.941390752792358,0.0,1.0,0.0046994686126708984,"1_act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=hinge,lr=0.0010,optimizer=adam,unit1=512",hinge,32.0,adam,0.001,glorot_uniform,glorot_uniform,zeros,zeros,relu,softmax,3.0,512.0
a10dfb04,0.34910914301872253,0.35777777433395386,10.815940618515015,True,,,1.0,e3232474adfd4ce7921cd06d2ede88c8,2022-09-17_19-55-32,1663444532.0,10.815940618515015,27884.0,83e87206dee1,172.17.0.2,10.815940618515015,0.0,1.0,0.0045320987701416016,"2_act1=elu,act2=elu,batch_size=16,bi1=zeros,bi2=zeros,epochs=3,ki1=zeros,ki2=zeros,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=256",mean_squared_error,16.0,sgd,9.999999974752427e-07,zeros,zeros,zeros,zeros,elu,elu,3.0,256.0
a9e66fd6,,,,,,,,6e465c3f3d144f66a2dcc6dbcf153b34,2022-09-17_19-55-37,1663444537.0,,28545.0,83e87206dee1,172.17.0.2,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,orthogonal,orthogonal,orthogonal,orthogonal,relu,relu,5.0,512.0
b0c20ee6,0.0038975500501692295,0.006666666828095913,12.311362028121948,True,,,1.0,f7a21c8c02cd4c65bf0cd30cabf9d7ea,2022-09-17_19-56-01,1663444561.0,12.311362028121948,29073.0,83e87206dee1,172.17.0.2,12.311362028121948,0.0,1.0,0.005870342254638672,"4_act1=hard_sigmoid,act2=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=glorot_uniform,epochs=5,ki1=glorot_uniform,ki2=glorot_uniform,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=1024",mean_squared_logarithmic_error,32.0,adagrad,7.5,glorot_uniform,glorot_uniform,random_normal,glorot_uniform,hard_sigmoid,hard_sigmoid,5.0,1024.0
b75101a4,,,,,,,,e745acdafb45453eb9b21685676305bd,2022-09-17_19-56-07,1663444567.0,,29705.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adam,2.5000007152557373,random_normal,random_normal,glorot_uniform,random_normal,selu,selu,4.0,256.0
c20b9258,0.0038975500501692295,0.006666666828095913,11.27586317062378,True,,,1.0,fcf70369334c471ca978eeff40d5734c,2022-09-17_19-56-31,1663444591.0,11.27586317062378,30279.0,83e87206dee1,172.17.0.2,11.27586317062378,0.0,1.0,0.005047321319580078,"6_act1=exponential,act2=tanh,batch_size=128,bi1=random_uniform,bi2=he_normal,epochs=7,ki1=random_uniform,ki2=constant,loss=squared_hinge,lr=3.7500,optimizer=adamax,unit1=512",squared_hinge,128.0,adamax,3.750000476837158,random_uniform,constant,random_uniform,he_normal,exponential,tanh,7.0,512.0
c9cb61c6,0.34910914301872253,0.35777777433395386,10.998304605484009,True,,,1.0,95ee87499bc845329faca370c648b650,2022-09-17_19-56-48,1663444608.0,10.998304605484009,30746.0,83e87206dee1,172.17.0.2,10.998304605484009,0.0,1.0,0.00568699836730957,"7_act1=softsign,act2=softmax,batch_size=32,bi1=he_normal,bi2=random_uniform,epochs=4,ki1=he_normal,ki2=glorot_normal,loss=binary_crossentropy,lr=8.7500,optimizer=adagrad,unit1=1024",binary_crossentropy,32.0,adagrad,8.75,he_normal,glorot_normal,he_normal,random_uniform,softsign,softmax,4.0,1024.0
d3ee5d84,0.0038975500501692295,0.006666666828095913,8.129966020584106,True,,,1.0,888b41dd4e644570aed2c0114757842a,2022-09-17_19-57-01,1663444621.0,8.129966020584106,31338.0,83e87206dee1,172.17.0.2,8.129966020584106,0.0,1.0,0.005324363708496094,"8_act1=softmax,act2=softsign,batch_size=256,bi1=constant,bi2=constant,epochs=3,ki1=glorot_normal,ki2=he_normal,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=512",mean_absolute_percentage_error,256.0,adam,6.250000476837158,glorot_normal,he_normal,constant,constant,softmax,softsign,3.0,512.0
dd7807d8,0.0038975500501692295,0.006666666828095913,11.029444456100464,True,,,1.0,32fe0872ba0a4467803ea4e5fdb9fae7,2022-09-17_19-57-17,1663444637.0,11.029444456100464,31903.0,83e87206dee1,172.17.0.2,11.029444456100464,0.0,1.0,0.005100727081298828,"9_act1=tanh,act2=exponential,batch_size=64,bi1=glorot_normal,bi2=glorot_normal,epochs=5,ki1=constant,ki2=random_uniform,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=256",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,constant,random_uniform,glorot_normal,glorot_normal,tanh,exponential,5.0,256.0
e537eaa6,0.34910914301872253,0.35777777433395386,11.260634183883667,True,,,1.0,12441f793ae047cd8c1f738733f827fa,2022-09-17_19-57-33,1663444653.0,11.260634183883667,32395.0,83e87206dee1,172.17.0.2,11.260634183883667,0.0,1.0,0.004672050476074219,"10_act1=exponential,act2=softplus,batch_size=512,bi1=truncated_normal,bi2=lecun_normal,epochs=5,ki1=lecun_uniform,ki2=random_uniform,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=256",squared_hinge,512.0,adadelta,1.8750007152557373,lecun_uniform,random_uniform,truncated_normal,lecun_normal,exponential,softplus,5.0,256.0
