trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
902e4_00000,0.7110245227813721,0.6822222471237183,20.720816135406494,True,,,1.0,6df4cc0258fc46f1b330763ce997972f,2022-09-11_19-04-57,1662923097.0,20.720816135406494,29642.0,83e87206dee1,172.17.0.3,20.720816135406494,0.0,1.0,0.008847713470458984,0,hinge,32.0,adam,0.001,glorot_uniform,glorot_uniform,zeros,zeros,relu,softmax,3.0,512.0
902e4_00001,0.0011135857785120606,0.002222222276031971,14.105855703353882,True,,,1.0,56e7b23a85e44a1e9e970e7e832711f8,2022-09-11_19-05-17,1662923117.0,14.105855703353882,30545.0,83e87206dee1,172.17.0.3,14.105855703353882,0.0,1.0,0.008396148681640625,"1_act1=tanh,act2=selu,batch_size=128,bi1=glorot_normal,bi2=random_normal,epochs=4,ki1=glorot_uniform,ki2=zeros,loss=binary_crossentropy,lr=4.5562,optimizer=rmsprop,unit1=1024",binary_crossentropy,128.0,rmsprop,4.55619210875336,glorot_uniform,zeros,glorot_normal,random_normal,tanh,selu,4.0,1024.0
902e4_00002,0.34910914301872253,0.35777777433395386,12.143948078155518,True,,,1.0,5b72c7e57c0e4800b7962613a8beb5dd,2022-09-11_19-05-36,1662923136.0,12.143948078155518,32053.0,83e87206dee1,172.17.0.3,12.143948078155518,0.0,1.0,0.003881216049194336,"2_act1=sigmoid,act2=sigmoid,batch_size=64,bi1=zeros,bi2=lecun_normal,epochs=7,ki1=ones,ki2=lecun_uniform,loss=logcosh,lr=2.6105,optimizer=adadelta,unit1=512",logcosh,64.0,adadelta,2.610486001299955,ones,lecun_uniform,zeros,lecun_normal,sigmoid,sigmoid,7.0,512.0
902e4_00003,,,,,,,,153c346afd2145838587e8212a46afc6,2022-09-11_19-05-41,1662923141.0,,32645.0,83e87206dee1,172.17.0.3,,,,,,mean_squared_logarithmic_error,512.0,adadelta,1.6488486007666079,lecun_uniform,lecun_normal,lecun_uniform,orthogonal,hard_sigmoid,softmax,6.0,512.0
902e4_00004,0.0038975500501692295,0.006666666828095913,11.626917123794556,True,,,1.0,70795f911e334a3db034561759aba941,2022-09-11_19-06-07,1662923167.0,11.626917123794556,33319.0,83e87206dee1,172.17.0.3,11.626917123794556,0.0,1.0,0.005645751953125,"4_act1=selu,act2=selu,batch_size=512,bi1=lecun_uniform,bi2=glorot_uniform,epochs=7,ki1=glorot_uniform,ki2=random_normal,loss=logcosh,lr=6.6191,optimizer=adamax,unit1=256",logcosh,512.0,adamax,6.619136664456483,glorot_uniform,random_normal,lecun_uniform,glorot_uniform,selu,selu,7.0,256.0
902e4_00005,0.0038975500501692295,0.006666666828095913,13.522723913192749,True,,,1.0,3cea308d87344d7bab1c459c4fc59f3e,2022-09-11_19-06-27,1662923187.0,13.522723913192749,34136.0,83e87206dee1,172.17.0.3,13.522723913192749,0.0,1.0,0.005533695220947266,"5_act1=exponential,act2=softmax,batch_size=32,bi1=glorot_normal,bi2=random_uniform,epochs=6,ki1=constant,ki2=lecun_normal,loss=mean_absolute_percentage_error,lr=0.5561,optimizer=adagrad,unit1=1024",mean_absolute_percentage_error,32.0,adagrad,0.5560561611990846,constant,lecun_normal,glorot_normal,random_uniform,exponential,softmax,6.0,1024.0
902e4_00006,0.34910914301872253,0.35777777433395386,16.77670407295227,True,,,1.0,836910840b484a59a0f69698b8263bb7,2022-09-11_19-06-50,1662923210.0,16.77670407295227,34934.0,83e87206dee1,172.17.0.3,16.77670407295227,0.0,1.0,0.005071401596069336,"6_act1=hard_sigmoid,act2=softmax,batch_size=128,bi1=zeros,bi2=truncated_normal,epochs=4,ki1=orthogonal,ki2=orthogonal,loss=mean_absolute_error,lr=9.0918,optimizer=adadelta,unit1=1024",mean_absolute_error,128.0,adadelta,9.091752731360593,orthogonal,orthogonal,zeros,truncated_normal,hard_sigmoid,softmax,4.0,1024.0
902e4_00007,,,,,,,,049e16c662224f3eb611675f0328a0d6,2022-09-11_19-06-55,1662923215.0,,35704.0,83e87206dee1,172.17.0.3,,,,,,sparse_categorical_crossentropy,256.0,sgd,8.631355514221852,random_normal,truncated_normal,random_uniform,he_uniform,elu,softplus,4.0,256.0
902e4_00008,,,,,,,,a4554faee11d4a8eb246f8d455455be4,2022-09-11_19-07-11,1662923231.0,,36426.0,83e87206dee1,172.17.0.3,,,,,,sparse_categorical_crossentropy,32.0,adamax,5.960819956301105,glorot_normal,random_uniform,lecun_uniform,glorot_normal,exponential,softsign,4.0,256.0
902e4_00009,0.0038975500501692295,0.006666666828095913,13.401692390441895,True,,,1.0,0985b45ca654434da039c77bd5a76b56,2022-09-11_19-07-40,1662923260.0,13.401692390441895,37137.0,83e87206dee1,172.17.0.3,13.401692390441895,0.0,1.0,0.004843473434448242,"9_act1=selu,act2=relu,batch_size=128,bi1=random_uniform,bi2=lecun_normal,epochs=7,ki1=he_normal,ki2=ones,loss=binary_crossentropy,lr=0.1518,optimizer=nadam,unit1=1024",binary_crossentropy,128.0,nadam,0.1517698076913867,he_normal,ones,random_uniform,lecun_normal,selu,relu,7.0,1024.0
