trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
b21c45ea,0.5111358761787415,0.5022222399711609,10.57386827468872,True,,,1.0,81f664a1abb643d8b29d8ea94c3f63a3,2022-09-17_21-07-26,1663448846.0,10.57386827468872,35940.0,83e87206dee1,172.17.0.2,10.57386827468872,0.0,1.0,0.006665706634521484,"1_act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=0.0010,optimizer=sgd,unit1=512",categorical_crossentropy,32.0,sgd,0.001,glorot_uniform,glorot_uniform,zeros,zeros,relu,softmax,3.0,512.0
b4f0f522,,,,,,,,9ec21d5ecaae4057bc98d09280213cc1,2022-09-17_21-07-31,1663448851.0,,36539.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,sgd,0.7248847227062403,he_normal,truncated_normal,ones,glorot_normal,hard_sigmoid,softplus,6.0,256.0
bbad3240,0.047327395528554916,0.06222222372889519,8.067840099334717,True,,,1.0,aa9bde101c914972979ad4434567f981,2022-09-17_21-07-53,1663448873.0,8.067840099334717,37102.0,83e87206dee1,172.17.0.2,8.067840099334717,0.0,1.0,0.005314350128173828,"3_act1=relu,act2=hard_sigmoid,batch_size=512,bi1=glorot_normal,bi2=lecun_normal,epochs=5,ki1=random_uniform,ki2=orthogonal,loss=categorical_hinge,lr=6.0166,optimizer=adamax,unit1=512",categorical_hinge,512.0,adamax,6.016555322394491,random_uniform,orthogonal,glorot_normal,lecun_normal,relu,hard_sigmoid,5.0,512.0
c4060502,0.0038975500501692295,0.006666666828095913,20.892234325408936,True,,,1.0,6d9dd1bcb4e1489f99a849013ec87f15,2022-09-17_21-08-19,1663448899.0,20.892234325408936,37601.0,83e87206dee1,172.17.0.2,20.892234325408936,0.0,1.0,0.005018472671508789,"4_act1=linear,act2=softsign,batch_size=32,bi1=glorot_uniform,bi2=he_normal,epochs=8,ki1=ones,ki2=truncated_normal,loss=categorical_crossentropy,lr=7.8434,optimizer=nadam,unit1=1024",categorical_crossentropy,32.0,nadam,7.843389533561732,ones,truncated_normal,glorot_uniform,he_normal,linear,softsign,8.0,1024.0
cbc5fb80,0.008351893164217472,0.004444444552063942,11.695687294006348,True,,,1.0,53161a8759444f398c5ee2225dd75aa3,2022-09-17_21-08-36,1663448916.0,11.695687294006348,38329.0,83e87206dee1,172.17.0.2,11.695687294006348,0.0,1.0,0.005457401275634766,"5_act1=relu,act2=tanh,batch_size=32,bi1=lecun_uniform,bi2=constant,epochs=3,ki1=constant,ki2=truncated_normal,loss=mean_squared_logarithmic_error,lr=7.1333,optimizer=adam,unit1=512",mean_squared_logarithmic_error,32.0,adam,7.133339954680931,constant,truncated_normal,lecun_uniform,constant,relu,tanh,3.0,512.0
db45a8f8,,,,,,,,e0d34fe50e974bce8c1363f9b68411de,2022-09-17_21-08-41,1663448921.0,,39008.0,83e87206dee1,172.17.0.2,,,,,,logcosh,512.0,nadam,4.046344502125203,lecun_normal,orthogonal,orthogonal,random_uniform,sigmoid,relu,8.0,512.0
e567f624,0.5885300636291504,0.6000000238418579,9.360932350158691,True,,,1.0,d0c1c354523d4898b08e2d319961b8e2,2022-09-17_21-09-02,1663448942.0,9.360932350158691,39486.0,83e87206dee1,172.17.0.2,9.360932350158691,0.0,1.0,0.005118131637573242,"7_act1=relu,act2=softmax,batch_size=256,bi1=zeros,bi2=lecun_uniform,epochs=5,ki1=truncated_normal,ki2=orthogonal,loss=categorical_hinge,lr=7.2866,optimizer=sgd,unit1=512",categorical_hinge,256.0,sgd,7.286584694385756,truncated_normal,orthogonal,zeros,lecun_uniform,relu,softmax,5.0,512.0
ec8f6158,0.0038975500501692295,0.006666666828095913,8.501687288284302,True,,,1.0,224e6b94ae504edd891e5153e0a059c3,2022-09-17_21-09-15,1663448955.0,8.501687288284302,40049.0,83e87206dee1,172.17.0.2,8.501687288284302,0.0,1.0,0.004561185836791992,"8_act1=exponential,act2=softmax,batch_size=512,bi1=constant,bi2=glorot_uniform,epochs=6,ki1=glorot_normal,ki2=ones,loss=mean_squared_error,lr=5.1994,optimizer=rmsprop,unit1=1024",mean_squared_error,512.0,rmsprop,5.199367810568403,glorot_normal,ones,constant,glorot_uniform,exponential,softmax,6.0,1024.0
f4e8202e,,,,,,,,68dba2a60b174abdb1245cc4374b1146,2022-09-17_21-09-21,1663448961.0,,40619.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,32.0,nadam,1.1888619032676055,lecun_normal,he_uniform,glorot_normal,glorot_normal,relu,relu,3.0,256.0
fd405278,,,,,,,,cedb556419c54a3a8136e1377501cd28,2022-09-17_21-09-34,1663448974.0,,501.0,83e87206dee1,172.17.0.2,,,,,,mean_squared_logarithmic_error,512.0,adadelta,7.827719394810708,orthogonal,glorot_normal,orthogonal,ones,sigmoid,softsign,8.0,256.0
