trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
843a1e1c,0.5400890707969666,0.5400000214576721,11.923478603363037,True,,,1.0,616a3077e9084f0cacf8cf95bf6daf1d,2022-09-12_05-48-41,1662961721.0,11.923478603363037,10994.0,83e87206dee1,172.17.0.3,11.923478603363037,0.0,1.0,0.006129264831542969,"1_act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=ones,ki2=glorot_uniform,loss=categorical_crossentropy,lr=0.0010,optimizer=adam,unit1=512",categorical_crossentropy,32.0,adam,0.001,ones,glorot_uniform,zeros,zeros,relu,softmax,3.0,512.0
8707d576,,,,,,,,a79edbfdcc6f4790842a43523e15a3fd,2022-09-12_05-48-46,1662961726.0,,11567.0,83e87206dee1,172.17.0.3,,,,,,sparse_categorical_crossentropy,16.0,nadam,9.27897606575036,lecun_uniform,random_uniform,he_uniform,he_normal,linear,exponential,5.0,1024.0
8eaf97dc,0.0038975500501692295,0.006666666828095913,15.626030206680298,True,,,1.0,ac44b61f3c8a41fdbce31ce4626a621b,2022-09-12_05-49-18,1662961758.0,15.626030206680298,12014.0,83e87206dee1,172.17.0.3,15.626030206680298,0.0,1.0,0.00579833984375,"3_act1=tanh,act2=relu,batch_size=16,bi1=truncated_normal,bi2=lecun_normal,epochs=3,ki1=he_normal,ki2=random_normal,loss=categorical_hinge,lr=2.1578,optimizer=rmsprop,unit1=512",categorical_hinge,16.0,rmsprop,2.1578031486499865,he_normal,random_normal,truncated_normal,lecun_normal,tanh,relu,3.0,512.0
983941ea,0.0038975500501692295,0.006666666828095913,16.956170797348022,True,,,1.0,7d88dfa0fb43486fb74cb2c5382dff63,2022-09-12_05-49-40,1662961780.0,16.956170797348022,12714.0,83e87206dee1,172.17.0.3,16.956170797348022,0.0,1.0,0.004922151565551758,"4_act1=selu,act2=selu,batch_size=64,bi1=constant,bi2=ones,epochs=5,ki1=random_normal,ki2=ones,loss=logcosh,lr=4.4293,optimizer=nadam,unit1=1024",logcosh,64.0,nadam,4.429327793045586,random_normal,ones,constant,ones,selu,selu,5.0,1024.0
a4bdf4e2,,,,,,,,2576c995dcf0412b80c6e4e99201a69c,2022-09-12_05-49-45,1662961785.0,,13402.0,83e87206dee1,172.17.0.3,,,,,,sparse_categorical_crossentropy,64.0,nadam,3.0208488705978738,he_normal,glorot_uniform,glorot_normal,lecun_normal,softsign,hard_sigmoid,7.0,256.0
b1daed92,0.34910914301872253,0.35777777433395386,11.308231115341187,True,,,1.0,821354a8d3984ec9b1b444ff091ff14b,2022-09-12_05-50-12,1662961812.0,11.308231115341187,13979.0,83e87206dee1,172.17.0.3,11.308231115341187,0.0,1.0,0.005042552947998047,"6_act1=elu,act2=sigmoid,batch_size=128,bi1=truncated_normal,bi2=he_uniform,epochs=3,ki1=random_normal,ki2=glorot_uniform,loss=mean_absolute_error,lr=1.7972,optimizer=adagrad,unit1=1024",mean_absolute_error,128.0,adagrad,1.7971596163286272,random_normal,glorot_uniform,truncated_normal,he_uniform,elu,sigmoid,3.0,1024.0
bacca8f0,0.718262791633606,0.7022222280502319,14.86808466911316,True,,,1.0,09d27c69d6924fd8b462f2ef2889883c,2022-09-12_05-50-32,1662961832.0,14.86808466911316,14569.0,83e87206dee1,172.17.0.3,14.86808466911316,0.0,1.0,0.004452228546142578,"7_act1=sigmoid,act2=softmax,batch_size=64,bi1=glorot_uniform,bi2=random_uniform,epochs=7,ki1=he_uniform,ki2=ones,loss=kullback_leibler_divergence,lr=1.0465,optimizer=adadelta,unit1=512",kullback_leibler_divergence,64.0,adadelta,1.0465013130255592,he_uniform,ones,glorot_uniform,random_uniform,sigmoid,softmax,7.0,512.0
c4ef103e,0.0038975500501692295,0.006666666828095913,14.689932584762573,True,,,1.0,78c651c6193f41159036dd6a37889fe3,2022-09-12_05-50-52,1662961852.0,14.689932584762573,15188.0,83e87206dee1,172.17.0.3,14.689932584762573,0.0,1.0,0.005094766616821289,"8_act1=hard_sigmoid,act2=elu,batch_size=512,bi1=constant,bi2=glorot_normal,epochs=7,ki1=constant,ki2=lecun_normal,loss=mean_squared_logarithmic_error,lr=8.6956,optimizer=adamax,unit1=512",mean_squared_logarithmic_error,512.0,adamax,8.695586275101858,constant,lecun_normal,constant,glorot_normal,hard_sigmoid,elu,7.0,512.0
d0db3f4e,0.7772828340530396,0.7955555319786072,12.902864456176758,True,,,1.0,9a8a86dfa90e41bca958bfc7b05c40c0,2022-09-12_05-51-10,1662961870.0,12.902864456176758,15906.0,83e87206dee1,172.17.0.3,12.902864456176758,0.0,1.0,0.005514383316040039,"9_act1=softsign,act2=exponential,batch_size=512,bi1=random_uniform,bi2=lecun_uniform,epochs=3,ki1=orthogonal,ki2=random_normal,loss=categorical_crossentropy,lr=6.4646,optimizer=adadelta,unit1=256",categorical_crossentropy,512.0,adadelta,6.464599150214461,orthogonal,random_normal,random_uniform,lecun_uniform,softsign,exponential,3.0,256.0
dcc7c50c,0.44265034794807434,0.4422222077846527,13.306238651275635,True,,,1.0,35ab8a0c27824aed9e2261a3980c8840,2022-09-12_05-51-29,1662961889.0,13.306238651275635,16569.0,83e87206dee1,172.17.0.3,13.306238651275635,0.0,1.0,0.004592180252075195,"10_act1=relu,act2=relu,batch_size=512,bi1=he_uniform,bi2=he_uniform,epochs=5,ki1=lecun_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=3.6872,optimizer=adagrad,unit1=256",categorical_crossentropy,512.0,adagrad,3.6871653269758142,lecun_uniform,glorot_uniform,he_uniform,he_uniform,relu,relu,5.0,256.0
e7829a4e,,,,,,,,9c444a5ad5f844a7b00d3a852b122588,2022-09-12_05-51-34,1662961894.0,,17159.0,83e87206dee1,172.17.0.3,,,,,,categorical_crossentropy,64.0,adamax,7.019247286322548,zeros,truncated_normal,ones,glorot_normal,tanh,exponential,3.0,512.0
f2d6087c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
