trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
c7cef5ca,0.5356347560882568,0.5333333611488342,11.74957537651062,True,,,1.0,e6817e3eb34e4c65afc0b3de1b86a668,2022-09-12_02-58-46,1662951526.0,11.74957537651062,4329.0,83e87206dee1,172.17.0.3,11.74957537651062,0.0,1.0,0.0049555301666259766,"1_act1=relu,act2=softmax,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=ones,ki2=glorot_uniform,loss=categorical_crossentropy,lr=0.0010,optimizer=adam,unit1=512",categorical_crossentropy,32.0,adam,0.001,ones,glorot_uniform,zeros,zeros,relu,softmax,3.0,512.0
ca942546,0.34910914301872253,0.35777777433395386,13.33477783203125,True,,,1.0,e90d4436e0bb4d1687f4d58982c9b56b,2022-09-12_02-59-04,1662951544.0,13.33477783203125,4920.0,83e87206dee1,172.17.0.3,13.33477783203125,0.0,1.0,0.00526738166809082,"2_act1=elu,act2=elu,batch_size=16,bi1=zeros,bi2=zeros,epochs=3,ki1=zeros,ki2=zeros,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=256",mean_squared_error,16.0,sgd,9.999999974752427e-07,zeros,zeros,zeros,zeros,elu,elu,3.0,256.0
d1c59750,,,,,,,,00385b51f7234b378d4c297893d74e42,2022-09-12_02-59-10,1662951550.0,,5586.0,83e87206dee1,172.17.0.3,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,orthogonal,orthogonal,orthogonal,orthogonal,relu,relu,4.0,512.0
dd193756,0.0038975500501692295,0.006666666828095913,13.26493787765503,True,,,1.0,05a8568b19414d54aff9dda58a23bfe2,2022-09-12_02-59-36,1662951576.0,13.26493787765503,6095.0,83e87206dee1,172.17.0.3,13.26493787765503,0.0,1.0,0.00504612922668457,"4_act1=hard_sigmoid,act2=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=glorot_uniform,epochs=5,ki1=glorot_uniform,ki2=glorot_uniform,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=1024",mean_squared_logarithmic_error,32.0,adagrad,7.5,glorot_uniform,glorot_uniform,random_normal,glorot_uniform,hard_sigmoid,hard_sigmoid,5.0,1024.0
e4d93a18,,,,,,,,9f56bb7b80724890a2e1ce26c04d33d7,2022-09-12_02-59-41,1662951581.0,,6661.0,83e87206dee1,172.17.0.3,,,,,,sparse_categorical_crossentropy,256.0,adam,2.5000007152557373,random_normal,random_normal,glorot_uniform,random_normal,selu,selu,3.0,256.0
ef93e340,0.0038975500501692295,0.006666666828095913,13.277542352676392,True,,,1.0,e8c6394d074648b481a937a2b5b5fe52,2022-09-12_03-00-09,1662951609.0,13.277542352676392,7149.0,83e87206dee1,172.17.0.3,13.277542352676392,0.0,1.0,0.005938529968261719,"6_act1=exponential,act2=tanh,batch_size=128,bi1=random_uniform,bi2=he_normal,epochs=5,ki1=random_uniform,ki2=constant,loss=squared_hinge,lr=3.7500,optimizer=adamax,unit1=512",squared_hinge,128.0,adamax,3.750000476837158,random_uniform,constant,random_uniform,he_normal,exponential,tanh,5.0,512.0
f885108c,0.34910914301872253,0.35777777433395386,14.00500202178955,True,,,1.0,431d0c09ca274525a0d08adafcb20e82,2022-09-12_03-00-28,1662951628.0,14.00500202178955,7730.0,83e87206dee1,172.17.0.3,14.00500202178955,0.0,1.0,0.004930019378662109,"7_act1=softsign,act2=softmax,batch_size=32,bi1=he_normal,bi2=random_uniform,epochs=4,ki1=he_normal,ki2=glorot_normal,loss=binary_crossentropy,lr=8.7500,optimizer=adagrad,unit1=1024",binary_crossentropy,32.0,adagrad,8.75,he_normal,glorot_normal,he_normal,random_uniform,softsign,softmax,4.0,1024.0
0340b6e8,0.00167037860956043,0.002222222276031971,11.74501657485962,True,,,1.0,9932fac2881f4489b4103c795997c77b,2022-09-12_03-00-44,1662951644.0,11.74501657485962,8423.0,83e87206dee1,172.17.0.3,11.74501657485962,0.0,1.0,0.004744291305541992,"8_act1=softmax,act2=softsign,batch_size=256,bi1=constant,bi2=constant,epochs=3,ki1=glorot_normal,ki2=he_normal,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=512",mean_absolute_percentage_error,256.0,adam,6.250000476837158,glorot_normal,he_normal,constant,constant,softmax,softsign,3.0,512.0
0e9381d8,0.0038975500501692295,0.006666666828095913,14.048560380935669,True,,,1.0,0ab43bce20b244da8a158fc5fd8a6935,2022-09-12_03-01-04,1662951664.0,14.048560380935669,8933.0,83e87206dee1,172.17.0.3,14.048560380935669,0.0,1.0,0.005251646041870117,"9_act1=tanh,act2=exponential,batch_size=64,bi1=glorot_normal,bi2=glorot_normal,epochs=4,ki1=constant,ki2=random_uniform,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=256",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,constant,random_uniform,glorot_normal,glorot_normal,tanh,exponential,4.0,256.0
18b5d95e,0.34910914301872253,0.35777777433395386,12.331827878952026,True,,,1.0,581d31807b064af39d88067df3d29613,2022-09-12_03-01-21,1662951681.0,12.331827878952026,9655.0,83e87206dee1,172.17.0.3,12.331827878952026,0.0,1.0,0.004626750946044922,"10_act1=exponential,act2=softplus,batch_size=512,bi1=truncated_normal,bi2=lecun_normal,epochs=4,ki1=lecun_uniform,ki2=random_uniform,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=256",squared_hinge,512.0,adadelta,1.8750007152557373,lecun_uniform,random_uniform,truncated_normal,lecun_normal,exponential,softplus,4.0,256.0
