trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
42b43_00000,0.49331849813461304,0.4911110997200012,12.07967233657837,True,,,1.0,8828c52fb1b04923ba284d8df79451fc,2022-09-17_14-23-29,1663424609.0,12.07967233657837,6535.0,83e87206dee1,172.17.0.2,12.07967233657837,0.0,1.0,0.005217075347900391,0,categorical_crossentropy,32.0,adam,0.001,ones,glorot_uniform,zeros,zeros,relu,softmax,3.0,512.0
42b43_00001,0.34910914301872253,0.35777777433395386,14.835630178451538,True,,,1.0,965f81dc988247e3bd3e31f8acdee5fd,2022-09-17_14-23-49,1663424629.0,14.835630178451538,7227.0,83e87206dee1,172.17.0.2,14.835630178451538,0.0,1.0,0.005120277404785156,"1_act1=softplus,act2=softmax,batch_size=16,bi1=glorot_normal,bi2=lecun_uniform,epochs=4,ki1=random_normal,ki2=zeros,loss=kullback_leibler_divergence,lr=4.1474,optimizer=adam,unit1=256",kullback_leibler_divergence,16.0,adam,4.147358610564136,random_normal,zeros,glorot_normal,lecun_uniform,softplus,softmax,4.0,256.0
42b43_00002,0.008351893164217472,0.004444444552063942,13.809757709503174,True,,,1.0,89b0ec0999dc41fbbf4648b7bbfedda1,2022-09-17_14-24-08,1663424648.0,13.809757709503174,7868.0,83e87206dee1,172.17.0.2,13.809757709503174,0.0,1.0,0.004935503005981445,"2_act1=softmax,act2=linear,batch_size=16,bi1=he_uniform,bi2=random_normal,epochs=3,ki1=orthogonal,ki2=glorot_uniform,loss=mean_squared_logarithmic_error,lr=3.0481,optimizer=rmsprop,unit1=512",mean_squared_logarithmic_error,16.0,rmsprop,3.04813214163818,orthogonal,glorot_uniform,he_uniform,random_normal,softmax,linear,3.0,512.0
42b43_00003,0.0038975500501692295,0.006666666828095913,14.043867349624634,True,,,1.0,0e2d2eb172bd4d63afe7b7a2434a0305,2022-09-17_14-24-27,1663424667.0,14.043867349624634,8503.0,83e87206dee1,172.17.0.2,14.043867349624634,0.0,1.0,0.005338430404663086,"3_act1=exponential,act2=softplus,batch_size=64,bi1=glorot_normal,bi2=constant,epochs=4,ki1=orthogonal,ki2=lecun_normal,loss=mean_absolute_error,lr=8.7780,optimizer=rmsprop,unit1=1024",mean_absolute_error,64.0,rmsprop,8.77804810828505,orthogonal,lecun_normal,glorot_normal,constant,exponential,softplus,4.0,1024.0
42b43_00004,0.23051224648952484,0.20666666328907013,12.645605087280273,True,,,1.0,0c3007f69c1c4246851961d3ab959ff5,2022-09-17_14-24-44,1663424684.0,12.645605087280273,9141.0,83e87206dee1,172.17.0.2,12.645605087280273,0.0,1.0,0.0055713653564453125,"4_act1=softmax,act2=exponential,batch_size=32,bi1=random_normal,bi2=constant,epochs=6,ki1=constant,ki2=he_uniform,loss=poisson,lr=6.7852,optimizer=adam,unit1=256",poisson,32.0,adam,6.785171016327075,constant,he_uniform,random_normal,constant,softmax,exponential,6.0,256.0
42b43_00005,0.0038975500501692295,0.006666666828095913,12.622493743896484,True,,,1.0,7d345e28e9904dd18c0dec791a60bd1f,2022-09-17_14-25-02,1663424702.0,12.622493743896484,9735.0,83e87206dee1,172.17.0.2,12.622493743896484,0.0,1.0,0.00531005859375,"5_act1=softsign,act2=softplus,batch_size=32,bi1=glorot_uniform,bi2=truncated_normal,epochs=4,ki1=zeros,ki2=random_uniform,loss=mean_squared_error,lr=8.9541,optimizer=nadam,unit1=256",mean_squared_error,32.0,nadam,8.954127216529479,zeros,random_uniform,glorot_uniform,truncated_normal,softsign,softplus,4.0,256.0
42b43_00006,0.0038975500501692295,0.006666666828095913,13.371998310089111,True,,,1.0,8e7b55221596401489ae2ede19046b24,2022-09-17_14-25-22,1663424722.0,13.371998310089111,10611.0,83e87206dee1,172.17.0.2,13.371998310089111,0.0,1.0,0.004599809646606445,"6_act1=softsign,act2=elu,batch_size=16,bi1=random_normal,bi2=glorot_uniform,epochs=3,ki1=constant,ki2=glorot_uniform,loss=mean_squared_error,lr=1.1835,optimizer=adamax,unit1=256",mean_squared_error,16.0,adamax,1.1834542188334456,constant,glorot_uniform,random_normal,glorot_uniform,softsign,elu,3.0,256.0
42b43_00007,0.0038975500501692295,0.006666666828095913,13.932737112045288,True,,,1.0,81a045dbabf14135a89222208da36c67,2022-09-17_14-25-41,1663424741.0,13.932737112045288,11196.0,83e87206dee1,172.17.0.2,13.932737112045288,0.0,1.0,0.0063495635986328125,"7_act1=softsign,act2=tanh,batch_size=64,bi1=truncated_normal,bi2=glorot_uniform,epochs=4,ki1=orthogonal,ki2=glorot_normal,loss=categorical_crossentropy,lr=5.0377,optimizer=sgd,unit1=1024",categorical_crossentropy,64.0,sgd,5.037734933472898,orthogonal,glorot_normal,truncated_normal,glorot_uniform,softsign,tanh,4.0,1024.0
42b43_00008,0.0038975500501692295,0.006666666828095913,8.907872676849365,True,,,1.0,62fe807702d0408081b9eeec2a9d09eb,2022-09-17_14-25-55,1663424755.0,8.907872676849365,11965.0,83e87206dee1,172.17.0.2,8.907872676849365,0.0,1.0,0.005057811737060547,"8_act1=softsign,act2=hard_sigmoid,batch_size=256,bi1=truncated_normal,bi2=random_uniform,epochs=3,ki1=he_uniform,ki2=orthogonal,loss=hinge,lr=4.8331,optimizer=adamax,unit1=256",hinge,256.0,adamax,4.833115003661491,he_uniform,orthogonal,truncated_normal,random_uniform,softsign,hard_sigmoid,3.0,256.0
42b43_00009,0.0038975500501692295,0.006666666828095913,9.428369283676147,True,,,1.0,24f0f8c5aa9841989129b2d87de2158c,2022-09-17_14-26-09,1663424769.0,9.428369283676147,12396.0,83e87206dee1,172.17.0.2,9.428369283676147,0.0,1.0,0.00576472282409668,"9_act1=tanh,act2=sigmoid,batch_size=128,bi1=random_uniform,bi2=lecun_uniform,epochs=5,ki1=glorot_normal,ki2=random_uniform,loss=hinge,lr=6.9297,optimizer=rmsprop,unit1=512",hinge,128.0,rmsprop,6.929718244764881,glorot_normal,random_uniform,random_uniform,lecun_uniform,tanh,sigmoid,5.0,512.0
