trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
a2bdebe6,0.3641425371170044,0.3444444537162781,12.103873014450073,True,,,1.0,87401295aed84c438eb355711682ea9e,2022-09-17_17-53-45,1663437225.0,12.103873014450073,34299.0,83e87206dee1,172.17.0.2,12.103873014450073,0.0,1.0,0.005881309509277344,"1_act1=relu,act2=linear,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=0.0010,optimizer=adam,unit1=512",categorical_crossentropy,32.0,adam,0.001,glorot_uniform,glorot_uniform,zeros,zeros,relu,linear,3.0,512.0
a59cbcac,,,,,,,,1715e0a141ca4a1c9f6a402e0a0772ed,2022-09-17_17-53-51,1663437231.0,,35013.0,83e87206dee1,172.17.0.2,,,,,,poisson,128.0,adam,8.93430087009948,lecun_uniform,random_uniform,orthogonal,orthogonal,relu,elu,4.0,256.0
ad6efc56,,,,,,,,1cb9a17a8dc9489e979a7c58c6bfd6ce,2022-09-17_17-54-03,1663437243.0,,35418.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,sgd,4.551712201569385,lecun_uniform,orthogonal,truncated_normal,truncated_normal,softsign,softplus,6.0,1024.0
b495eb3e,0.0038975500501692295,0.006666666828095913,11.689661741256714,True,,,1.0,c24625810ddc4259881f56c0fa58c506,2022-09-17_17-54-26,1663437266.0,11.689661741256714,35964.0,83e87206dee1,172.17.0.2,11.689661741256714,0.0,1.0,0.005523204803466797,"4_act1=exponential,act2=softplus,batch_size=64,bi1=he_uniform,bi2=lecun_normal,epochs=6,ki1=truncated_normal,ki2=lecun_uniform,loss=categorical_hinge,lr=2.2436,optimizer=adam,unit1=256",categorical_hinge,64.0,adam,2.243593467505603,truncated_normal,lecun_uniform,he_uniform,lecun_normal,exponential,softplus,6.0,256.0
bbbd7b66,0.0038975500501692295,0.006666666828095913,13.450920581817627,True,,,1.0,1456aa549ff441f5bb20d03c7a63abd0,2022-09-17_17-54-45,1663437285.0,13.450920581817627,36530.0,83e87206dee1,172.17.0.2,13.450920581817627,0.0,1.0,0.005966663360595703,"5_act1=sigmoid,act2=selu,batch_size=16,bi1=glorot_normal,bi2=random_normal,epochs=3,ki1=lecun_uniform,ki2=he_uniform,loss=logcosh,lr=5.9861,optimizer=nadam,unit1=256",logcosh,16.0,nadam,5.98609701060546,lecun_uniform,he_uniform,glorot_normal,random_normal,sigmoid,selu,3.0,256.0
c5e02d50,,,,,,,,d53242e07a6f402a90a7320ee7e5f67f,2022-09-17_17-54-49,1663437289.0,,37167.0,83e87206dee1,172.17.0.2,,,,,,kullback_leibler_divergence,128.0,sgd,8.802767390457587,glorot_normal,orthogonal,orthogonal,orthogonal,softsign,softplus,8.0,1024.0
d09b1552,0.047327395528554916,0.06222222372889519,14.415188312530518,True,,,1.0,ef1d85e5b7364eddbabb08fe20a46d18,2022-09-17_17-55-15,1663437315.0,14.415188312530518,37665.0,83e87206dee1,172.17.0.2,14.415188312530518,0.0,1.0,0.005735158920288086,"7_act1=selu,act2=linear,batch_size=32,bi1=he_uniform,bi2=glorot_normal,epochs=4,ki1=he_uniform,ki2=random_normal,loss=mean_absolute_error,lr=5.3076,optimizer=nadam,unit1=1024",mean_absolute_error,32.0,nadam,5.307613211846674,he_uniform,random_normal,he_uniform,glorot_normal,selu,linear,4.0,1024.0
d729a064,0.0038975500501692295,0.006666666828095913,10.55297064781189,True,,,1.0,a4cb1a4a0b2845f39fa665dbcc3462cd,2022-09-17_17-55-31,1663437331.0,10.55297064781189,38349.0,83e87206dee1,172.17.0.2,10.55297064781189,0.0,1.0,0.0050356388092041016,"8_act1=selu,act2=selu,batch_size=512,bi1=truncated_normal,bi2=ones,epochs=8,ki1=random_uniform,ki2=zeros,loss=mean_absolute_percentage_error,lr=6.1414,optimizer=nadam,unit1=1024",mean_absolute_percentage_error,512.0,nadam,6.14138909111642,random_uniform,zeros,truncated_normal,ones,selu,selu,8.0,1024.0
e31667b8,,,,,,,,edab5988b12c4deba89f26f70a1fff8b,2022-09-17_17-55-37,1663437337.0,,38977.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,128.0,rmsprop,3.7160930021403673,lecun_uniform,orthogonal,lecun_normal,constant,hard_sigmoid,tanh,3.0,1024.0
eca0ba36,0.0038975500501692295,0.006666666828095913,10.031280755996704,True,,,1.0,c3a4fd23b78040ce8104f235c07e5a63,2022-09-17_17-55-59,1663437359.0,10.031280755996704,39584.0,83e87206dee1,172.17.0.2,10.031280755996704,0.0,1.0,0.005273103713989258,"10_act1=linear,act2=selu,batch_size=64,bi1=zeros,bi2=lecun_uniform,epochs=6,ki1=ones,ki2=zeros,loss=mean_absolute_error,lr=0.7953,optimizer=adagrad,unit1=256",mean_absolute_error,64.0,adagrad,0.7953454573944956,ones,zeros,zeros,lecun_uniform,linear,selu,6.0,256.0
