trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
f470a930,0.2455456554889679,0.2244444489479065,10.814927101135254,True,,,1.0,9ae22ea94adc47228c0638745fccdbf2,2022-09-17_22-28-02,1663453682.0,10.814927101135254,23490.0,83e87206dee1,172.17.0.2,10.814927101135254,0.0,1.0,0.006523847579956055,"1_act1=relu,act2=linear,batch_size=32,bi1=zeros,bi2=zeros,epochs=3,ki1=glorot_uniform,ki2=glorot_uniform,loss=categorical_crossentropy,lr=0.0010,optimizer=adam,unit1=512",categorical_crossentropy,32.0,adam,0.001,glorot_uniform,glorot_uniform,zeros,zeros,relu,linear,3.0,512.0
f73ad1ae,0.34910914301872253,0.35777777433395386,11.919235467910767,True,,,1.0,96544a2b5dd642e1939e1d0ba889da81,2022-09-17_22-28-19,1663453699.0,11.919235467910767,24189.0,83e87206dee1,172.17.0.2,11.919235467910767,0.0,1.0,0.008144140243530273,"2_act1=elu,act2=elu,batch_size=16,bi1=zeros,bi2=zeros,epochs=3,ki1=zeros,ki2=zeros,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=256",mean_squared_error,16.0,sgd,9.999999974752427e-07,zeros,zeros,zeros,zeros,elu,elu,3.0,256.0
fe1d1bb2,,,,,,,,3fe0adf705fa42ab800a0ed16bc870de,2022-09-17_22-28-24,1663453704.0,,24827.0,83e87206dee1,172.17.0.2,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,orthogonal,orthogonal,orthogonal,orthogonal,relu,relu,5.0,512.0
083e9ba2,0.0038975500501692295,0.006666666828095913,12.109019041061401,True,,,1.0,1bc8519b8874471495c2ade60f3e53e6,2022-09-17_22-28-49,1663453729.0,12.109019041061401,25384.0,83e87206dee1,172.17.0.2,12.109019041061401,0.0,1.0,0.00491642951965332,"4_act1=hard_sigmoid,act2=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=glorot_uniform,epochs=5,ki1=glorot_uniform,ki2=glorot_uniform,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=1024",mean_squared_logarithmic_error,32.0,adagrad,7.5,glorot_uniform,glorot_uniform,random_normal,glorot_uniform,hard_sigmoid,hard_sigmoid,5.0,1024.0
0ffef3f0,,,,,,,,f9d4749150c14f8d94771d3210693a92,2022-09-17_22-28-54,1663453734.0,,25972.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adam,2.5000007152557373,random_normal,random_normal,glorot_uniform,random_normal,selu,selu,4.0,256.0
1a21729a,0.0038975500501692295,0.006666666828095913,11.711805820465088,True,,,1.0,4403b09a3bec4ab9b44a6cc617320bed,2022-09-17_22-29-17,1663453757.0,11.711805820465088,26384.0,83e87206dee1,172.17.0.2,11.711805820465088,0.0,1.0,0.005339860916137695,"6_act1=exponential,act2=tanh,batch_size=128,bi1=random_uniform,bi2=he_normal,epochs=7,ki1=random_uniform,ki2=constant,loss=squared_hinge,lr=3.7500,optimizer=adamax,unit1=512",squared_hinge,128.0,adamax,3.750000476837158,random_uniform,constant,random_uniform,he_normal,exponential,tanh,7.0,512.0
21493170,0.34910914301872253,0.35777777433395386,11.693004608154297,True,,,1.0,a37ba29e5b1e4101a02cf8f934f7ab45,2022-09-17_22-29-34,1663453774.0,11.693004608154297,27083.0,83e87206dee1,172.17.0.2,11.693004608154297,0.0,1.0,0.005231618881225586,"7_act1=softsign,act2=softmax,batch_size=32,bi1=he_normal,bi2=random_uniform,epochs=4,ki1=he_normal,ki2=glorot_normal,loss=binary_crossentropy,lr=8.7500,optimizer=adagrad,unit1=1024",binary_crossentropy,32.0,adagrad,8.75,he_normal,glorot_normal,he_normal,random_uniform,softsign,softmax,4.0,1024.0
2b6ab28c,0.04454343020915985,0.03333333507180214,9.5977623462677,True,,,1.0,ffb2fefc84be4e84aad0a75936dfa5cc,2022-09-17_22-29-49,1663453789.0,9.5977623462677,27709.0,83e87206dee1,172.17.0.2,9.5977623462677,0.0,1.0,0.006262540817260742,"8_act1=softmax,act2=softsign,batch_size=256,bi1=constant,bi2=constant,epochs=3,ki1=glorot_normal,ki2=he_normal,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=512",mean_absolute_percentage_error,256.0,adam,6.250000476837158,glorot_normal,he_normal,constant,constant,softmax,softsign,3.0,512.0
358d9928,0.0038975500501692295,0.006666666828095913,10.456435441970825,True,,,1.0,b209ca7b64b2491791a4d40156390312,2022-09-17_22-30-05,1663453805.0,10.456435441970825,28285.0,83e87206dee1,172.17.0.2,10.456435441970825,0.0,1.0,0.005215883255004883,"9_act1=tanh,act2=exponential,batch_size=64,bi1=glorot_normal,bi2=glorot_normal,epochs=5,ki1=constant,ki2=random_uniform,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=256",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,constant,random_uniform,glorot_normal,glorot_normal,tanh,exponential,5.0,256.0
3e7e8984,0.34910914301872253,0.35777777433395386,10.844742059707642,True,,,1.0,2074b783f2c440e085b8e31c6243cd99,2022-09-17_22-30-22,1663453822.0,10.844742059707642,28920.0,83e87206dee1,172.17.0.2,10.844742059707642,0.0,1.0,0.004739999771118164,"10_act1=exponential,act2=softplus,batch_size=512,bi1=truncated_normal,bi2=lecun_normal,epochs=5,ki1=lecun_uniform,ki2=random_uniform,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=256",squared_hinge,512.0,adadelta,1.8750007152557373,lecun_uniform,random_uniform,truncated_normal,lecun_normal,exponential,softplus,5.0,256.0
48086ca4,0.34910914301872253,0.35777777433395386,11.534095525741577,True,,,1.0,c27b910961f14294acc198106d65649f,2022-09-17_22-30-38,1663453838.0,11.534095525741577,29553.0,83e87206dee1,172.17.0.2,11.534095525741577,0.0,1.0,0.0049855709075927734,"11_act1=softsign,act2=hard_sigmoid,batch_size=64,bi1=lecun_normal,bi2=truncated_normal,epochs=4,ki1=ones,ki2=he_normal,loss=binary_crossentropy,lr=6.8750,optimizer=nadam,unit1=512",binary_crossentropy,64.0,nadam,6.875000476837158,ones,he_normal,lecun_normal,truncated_normal,softsign,hard_sigmoid,4.0,512.0
