trial_id,mean_accuracy,holdout_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.ki1,config.ki2,config.bi1,config.bi2,config.act1,config.act2,config.epochs,config.unit1
bff68_00000,0.3557906448841095,0.36444443464279175,9.973829507827759,True,,,1.0,efcd30913da64637beb759f39b2cb4c9,2022-09-17_18-58-58,1663441138.0,9.973829507827759,15886.0,83e87206dee1,172.17.0.2,9.973829507827759,0.0,1.0,0.005313873291015625,0,categorical_crossentropy,32.0,adam,0.001,glorot_uniform,glorot_uniform,zeros,zeros,relu,linear,3.0,512.0
bff68_00001,0.5495545864105225,0.5377777814865112,9.708049774169922,True,,,1.0,585fcfbe92224ec6a6118016453cf5f1,2022-09-17_18-59-12,1663441152.0,9.708049774169922,16511.0,83e87206dee1,172.17.0.2,9.708049774169922,0.0,1.0,0.00785684585571289,"1_act1=relu,act2=tanh,batch_size=512,bi1=glorot_uniform,bi2=constant,epochs=6,ki1=random_uniform,ki2=random_uniform,loss=mean_squared_logarithmic_error,lr=8.0863,optimizer=sgd,unit1=1024",mean_squared_logarithmic_error,512.0,sgd,8.086306463800623,random_uniform,random_uniform,glorot_uniform,constant,relu,tanh,6.0,1024.0
bff68_00002,,,,,,,,108bd3f3487f4bafaa8df79997e48bef,2022-09-17_18-59-18,1663441158.0,,17087.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,512.0,nadam,5.9053154055003105,orthogonal,constant,lecun_normal,he_uniform,tanh,elu,4.0,1024.0
bff68_00003,0.0038975500501692295,0.006666666828095913,10.441439151763916,True,,,1.0,2657533c37e546a9aa29e140eed6c351,2022-09-17_18-59-45,1663441185.0,10.441439151763916,17676.0,83e87206dee1,172.17.0.2,10.441439151763916,0.0,1.0,0.00558781623840332,"3_act1=relu,act2=exponential,batch_size=256,bi1=constant,bi2=constant,epochs=5,ki1=random_uniform,ki2=he_uniform,loss=categorical_crossentropy,lr=8.8374,optimizer=nadam,unit1=1024",categorical_crossentropy,256.0,nadam,8.83735967762459,random_uniform,he_uniform,constant,constant,relu,exponential,5.0,1024.0
bff68_00004,0.34910914301872253,0.35777777433395386,10.027584552764893,True,,,1.0,e0914b1f4d0f45f3a6efdfddb16fe6b3,2022-09-17_18-59-59,1663441199.0,10.027584552764893,18261.0,83e87206dee1,172.17.0.2,10.027584552764893,0.0,1.0,0.005276679992675781,"4_act1=relu,act2=tanh,batch_size=64,bi1=he_normal,bi2=he_uniform,epochs=6,ki1=glorot_uniform,ki2=he_normal,loss=mean_squared_logarithmic_error,lr=3.7406,optimizer=adam,unit1=1024",mean_squared_logarithmic_error,64.0,adam,3.7406357997872046,glorot_uniform,he_normal,he_normal,he_uniform,relu,tanh,6.0,1024.0
bff68_00005,0.0038975500501692295,0.006666666828095913,11.488723278045654,True,,,1.0,835f823939b742d490bc070e9d3a4408,2022-09-17_19-00-16,1663441216.0,11.488723278045654,18783.0,83e87206dee1,172.17.0.2,11.488723278045654,0.0,1.0,0.0049893856048583984,"5_act1=selu,act2=sigmoid,batch_size=64,bi1=lecun_normal,bi2=constant,epochs=6,ki1=he_normal,ki2=he_normal,loss=mean_absolute_percentage_error,lr=3.4904,optimizer=adagrad,unit1=1024",mean_absolute_percentage_error,64.0,adagrad,3.4904106078641886,he_normal,he_normal,lecun_normal,constant,selu,sigmoid,6.0,1024.0
bff68_00006,,,,,,,,035d1ed6ca8f443291470db5f3a9ecd6,2022-09-17_19-00-22,1663441222.0,,19362.0,83e87206dee1,172.17.0.2,,,,,,mean_absolute_percentage_error,64.0,adam,8.113937312050396,random_uniform,truncated_normal,orthogonal,ones,softmax,hard_sigmoid,5.0,1024.0
bff68_00007,,,,,,,,d459a01f61ef4002aa0b86cd8541dbfe,2022-09-17_19-00-34,1663441234.0,,19778.0,83e87206dee1,172.17.0.2,,,,,,sparse_categorical_crossentropy,16.0,rmsprop,5.225889187698539,he_uniform,glorot_uniform,orthogonal,truncated_normal,hard_sigmoid,linear,5.0,1024.0
bff68_00008,0.0038975500501692295,0.006666666828095913,12.00702691078186,True,,,1.0,5600fe707f97482b8d4d07a1409bac57,2022-09-17_19-00-57,1663441257.0,12.00702691078186,20399.0,83e87206dee1,172.17.0.2,12.00702691078186,0.0,1.0,0.005122661590576172,"8_act1=tanh,act2=elu,batch_size=64,bi1=he_normal,bi2=lecun_normal,epochs=6,ki1=he_normal,ki2=ones,loss=mean_absolute_percentage_error,lr=6.4409,optimizer=sgd,unit1=256",mean_absolute_percentage_error,64.0,sgd,6.440947290267164,he_normal,ones,he_normal,lecun_normal,tanh,elu,6.0,256.0
bff68_00009,0.0038975500501692295,0.006666666828095913,11.84423017501831,True,,,1.0,bdf364c2adfc4bfbb5d22baf22e9f111,2022-09-17_19-01-13,1663441273.0,11.84423017501831,21004.0,83e87206dee1,172.17.0.2,11.84423017501831,0.0,1.0,0.004492521286010742,"9_act1=linear,act2=sigmoid,batch_size=64,bi1=random_uniform,bi2=random_normal,epochs=5,ki1=lecun_normal,ki2=constant,loss=logcosh,lr=3.7133,optimizer=adamax,unit1=1024",logcosh,64.0,adamax,3.7133342129401035,lecun_normal,constant,random_uniform,random_normal,linear,sigmoid,5.0,1024.0
bff68_00010,0.3736080229282379,0.3866666555404663,11.504101037979126,True,,,1.0,918a24ea8f8b4306a59fc2f7114a3dab,2022-09-17_19-01-30,1663441290.0,11.504101037979126,21643.0,83e87206dee1,172.17.0.2,11.504101037979126,0.0,1.0,0.007206916809082031,"10_act1=selu,act2=softsign,batch_size=32,bi1=random_normal,bi2=lecun_normal,epochs=4,ki1=he_uniform,ki2=orthogonal,loss=categorical_hinge,lr=6.1909,optimizer=rmsprop,unit1=256",categorical_hinge,32.0,rmsprop,6.190944802841578,he_uniform,orthogonal,random_normal,lecun_normal,selu,softsign,4.0,256.0
