trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
f7b8b452,0.187529519200325,0.186329647898674,231.41203212738037,True,,,1.0,-0.187529519200325,bd1abf9845e74a7ca62b5da628b561bd,2022-10-19_19-52-11,1666209131.0,231.41203212738037,1871639.0,104-171-203-149,104.171.203.149,231.41203212738037,0.0,1.0,0.00497889518737793,"1_act1=relu,act2=relu,act3=relu,act4=softplus,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=initialiser_normal,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=angle_loss_fn,lr=0.0100,optimizer=sgd,unit1=500",<function angle_loss_fn at 0x7f106049fea0>,128.0,sgd,0.01,relu,relu,relu,softplus,<keras.initializers.initializers_v2.RandomNormal object at 0x7f10600e6cf8>,<keras.initializers.initializers_v2.RandomNormal object at 0x7f10600e6cf8>,<keras.initializers.initializers_v2.GlorotNormal object at 0x7f10600e6a58>,glorot_uniform,<keras.initializers.initializers_v2.Constant object at 0x7f10600e6860>,<keras.initializers.initializers_v2.Constant object at 0x7f10600e6860>,<keras.initializers.initializers_v2.Constant object at 0x7f10600e6860>,zeros,50.0,500.0,1.0
fb7d679a,,,,,,,,,13a8397e4b1544d9884972cad96fde53,2022-10-19_19-52-17,1666209137.0,,1891776.0,104-171-203-149,104.171.203.149,,,,,,logcosh,128.0,nadam,4.707005084340263,tanh,hard_sigmoid,softplus,selu,random_uniform,ones,random_normal,ones,lecun_normal,he_normal,orthogonal,lecun_uniform,37.0,1000.0,2.0
85a6fbd4,,,266.7034091949463,True,,,1.0,,d9a152c59dff41788b63144feb9bd862,2022-10-19_19-56-53,1666209413.0,266.7034091949463,1892556.0,104-171-203-149,104.171.203.149,266.7034091949463,0.0,1.0,0.004696369171142578,"3_act1=elu,act2=softmax,act3=relu,act4=softmax,batch_size=64,bi1=random_uniform,bi2=glorot_normal,bi3=lecun_normal,bi4=he_normal,epochs=33,ki1=zeros,ki2=lecun_normal,ki3=initialiser_xavier,ki4=truncated_normal,layer1=2,loss=categorical_crossentropy,lr=3.3731,optimizer=sgd,unit1=1000",categorical_crossentropy,64.0,sgd,3.373106112814934,elu,softmax,relu,softmax,zeros,lecun_normal,<keras.initializers.initializers_v2.GlorotNormal object at 0x7f10600e6fd0>,truncated_normal,random_uniform,glorot_normal,lecun_normal,he_normal,33.0,1000.0,2.0
8b03f096,0.2817973792552948,0.28026002645492554,145.54045176506042,True,,,1.0,-0.2817973792552948,1aa06850b49841cab8083cbbae52f65f,2022-10-19_19-59-25,1666209565.0,145.54045176506042,1918659.0,104-171-203-149,104.171.203.149,145.54045176506042,0.0,1.0,0.005349397659301758,"4_act1=softsign,act2=softmax,act3=softmax,act4=hard_sigmoid,batch_size=512,bi1=glorot_uniform,bi2=random_normal,bi3=glorot_uniform,bi4=random_uniform,epochs=65,ki1=truncated_normal,ki2=truncated_normal,ki3=initialiser_xavier,ki4=orthogonal,layer1=1,loss=categorical_hinge,lr=7.8995,optimizer=nadam,unit1=250",categorical_hinge,512.0,nadam,7.8995166848325304,softsign,softmax,softmax,hard_sigmoid,truncated_normal,truncated_normal,<keras.initializers.initializers_v2.GlorotNormal object at 0x7f1060142630>,orthogonal,glorot_uniform,random_normal,glorot_uniform,random_uniform,65.0,250.0,1.0
2dc159fe,0.2817973792552948,0.28026002645492554,176.28787994384766,True,,,1.0,-0.2817973792552948,e2df584a70f548658dd12be091794190,2022-10-19_20-02-27,1666209747.0,176.28787994384766,1931412.0,104-171-203-149,104.171.203.149,176.28787994384766,0.0,1.0,0.004392862319946289,"5_act1=softsign,act2=exponential,act3=softplus,act4=hard_sigmoid,batch_size=128,bi1=ones,bi2=he_normal,bi3=constant,bi4=he_uniform,epochs=37,ki1=truncated_normal,ki2=lecun_uniform,ki3=ones,ki4=zeros,layer1=1,loss=poisson,lr=4.0944,optimizer=adadelta,unit1=1000",poisson,128.0,adadelta,4.094371942131291,softsign,exponential,softplus,hard_sigmoid,truncated_normal,lecun_uniform,ones,zeros,ones,he_normal,constant,he_uniform,37.0,1000.0,1.0
885d12a4,0.2825329601764679,0.28090086579322815,148.91310739517212,True,,,1.0,-0.2825329601764679,a9bc4adfc9c74792b4f029863c166a11,2022-10-19_20-05-03,1666209903.0,148.91310739517212,1942938.0,104-171-203-149,104.171.203.149,148.91310739517212,0.0,1.0,0.004906654357910156,"6_act1=relu,act2=hard_sigmoid,act3=tanh,act4=selu,batch_size=512,bi1=constant,bi2=he_uniform,bi3=he_uniform,bi4=lecun_normal,epochs=86,ki1=random_uniform,ki2=orthogonal,ki3=orthogonal,ki4=he_uniform,layer1=0,loss=logcosh,lr=2.2443,optimizer=adagrad,unit1=250",logcosh,512.0,adagrad,2.244332025591306,relu,hard_sigmoid,tanh,selu,random_uniform,orthogonal,orthogonal,he_uniform,constant,he_uniform,he_uniform,lecun_normal,86.0,250.0,0.0
f573a52e,0.2817973792552948,0.28026002645492554,111.09954452514648,True,,,1.0,-0.2817973792552948,149d8c2d149b4eb5a54193c8e8a0bac1,2022-10-19_20-07-00,1666210020.0,111.09954452514648,1956823.0,104-171-203-149,104.171.203.149,111.09954452514648,0.0,1.0,0.00594019889831543,"7_act1=tanh,act2=relu,act3=selu,act4=sigmoid,batch_size=512,bi1=glorot_normal,bi2=he_uniform,bi3=zeros,bi4=he_uniform,epochs=65,ki1=constant,ki2=he_normal,ki3=lecun_normal,ki4=lecun_normal,layer1=0,loss=hinge,lr=6.5955,optimizer=adam,unit1=250",hinge,512.0,adam,6.595506076690801,tanh,relu,selu,sigmoid,constant,he_normal,lecun_normal,lecun_normal,glorot_normal,he_uniform,zeros,he_uniform,65.0,250.0,0.0
51d95570,,,628.7954609394073,True,,,1.0,,945f9d9e6d8f4aa2a7b9e9164678354e,2022-10-19_20-17-35,1666210655.0,628.7954609394073,1967535.0,104-171-203-149,104.171.203.149,628.7954609394073,0.0,1.0,0.004500627517700195,"8_act1=softmax,act2=linear,act3=relu,act4=linear,batch_size=32,bi1=lecun_normal,bi2=he_normal,bi3=zeros,bi4=he_uniform,epochs=37,ki1=lecun_uniform,ki2=glorot_normal,ki3=orthogonal,ki4=random_normal,layer1=1,loss=angle_loss_fn,lr=3.4121,optimizer=sgd,unit1=1000",<function angle_loss_fn at 0x7f1060160ae8>,32.0,sgd,3.4121277298951544,softmax,linear,relu,linear,lecun_uniform,glorot_normal,orthogonal,random_normal,lecun_normal,he_normal,zeros,he_uniform,37.0,1000.0,1.0
9798557a,,,,,,,,,b6ecc3684b484866ad253798804b6819,2022-10-19_20-17-41,1666210661.0,,2010568.0,104-171-203-149,104.171.203.149,,,,,,mean_squared_error,256.0,adamax,4.124395771278897,hard_sigmoid,linear,exponential,softsign,glorot_uniform,truncated_normal,initialiser_xavier,lecun_normal,zeros,constant,he_normal,orthogonal,86.0,1000.0,1.0
1220e176,1.5721986293792725,1.5627726316452026,434.196795463562,True,,,1.0,-1.5721986293792725,e94d01e4fd004bd1b8797a50b5413b0f,2022-10-19_20-25-05,1666211105.0,434.196795463562,2011475.0,104-171-203-149,104.171.203.149,434.196795463562,0.0,1.0,0.004323482513427734,"10_act1=softmax,act2=hard_sigmoid,act3=linear,act4=softplus,batch_size=32,bi1=truncated_normal,bi2=initialiser_const,bi3=lecun_uniform,bi4=lecun_normal,epochs=28,ki1=glorot_uniform,ki2=random_uniform,ki3=initialiser_xavier,ki4=random_uniform,layer1=0,loss=categorical_crossentropy,lr=8.3629,optimizer=adam,unit1=1000",categorical_crossentropy,32.0,adam,8.362881182739862,softmax,hard_sigmoid,linear,softplus,glorot_uniform,random_uniform,<keras.initializers.initializers_v2.GlorotNormal object at 0x7f1060196e80>,random_uniform,truncated_normal,<keras.initializers.initializers_v2.Constant object at 0x7f1060196a20>,lecun_uniform,lecun_normal,28.0,1000.0,0.0
