trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
5925ea54,0.18382707238197327,0.18278875946998596,240.19350957870483,True,,,1.0,-0.18382707238197327,e10b0eb5e8c74b349442b306e67fcc1d,2022-10-20_08-48-08,1666255688.0,240.19350957870483,1551238.0,104-171-203-149,104.171.203.149,240.19350957870483,0.0,1.0,0.004409313201904297,"1_act1=relu,act2=relu,act3=relu,act4=softplus,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=initialiser_normal,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=angle_loss_fn,lr=0.0100,optimizer=sgd,unit1=500",<function angle_loss_fn at 0x7f81e439b730>,128.0,sgd,0.01,relu,relu,relu,softplus,<keras.initializers.initializers_v2.RandomNormal object at 0x7f81e4413cc0>,<keras.initializers.initializers_v2.RandomNormal object at 0x7f81e4413cc0>,<keras.initializers.initializers_v2.GlorotNormal object at 0x7f81e4413978>,glorot_uniform,<keras.initializers.initializers_v2.Constant object at 0x7f81e4413f60>,<keras.initializers.initializers_v2.Constant object at 0x7f81e4413f60>,<keras.initializers.initializers_v2.Constant object at 0x7f81e4413f60>,zeros,50.0,500.0,1.0
5c974d2c,0.28179776668548584,0.28026121854782104,969.3533844947815,True,,,1.0,-0.28179776668548584,36580566fc5747d2a1511c985221a0fe,2022-10-20_09-04-24,1666256664.0,969.3533844947815,1578744.0,104-171-203-149,104.171.203.149,969.3533844947815,0.0,1.0,0.0043904781341552734,"2_act1=elu,act2=elu,act3=elu,act4=elu,batch_size=16,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,epochs=35,ki1=zeros,ki2=zeros,ki3=zeros,ki4=zeros,layer1=0,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=250",mean_squared_error,16.0,sgd,9.999999974752427e-07,elu,elu,elu,elu,zeros,zeros,zeros,zeros,zeros,zeros,zeros,zeros,35.0,250.0,0.0
efb7c942,,,,,,,,,647cba42995b401fb2d956b4d64d4b64,2022-10-20_09-04-31,1666256671.0,,1675155.0,104-171-203-149,104.171.203.149,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,relu,relu,relu,relu,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,80.0,500.0,1.0
3202104e,0.2817973792552948,0.28026002645492554,983.9042735099792,True,,,1.0,-0.2817973792552948,601f18e0b5b2416a905363be5f2560e7,2022-10-20_09-21-04,1666257664.0,983.9042735099792,1675969.0,104-171-203-149,104.171.203.149,983.9042735099792,0.0,1.0,0.0047283172607421875,"4_act1=hard_sigmoid,act2=hard_sigmoid,act3=selu,act4=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=random_normal,bi3=he_normal,bi4=random_normal,epochs=56,ki1=he_normal,ki2=he_normal,ki3=he_normal,ki4=glorot_uniform,layer1=2,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=250",mean_squared_logarithmic_error,32.0,adagrad,7.5,hard_sigmoid,hard_sigmoid,selu,hard_sigmoid,he_normal,he_normal,he_normal,glorot_uniform,random_normal,random_normal,he_normal,random_normal,56.0,250.0,2.0
37f8740c,1.7291576862335205,1.725239872932434,174.18528604507446,True,,,1.0,-1.7291576862335205,9aad851c317d460a8d49c87cc520025b,2022-10-20_09-24-05,1666257845.0,174.18528604507446,1737086.0,104-171-203-149,104.171.203.149,174.18528604507446,0.0,1.0,0.004781246185302734,"5_act1=selu,act2=selu,act3=hard_sigmoid,act4=selu,batch_size=256,bi1=he_normal,bi2=he_normal,bi3=random_normal,bi4=glorot_uniform,epochs=71,ki1=random_normal,ki2=random_normal,ki3=random_normal,ki4=random_normal,layer1=0,loss=binary_crossentropy,lr=2.5000,optimizer=adam,unit1=1000",binary_crossentropy,256.0,adam,2.5000007152557373,selu,selu,hard_sigmoid,selu,random_normal,random_normal,random_normal,random_normal,he_normal,he_normal,random_normal,glorot_uniform,71.0,1000.0,0.0
86237670,0.2817973792552948,0.28026002645492554,229.80007910728455,True,,,1.0,-0.2817973792552948,fccef916b58047d38d2a890901d6fb7c,2022-10-20_09-28-01,1666258081.0,229.80007910728455,1753330.0,104-171-203-149,104.171.203.149,229.80007910728455,0.0,1.0,0.004552364349365234,"6_act1=softsign,act2=softmax,act3=softsign,act4=exponential,batch_size=128,bi1=truncated_normal,bi2=glorot_normal,bi3=truncated_normal,bi4=he_normal,epochs=44,ki1=lecun_normal,ki2=glorot_normal,ki3=lecun_normal,ki4=random_uniform,layer1=2,loss=hinge,lr=3.7500,optimizer=adamax,unit1=1000",hinge,128.0,adamax,3.750000476837158,softsign,softmax,softsign,exponential,lecun_normal,glorot_normal,lecun_normal,random_uniform,truncated_normal,glorot_normal,truncated_normal,he_normal,44.0,1000.0,2.0
f20b97f0,1.0228720903396606,1.0222196578979492,493.62379479408264,True,,,1.0,-1.0228720903396606,c2240bf2feb645e19e3f603238967e08,2022-10-20_09-36-21,1666258581.0,493.62379479408264,1771478.0,104-171-203-149,104.171.203.149,493.62379479408264,0.0,1.0,0.004374265670776367,"7_act1=exponential,act2=tanh,act3=exponential,act4=softsign,batch_size=32,bi1=lecun_normal,bi2=constant,bi3=lecun_normal,bi4=random_uniform,epochs=31,ki1=truncated_normal,ki2=constant,ki3=truncated_normal,ki4=he_normal,layer1=1,loss=kullback_leibler_divergence,lr=8.7500,optimizer=adagrad,unit1=500",kullback_leibler_divergence,32.0,adagrad,8.75,exponential,tanh,exponential,softsign,truncated_normal,constant,truncated_normal,he_normal,lecun_normal,constant,lecun_normal,random_uniform,31.0,500.0,1.0
8211978c,1.002210021018982,0.9998884797096252,126.41348624229431,True,,,1.0,-1.002210021018982,e4f1f1ad3dd6426cbf980797a9594c44,2022-10-20_09-38-35,1666258715.0,126.41348624229431,1804563.0,104-171-203-149,104.171.203.149,126.41348624229431,0.0,1.0,0.005978822708129883,"8_act1=tanh,act2=exponential,act3=softmax,act4=softmax,batch_size=256,bi1=constant,bi2=lecun_normal,bi3=glorot_normal,bi4=glorot_normal,epochs=50,ki1=constant,ki2=truncated_normal,ki3=constant,ki4=glorot_normal,layer1=0,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=500",mean_absolute_percentage_error,256.0,adam,6.250000476837158,tanh,exponential,softmax,softmax,constant,truncated_normal,constant,glorot_normal,constant,lecun_normal,glorot_normal,glorot_normal,50.0,500.0,0.0
a8d1d35e,,,381.63706970214844,True,,,1.0,,11cd6efe126344f291e0aefcfa7879e7,2022-10-20_09-45-02,1666259102.0,381.63706970214844,1819121.0,104-171-203-149,104.171.203.149,381.63706970214844,0.0,1.0,0.004225015640258789,"9_act1=softmax,act2=softsign,act3=tanh,act4=tanh,batch_size=64,bi1=glorot_normal,bi2=truncated_normal,bi3=constant,bi4=constant,epochs=39,ki1=glorot_normal,ki2=lecun_normal,ki3=glorot_normal,ki4=constant,layer1=1,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=250",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,softmax,softsign,tanh,tanh,glorot_normal,lecun_normal,glorot_normal,constant,glorot_normal,truncated_normal,constant,constant,39.0,250.0,1.0
f81c55ba,0.2817973792552948,0.28026002645492554,118.54084253311157,True,,,1.0,-0.2817973792552948,fccf2bf9ec844e65b2ac7bc1455bdc48,2022-10-20_09-47-08,1666259228.0,118.54084253311157,1858070.0,104-171-203-149,104.171.203.149,118.54084253311157,0.0,1.0,0.004712581634521484,"10_act1=tanh,act2=softplus,act3=softsign,act4=exponential,batch_size=512,bi1=he_uniform,bi2=he_uniform,bi3=lecun_normal,bi4=lecun_normal,epochs=56,ki1=he_uniform,ki2=random_uniform,ki3=glorot_uniform,ki4=ones,layer1=2,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=1000",squared_hinge,512.0,adadelta,1.8750007152557373,tanh,softplus,softsign,exponential,he_uniform,random_uniform,glorot_uniform,ones,he_uniform,he_uniform,lecun_normal,lecun_normal,56.0,1000.0,2.0
