trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
393d8_00000,0.1836523860692978,0.1824912577867508,236.72804403305054,True,,,1.0,-0.1836523860692978,b9abfe210d6a4809b67f76308dbf952c,2022-10-20_10-34-40,1666262080.0,236.72804403305054,2083906.0,104-171-203-149,104.171.203.149,236.72804403305054,0.0,1.0,0.005317211151123047,0,<function angle_loss_fn at 0x7f62b07ac9d8>,128.0,sgd,0.01,relu,relu,relu,softplus,<keras.initializers.initializers_v2.RandomNormal object at 0x7f62b07e77b8>,<keras.initializers.initializers_v2.RandomNormal object at 0x7f62b07e77b8>,<keras.initializers.initializers_v2.GlorotNormal object at 0x7f62b0744390>,glorot_uniform,<keras.initializers.initializers_v2.Constant object at 0x7f62b0744438>,<keras.initializers.initializers_v2.Constant object at 0x7f62b0744438>,<keras.initializers.initializers_v2.Constant object at 0x7f62b0744438>,zeros,50.0,500.0,1.0
393d8_00001,1.749634861946106,1.7504076957702637,540.3694756031036,True,,,1.0,-1.749634861946106,a0c78e4c85664b8d910fab18aabd0852,2022-10-20_10-43-46,1666262626.0,540.3694756031036,2103196.0,104-171-203-149,104.171.203.149,540.3694756031036,0.0,1.0,0.004613637924194336,"1_act1=softsign,act2=exponential,act3=linear,act4=selu,batch_size=32,bi1=truncated_normal,bi2=initialiser_const,bi3=initialiser_const,bi4=random_normal,epochs=31,ki1=he_normal,ki2=random_normal,ki3=he_normal,ki4=truncated_normal,layer1=1,loss=hinge,lr=2.0013,optimizer=adadelta,unit1=500",hinge,32.0,adadelta,2.001325133936608,softsign,exponential,linear,selu,he_normal,random_normal,he_normal,truncated_normal,truncated_normal,<keras.initializers.initializers_v2.Constant object at 0x7f62c80bf6d8>,<keras.initializers.initializers_v2.Constant object at 0x7f62c80bf6d8>,random_normal,31.0,500.0,1.0
393d8_00002,,,247.52868676185608,True,,,1.0,,ce5661b3a7804b9bbcd0e4eb5203f853,2022-10-20_10-48-00,1666262880.0,247.52868676185608,2141402.0,104-171-203-149,104.171.203.149,247.52868676185608,0.0,1.0,0.00458216667175293,"2_act1=elu,act2=exponential,act3=softsign,act4=linear,batch_size=64,bi1=glorot_normal,bi2=he_uniform,bi3=he_uniform,bi4=glorot_normal,epochs=27,ki1=zeros,ki2=initialiser_normal,ki3=orthogonal,ki4=he_normal,layer1=2,loss=mean_squared_logarithmic_error,lr=2.9894,optimizer=adam,unit1=1000",mean_squared_logarithmic_error,64.0,adam,2.9893954520456423,elu,exponential,softsign,linear,zeros,<keras.initializers.initializers_v2.RandomNormal object at 0x7f62c80d5860>,orthogonal,he_normal,glorot_normal,he_uniform,he_uniform,glorot_normal,27.0,1000.0,2.0
393d8_00003,,,,,,,,,a8fe4e7b2bdf49daae0811e2374db537,2022-10-20_10-48-06,1666262886.0,,2163647.0,104-171-203-149,104.171.203.149,,,,,,logcosh,256.0,adamax,0.0441349936870176,softplus,linear,linear,softplus,he_uniform,he_normal,he_normal,ones,truncated_normal,initialiser_const,orthogonal,he_uniform,43.0,500.0,1.0
393d8_00004,0.2817973792552948,0.28026002645492554,71.33478379249573,True,,,1.0,-0.2817973792552948,9a392bb5328e498ea4d823d152f4d019,2022-10-20_10-49-26,1666262966.0,71.33478379249573,2164735.0,104-171-203-149,104.171.203.149,71.33478379249573,0.0,1.0,0.006407499313354492,"4_act1=relu,act2=sigmoid,act3=exponential,act4=hard_sigmoid,batch_size=512,bi1=glorot_normal,bi2=constant,bi3=glorot_normal,bi4=glorot_normal,epochs=31,ki1=random_normal,ki2=glorot_normal,ki3=constant,ki4=zeros,layer1=2,loss=angle_loss_fn,lr=7.9084,optimizer=sgd,unit1=1000",<function angle_loss_fn at 0x7f62c81351e0>,512.0,sgd,7.9084405676381735,relu,sigmoid,exponential,hard_sigmoid,random_normal,glorot_normal,constant,zeros,glorot_normal,constant,glorot_normal,glorot_normal,31.0,1000.0,2.0
393d8_00005,1.002210021018982,0.9998884797096252,888.0650460720062,True,,,1.0,-1.002210021018982,570c3f6ab52944cb87cf9b0451691351,2022-10-20_11-04-21,1666263861.0,888.0650460720062,2175151.0,104-171-203-149,104.171.203.149,888.0650460720062,0.0,1.0,0.007008790969848633,"5_act1=softplus,act2=linear,act3=softsign,act4=softmax,batch_size=32,bi1=constant,bi2=initialiser_const,bi3=he_normal,bi4=he_uniform,epochs=50,ki1=random_uniform,ki2=lecun_normal,ki3=lecun_uniform,ki4=orthogonal,layer1=2,loss=logcosh,lr=8.6561,optimizer=adamax,unit1=1000",logcosh,32.0,adamax,8.656060698002353,softplus,linear,softsign,softmax,random_uniform,lecun_normal,lecun_uniform,orthogonal,constant,<keras.initializers.initializers_v2.Constant object at 0x7f62c80b60f0>,he_normal,he_uniform,50.0,1000.0,2.0
393d8_00006,,,231.27528524398804,True,,,1.0,,7bf0134ea1d742f99a1fd5e869426278,2022-10-20_11-08-19,1666264099.0,231.27528524398804,2234686.0,104-171-203-149,104.171.203.149,231.27528524398804,0.0,1.0,0.0054225921630859375,"6_act1=exponential,act2=hard_sigmoid,act3=elu,act4=softplus,batch_size=256,bi1=initialiser_const,bi2=he_uniform,bi3=ones,bi4=truncated_normal,epochs=78,ki1=random_normal,ki2=glorot_uniform,ki3=lecun_uniform,ki4=he_uniform,layer1=1,loss=hinge,lr=7.3216,optimizer=rmsprop,unit1=500",hinge,256.0,rmsprop,7.321559565618086,exponential,hard_sigmoid,elu,softplus,random_normal,glorot_uniform,lecun_uniform,he_uniform,<keras.initializers.initializers_v2.Constant object at 0x7f62c80bf400>,he_uniform,ones,truncated_normal,78.0,500.0,1.0
393d8_00007,,,,,,,,,42fd41cc17164c8cba9999a0049402d5,2022-10-20_11-08-25,1666264105.0,,2253845.0,104-171-203-149,104.171.203.149,,,,,,logcosh,512.0,adagrad,0.683814940927844,softmax,softsign,hard_sigmoid,softsign,random_normal,truncated_normal,orthogonal,random_normal,lecun_normal,orthogonal,orthogonal,he_uniform,27.0,1000.0,1.0
393d8_00008,,,,,,,,,34397838bb74407d872f62b50f4d01fe,2022-10-20_11-08-34,1666264114.0,,2254471.0,104-171-203-149,104.171.203.149,,,,,,mean_squared_logarithmic_error,32.0,adagrad,4.561207771084905,relu,sigmoid,softmax,hard_sigmoid,glorot_uniform,he_uniform,lecun_normal,lecun_normal,lecun_normal,orthogonal,constant,truncated_normal,50.0,500.0,1.0
393d8_00009,0.32779452204704285,0.3268885314464569,673.6561789512634,True,,,1.0,-0.32779452204704285,61799ec8496a42f396cc4dd08ba742d7,2022-10-20_11-19-57,1666264797.0,673.6561789512634,2255013.0,104-171-203-149,104.171.203.149,673.6561789512634,0.0,1.0,0.0046765804290771484,"9_act1=sigmoid,act2=linear,act3=softsign,act4=selu,batch_size=64,bi1=random_normal,bi2=glorot_uniform,bi3=he_normal,bi4=he_uniform,epochs=67,ki1=initialiser_normal,ki2=constant,ki3=zeros,ki4=glorot_normal,layer1=2,loss=categorical_crossentropy,lr=7.9613,optimizer=rmsprop,unit1=250",categorical_crossentropy,64.0,rmsprop,7.961291156962875,sigmoid,linear,softsign,selu,<keras.initializers.initializers_v2.RandomNormal object at 0x7f62c80bf278>,constant,zeros,glorot_normal,random_normal,glorot_uniform,he_normal,he_uniform,67.0,250.0,2.0
