trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
e96ff94a,0.1415635049343109,0.14428196847438812,202.35920691490173,True,,,1.0,-0.1415635049343109,1edfb81dd2da4541ac016ca4274623bc,2022-09-16_12-37-58,1663331878.0,202.35920691490173,7236.0,83e87206dee1,172.17.0.2,202.35920691490173,0.0,1.0,0.0047032833099365234,"1_act1=relu,act2=relu,act3=relu,act4=linear,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=initialiser_normal,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=angle_loss_fn,lr=0.0100,optimizer=sgd,unit1=500",<function angle_loss_fn at 0x7fd5c7fd0bf8>,128.0,sgd,0.01,relu,relu,relu,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7fd5c7ed1940>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7fd5c7ed1940>,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7fd5d01d31d0>,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7fd5d01d3208>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7fd5d01d3208>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7fd5d01d3208>,zeros,50.0,500.0,1.0
ec7ca660,0.2817977964878082,0.2802611291408539,732.4582405090332,True,,,1.0,-0.2817977964878082,f573e491af6b4ed1ad178e1b93fdbff7,2022-09-16_12-50-16,1663332616.0,732.4582405090332,8710.0,83e87206dee1,172.17.0.2,732.4582405090332,0.0,1.0,0.005121946334838867,"2_act1=elu,act2=elu,act3=elu,act4=elu,batch_size=16,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,epochs=33,ki1=zeros,ki2=zeros,ki3=zeros,ki4=zeros,layer1=0,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=250",mean_squared_error,16.0,sgd,9.999999974752427e-07,elu,elu,elu,elu,zeros,zeros,zeros,zeros,zeros,zeros,zeros,zeros,33.0,250.0,0.0
655c2876,,,,,,,,,bf659201037d457ca2d2fac25c3f4adf,2022-09-16_12-50-21,1663332621.0,,11818.0,83e87206dee1,172.17.0.2,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,relu,relu,relu,relu,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,50.0,500.0,1.0
1d541532,0.2817973494529724,0.28026002645492554,422.80319690704346,True,,,1.0,-0.2817973494529724,49b6e4c370e64e78b1abbabc01308ad4,2022-09-16_12-57-32,1663333052.0,422.80319690704346,12004.0,83e87206dee1,172.17.0.2,422.80319690704346,0.0,1.0,0.005181550979614258,"4_act1=hard_sigmoid,act2=hard_sigmoid,act3=selu,act4=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=random_normal,bi3=he_normal,bi4=random_normal,epochs=27,ki1=he_normal,ki2=he_normal,ki3=he_normal,ki4=glorot_uniform,layer1=2,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=250",mean_squared_logarithmic_error,32.0,adagrad,7.5,hard_sigmoid,hard_sigmoid,selu,hard_sigmoid,he_normal,he_normal,he_normal,glorot_uniform,random_normal,random_normal,he_normal,random_normal,27.0,250.0,2.0
22187450,1.749634861946106,1.7504076957702637,191.92990946769714,True,,,1.0,-1.749634861946106,a8e4675a32e34c0a82e09f837b7b841a,2022-09-16_13-00-50,1663333250.0,191.92990946769714,14575.0,83e87206dee1,172.17.0.2,191.92990946769714,0.0,1.0,0.004874467849731445,"5_act1=selu,act2=selu,act3=hard_sigmoid,act4=selu,batch_size=256,bi1=he_normal,bi2=he_normal,bi3=random_normal,bi4=glorot_uniform,epochs=75,ki1=random_normal,ki2=random_normal,ki3=random_normal,ki4=random_normal,layer1=0,loss=binary_crossentropy,lr=2.5000,optimizer=adam,unit1=1000",binary_crossentropy,256.0,adam,2.5000007152557373,selu,selu,hard_sigmoid,selu,random_normal,random_normal,random_normal,random_normal,he_normal,he_normal,random_normal,glorot_uniform,75.0,1000.0,0.0
21421224,0.00447513721883297,0.004475175868719816,575.9408288002014,True,,,1.0,-0.00447513721883297,555ba7f50a514686a8587bfca51de25c,2022-09-16_13-10-31,1663333831.0,575.9408288002014,15723.0,83e87206dee1,172.17.0.2,575.9408288002014,0.0,1.0,0.004916667938232422,"6_act1=softsign,act2=softmax,act3=softsign,act4=exponential,batch_size=128,bi1=truncated_normal,bi2=glorot_normal,bi3=truncated_normal,bi4=he_normal,epochs=112,ki1=lecun_normal,ki2=glorot_normal,ki3=lecun_normal,ki4=random_uniform,layer1=2,loss=hinge,lr=3.7500,optimizer=adamax,unit1=1000",hinge,128.0,adamax,3.750000476837158,softsign,softmax,softsign,exponential,lecun_normal,glorot_normal,lecun_normal,random_uniform,truncated_normal,glorot_normal,truncated_normal,he_normal,112.0,1000.0,2.0
96b43924,1.02169668674469,1.0192387104034424,1199.9110832214355,True,,,1.0,-1.02169668674469,c96e43951c2347058d98473bf3d8a8dc,2022-09-16_13-30-35,1663335035.0,1199.9110832214355,17700.0,83e87206dee1,172.17.0.2,1199.9110832214355,0.0,1.0,0.0053365230560302734,"7_act1=exponential,act2=tanh,act3=exponential,act4=softsign,batch_size=32,bi1=lecun_normal,bi2=constant,bi3=lecun_normal,bi4=random_uniform,epochs=92,ki1=truncated_normal,ki2=constant,ki3=truncated_normal,ki4=he_normal,layer1=1,loss=kullback_leibler_divergence,lr=8.7500,optimizer=adagrad,unit1=500",kullback_leibler_divergence,32.0,adagrad,8.75,exponential,tanh,exponential,softsign,truncated_normal,constant,truncated_normal,he_normal,lecun_normal,constant,lecun_normal,random_uniform,92.0,500.0,1.0
f3e7003a,0.2817973494529724,0.28026002645492554,61.31134271621704,True,,,1.0,-0.2817973494529724,857be269d7ba4a36ae7ab6ea9e9f3902,2022-09-16_13-31-42,1663335102.0,61.31134271621704,24344.0,83e87206dee1,172.17.0.2,61.31134271621704,0.0,1.0,0.0050203800201416016,"8_act1=tanh,act2=exponential,act3=softmax,act4=softmax,batch_size=256,bi1=constant,bi2=lecun_normal,bi3=glorot_normal,bi4=glorot_normal,epochs=22,ki1=constant,ki2=truncated_normal,ki3=constant,ki4=glorot_normal,layer1=0,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=500",mean_absolute_percentage_error,256.0,adam,6.250000476837158,tanh,exponential,softmax,softmax,constant,truncated_normal,constant,glorot_normal,constant,lecun_normal,glorot_normal,glorot_normal,22.0,500.0,0.0
bf7304e0,0.00447513721883297,0.004475175868719816,354.87054800987244,True,,,1.0,-0.00447513721883297,8ad662dbd08a4d0384d2f1fdbed3f9cb,2022-09-16_13-37-43,1663335463.0,354.87054800987244,24715.0,83e87206dee1,172.17.0.2,354.87054800987244,0.0,1.0,0.00444340705871582,"9_act1=softmax,act2=softsign,act3=tanh,act4=tanh,batch_size=64,bi1=glorot_normal,bi2=truncated_normal,bi3=constant,bi4=constant,epochs=40,ki1=glorot_normal,ki2=lecun_normal,ki3=glorot_normal,ki4=constant,layer1=1,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=250",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,softmax,softsign,tanh,tanh,glorot_normal,lecun_normal,glorot_normal,constant,glorot_normal,truncated_normal,constant,constant,40.0,250.0,1.0
e7647448,0.00447513721883297,0.004475175868719816,82.36839532852173,True,,,1.0,-0.00447513721883297,07676080d8d947ebab3915275a1347af,2022-09-16_13-39-10,1663335550.0,82.36839532852173,25646.0,83e87206dee1,172.17.0.2,82.36839532852173,0.0,1.0,0.004747629165649414,"10_act1=tanh,act2=softplus,act3=softsign,act4=exponential,batch_size=512,bi1=he_uniform,bi2=he_uniform,bi3=lecun_normal,bi4=lecun_normal,epochs=27,ki1=he_uniform,ki2=random_uniform,ki3=glorot_uniform,ki4=ones,layer1=2,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=1000",squared_hinge,512.0,adadelta,1.8750007152557373,tanh,softplus,softsign,exponential,he_uniform,random_uniform,glorot_uniform,ones,he_uniform,he_uniform,lecun_normal,lecun_normal,27.0,1000.0,2.0
