trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
9d79c_00000,0.12114604562520981,0.12323759496212006,210.21974182128906,True,,,1.0,-0.12114604562520981,688940f59b354fe7857681595bd86d61,2022-09-17_06-01-05,1663394465.0,210.21974182128906,2545.0,83e87206dee1,172.17.0.2,210.21974182128906,0.0,1.0,0.00503087043762207,0,<function angle_loss_fn at 0x7f61405f6c80>,128.0,sgd,0.01,relu,relu,relu,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f61405d2470>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f61405d2470>,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7f61405d2da0>,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f6140517128>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f6140517128>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f6140517128>,zeros,50.0,500.0,1.0
9d79c_00001,1.4748095273971558,1.4922536611557007,200.93106603622437,True,,,1.0,-1.4748095273971558,49d1cd89e43f4e009adeb71e63a1284f,2022-09-17_06-04-31,1663394671.0,200.93106603622437,3288.0,83e87206dee1,172.17.0.2,200.93106603622437,0.0,1.0,0.004995822906494141,"1_act1=tanh,act2=selu,act3=tanh,act4=linear,batch_size=256,bi1=lecun_normal,bi2=he_normal,bi3=random_normal,bi4=truncated_normal,epochs=78,ki1=orthogonal,ki2=random_uniform,ki3=zeros,ki4=ones,layer1=0,loss=squared_hinge,lr=0.1759,optimizer=adagrad,unit1=1000",squared_hinge,256.0,adagrad,0.1759168217290922,tanh,selu,tanh,linear,orthogonal,random_uniform,zeros,ones,lecun_normal,he_normal,random_normal,truncated_normal,78.0,1000.0,0.0
9d79c_00002,,,,,,,,,ce6181c0deed4b28974554df919bbbdd,2022-09-17_06-04-36,1663394676.0,,4693.0,83e87206dee1,172.17.0.2,,,,,,angle_loss_fn,512.0,adadelta,1.1090023181819142,selu,sigmoid,relu,sigmoid,zeros,truncated_normal,he_uniform,orthogonal,orthogonal,glorot_uniform,truncated_normal,he_uniform,31.0,500.0,1.0
9d79c_00003,,,,,,,,,569413b060e84d539a0f02d66e65b52c,2022-09-17_06-04-45,1663394685.0,,4886.0,83e87206dee1,172.17.0.2,,,,,,mean_squared_logarithmic_error,32.0,nadam,5.859402286585809,softmax,tanh,softsign,sigmoid,constant,lecun_normal,ones,random_normal,lecun_uniform,random_uniform,initialiser_const,random_uniform,124.0,250.0,0.0
9d79c_00004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d79c_00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d79c_00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d79c_00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d79c_00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d79c_00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d79c_00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d79c_00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d79c_00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d79c_00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d79c_00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
