trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
4550127a,0.2818145155906677,0.28029975295066833,195.13604927062988,True,,,1.0,-0.2818145155906677,68dc5ea819314450aac075b76a7a965a,2022-09-13_18-41-52,1663094512.0,195.13604927062988,27080.0,b430368dd22d,172.17.0.2,195.13604927062988,0.0,1.0,0.00493168830871582,"1_act1=relu,act2=exponential,act3=relu,act4=linear,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=initialiser_normal,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=angle_loss_fn,lr=0.0100,optimizer=sgd,unit1=500",<function angle_loss_fn at 0x7faef461adc0>,128.0,sgd,0.01,relu,exponential,relu,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7faef4772c40>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7faef4772c40>,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7faef4772e20>,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7faef4772070>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7faef4772070>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7faef4772070>,zeros,50.0,500.0,1.0
47b040a8,,,,,,,,,b6d3674cfce846e98a346893b722cfa1,2022-09-13_18-41-56,1663094516.0,,27525.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,32.0,adadelta,3.1916180328610673,elu,relu,elu,tanh,lecun_uniform,glorot_uniform,he_uniform,random_uniform,random_uniform,ones,zeros,random_normal,77.0,250.0,1.0
be85de36,,,,,,,,,375af6a2288941e5b49536ceeaf40a96,2022-09-13_18-42-06,1663094526.0,,27709.0,b430368dd22d,172.17.0.2,,,,,,hinge,32.0,rmsprop,2.881715335786464,tanh,linear,sigmoid,hard_sigmoid,he_normal,he_uniform,he_uniform,random_normal,random_uniform,orthogonal,initialiser_const,lecun_normal,25.0,500.0,1.0
c247622e,1.0247570276260376,1.0268900394439697,140.68155002593994,True,,,1.0,-1.0247570276260376,7672c5b7b09942ef893b4469f23c1583,2022-09-13_18-44-35,1663094675.0,140.68155002593994,27992.0,b430368dd22d,172.17.0.2,140.68155002593994,0.0,1.0,0.005047321319580078,"4_act1=softmax,act2=exponential,act3=selu,act4=elu,batch_size=128,bi1=random_normal,bi2=glorot_uniform,bi3=lecun_uniform,bi4=constant,epochs=25,ki1=he_uniform,ki2=orthogonal,ki3=zeros,ki4=glorot_normal,layer1=2,loss=mean_squared_logarithmic_error,lr=0.6300,optimizer=rmsprop,unit1=500",mean_squared_logarithmic_error,128.0,rmsprop,0.630001538743673,softmax,exponential,selu,elu,he_uniform,orthogonal,zeros,glorot_normal,random_normal,glorot_uniform,lecun_uniform,constant,25.0,500.0,2.0
c70c93ec,0.2817973494529724,0.28026002645492554,177.11118006706238,True,,,1.0,-0.2817973494529724,d27ab63bd1f14208a4a1abf7eb30b782,2022-09-13_18-47-37,1663094857.0,177.11118006706238,29087.0,b430368dd22d,172.17.0.2,177.11118006706238,0.0,1.0,0.004759550094604492,"5_act1=linear,act2=tanh,act3=exponential,act4=hard_sigmoid,batch_size=256,bi1=truncated_normal,bi2=truncated_normal,bi3=ones,bi4=truncated_normal,epochs=62,ki1=orthogonal,ki2=random_normal,ki3=glorot_normal,ki4=constant,layer1=1,loss=poisson,lr=6.6341,optimizer=rmsprop,unit1=1000",poisson,256.0,rmsprop,6.634144500338682,linear,tanh,exponential,hard_sigmoid,orthogonal,random_normal,glorot_normal,constant,truncated_normal,truncated_normal,ones,truncated_normal,62.0,1000.0,1.0
1d7e5814,0.28631073236465454,0.28385162353515625,834.7637810707092,True,,,1.0,-0.28631073236465454,dacd33fcd43b4cb3a98035d8827c7495,2022-09-13_19-01-35,1663095695.0,834.7637810707092,29564.0,b430368dd22d,172.17.0.2,834.7637810707092,0.0,1.0,0.004688262939453125,"6_act1=softplus,act2=softmax,act3=softsign,act4=linear,batch_size=64,bi1=lecun_uniform,bi2=random_uniform,bi3=truncated_normal,bi4=ones,epochs=120,ki1=glorot_uniform,ki2=ones,ki3=he_uniform,ki4=truncated_normal,layer1=0,loss=mean_absolute_percentage_error,lr=1.4453,optimizer=adagrad,unit1=500",mean_absolute_percentage_error,64.0,adagrad,1.4453204432723203,softplus,softmax,softsign,linear,glorot_uniform,ones,he_uniform,truncated_normal,lecun_uniform,random_uniform,truncated_normal,ones,120.0,500.0,0.0
896684b6,0.2817973494529724,0.28026002645492554,255.53707838058472,True,,,1.0,-0.2817973494529724,9c9b74b484594aa6aa08106573c6996d,2022-09-13_19-05-55,1663095955.0,255.53707838058472,30424.0,b430368dd22d,172.17.0.2,255.53707838058472,0.0,1.0,0.005206584930419922,"7_act1=exponential,act2=linear,act3=elu,act4=softmax,batch_size=512,bi1=glorot_normal,bi2=glorot_normal,bi3=lecun_normal,bi4=random_uniform,epochs=120,ki1=lecun_normal,ki2=lecun_normal,ki3=zeros,ki4=he_normal,layer1=0,loss=angle_loss_fn,lr=6.1986,optimizer=adadelta,unit1=500",<function angle_loss_fn at 0x7faef4af3310>,512.0,adadelta,6.19860102341462,exponential,linear,elu,softmax,lecun_normal,lecun_normal,zeros,he_normal,glorot_normal,glorot_normal,lecun_normal,random_uniform,120.0,500.0,0.0
7d9750a0,0.2817973494529724,0.28026002645492554,312.69648480415344,True,,,1.0,-0.2817973494529724,87df23b2ca4747a785338a25eac12cdf,2022-09-13_19-11-12,1663096272.0,312.69648480415344,31062.0,b430368dd22d,172.17.0.2,312.69648480415344,0.0,1.0,0.00487208366394043,"8_act1=sigmoid,act2=linear,act3=exponential,act4=relu,batch_size=256,bi1=he_uniform,bi2=he_uniform,bi3=lecun_normal,bi4=lecun_normal,epochs=120,ki1=zeros,ki2=lecun_uniform,ki3=initialiser_xavier,ki4=glorot_normal,layer1=2,loss=hinge,lr=8.3525,optimizer=adamax,unit1=500",hinge,256.0,adamax,8.352486333857488,sigmoid,linear,exponential,relu,zeros,lecun_uniform,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7faef47ff700>,glorot_normal,he_uniform,he_uniform,lecun_normal,lecun_normal,120.0,500.0,2.0
18994b30,0.2817973494529724,0.28026002645492554,235.62151265144348,True,,,1.0,-0.2817973494529724,06d7a8cf990b414598de65707d43ac06,2022-09-13_19-15-12,1663096512.0,235.62151265144348,31702.0,b430368dd22d,172.17.0.2,235.62151265144348,0.0,1.0,0.004417896270751953,"9_act1=hard_sigmoid,act2=hard_sigmoid,act3=softsign,act4=exponential,batch_size=128,bi1=random_uniform,bi2=random_uniform,bi3=random_normal,bi4=he_normal,epochs=50,ki1=lecun_normal,ki2=lecun_normal,ki3=truncated_normal,ki4=zeros,layer1=2,loss=squared_hinge,lr=6.0268,optimizer=adagrad,unit1=1000",squared_hinge,128.0,adagrad,6.026849288714518,hard_sigmoid,hard_sigmoid,softsign,exponential,lecun_normal,lecun_normal,truncated_normal,zeros,random_uniform,random_uniform,random_normal,he_normal,50.0,1000.0,2.0
d5971302,,,,,,,,,82d1dd7244a546ee8667b577122f7f59,2022-09-13_19-15-17,1663096517.0,,32159.0,b430368dd22d,172.17.0.2,,,,,,angle_loss_fn,64.0,sgd,9.916902414138114,linear,softmax,softmax,exponential,he_uniform,random_uniform,glorot_normal,constant,lecun_normal,glorot_uniform,he_uniform,orthogonal,32.0,500.0,2.0
