trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
a9a1a_00000,0.10564534366130829,0.10675180703401566,13.972049474716187,True,,,1.0,-0.10564534366130829,97b1c2c38b2d47fab505f740658b4de6,2022-09-04_12-11-29,1662293489.0,13.972049474716187,17753.0,b430368dd22d,172.17.0.2,13.972049474716187,0.0,1.0,0.0059337615966796875,0,<function angle_loss_fn at 0x7f5e36366f70>,128.0,sgd,0.01,relu,relu,relu,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f5eb354d790>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f5eb354d790>,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7f5eb354d6a0>,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f5e363902e0>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f5e363902e0>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f5e363902e0>,zeros,1.0,500.0,1.0
a9a1a_00001,0.2817973494529724,0.28026002645492554,15.829550981521606,True,,,1.0,-0.2817973494529724,80d7d29b46c74afd9662df01212791b3,2022-09-04_12-11-51,1662293511.0,15.829550981521606,18184.0,b430368dd22d,172.17.0.2,15.829550981521606,0.0,1.0,0.004668474197387695,"1_act1=softsign,act2=elu,act3=softsign,act4=softmax,batch_size=64,bi1=zeros,bi2=initialiser_const,bi3=zeros,bi4=random_normal,epochs=1,ki1=lecun_uniform,ki2=ones,ki3=ones,ki4=lecun_normal,layer1=0,loss=hinge,lr=7.3415,optimizer=adagrad,unit1=250",hinge,64.0,adagrad,7.341485068308211,softsign,elu,softsign,softmax,lecun_uniform,ones,ones,lecun_normal,zeros,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f5eb36a51c0>,zeros,random_normal,1.0,250.0,0.0
a9a1a_00002,0.2817973494529724,0.28026002645492554,35.74400353431702,True,,,1.0,-0.2817973494529724,d29057caa9664066a1efc15c6874bafe,2022-09-04_12-12-33,1662293553.0,35.74400353431702,18537.0,b430368dd22d,172.17.0.2,35.74400353431702,0.0,1.0,0.005685567855834961,"2_act1=tanh,act2=linear,act3=softmax,act4=sigmoid,batch_size=16,bi1=truncated_normal,bi2=he_normal,bi3=ones,bi4=lecun_normal,epochs=1,ki1=orthogonal,ki2=truncated_normal,ki3=zeros,ki4=lecun_normal,layer1=2,loss=poisson,lr=1.6327,optimizer=adam,unit1=1000",poisson,16.0,adam,1.6327197079606988,tanh,linear,softmax,sigmoid,orthogonal,truncated_normal,zeros,lecun_normal,truncated_normal,he_normal,ones,lecun_normal,1.0,1000.0,2.0
a9a1a_00003,0.7467762231826782,0.7486980557441711,11.80809235572815,True,,,1.0,-0.7467762231826782,46c2a8522055464e8cd19d22e175ff8e,2022-09-04_12-12-50,1662293570.0,11.80809235572815,18878.0,b430368dd22d,172.17.0.2,11.80809235572815,0.0,1.0,0.005839824676513672,"3_act1=elu,act2=sigmoid,act3=softsign,act4=softsign,batch_size=256,bi1=he_normal,bi2=he_normal,bi3=truncated_normal,bi4=lecun_normal,epochs=1,ki1=initialiser_normal,ki2=lecun_uniform,ki3=random_uniform,ki4=he_uniform,layer1=1,loss=hinge,lr=6.2783,optimizer=adadelta,unit1=250",hinge,256.0,adadelta,6.278300766229916,elu,sigmoid,softsign,softsign,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f5eb354dc10>,lecun_uniform,random_uniform,he_uniform,he_normal,he_normal,truncated_normal,lecun_normal,1.0,250.0,1.0
a9a1a_00004,1.0213661193847656,1.0189094543457031,14.141300201416016,True,,,1.0,-1.0213661193847656,59092271c1034cf29a8b197a0277eab5,2022-09-04_12-13-09,1662293589.0,14.141300201416016,19323.0,b430368dd22d,172.17.0.2,14.141300201416016,0.0,1.0,0.0047681331634521484,"4_act1=softmax,act2=exponential,act3=hard_sigmoid,act4=softsign,batch_size=512,bi1=glorot_normal,bi2=glorot_normal,bi3=ones,bi4=lecun_normal,epochs=1,ki1=ones,ki2=lecun_normal,ki3=constant,ki4=lecun_uniform,layer1=2,loss=mean_absolute_error,lr=3.7976,optimizer=adam,unit1=250",mean_absolute_error,512.0,adam,3.797566233729394,softmax,exponential,hard_sigmoid,softsign,ones,lecun_normal,constant,lecun_uniform,glorot_normal,glorot_normal,ones,lecun_normal,1.0,250.0,2.0
a9a1a_00005,0.00447513721883297,0.004475175868719816,33.45071601867676,True,,,1.0,-0.00447513721883297,c1c4bcd3e0554a68aa1393ea3e1273d2,2022-09-04_12-13-47,1662293627.0,33.45071601867676,19745.0,b430368dd22d,172.17.0.2,33.45071601867676,0.0,1.0,0.004809379577636719,"5_act1=linear,act2=softplus,act3=exponential,act4=elu,batch_size=16,bi1=glorot_uniform,bi2=random_normal,bi3=truncated_normal,bi4=random_normal,epochs=1,ki1=he_normal,ki2=glorot_normal,ki3=truncated_normal,ki4=glorot_normal,layer1=2,loss=logcosh,lr=1.6903,optimizer=sgd,unit1=250",logcosh,16.0,sgd,1.6902752282964524,linear,softplus,exponential,elu,he_normal,glorot_normal,truncated_normal,glorot_normal,glorot_uniform,random_normal,truncated_normal,random_normal,1.0,250.0,2.0
a9a1a_00006,,,,,,,,,03295de547b94a7c89c6c5b3907916f1,2022-09-04_12-13-53,1662293633.0,,20389.0,b430368dd22d,172.17.0.2,,,,,,angle_loss_fn,128.0,adam,6.359446808264891,exponential,sigmoid,tanh,relu,he_normal,glorot_uniform,random_uniform,lecun_normal,lecun_normal,he_uniform,orthogonal,he_normal,1.0,500.0,2.0
a9a1a_00007,0.2817973494529724,0.28026002645492554,13.248682975769043,True,,,1.0,-0.2817973494529724,2083632572034f36b78d8d8051fc4891,2022-09-04_12-14-14,1662293654.0,13.248682975769043,20571.0,b430368dd22d,172.17.0.2,13.248682975769043,0.0,1.0,0.0061109066009521484,"7_act1=softplus,act2=selu,act3=tanh,act4=softplus,batch_size=128,bi1=lecun_uniform,bi2=lecun_normal,bi3=he_uniform,bi4=constant,epochs=1,ki1=glorot_uniform,ki2=random_uniform,ki3=glorot_uniform,ki4=glorot_uniform,layer1=1,loss=mean_squared_error,lr=3.9935,optimizer=rmsprop,unit1=250",mean_squared_error,128.0,rmsprop,3.9935020750766723,softplus,selu,tanh,softplus,glorot_uniform,random_uniform,glorot_uniform,glorot_uniform,lecun_uniform,lecun_normal,he_uniform,constant,1.0,250.0,1.0
a9a1a_00008,,,,,,,,,ffbf23813a524bcc8b8d0682dd198d2f,2022-09-04_12-14-19,1662293659.0,,21015.0,b430368dd22d,172.17.0.2,,,,,,kullback_leibler_divergence,256.0,adagrad,4.7787927698691055,sigmoid,sigmoid,exponential,softmax,lecun_uniform,he_uniform,lecun_uniform,random_normal,lecun_uniform,orthogonal,he_uniform,glorot_uniform,2.0,250.0,0.0
a9a1a_00009,1.579412579536438,1.553942322731018,18.268075227737427,True,,,1.0,-1.579412579536438,094993cefbf94b29b605f3748abf881c,2022-09-04_12-14-45,1662293685.0,18.268075227737427,21234.0,b430368dd22d,172.17.0.2,18.268075227737427,0.0,1.0,0.006994009017944336,"9_act1=tanh,act2=tanh,act3=softmax,act4=relu,batch_size=128,bi1=random_uniform,bi2=lecun_normal,bi3=constant,bi4=glorot_uniform,epochs=2,ki1=he_uniform,ki2=truncated_normal,ki3=random_uniform,ki4=he_normal,layer1=0,loss=kullback_leibler_divergence,lr=1.8950,optimizer=nadam,unit1=1000",kullback_leibler_divergence,128.0,nadam,1.8950496893469648,tanh,tanh,softmax,relu,he_uniform,truncated_normal,random_uniform,he_normal,random_uniform,lecun_normal,constant,glorot_uniform,2.0,1000.0,0.0
