trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
45d60a74,0.06913165748119354,0.06972511112689972,225.3601369857788,True,,,1.0,-0.06913165748119354,64293220b75b49b2b84e3e2dfe605395,2022-10-19_16-40-59,1666197659.0,225.3601369857788,1356707.0,104-171-202-119,104.171.202.119,225.3601369857788,0.0,1.0,0.004936933517456055,"1_act1=relu,act2=relu,act3=relu,act4=linear,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=initialiser_normal,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=angle_loss_fn,lr=0.0010,optimizer=sgd,unit1=500",<function angle_loss_fn at 0x7f616454e510>,128.0,sgd,0.001,relu,relu,relu,linear,<keras.initializers.initializers_v2.RandomNormal object at 0x7f6164515358>,<keras.initializers.initializers_v2.RandomNormal object at 0x7f6164515358>,<keras.initializers.initializers_v2.GlorotNormal object at 0x7f6164515470>,glorot_uniform,<keras.initializers.initializers_v2.Constant object at 0x7f6164515588>,<keras.initializers.initializers_v2.Constant object at 0x7f6164515588>,<keras.initializers.initializers_v2.Constant object at 0x7f6164515588>,zeros,50.0,500.0,1.0
49455188,,,129.8292031288147,True,,,1.0,,ab924ee7bf5e4b3a8ee386b01b3f7026,2022-10-19_16-43-15,1666197795.0,129.8292031288147,1384101.0,104-171-202-119,104.171.202.119,129.8292031288147,0.0,1.0,0.0041561126708984375,"2_act1=softmax,act2=elu,act3=exponential,act4=linear,batch_size=512,bi1=truncated_normal,bi2=random_uniform,bi3=random_uniform,bi4=glorot_normal,epochs=63,ki1=ones,ki2=lecun_normal,ki3=initialiser_xavier,ki4=random_normal,layer1=1,loss=categorical_hinge,lr=7.5327,optimizer=adagrad,unit1=250",categorical_hinge,512.0,adagrad,7.532702851569373,softmax,elu,exponential,linear,ones,lecun_normal,<keras.initializers.initializers_v2.GlorotNormal object at 0x7f6164530588>,random_normal,truncated_normal,random_uniform,random_uniform,glorot_normal,63.0,250.0,1.0
d01ac15c,0.2817973494529724,0.28026002645492554,223.68762850761414,True,,,1.0,-0.2817973494529724,a353a05dcef7405f95ef801f9c100628,2022-10-19_16-47-05,1666198025.0,223.68762850761414,1400069.0,104-171-202-119,104.171.202.119,223.68762850761414,0.0,1.0,0.003875255584716797,"3_act1=softmax,act2=softmax,act3=elu,act4=softplus,batch_size=256,bi1=truncated_normal,bi2=ones,bi3=random_normal,bi4=ones,epochs=80,ki1=glorot_uniform,ki2=he_normal,ki3=glorot_uniform,ki4=he_normal,layer1=2,loss=mean_absolute_error,lr=9.0738,optimizer=adadelta,unit1=1000",mean_absolute_error,256.0,adadelta,9.073781286665143,softmax,softmax,elu,softplus,glorot_uniform,he_normal,glorot_uniform,he_normal,truncated_normal,ones,random_normal,ones,80.0,1000.0,2.0
24550020,,,,,,,,,f6c2afd64308436b9ed264adeb1bab3b,2022-10-19_16-47-10,1666198030.0,,1419526.0,104-171-202-119,104.171.202.119,,,,,,mean_squared_error,512.0,sgd,4.692521055452779,softmax,elu,relu,softmax,initialiser_normal,zeros,random_uniform,orthogonal,constant,orthogonal,he_normal,he_uniform,80.0,250.0,0.0
a9aec846,,,,,,,,,31e249f8cdbe43a5a92a30ea8f7d203d,2022-10-19_16-47-19,1666198039.0,,1420264.0,104-171-202-119,104.171.202.119,,,,,,angle_loss_fn,64.0,sgd,4.35860672388979,linear,softmax,softsign,softsign,random_normal,ones,random_normal,truncated_normal,lecun_normal,orthogonal,lecun_uniform,lecun_uniform,35.0,1000.0,1.0
af0c696a,1.002210021018982,0.9998884797096252,609.6082351207733,True,,,1.0,-1.002210021018982,9c7c25f1f07440f0be392a4b25c46751,2022-10-19_16-57-38,1666198658.0,609.6082351207733,1420893.0,104-171-202-119,104.171.202.119,609.6082351207733,0.0,1.0,0.004149913787841797,"6_act1=softmax,act2=softplus,act3=selu,act4=softmax,batch_size=32,bi1=he_normal,bi2=lecun_uniform,bi3=lecun_normal,bi4=random_uniform,epochs=39,ki1=initialiser_normal,ki2=lecun_normal,ki3=truncated_normal,ki4=orthogonal,layer1=2,loss=categorical_crossentropy,lr=4.4925,optimizer=adagrad,unit1=500",categorical_crossentropy,32.0,adagrad,4.492457586076547,softmax,softplus,selu,softmax,<keras.initializers.initializers_v2.RandomNormal object at 0x7f616452e358>,lecun_normal,truncated_normal,orthogonal,he_normal,lecun_uniform,lecun_normal,random_uniform,39.0,500.0,2.0
b469b07a,0.287119597196579,0.28652846813201904,153.6153039932251,True,,,1.0,-0.287119597196579,23f9856deea147d094a8cd0436ce5fcf,2022-10-19_17-00-18,1666198818.0,153.6153039932251,1471151.0,104-171-202-119,104.171.202.119,153.6153039932251,0.0,1.0,0.004346370697021484,"7_act1=softmax,act2=softplus,act3=linear,act4=elu,batch_size=256,bi1=initialiser_const,bi2=lecun_normal,bi3=he_normal,bi4=lecun_normal,epochs=56,ki1=he_normal,ki2=lecun_normal,ki3=random_uniform,ki4=truncated_normal,layer1=0,loss=angle_loss_fn,lr=0.7308,optimizer=adamax,unit1=500",<function angle_loss_fn at 0x7f616459d950>,256.0,adamax,0.7308478543866653,softmax,softplus,linear,elu,he_normal,lecun_normal,random_uniform,truncated_normal,<keras.initializers.initializers_v2.Constant object at 0x7f6164611240>,lecun_normal,he_normal,lecun_normal,56.0,500.0,0.0
239d85b0,0.2817973792552948,0.28026002645492554,685.5270872116089,True,,,1.0,-0.2817973792552948,fbf64129066f459698b442214436c4fd,2022-10-19_17-11-50,1666199510.0,685.5270872116089,1488085.0,104-171-202-119,104.171.202.119,685.5270872116089,0.0,1.0,0.004345893859863281,"8_act1=softplus,act2=hard_sigmoid,act3=exponential,act4=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=lecun_normal,bi3=truncated_normal,bi4=glorot_uniform,epochs=35,ki1=lecun_uniform,ki2=ones,ki3=zeros,ki4=zeros,layer1=2,loss=mean_squared_error,lr=6.7619,optimizer=rmsprop,unit1=500",mean_squared_error,32.0,rmsprop,6.76194396284341,softplus,hard_sigmoid,exponential,hard_sigmoid,lecun_uniform,ones,zeros,zeros,random_normal,lecun_normal,truncated_normal,glorot_uniform,35.0,500.0,2.0
82fe5f5c,0.2817973792552948,0.28026002645492554,142.80594992637634,True,,,1.0,-0.2817973792552948,c95862fb4d82490a8478f4e97b8cfdfc,2022-10-19_17-14-18,1666199658.0,142.80594992637634,1516476.0,104-171-202-119,104.171.202.119,142.80594992637634,0.0,1.0,0.004168272018432617,"9_act1=hard_sigmoid,act2=selu,act3=softsign,act4=exponential,batch_size=256,bi1=truncated_normal,bi2=initialiser_const,bi3=constant,bi4=zeros,epochs=50,ki1=glorot_normal,ki2=truncated_normal,ki3=he_normal,ki4=ones,layer1=2,loss=categorical_hinge,lr=7.2192,optimizer=adadelta,unit1=250",categorical_hinge,256.0,adadelta,7.219185919448314,hard_sigmoid,selu,softsign,exponential,glorot_normal,truncated_normal,he_normal,ones,truncated_normal,<keras.initializers.initializers_v2.Constant object at 0x7f6164545cf8>,constant,zeros,50.0,250.0,2.0
1ee82ae6,0.6807444095611572,0.6814100742340088,142.47496461868286,True,,,1.0,-0.6807444095611572,93fde74c084742bd8c150e06e40a77b0,2022-10-19_17-16-47,1666199807.0,142.47496461868286,1526780.0,104-171-202-119,104.171.202.119,142.47496461868286,0.0,1.0,0.004427671432495117,"10_act1=relu,act2=softsign,act3=sigmoid,act4=selu,batch_size=256,bi1=random_normal,bi2=truncated_normal,bi3=ones,bi4=lecun_normal,epochs=50,ki1=random_normal,ki2=initialiser_normal,ki3=random_uniform,ki4=glorot_uniform,layer1=1,loss=binary_crossentropy,lr=0.1507,optimizer=rmsprop,unit1=1000",binary_crossentropy,256.0,rmsprop,0.1507293019855889,relu,softsign,sigmoid,selu,random_normal,<keras.initializers.initializers_v2.RandomNormal object at 0x7f6164501518>,random_uniform,glorot_uniform,random_normal,truncated_normal,ones,lecun_normal,50.0,1000.0,1.0
