trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
b6575306,0.0731717199087143,0.0733233392238617,230.27511286735535,True,,,1.0,-0.0731717199087143,edc3e92aab024a0bb82f16d0d75c3ef6,2022-10-20_03-35-37,1666236937.0,230.27511286735535,359162.0,104-171-202-119,104.171.202.119,230.27511286735535,0.0,1.0,0.0049457550048828125,"1_act1=relu,act2=relu,act3=relu,act4=linear,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=initialiser_normal,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=angle_loss_fn,lr=0.0010,optimizer=sgd,unit1=500",<function angle_loss_fn at 0x7f33583c7598>,128.0,sgd,0.001,relu,relu,relu,linear,<keras.initializers.initializers_v2.RandomNormal object at 0x7f335839ac18>,<keras.initializers.initializers_v2.RandomNormal object at 0x7f335839ac18>,<keras.initializers.initializers_v2.GlorotNormal object at 0x7f335839ad30>,glorot_uniform,<keras.initializers.initializers_v2.Constant object at 0x7f335839ae48>,<keras.initializers.initializers_v2.Constant object at 0x7f335839ae48>,<keras.initializers.initializers_v2.Constant object at 0x7f335839ae48>,zeros,50.0,500.0,1.0
b9b9b9d0,0.2817977964878082,0.2802621126174927,1850.8191606998444,True,,,1.0,-0.2817977964878082,f123a452630d49bb88b805c470e14655,2022-10-20_04-06-34,1666238794.0,1850.8191606998444,387030.0,104-171-202-119,104.171.202.119,1850.8191606998444,0.0,1.0,0.0041446685791015625,"2_act1=elu,act2=elu,act3=elu,act4=elu,batch_size=16,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,epochs=67,ki1=zeros,ki2=zeros,ki3=zeros,ki4=zeros,layer1=0,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=250",mean_squared_error,16.0,sgd,9.999999974752427e-07,elu,elu,elu,elu,zeros,zeros,zeros,zeros,zeros,zeros,zeros,zeros,67.0,250.0,0.0
438b1c4e,,,,,,,,,10e814b5acbe43b196f5335c9341d164,2022-10-20_04-06-40,1666238800.0,,489502.0,104-171-202-119,104.171.202.119,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,relu,relu,relu,relu,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,78.0,500.0,1.0
95ecd0be,0.2817973792552948,0.28026002645492554,1026.2836668491364,True,,,1.0,-0.2817973792552948,7389ddf62ac144838c62a3aeca125674,2022-10-20_04-23-54,1666239834.0,1026.2836668491364,490041.0,104-171-202-119,104.171.202.119,1026.2836668491364,0.0,1.0,0.0046977996826171875,"4_act1=hard_sigmoid,act2=hard_sigmoid,act3=selu,act4=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=random_normal,bi3=he_normal,bi4=random_normal,epochs=58,ki1=he_normal,ki2=he_normal,ki3=he_normal,ki4=glorot_uniform,layer1=2,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=250",mean_squared_logarithmic_error,32.0,adagrad,7.5,hard_sigmoid,hard_sigmoid,selu,hard_sigmoid,he_normal,he_normal,he_normal,glorot_uniform,random_normal,random_normal,he_normal,random_normal,58.0,250.0,2.0
9b498d5e,1.7078050374984741,1.7086758613586426,75.65049266815186,True,,,1.0,-1.7078050374984741,44cf35d61e764caaaf34827a8c9ee736,2022-10-20_04-25-17,1666239917.0,75.65049266815186,568771.0,104-171-202-119,104.171.202.119,75.65049266815186,0.0,1.0,0.0057544708251953125,"5_act1=selu,act2=selu,act3=hard_sigmoid,act4=selu,batch_size=256,bi1=he_normal,bi2=he_normal,bi3=random_normal,bi4=glorot_uniform,epochs=27,ki1=random_normal,ki2=random_normal,ki3=random_normal,ki4=random_normal,layer1=0,loss=binary_crossentropy,lr=2.5000,optimizer=adam,unit1=1000",binary_crossentropy,256.0,adam,2.5000007152557373,selu,selu,hard_sigmoid,selu,random_normal,random_normal,random_normal,random_normal,he_normal,he_normal,random_normal,glorot_uniform,27.0,1000.0,0.0
0279acdc,0.2817973792552948,0.28026002645492554,223.4934482574463,True,,,1.0,-0.2817973792552948,0b7a34f5a7fb43558f7893f7c96ba0d2,2022-10-20_04-29-06,1666240146.0,223.4934482574463,575681.0,104-171-202-119,104.171.202.119,223.4934482574463,0.0,1.0,0.004941225051879883,"6_act1=softsign,act2=softmax,act3=softsign,act4=exponential,batch_size=128,bi1=truncated_normal,bi2=glorot_normal,bi3=truncated_normal,bi4=he_normal,epochs=43,ki1=lecun_normal,ki2=glorot_normal,ki3=lecun_normal,ki4=random_uniform,layer1=2,loss=hinge,lr=3.7500,optimizer=adamax,unit1=1000",hinge,128.0,adamax,3.750000476837158,softsign,softmax,softsign,exponential,lecun_normal,glorot_normal,lecun_normal,random_uniform,truncated_normal,glorot_normal,truncated_normal,he_normal,43.0,1000.0,2.0
335add76,,,1471.8639001846313,True,,,1.0,,9fc09816cb094ebdbf2914aa9c08461b,2022-10-20_04-53-44,1666241624.0,1471.8639001846313,597318.0,104-171-202-119,104.171.202.119,1471.8639001846313,0.0,1.0,0.004293203353881836,"7_act1=exponential,act2=tanh,act3=exponential,act4=softsign,batch_size=32,bi1=lecun_normal,bi2=constant,bi3=lecun_normal,bi4=random_uniform,epochs=91,ki1=truncated_normal,ki2=constant,ki3=truncated_normal,ki4=he_normal,layer1=1,loss=kullback_leibler_divergence,lr=8.7500,optimizer=adagrad,unit1=500",kullback_leibler_divergence,32.0,adagrad,8.75,exponential,tanh,exponential,softsign,truncated_normal,constant,truncated_normal,he_normal,lecun_normal,constant,lecun_normal,random_uniform,91.0,500.0,1.0
bc76b3d2,0.2817973792552948,0.28026002645492554,122.46492290496826,True,,,1.0,-0.2817973792552948,f2496ff72ded43d8baf0b4533a7d9868,2022-10-20_04-55-53,1666241753.0,122.46492290496826,692736.0,104-171-202-119,104.171.202.119,122.46492290496826,0.0,1.0,0.004287242889404297,"8_act1=tanh,act2=exponential,act3=softmax,act4=softmax,batch_size=256,bi1=constant,bi2=lecun_normal,bi3=glorot_normal,bi4=glorot_normal,epochs=50,ki1=constant,ki2=truncated_normal,ki3=constant,ki4=glorot_normal,layer1=0,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=500",mean_absolute_percentage_error,256.0,adam,6.250000476837158,tanh,exponential,softmax,softmax,constant,truncated_normal,constant,glorot_normal,constant,lecun_normal,glorot_normal,glorot_normal,50.0,500.0,0.0
30b76a72,,,351.84658098220825,True,,,1.0,,534d49020cd94251887893113bc41005,2022-10-20_05-01-50,1666242110.0,351.84658098220825,704032.0,104-171-202-119,104.171.202.119,351.84658098220825,0.0,1.0,0.003906726837158203,"9_act1=softmax,act2=softsign,act3=tanh,act4=tanh,batch_size=64,bi1=glorot_normal,bi2=truncated_normal,bi3=constant,bi4=constant,epochs=37,ki1=glorot_normal,ki2=lecun_normal,ki3=glorot_normal,ki4=constant,layer1=1,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=250",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,softmax,softsign,tanh,tanh,glorot_normal,lecun_normal,glorot_normal,constant,glorot_normal,truncated_normal,constant,constant,37.0,250.0,1.0
79cfcdd0,0.2817973792552948,0.28026002645492554,120.0728189945221,True,,,1.0,-0.2817973792552948,e7100ee4134d494a84017af58e76054b,2022-10-20_05-03-57,1666242237.0,120.0728189945221,731251.0,104-171-202-119,104.171.202.119,120.0728189945221,0.0,1.0,0.004471302032470703,"10_act1=tanh,act2=softplus,act3=softsign,act4=exponential,batch_size=512,bi1=he_uniform,bi2=he_uniform,bi3=lecun_normal,bi4=lecun_normal,epochs=58,ki1=he_uniform,ki2=random_uniform,ki3=glorot_uniform,ki4=ones,layer1=2,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=1000",squared_hinge,512.0,adadelta,1.8750007152557373,tanh,softplus,softsign,exponential,he_uniform,random_uniform,glorot_uniform,ones,he_uniform,he_uniform,lecun_normal,lecun_normal,58.0,1000.0,2.0
