trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
df4d7_00000,0.07233484089374542,0.07240406423807144,227.3062219619751,True,,,1.0,-0.07233484089374542,db6059558d104d3d9689cf6396ca39ce,2022-10-20_00-30-36,1666225836.0,227.3062219619751,3556462.0,104-171-202-119,104.171.202.119,227.3062219619751,0.0,1.0,0.003936052322387695,0,<function angle_loss_fn at 0x7f5398433ea0>,128.0,sgd,0.001,relu,relu,relu,linear,<keras.initializers.initializers_v2.RandomNormal object at 0x7f53983a26a0>,<keras.initializers.initializers_v2.RandomNormal object at 0x7f53983a26a0>,<keras.initializers.initializers_v2.GlorotNormal object at 0x7f539af1c748>,glorot_uniform,<keras.initializers.initializers_v2.Constant object at 0x7f539af1c470>,<keras.initializers.initializers_v2.Constant object at 0x7f539af1c470>,<keras.initializers.initializers_v2.Constant object at 0x7f539af1c470>,zeros,50.0,500.0,1.0
df4d7_00001,1.0247570276260376,1.0268899202346802,1169.0672669410706,True,,,1.0,-1.0247570276260376,0cfa762b6474413fa76dc1bfdcf591b9,2022-10-20_00-50-11,1666227011.0,1169.0672669410706,3571394.0,104-171-202-119,104.171.202.119,1169.0672669410706,0.0,1.0,0.004569530487060547,"1_act1=hard_sigmoid,act2=linear,act3=softplus,act4=softsign,batch_size=32,bi1=he_normal,bi2=random_normal,bi3=he_normal,bi4=truncated_normal,epochs=77,ki1=lecun_normal,ki2=orthogonal,ki3=he_normal,ki4=glorot_uniform,layer1=0,loss=mean_squared_logarithmic_error,lr=1.4518,optimizer=adam,unit1=1000",mean_squared_logarithmic_error,32.0,adam,1.451761878922983,hard_sigmoid,linear,softplus,softsign,lecun_normal,orthogonal,he_normal,glorot_uniform,he_normal,random_normal,he_normal,truncated_normal,77.0,1000.0,0.0
df4d7_00002,1.753806471824646,1.7563878297805786,79.77930331230164,True,,,1.0,-1.753806471824646,0d6279c418cb4cfdbdc8530a367185ed,2022-10-20_00-51-37,1666227097.0,79.77930331230164,3633280.0,104-171-202-119,104.171.202.119,79.77930331230164,0.0,1.0,0.004244327545166016,"2_act1=softplus,act2=softmax,act3=sigmoid,act4=selu,batch_size=512,bi1=random_normal,bi2=lecun_uniform,bi3=zeros,bi4=he_uniform,epochs=40,ki1=glorot_normal,ki2=orthogonal,ki3=random_uniform,ki4=truncated_normal,layer1=1,loss=mean_squared_error,lr=1.7656,optimizer=sgd,unit1=500",mean_squared_error,512.0,sgd,1.7656317358344478,softplus,softmax,sigmoid,selu,glorot_normal,orthogonal,random_uniform,truncated_normal,random_normal,lecun_uniform,zeros,he_uniform,40.0,500.0,1.0
df4d7_00003,0.979967474937439,0.980133593082428,73.62770748138428,True,,,1.0,-0.979967474937439,37b7ecb2c04748b0bfcd16e187c1226a,2022-10-20_00-52-56,1666227176.0,73.62770748138428,3642740.0,104-171-202-119,104.171.202.119,73.62770748138428,0.0,1.0,0.003954887390136719,"3_act1=tanh,act2=hard_sigmoid,act3=softplus,act4=tanh,batch_size=256,bi1=lecun_normal,bi2=he_normal,bi3=he_normal,bi4=glorot_normal,epochs=26,ki1=glorot_uniform,ki2=zeros,ki3=lecun_uniform,ki4=he_normal,layer1=1,loss=categorical_crossentropy,lr=0.1032,optimizer=adamax,unit1=250",categorical_crossentropy,256.0,adamax,0.10320716991230515,tanh,hard_sigmoid,softplus,tanh,glorot_uniform,zeros,lecun_uniform,he_normal,lecun_normal,he_normal,he_normal,glorot_normal,26.0,250.0,1.0
df4d7_00004,,,,,,,,,e39e35d46ed0447781181cdbeda5c99a,2022-10-20_00-53-02,1666227182.0,,3650900.0,104-171-202-119,104.171.202.119,,,,,,mean_absolute_error,16.0,sgd,1.5734807145190068,softplus,softsign,hard_sigmoid,tanh,glorot_normal,glorot_normal,he_normal,random_uniform,he_uniform,random_normal,random_uniform,truncated_normal,77.0,250.0,2.0
df4d7_00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df4d7_00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df4d7_00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df4d7_00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df4d7_00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
