trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
1f85e7e2,0.6418474912643433,0.6436681747436523,182.18594193458557,True,,,1.0,-0.6418474912643433,667a34c205bd44fca0bcedb6062335a6,2022-10-06_18-49-07,1665082147.0,182.18594193458557,26222.0,b430368dd22d,172.17.0.2,182.18594193458557,0.0,1.0,0.004601955413818359,"1_act1=relu,act2=relu,act3=relu,act4=linear,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=initialiser_normal,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=mean_squared_logarithmic_error,lr=0.0100,optimizer=sgd,unit1=500",mean_squared_logarithmic_error,128.0,sgd,0.01,relu,relu,relu,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f4d3ec73b50>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f4d3ec73b50>,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7f4d3ec73580>,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f4d3ec73d90>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f4d3ec73d90>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f4d3ec73d90>,zeros,50.0,500.0,1.0
225267fc,1.7496345043182373,1.7504074573516846,105.86412954330444,True,,,1.0,-1.7496345043182373,a45abaa34085449a8c05e42df34e6655,2022-10-06_18-50-59,1665082259.0,105.86412954330444,28111.0,b430368dd22d,172.17.0.2,105.86412954330444,0.0,1.0,0.005211591720581055,"2_act1=relu,act2=softplus,act3=softplus,act4=selu,batch_size=512,bi1=he_uniform,bi2=random_uniform,bi3=random_normal,bi4=truncated_normal,epochs=42,ki1=ones,ki2=lecun_normal,ki3=initialiser_xavier,ki4=ones,layer1=2,loss=poisson,lr=2.2355,optimizer=adamax,unit1=250",poisson,512.0,adamax,2.2354803213399586,relu,softplus,softplus,selu,ones,lecun_normal,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7f4d3ec54ee0>,ones,he_uniform,random_uniform,random_normal,truncated_normal,42.0,250.0,2.0
8f88cbf4,1.0247336626052856,1.0268663167953491,180.3888440132141,True,,,1.0,-1.0247336626052856,281ffd1df0af4776b419a67990df4646,2022-10-06_18-54-04,1665082444.0,180.3888440132141,29358.0,b430368dd22d,172.17.0.2,180.3888440132141,0.0,1.0,0.0050237178802490234,"3_act1=tanh,act2=relu,act3=softplus,act4=softsign,batch_size=512,bi1=glorot_normal,bi2=he_uniform,bi3=he_normal,bi4=constant,epochs=79,ki1=glorot_normal,ki2=random_uniform,ki3=glorot_uniform,ki4=glorot_normal,layer1=2,loss=poisson,lr=8.7155,optimizer=adadelta,unit1=250",poisson,512.0,adadelta,8.715544219597378,tanh,relu,softplus,softsign,glorot_normal,random_uniform,glorot_uniform,glorot_normal,glorot_normal,he_uniform,he_normal,constant,79.0,250.0,2.0
d1b60eb0,0.2817973494529724,0.28026002645492554,1538.2226464748383,True,,,1.0,-0.2817973494529724,7452d288fb7245b2ac6bd728c2397138,2022-10-06_19-19-47,1665083987.0,1538.2226464748383,31322.0,b430368dd22d,172.17.0.2,1538.2226464748383,0.0,1.0,0.005344867706298828,"4_act1=selu,act2=softmax,act3=hard_sigmoid,act4=relu,batch_size=16,bi1=initialiser_const,bi2=glorot_uniform,bi3=zeros,bi4=he_uniform,epochs=50,ki1=random_normal,ki2=he_normal,ki3=truncated_normal,ki4=lecun_uniform,layer1=2,loss=categorical_hinge,lr=0.0335,optimizer=adamax,unit1=1000",categorical_hinge,16.0,adamax,0.033499564963031726,selu,softmax,hard_sigmoid,relu,random_normal,he_normal,truncated_normal,lecun_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f4d3ed05a00>,glorot_uniform,zeros,he_uniform,50.0,1000.0,2.0
40008daa,,,,,,,,,1a5374a454de49079d9dac6bd1465ee9,2022-10-06_19-19-52,1665083992.0,,6907.0,b430368dd22d,172.17.0.2,,,,,,mean_squared_logarithmic_error,128.0,adam,4.328702787128676,softplus,relu,softmax,relu,random_uniform,he_uniform,he_uniform,orthogonal,zeros,ones,random_normal,orthogonal,92.0,250.0,1.0
daa480de,2.684656858444214,2.682403087615967,298.8131322860718,True,,,1.0,-2.684656858444214,d216d8558a514721a673eb4500397831,2022-10-06_19-25-00,1665084300.0,298.8131322860718,7242.0,b430368dd22d,172.17.0.2,298.8131322860718,0.0,1.0,0.005403995513916016,"6_act1=sigmoid,act2=relu,act3=relu,act4=linear,batch_size=64,bi1=ones,bi2=he_normal,bi3=glorot_uniform,bi4=he_normal,epochs=42,ki1=lecun_uniform,ki2=he_uniform,ki3=truncated_normal,ki4=lecun_normal,layer1=1,loss=categorical_hinge,lr=6.6233,optimizer=adamax,unit1=500",categorical_hinge,64.0,adamax,6.623253654929552,sigmoid,relu,relu,linear,lecun_uniform,he_uniform,truncated_normal,lecun_normal,ones,he_normal,glorot_uniform,he_normal,42.0,500.0,1.0
dd3e0d9c,0.4688163995742798,0.4663151502609253,134.3247458934784,True,,,1.0,-0.4688163995742798,f4cf7400f9d5443f90f0381c9c35750f,2022-10-06_19-27-20,1665084440.0,134.3247458934784,10843.0,b430368dd22d,172.17.0.2,134.3247458934784,0.0,1.0,0.004891633987426758,"7_act1=hard_sigmoid,act2=hard_sigmoid,act3=exponential,act4=linear,batch_size=512,bi1=initialiser_const,bi2=he_normal,bi3=he_normal,bi4=truncated_normal,epochs=36,ki1=initialiser_normal,ki2=constant,ki3=he_uniform,ki4=he_normal,layer1=1,loss=categorical_crossentropy,lr=0.1895,optimizer=nadam,unit1=1000",categorical_crossentropy,512.0,nadam,0.18953438381385107,hard_sigmoid,hard_sigmoid,exponential,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f4d3edc1ac0>,constant,he_uniform,he_normal,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f4d3ed64550>,he_normal,he_normal,truncated_normal,36.0,1000.0,1.0
927a3e6a,1.0241327285766602,1.0262659788131714,96.432781457901,True,,,1.0,-1.0241327285766602,cede55c617bf422da8a68e44c33b4aa6,2022-10-06_19-29-01,1665084541.0,96.432781457901,12477.0,b430368dd22d,172.17.0.2,96.432781457901,0.0,1.0,0.004985332489013672,"8_act1=elu,act2=softplus,act3=relu,act4=softsign,batch_size=512,bi1=random_uniform,bi2=random_normal,bi3=lecun_uniform,bi4=constant,epochs=36,ki1=lecun_normal,ki2=ones,ki3=initialiser_xavier,ki4=orthogonal,layer1=2,loss=categorical_hinge,lr=4.6846,optimizer=adagrad,unit1=500",categorical_hinge,512.0,adagrad,4.6845519824877195,elu,softplus,relu,softsign,lecun_normal,ones,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7f4d3ee1f370>,orthogonal,random_uniform,random_normal,lecun_uniform,constant,36.0,500.0,2.0
e55834ac,0.2817973494529724,0.28026002645492554,210.4646372795105,True,,,1.0,-0.2817973494529724,3bda0f9e023e4a2cb44cedd448a125e3,2022-10-06_19-32-36,1665084756.0,210.4646372795105,14024.0,b430368dd22d,172.17.0.2,210.4646372795105,0.0,1.0,0.004886627197265625,"9_act1=softplus,act2=linear,act3=sigmoid,act4=hard_sigmoid,batch_size=512,bi1=zeros,bi2=glorot_normal,bi3=constant,bi4=glorot_uniform,epochs=79,ki1=lecun_normal,ki2=truncated_normal,ki3=glorot_uniform,ki4=orthogonal,layer1=1,loss=mean_squared_logarithmic_error,lr=0.2794,optimizer=rmsprop,unit1=1000",mean_squared_logarithmic_error,512.0,rmsprop,0.2794049325054116,softplus,linear,sigmoid,hard_sigmoid,lecun_normal,truncated_normal,glorot_uniform,orthogonal,zeros,glorot_normal,constant,glorot_uniform,79.0,1000.0,1.0
218e627a,0.2817973494529724,0.28026002645492554,193.299729347229,True,,,1.0,-0.2817973494529724,99020814898340b08129ce1c8c2a9f8c,2022-10-06_19-35-54,1665084954.0,193.299729347229,16584.0,b430368dd22d,172.17.0.2,193.299729347229,0.0,1.0,0.006219387054443359,"10_act1=hard_sigmoid,act2=hard_sigmoid,act3=hard_sigmoid,act4=sigmoid,batch_size=512,bi1=glorot_normal,bi2=glorot_uniform,bi3=truncated_normal,bi4=lecun_uniform,epochs=58,ki1=glorot_uniform,ki2=glorot_normal,ki3=glorot_normal,ki4=constant,layer1=2,loss=binary_crossentropy,lr=7.8396,optimizer=adadelta,unit1=250",binary_crossentropy,512.0,adadelta,7.839635215840785,hard_sigmoid,hard_sigmoid,hard_sigmoid,sigmoid,glorot_uniform,glorot_normal,glorot_normal,constant,glorot_normal,glorot_uniform,truncated_normal,lecun_uniform,58.0,250.0,2.0
