trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
4ecf5ed0,0.1264219433069229,0.12544982135295868,175.51500010490417,True,,,1.0,-0.1264219433069229,6663449a0dbf4d90a9bebab0dfc82ad8,2022-09-05_14-40-46,1662388846.0,175.51500010490417,13108.0,b430368dd22d,172.17.0.2,175.51500010490417,0.0,1.0,0.0050830841064453125,"1_act1=relu,act2=relu,act3=relu,act4=linear,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=initialiser_normal,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=mean_squared_logarithmic_error,lr=0.0100,optimizer=sgd,unit1=500",mean_squared_logarithmic_error,128.0,sgd,0.01,relu,relu,relu,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7fa6b46b25b0>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7fa6b46b25b0>,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7fa6b46b23d0>,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7fa6b46b2ac0>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7fa6b46b2ac0>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7fa6b46b2ac0>,zeros,50.0,500.0,1.0
51deadba,0.2817977964878082,0.2802611291408539,697.0240614414215,True,,,1.0,-0.2817977964878082,1f2ae805ac5e4cb2b5bc6506eb78c1fc,2022-09-05_14-52-29,1662389549.0,697.0240614414215,16137.0,b430368dd22d,172.17.0.2,697.0240614414215,0.0,1.0,0.006383657455444336,"2_act1=elu,act2=elu,act3=elu,act4=elu,batch_size=16,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,epochs=33,ki1=zeros,ki2=zeros,ki3=zeros,ki4=zeros,layer1=0,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=250",mean_squared_error,16.0,sgd,9.999999974752427e-07,elu,elu,elu,elu,zeros,zeros,zeros,zeros,zeros,zeros,zeros,zeros,33.0,250.0,0.0
baeb36d4,,,,,,,,,f577919e7ff9404ba3b1da7f98617b16,2022-09-05_14-52-34,1662389554.0,,27568.0,b430368dd22d,172.17.0.2,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,relu,relu,relu,relu,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,74.0,500.0,1.0
5d6e24b0,0.2817973494529724,0.28026002645492554,709.3592743873596,True,,,1.0,-0.2817973494529724,b7072967f5074604b048fda83b299704,2022-09-05_15-04-31,1662390271.0,709.3592743873596,28005.0,b430368dd22d,172.17.0.2,709.3592743873596,0.0,1.0,0.005429506301879883,"4_act1=hard_sigmoid,act2=hard_sigmoid,act3=selu,act4=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=random_normal,bi3=he_normal,bi4=random_normal,epochs=50,ki1=he_normal,ki2=he_normal,ki3=he_normal,ki4=glorot_uniform,layer1=2,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=250",mean_squared_logarithmic_error,32.0,adagrad,7.5,hard_sigmoid,hard_sigmoid,selu,hard_sigmoid,he_normal,he_normal,he_normal,glorot_uniform,random_normal,random_normal,he_normal,random_normal,50.0,250.0,2.0
62320f66,,,,,,,,,1cb0f552cc0547e0b399325b8eed2712,2022-09-05_15-04-37,1662390277.0,,1831.0,b430368dd22d,172.17.0.2,,,,,,sparse_categorical_crossentropy,256.0,adam,2.5000007152557373,selu,selu,hard_sigmoid,selu,random_normal,random_normal,random_normal,random_normal,he_normal,he_normal,random_normal,glorot_uniform,37.0,1000.0,0.0
0c73d77e,0.2817973494529724,0.28026002645492554,202.65618014335632,True,,,1.0,-0.2817973494529724,dc7bdfc9cfac497483bc569fd236eb45,2022-09-05_15-08-11,1662390491.0,202.65618014335632,2307.0,b430368dd22d,172.17.0.2,202.65618014335632,0.0,1.0,0.004956245422363281,"6_act1=softsign,act2=softmax,act3=softsign,act4=exponential,batch_size=128,bi1=truncated_normal,bi2=glorot_normal,bi3=truncated_normal,bi4=he_normal,epochs=41,ki1=lecun_normal,ki2=glorot_normal,ki3=lecun_normal,ki4=random_uniform,layer1=2,loss=squared_hinge,lr=3.7500,optimizer=adamax,unit1=1000",squared_hinge,128.0,adamax,3.750000476837158,softsign,softmax,softsign,exponential,lecun_normal,glorot_normal,lecun_normal,random_uniform,truncated_normal,glorot_normal,truncated_normal,he_normal,41.0,1000.0,2.0
130260c4,1.0247533321380615,1.0268855094909668,714.7624003887177,True,,,1.0,-1.0247533321380615,3305714789e9426d98d23901951abb31,2022-09-05_15-20-11,1662391211.0,714.7624003887177,6523.0,b430368dd22d,172.17.0.2,714.7624003887177,0.0,1.0,0.005208730697631836,"7_act1=exponential,act2=tanh,act3=exponential,act4=softsign,batch_size=32,bi1=lecun_normal,bi2=constant,bi3=lecun_normal,bi4=random_uniform,epochs=55,ki1=truncated_normal,ki2=constant,ki3=truncated_normal,ki4=he_normal,layer1=1,loss=binary_crossentropy,lr=8.7500,optimizer=adagrad,unit1=500",binary_crossentropy,32.0,adagrad,8.75,exponential,tanh,exponential,softsign,truncated_normal,constant,truncated_normal,he_normal,lecun_normal,constant,lecun_normal,random_uniform,55.0,500.0,1.0
8f02df50,1.002210021018982,0.9998885989189148,116.1494026184082,True,,,1.0,-1.002210021018982,d12f9b4f27c446ad9b87c7b9fe35c71e,2022-09-05_15-22-13,1662391333.0,116.1494026184082,16943.0,b430368dd22d,172.17.0.2,116.1494026184082,0.0,1.0,0.0051572322845458984,"8_act1=tanh,act2=exponential,act3=softmax,act4=softmax,batch_size=256,bi1=constant,bi2=lecun_normal,bi3=glorot_normal,bi4=glorot_normal,epochs=45,ki1=constant,ki2=truncated_normal,ki3=constant,ki4=glorot_normal,layer1=0,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=500",mean_absolute_percentage_error,256.0,adam,6.250000476837158,tanh,exponential,softmax,softmax,constant,truncated_normal,constant,glorot_normal,constant,lecun_normal,glorot_normal,glorot_normal,45.0,500.0,0.0
3c3fd230,0.00447513721883297,0.004475175868719816,569.1846685409546,True,,,1.0,-0.00447513721883297,4cce6f60174c4d768706f552a57e7e6d,2022-09-05_15-31-48,1662391908.0,569.1846685409546,18798.0,b430368dd22d,172.17.0.2,569.1846685409546,0.0,1.0,0.006993770599365234,"9_act1=softmax,act2=softsign,act3=tanh,act4=tanh,batch_size=64,bi1=glorot_normal,bi2=truncated_normal,bi3=constant,bi4=constant,epochs=67,ki1=glorot_normal,ki2=lecun_normal,ki3=glorot_normal,ki4=constant,layer1=1,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=250",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,softmax,softsign,tanh,tanh,glorot_normal,lecun_normal,glorot_normal,constant,glorot_normal,truncated_normal,constant,constant,67.0,250.0,1.0
84fba490,0.2817973494529724,0.28026002645492554,144.610178232193,True,,,1.0,-0.2817973494529724,28a6c064bf904e18bce91ca340b9c5d0,2022-09-05_15-34-17,1662392057.0,144.610178232193,27405.0,b430368dd22d,172.17.0.2,144.610178232193,0.0,1.0,0.005747318267822266,"10_act1=tanh,act2=softplus,act3=softsign,act4=exponential,batch_size=512,bi1=he_uniform,bi2=he_uniform,bi3=lecun_normal,bi4=lecun_normal,epochs=50,ki1=he_uniform,ki2=random_uniform,ki3=glorot_uniform,ki4=ones,layer1=2,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=1000",squared_hinge,512.0,adadelta,1.8750007152557373,tanh,softplus,softsign,exponential,he_uniform,random_uniform,glorot_uniform,ones,he_uniform,he_uniform,lecun_normal,lecun_normal,50.0,1000.0,2.0
db2f65b2,,,,,,,,,1e1b569771b14e398a6c1f6841e46848,2022-09-05_15-34-23,1662392063.0,,29360.0,b430368dd22d,172.17.0.2,,,,,,binary_crossentropy,64.0,nadam,6.875000476837158,softmax,hard_sigmoid,exponential,softsign,orthogonal,lecun_normal,constant,lecun_uniform,orthogonal,orthogonal,random_uniform,truncated_normal,37.0,500.0,1.0
