trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
edc05_00000,0.6362504959106445,0.636622428894043,181.2059042453766,True,,,1.0,-0.6362504959106445,177883d9b86b4606b9b91ef856dd8a93,2022-10-07_21-38-20,1665178700.0,181.2059042453766,17287.0,b430368dd22d,172.17.0.2,181.2059042453766,0.0,1.0,0.006218910217285156,0,mean_squared_logarithmic_error,128.0,sgd,0.01,relu,relu,relu,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f32b8eeb3d0>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f32b8eeb3d0>,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7f32b8eebbb0>,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f32b8eebca0>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f32b8eebca0>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f32b8eebca0>,zeros,50.0,500.0,1.0
edc05_00001,0.2817973494529724,0.28026002645492554,83.3592038154602,True,,,1.0,-0.2817973494529724,e8df2a6d2c0943eaa1c761fafb0ecf13,2022-10-07_21-39-49,1665178789.0,83.3592038154602,19235.0,b430368dd22d,172.17.0.2,83.3592038154602,0.0,1.0,0.007298707962036133,"1_act1=exponential,act2=elu,act3=linear,act4=relu,batch_size=256,bi1=he_uniform,bi2=lecun_uniform,bi3=truncated_normal,bi4=lecun_uniform,epochs=27,ki1=constant,ki2=random_normal,ki3=orthogonal,ki4=random_uniform,layer1=2,loss=mean_squared_error,lr=1.4985,optimizer=sgd,unit1=500",mean_squared_error,256.0,sgd,1.4984798021812191,exponential,elu,linear,relu,constant,random_normal,orthogonal,random_uniform,he_uniform,lecun_uniform,truncated_normal,lecun_uniform,27.0,500.0,2.0
edc05_00002,1.002210021018982,0.9998885989189148,242.918048620224,True,,,1.0,-1.002210021018982,d7c2ac4f0c9647f18f05a9db7f045bde,2022-10-07_21-43-56,1665179036.0,242.918048620224,20287.0,b430368dd22d,172.17.0.2,242.918048620224,0.0,1.0,0.0049419403076171875,"2_act1=sigmoid,act2=relu,act3=softplus,act4=softmax,batch_size=256,bi1=random_normal,bi2=he_normal,bi3=zeros,bi4=ones,epochs=75,ki1=lecun_uniform,ki2=initialiser_normal,ki3=glorot_uniform,ki4=he_uniform,layer1=2,loss=hinge,lr=4.0593,optimizer=nadam,unit1=250",hinge,256.0,nadam,4.059280793239849,sigmoid,relu,softplus,softmax,lecun_uniform,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f32b8e65b80>,glorot_uniform,he_uniform,random_normal,he_normal,zeros,ones,75.0,250.0,2.0
edc05_00003,1.5711455345153809,1.5725868940353394,257.37724351882935,True,,,1.0,-1.5711455345153809,993817191df447fa910340c09f5fd58d,2022-10-07_21-48-19,1665179299.0,257.37724351882935,22882.0,b430368dd22d,172.17.0.2,257.37724351882935,0.0,1.0,0.005033731460571289,"3_act1=elu,act2=softmax,act3=softsign,act4=linear,batch_size=256,bi1=random_uniform,bi2=constant,bi3=random_uniform,bi4=he_normal,epochs=75,ki1=glorot_uniform,ki2=truncated_normal,ki3=random_uniform,ki4=random_uniform,layer1=2,loss=binary_crossentropy,lr=7.3468,optimizer=adam,unit1=250",binary_crossentropy,256.0,adam,7.3468175783614384,elu,softmax,softsign,linear,glorot_uniform,truncated_normal,random_uniform,random_uniform,random_uniform,constant,random_uniform,he_normal,75.0,250.0,2.0
edc05_00004,1.0246636867523193,1.0267972946166992,800.915785074234,True,,,1.0,-1.0246636867523193,09fc32d2585a403b829cad8e9bb1e7ac,2022-10-07_22-01-45,1665180105.0,800.915785074234,26217.0,b430368dd22d,172.17.0.2,800.915785074234,0.0,1.0,0.006537914276123047,"4_act1=tanh,act2=tanh,act3=sigmoid,act4=softsign,batch_size=32,bi1=he_uniform,bi2=zeros,bi3=random_uniform,bi4=zeros,epochs=61,ki1=glorot_uniform,ki2=constant,ki3=he_uniform,ki4=he_uniform,layer1=1,loss=hinge,lr=6.8688,optimizer=adam,unit1=500",hinge,32.0,adam,6.868842549816944,tanh,tanh,sigmoid,softsign,glorot_uniform,constant,he_uniform,he_uniform,he_uniform,zeros,random_uniform,zeros,61.0,500.0,1.0
edc05_00005,0.28179705142974854,0.2802388370037079,374.3106098175049,True,,,1.0,-0.28179705142974854,459a16195c614f3ba32c3f273b0c2efa,2022-10-07_22-08-03,1665180483.0,374.3106098175049,34726.0,b430368dd22d,172.17.0.2,374.3106098175049,0.0,1.0,0.0051746368408203125,"5_act1=softsign,act2=softmax,act3=softmax,act4=exponential,batch_size=64,bi1=zeros,bi2=random_normal,bi3=lecun_normal,bi4=lecun_uniform,epochs=50,ki1=random_uniform,ki2=initialiser_normal,ki3=he_normal,ki4=zeros,layer1=1,loss=mean_squared_error,lr=3.3242,optimizer=sgd,unit1=1000",mean_squared_error,64.0,sgd,3.3242486229862376,softsign,softmax,softmax,exponential,random_uniform,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f32b8def1c0>,he_normal,zeros,zeros,random_normal,lecun_normal,lecun_uniform,50.0,1000.0,1.0
edc05_00006,,,,,,,,,77d46e556fc24e4c8584a435d3e3e9ac,2022-10-07_22-08-08,1665180488.0,,40387.0,b430368dd22d,172.17.0.2,,,,,,mean_absolute_error,64.0,adam,8.204376856809258,tanh,softplus,hard_sigmoid,hard_sigmoid,orthogonal,glorot_normal,ones,glorot_normal,random_uniform,glorot_normal,lecun_uniform,orthogonal,91.0,500.0,1.0
edc05_00007,,,,,,,,,08b34c2192274f9c96b1232a19652cf4,2022-10-07_22-08-16,1665180496.0,,40666.0,b430368dd22d,172.17.0.2,,,,,,kullback_leibler_divergence,16.0,adadelta,1.71124779649151,softplus,sigmoid,sigmoid,elu,orthogonal,truncated_normal,glorot_normal,constant,random_uniform,lecun_normal,lecun_normal,he_uniform,91.0,500.0,2.0
edc05_00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edc05_00051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
