trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
e7d024e0,0.050711169838905334,0.0509432815015316,204.39457368850708,True,,,1.0,-0.050711169838905334,2636869f83944410b52567147ce24a46,2022-09-14_19-49-48,1663184988.0,204.39457368850708,29930.0,b430368dd22d,172.17.0.2,204.39457368850708,0.0,1.0,0.004660367965698242,"1_act1=relu,act2=relu,act3=relu,act4=linear,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=initialiser_normal,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=angle_loss_fn,lr=0.0100,optimizer=adadelta,unit1=500",<function angle_loss_fn at 0x7f596d884e50>,128.0,adadelta,0.01,relu,relu,relu,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f596d82dc70>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f596d82dc70>,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7f596d82de80>,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f596d81b340>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f596d81b340>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f596d81b340>,zeros,50.0,500.0,1.0
ea1bec7a,0.2817973494529724,0.28026002645492554,181.71305632591248,True,,,1.0,-0.2817973494529724,4a43ed7c5a0c4063a9901d27f9522d8a,2022-09-14_19-52-54,1663185174.0,181.71305632591248,30335.0,b430368dd22d,172.17.0.2,181.71305632591248,0.0,1.0,0.005225181579589844,"2_act1=exponential,act2=sigmoid,act3=elu,act4=softplus,batch_size=128,bi1=random_uniform,bi2=he_normal,bi3=ones,bi4=he_normal,epochs=42,ki1=lecun_uniform,ki2=truncated_normal,ki3=orthogonal,ki4=lecun_uniform,layer1=2,loss=mean_absolute_error,lr=2.4306,optimizer=rmsprop,unit1=500",mean_absolute_error,128.0,rmsprop,2.4306330079626477,exponential,sigmoid,elu,softplus,lecun_uniform,truncated_normal,orthogonal,lecun_uniform,random_uniform,he_normal,ones,he_normal,42.0,500.0,2.0
6464c4b6,,,,,,,,,d2a14c7867cb4465bc3f76323254c002,2022-09-14_19-52-59,1663185179.0,,30713.0,b430368dd22d,172.17.0.2,,,,,,kullback_leibler_divergence,256.0,nadam,1.1692532634360462,selu,selu,hard_sigmoid,tanh,truncated_normal,random_normal,glorot_normal,glorot_uniform,lecun_normal,orthogonal,he_uniform,random_normal,50.0,1000.0,2.0
d345d410,0.8344163298606873,0.8371580839157104,122.16308879852295,True,,,1.0,-0.8344163298606873,2a69e4e35fca469d94dcb7760fa1812d,2022-09-14_19-55-09,1663185309.0,122.16308879852295,30888.0,b430368dd22d,172.17.0.2,122.16308879852295,0.0,1.0,0.006337165832519531,"4_act1=sigmoid,act2=linear,act3=relu,act4=softsign,batch_size=512,bi1=initialiser_const,bi2=glorot_normal,bi3=ones,bi4=zeros,epochs=50,ki1=random_normal,ki2=random_normal,ki3=random_normal,ki4=random_normal,layer1=1,loss=mean_squared_logarithmic_error,lr=8.3624,optimizer=adam,unit1=1000",mean_squared_logarithmic_error,512.0,adam,8.362399169065881,sigmoid,linear,relu,softsign,random_normal,random_normal,random_normal,random_normal,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f596d808340>,glorot_normal,ones,zeros,50.0,1000.0,1.0
d80ab3bc,1.0217106342315674,1.0192526578903198,398.85383224487305,True,,,1.0,-1.0217106342315674,fa5895c56c7842e4bcb6405d1494121a,2022-09-14_20-01-52,1663185712.0,398.85383224487305,31289.0,b430368dd22d,172.17.0.2,398.85383224487305,0.0,1.0,0.0049457550048828125,"5_act1=softplus,act2=relu,act3=hard_sigmoid,act4=tanh,batch_size=32,bi1=lecun_uniform,bi2=he_normal,bi3=glorot_normal,bi4=he_normal,epochs=27,ki1=truncated_normal,ki2=random_uniform,ki3=glorot_uniform,ki4=lecun_normal,layer1=2,loss=hinge,lr=9.4007,optimizer=adam,unit1=1000",hinge,32.0,adam,9.400654982704571,softplus,relu,hard_sigmoid,tanh,truncated_normal,random_uniform,glorot_uniform,lecun_normal,lecun_uniform,he_normal,glorot_normal,he_normal,27.0,1000.0,2.0
2327b4bc,0.2817973494529724,0.28026002645492554,293.4738886356354,True,,,1.0,-0.2817973494529724,7f6a3b6f2b3c4b2d8bd64e50a3e8e903,2022-09-14_20-06-49,1663186009.0,293.4738886356354,31742.0,b430368dd22d,172.17.0.2,293.4738886356354,0.0,1.0,0.00502324104309082,"6_act1=softmax,act2=softmax,act3=softplus,act4=relu,batch_size=128,bi1=zeros,bi2=zeros,bi3=ones,bi4=lecun_uniform,epochs=50,ki1=glorot_normal,ki2=initialiser_normal,ki3=glorot_normal,ki4=random_uniform,layer1=0,loss=logcosh,lr=1.6917,optimizer=nadam,unit1=1000",logcosh,128.0,nadam,1.6916941029140873,softmax,softmax,softplus,relu,glorot_normal,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f596d82c280>,glorot_normal,random_uniform,zeros,zeros,ones,lecun_uniform,50.0,1000.0,0.0
13648dba,1.1908098459243774,1.188447117805481,133.49422407150269,True,,,1.0,-1.1908098459243774,177b6960fd204c0bad4695f16c259493,2022-09-14_20-09-07,1663186147.0,133.49422407150269,32208.0,b430368dd22d,172.17.0.2,133.49422407150269,0.0,1.0,0.004491567611694336,"7_act1=selu,act2=tanh,act3=sigmoid,act4=selu,batch_size=512,bi1=initialiser_const,bi2=glorot_normal,bi3=lecun_uniform,bi4=glorot_uniform,epochs=58,ki1=lecun_normal,ki2=zeros,ki3=lecun_normal,ki4=glorot_uniform,layer1=0,loss=kullback_leibler_divergence,lr=1.4020,optimizer=nadam,unit1=1000",kullback_leibler_divergence,512.0,nadam,1.4019993486070126,selu,tanh,sigmoid,selu,lecun_normal,zeros,lecun_normal,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f596d82caf0>,glorot_normal,lecun_uniform,glorot_uniform,58.0,1000.0,0.0
c50994f2,1.0228722095489502,1.0222196578979492,1054.447202205658,True,,,1.0,-1.0228722095489502,c635f42e3a8a45a8b0949f65811b2519,2022-09-14_20-26-46,1663187206.0,1054.447202205658,32624.0,b430368dd22d,172.17.0.2,1054.447202205658,0.0,1.0,0.004841804504394531,"8_act1=tanh,act2=exponential,act3=elu,act4=hard_sigmoid,batch_size=32,bi1=he_uniform,bi2=truncated_normal,bi3=ones,bi4=constant,epochs=50,ki1=zeros,ki2=glorot_normal,ki3=random_normal,ki4=truncated_normal,layer1=2,loss=angle_loss_fn,lr=1.3623,optimizer=nadam,unit1=1000",<function angle_loss_fn at 0x7f596d7e9ca0>,32.0,nadam,1.3622722293241043,tanh,exponential,elu,hard_sigmoid,zeros,glorot_normal,random_normal,truncated_normal,he_uniform,truncated_normal,ones,constant,50.0,1000.0,2.0
174dc51c,,,,,,,,,56e8966e014a4d2087b911a813c68d53,2022-09-14_20-26-51,1663187211.0,,33333.0,b430368dd22d,172.17.0.2,,,,,,binary_crossentropy,128.0,sgd,0.818176697539381,softplus,tanh,hard_sigmoid,exponential,initialiser_normal,zeros,he_normal,glorot_normal,glorot_uniform,glorot_uniform,lecun_uniform,truncated_normal,92.0,250.0,0.0
8e98618e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
