trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
78d9611a,0.052769001573324203,0.05327916517853737,199.7832567691803,True,,,1.0,-0.052769001573324203,ae1f16f2b8744c2a9e1c5d10cb5f7968,2022-09-04_00-46-01,1662252361.0,199.7832567691803,32009.0,b430368dd22d,172.17.0.2,199.7832567691803,0.0,1.0,0.004831790924072266,"1_act1=relu,act2=relu,act3=relu,act4=linear,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=initialiser_normal,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=angle_loss_fn,lr=0.0100,optimizer=adadelta,unit1=500",<function angle_loss_fn at 0x7fa77d896280>,128.0,adadelta,0.01,relu,relu,relu,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7fa6bc2111c0>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7fa6bc2111c0>,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7fa6bc211040>,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7fa6bc211430>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7fa6bc211430>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7fa6bc211430>,zeros,50.0,500.0,1.0
7bb2423a,0.2817977964878082,0.2802610993385315,733.6568596363068,True,,,1.0,-0.2817977964878082,4935edbb080148f59d66c373522a7b11,2022-09-04_00-58-20,1662253100.0,733.6568596363068,32536.0,b430368dd22d,172.17.0.2,733.6568596363068,0.0,1.0,0.005407094955444336,"2_act1=elu,act2=elu,act3=elu,act4=elu,batch_size=16,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,epochs=33,ki1=zeros,ki2=zeros,ki3=zeros,ki4=zeros,layer1=0,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=250",mean_squared_error,16.0,sgd,9.999999974752427e-07,elu,elu,elu,elu,zeros,zeros,zeros,zeros,zeros,zeros,zeros,zeros,33.0,250.0,0.0
f5fd3720,,,,,,,,,a3f412b2466f4f9eb0b4c77345e051e7,2022-09-04_00-58-26,1662253106.0,,36580.0,b430368dd22d,172.17.0.2,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,relu,relu,relu,relu,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,74.0,500.0,1.0
abd441be,0.2817973494529724,0.28026002645492554,740.8524606227875,True,,,1.0,-0.2817973494529724,43ff66e6f93d459aa1467b3f0e0b631f,2022-09-04_01-10-56,1662253856.0,740.8524606227875,36772.0,b430368dd22d,172.17.0.2,740.8524606227875,0.0,1.0,0.005160808563232422,"4_act1=hard_sigmoid,act2=hard_sigmoid,act3=selu,act4=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=random_normal,bi3=he_normal,bi4=random_normal,epochs=50,ki1=he_normal,ki2=he_normal,ki3=he_normal,ki4=glorot_uniform,layer1=2,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=250",mean_squared_logarithmic_error,32.0,adagrad,7.5,hard_sigmoid,hard_sigmoid,selu,hard_sigmoid,he_normal,he_normal,he_normal,glorot_uniform,random_normal,random_normal,he_normal,random_normal,50.0,250.0,2.0
b131ab4c,1.7531970739364624,1.747216820716858,100.59581971168518,True,,,1.0,-1.7531970739364624,53de38d6df8847db9a75f26503ac3824,2022-09-04_01-12-41,1662253961.0,100.59581971168518,1133.0,b430368dd22d,172.17.0.2,100.59581971168518,0.0,1.0,0.0060884952545166016,"5_act1=selu,act2=selu,act3=hard_sigmoid,act4=selu,batch_size=256,bi1=he_normal,bi2=he_normal,bi3=random_normal,bi4=glorot_uniform,epochs=37,ki1=random_normal,ki2=random_normal,ki3=random_normal,ki4=random_normal,layer1=0,loss=binary_crossentropy,lr=2.5000,optimizer=adam,unit1=1000",binary_crossentropy,256.0,adam,2.5000007152557373,selu,selu,hard_sigmoid,selu,random_normal,random_normal,random_normal,random_normal,he_normal,he_normal,random_normal,glorot_uniform,37.0,1000.0,0.0
6df0de3c,0.00447513721883297,0.004475175868719816,207.0574095249176,True,,,1.0,-0.00447513721883297,14fd8fa968734a598319bad0979b387b,2022-09-04_01-16-14,1662254174.0,207.0574095249176,1631.0,b430368dd22d,172.17.0.2,207.0574095249176,0.0,1.0,0.005147218704223633,"6_act1=softsign,act2=softmax,act3=softsign,act4=exponential,batch_size=128,bi1=truncated_normal,bi2=glorot_normal,bi3=truncated_normal,bi4=he_normal,epochs=41,ki1=lecun_normal,ki2=glorot_normal,ki3=lecun_normal,ki4=random_uniform,layer1=2,loss=hinge,lr=3.7500,optimizer=adamax,unit1=1000",hinge,128.0,adamax,3.750000476837158,softsign,softmax,softsign,exponential,lecun_normal,glorot_normal,lecun_normal,random_uniform,truncated_normal,glorot_normal,truncated_normal,he_normal,41.0,1000.0,2.0
ad230c88,0.3908802270889282,0.3932812511920929,722.621767282486,True,,,1.0,-0.3908802270889282,a503bd5212614d458e5d44099e07b4b8,2022-09-04_01-28-21,1662254901.0,722.621767282486,2161.0,b430368dd22d,172.17.0.2,722.621767282486,0.0,1.0,0.004930734634399414,"7_act1=exponential,act2=tanh,act3=exponential,act4=softsign,batch_size=32,bi1=lecun_normal,bi2=constant,bi3=lecun_normal,bi4=random_uniform,epochs=55,ki1=truncated_normal,ki2=constant,ki3=truncated_normal,ki4=he_normal,layer1=1,loss=kullback_leibler_divergence,lr=8.7500,optimizer=adagrad,unit1=500",kullback_leibler_divergence,32.0,adagrad,8.75,exponential,tanh,exponential,softsign,truncated_normal,constant,truncated_normal,he_normal,lecun_normal,constant,lecun_normal,random_uniform,55.0,500.0,1.0
2b855fc2,1.002210021018982,0.9998885989189148,118.57547807693481,True,,,1.0,-1.002210021018982,98c0703f048b410d9e80cfa07d9bf372,2022-09-04_01-30-25,1662255025.0,118.57547807693481,4506.0,b430368dd22d,172.17.0.2,118.57547807693481,0.0,1.0,0.005160093307495117,"8_act1=tanh,act2=exponential,act3=softmax,act4=softmax,batch_size=256,bi1=constant,bi2=lecun_normal,bi3=glorot_normal,bi4=glorot_normal,epochs=45,ki1=constant,ki2=truncated_normal,ki3=constant,ki4=glorot_normal,layer1=0,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=500",mean_absolute_percentage_error,256.0,adam,6.250000476837158,tanh,exponential,softmax,softmax,constant,truncated_normal,constant,glorot_normal,constant,lecun_normal,glorot_normal,glorot_normal,45.0,500.0,0.0
dd898846,0.00447513721883297,0.004475175868719816,579.2054171562195,True,,,1.0,-0.00447513721883297,efde946a1c4c4d138015b41ecb74505c,2022-09-04_01-40-10,1662255610.0,579.2054171562195,4961.0,b430368dd22d,172.17.0.2,579.2054171562195,0.0,1.0,0.004755496978759766,"9_act1=softmax,act2=softsign,act3=tanh,act4=tanh,batch_size=64,bi1=glorot_normal,bi2=truncated_normal,bi3=constant,bi4=constant,epochs=67,ki1=glorot_normal,ki2=lecun_normal,ki3=glorot_normal,ki4=constant,layer1=1,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=250",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,softmax,softsign,tanh,tanh,glorot_normal,lecun_normal,glorot_normal,constant,glorot_normal,truncated_normal,constant,constant,67.0,250.0,1.0
27769c78,0.2817973494529724,0.28026002645492554,144.0268259048462,True,,,1.0,-0.2817973494529724,a5730a2438eb428e9cef4246dbd14f66,2022-09-04_01-42-39,1662255759.0,144.0268259048462,7530.0,b430368dd22d,172.17.0.2,144.0268259048462,0.0,1.0,0.006048440933227539,"10_act1=tanh,act2=softplus,act3=softsign,act4=exponential,batch_size=512,bi1=he_uniform,bi2=he_uniform,bi3=lecun_normal,bi4=lecun_normal,epochs=50,ki1=he_uniform,ki2=random_uniform,ki3=glorot_uniform,ki4=ones,layer1=2,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=1000",squared_hinge,512.0,adadelta,1.8750007152557373,tanh,softplus,softsign,exponential,he_uniform,random_uniform,glorot_uniform,ones,he_uniform,he_uniform,lecun_normal,lecun_normal,50.0,1000.0,2.0
