trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
eb6df_00000,0.051618993282318115,0.05204782262444496,204.3084499835968,True,,,1.0,-0.051618993282318115,a798bbba08f349899266e93dda20cc00,2022-10-04_13-49-46,1664891386.0,204.3084499835968,18450.0,b430368dd22d,172.17.0.2,204.3084499835968,0.0,1.0,0.0053997039794921875,0,<function angle_loss_fn at 0x7f884198daf0>,128.0,adadelta,0.01,relu,relu,relu,linear,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f8841920a60>,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f8841920a60>,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x7f8841920d90>,glorot_uniform,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f8841920670>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f8841920670>,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f8841920670>,zeros,50.0,500.0,1.0
eb6df_00001,1.0247570276260376,1.0268900394439697,2598.5090403556824,True,,,1.0,-1.0247570276260376,f793972202a04099b30e72dcaeadcc28,2022-10-04_14-33-10,1664893990.0,2598.5090403556824,20592.0,b430368dd22d,172.17.0.2,2598.5090403556824,0.0,1.0,0.005399942398071289,"1_act1=elu,act2=linear,act3=selu,act4=elu,batch_size=16,bi1=he_normal,bi2=truncated_normal,bi3=glorot_normal,bi4=lecun_uniform,epochs=105,ki1=initialiser_normal,ki2=glorot_normal,ki3=ones,ki4=lecun_normal,layer1=1,loss=squared_hinge,lr=4.2947,optimizer=adagrad,unit1=1000",squared_hinge,16.0,adagrad,4.29471407744583,elu,linear,selu,elu,<tensorflow.python.keras.initializers.initializers_v2.RandomNormal object at 0x7f8841a9fbb0>,glorot_normal,ones,lecun_normal,he_normal,truncated_normal,glorot_normal,lecun_uniform,105.0,1000.0,1.0
eb6df_00002,,,,,,,,,98543dd81eb942bdad2d0c66fd2a0ca3,2022-10-04_14-33-15,1664893995.0,,4913.0,b430368dd22d,172.17.0.2,,,,,,logcosh,32.0,sgd,4.541923400349316,tanh,elu,sigmoid,tanh,lecun_uniform,truncated_normal,he_uniform,he_normal,constant,lecun_uniform,random_uniform,orthogonal,28.0,500.0,0.0
eb6df_00003,1.0234097242355347,1.0234516859054565,1040.5152230262756,True,,,1.0,-1.0234097242355347,b87540166e664b24b78f1bba13b39ae6,2022-10-04_14-50-43,1664895043.0,1040.5152230262756,5157.0,b430368dd22d,172.17.0.2,1040.5152230262756,0.0,1.0,0.005456209182739258,"3_act1=sigmoid,act2=softsign,act3=tanh,act4=softsign,batch_size=16,bi1=he_uniform,bi2=random_uniform,bi3=random_uniform,bi4=lecun_normal,epochs=28,ki1=orthogonal,ki2=ones,ki3=lecun_uniform,ki4=lecun_normal,layer1=1,loss=angle_loss_fn,lr=0.6076,optimizer=nadam,unit1=250",<function angle_loss_fn at 0x7f8841941940>,16.0,nadam,0.6075982011313424,sigmoid,softsign,tanh,softsign,orthogonal,ones,lecun_uniform,lecun_normal,he_uniform,random_uniform,random_uniform,lecun_normal,28.0,250.0,1.0
eb6df_00004,0.33421558141708374,0.330177903175354,402.38262581825256,True,,,1.0,-0.33421558141708374,14e1aa665ad84b32b86bc69e64982396,2022-10-04_14-57-31,1664895451.0,402.38262581825256,15452.0,b430368dd22d,172.17.0.2,402.38262581825256,0.0,1.0,0.004628181457519531,"4_act1=relu,act2=hard_sigmoid,act3=elu,act4=softsign,batch_size=128,bi1=zeros,bi2=initialiser_const,bi3=random_normal,bi4=glorot_normal,epochs=105,ki1=glorot_uniform,ki2=orthogonal,ki3=he_normal,ki4=he_normal,layer1=1,loss=categorical_crossentropy,lr=0.7510,optimizer=adagrad,unit1=500",categorical_crossentropy,128.0,adagrad,0.7510444532387311,relu,hard_sigmoid,elu,softsign,glorot_uniform,orthogonal,he_normal,he_normal,zeros,<tensorflow.python.keras.initializers.initializers_v2.Constant object at 0x7f88419ec040>,random_normal,glorot_normal,105.0,500.0,1.0
eb6df_00005,,,,,,,,,2e37537979534070a7f9b5379dc4d870,2022-10-04_14-57-36,1664895456.0,,19686.0,b430368dd22d,172.17.0.2,,,,,,mean_absolute_error,256.0,adadelta,6.057451672321199,tanh,linear,relu,linear,initialiser_normal,he_uniform,initialiser_xavier,ones,orthogonal,lecun_normal,truncated_normal,zeros,50.0,500.0,2.0
eb6df_00006,,,,,,,,,fa2f225c15384730a59a860ddab563b5,2022-10-04_14-57-43,1664895463.0,,19923.0,b430368dd22d,172.17.0.2,,,,,,logcosh,16.0,adam,2.531405441529575,hard_sigmoid,tanh,elu,softsign,lecun_normal,glorot_normal,lecun_normal,glorot_uniform,glorot_uniform,lecun_uniform,he_uniform,orthogonal,28.0,500.0,2.0
eb6df_00007,0.00447513721883297,0.004475175868719816,127.7564606666565,True,,,1.0,-0.00447513721883297,bef17b191b9b4320a1a1e4653e30c7ce,2022-10-04_14-59-59,1664895599.0,127.7564606666565,20160.0,b430368dd22d,172.17.0.2,127.7564606666565,0.0,1.0,0.004812479019165039,"7_act1=sigmoid,act2=exponential,act3=softmax,act4=softmax,batch_size=512,bi1=truncated_normal,bi2=glorot_normal,bi3=lecun_normal,bi4=random_normal,epochs=50,ki1=glorot_normal,ki2=lecun_uniform,ki3=truncated_normal,ki4=lecun_normal,layer1=0,loss=mean_absolute_percentage_error,lr=5.7931,optimizer=nadam,unit1=1000",mean_absolute_percentage_error,512.0,nadam,5.7931235275772135,sigmoid,exponential,softmax,softmax,glorot_normal,lecun_uniform,truncated_normal,lecun_normal,truncated_normal,glorot_normal,lecun_normal,random_normal,50.0,1000.0,0.0
eb6df_00008,0.00447513721883297,0.004475175868719816,1739.269100189209,True,,,1.0,-0.00447513721883297,aa4acdf8a21943cdb02ae8243d203525,2022-10-04_15-29-04,1664897344.0,1739.269100189209,21907.0,b430368dd22d,172.17.0.2,1739.269100189209,0.0,1.0,0.0050945281982421875,"8_act1=exponential,act2=selu,act3=selu,act4=linear,batch_size=16,bi1=glorot_uniform,bi2=random_normal,bi3=random_uniform,bi4=glorot_uniform,epochs=60,ki1=glorot_normal,ki2=zeros,ki3=ones,ki4=truncated_normal,layer1=2,loss=angle_loss_fn,lr=4.1770,optimizer=adamax,unit1=500",<function angle_loss_fn at 0x7f884182f8b0>,16.0,adamax,4.177036550725572,exponential,selu,selu,linear,glorot_normal,zeros,ones,truncated_normal,glorot_uniform,random_normal,random_uniform,glorot_uniform,60.0,500.0,2.0
eb6df_00009,,,,,,,,,cbe79a117a6048d38605c2b71e667b20,2022-10-04_15-29-08,1664897348.0,,40023.0,b430368dd22d,172.17.0.2,,,,,,poisson,256.0,adamax,6.682958773559107,tanh,selu,tanh,linear,constant,constant,lecun_uniform,constant,he_uniform,random_uniform,random_normal,orthogonal,28.0,250.0,1.0
