trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
4da78de8,0.06703321635723114,0.0672343373298645,275.1604356765747,True,,,1.0,-0.06703321635723114,0a4ae90a51ea4371af502f49707fb01d,2022-10-20_07-51-08,1666252268.0,275.1604356765747,646407.0,104-171-202-133,104.171.202.133,275.1604356765747,0.0,1.0,0.006376028060913086,"1_act1=relu,act2=relu,act3=relu,act4=linear,batch_size=128,bi1=initialiser_const,bi2=initialiser_const,bi3=initialiser_const,bi4=zeros,epochs=50,ki1=initialiser_normal,ki2=ones,ki3=initialiser_xavier,ki4=glorot_uniform,layer1=1,loss=angle_loss_fn,lr=0.0100,optimizer=sgd,unit1=500",<function angle_loss_fn at 0x7efae076d840>,128.0,sgd,0.01,relu,relu,relu,linear,<keras.initializers.initializers_v2.RandomNormal object at 0x7efae0703668>,ones,<keras.initializers.initializers_v2.GlorotNormal object at 0x7efae0703358>,glorot_uniform,<keras.initializers.initializers_v2.Constant object at 0x7efae07035c0>,<keras.initializers.initializers_v2.Constant object at 0x7efae07035c0>,<keras.initializers.initializers_v2.Constant object at 0x7efae07035c0>,zeros,50.0,500.0,1.0
513ab8ae,0.28179773688316345,0.28026115894317627,1145.310126543045,True,,,1.0,-0.28179773688316345,b204fc80a96e4cc5aaf97ecd6f317c46,2022-10-20_08-10-20,1666253420.0,1145.310126543045,672249.0,104-171-202-133,104.171.202.133,1145.310126543045,0.0,1.0,0.0055561065673828125,"2_act1=elu,act2=elu,act3=elu,act4=elu,batch_size=16,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,epochs=34,ki1=zeros,ki2=zeros,ki3=zeros,ki4=zeros,layer1=0,loss=mean_squared_error,lr=0.0000,optimizer=sgd,unit1=250",mean_squared_error,16.0,sgd,9.999999974752427e-07,elu,elu,elu,elu,zeros,zeros,zeros,zeros,zeros,zeros,zeros,zeros,34.0,250.0,0.0
f94aa860,,,,,,,,,064472b13d964dd598a2e5663d47f294,2022-10-20_08-10-26,1666253426.0,,755863.0,104-171-202-133,104.171.202.133,,,,,,categorical_hinge,64.0,adadelta,5.000000476837158,relu,relu,relu,relu,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,orthogonal,81.0,500.0,1.0
a41d826a,0.2817973792552948,0.28026002645492554,1184.820404291153,True,,,1.0,-0.2817973792552948,efb60ecddd9b49d0b5dd022a06091228,2022-10-20_08-30-21,1666254621.0,1184.820404291153,756673.0,104-171-202-133,104.171.202.133,1184.820404291153,0.0,1.0,0.0057718753814697266,"4_act1=hard_sigmoid,act2=hard_sigmoid,act3=selu,act4=hard_sigmoid,batch_size=32,bi1=random_normal,bi2=random_normal,bi3=he_normal,bi4=random_normal,epochs=56,ki1=he_normal,ki2=glorot_uniform,ki3=he_normal,ki4=glorot_uniform,layer1=2,loss=mean_squared_logarithmic_error,lr=7.5000,optimizer=adagrad,unit1=250",mean_squared_logarithmic_error,32.0,adagrad,7.5,hard_sigmoid,hard_sigmoid,selu,hard_sigmoid,he_normal,glorot_uniform,he_normal,glorot_uniform,random_normal,random_normal,he_normal,random_normal,56.0,250.0,2.0
aa145220,1.7530783414840698,1.7551000118255615,205.5336878299713,True,,,1.0,-1.7530783414840698,5fb5d79f1deb4f0789db30b21479e15f,2022-10-20_08-33-54,1666254834.0,205.5336878299713,868149.0,104-171-202-133,104.171.202.133,205.5336878299713,0.0,1.0,0.005350589752197266,"5_act1=selu,act2=selu,act3=hard_sigmoid,act4=selu,batch_size=256,bi1=he_normal,bi2=he_normal,bi3=random_normal,bi4=glorot_uniform,epochs=71,ki1=random_normal,ki2=random_normal,ki3=random_normal,ki4=random_normal,layer1=0,loss=binary_crossentropy,lr=2.5000,optimizer=adam,unit1=1000",binary_crossentropy,256.0,adam,2.5000007152557373,selu,selu,hard_sigmoid,selu,random_normal,random_normal,random_normal,random_normal,he_normal,he_normal,random_normal,glorot_uniform,71.0,1000.0,0.0
705e021c,0.2817973792552948,0.28026002645492554,294.2130060195923,True,,,1.0,-0.2817973792552948,1812b418e57b4918ad853382bcdc2641,2022-10-20_08-38-54,1666255134.0,294.2130060195923,889407.0,104-171-202-133,104.171.202.133,294.2130060195923,0.0,1.0,0.006208658218383789,"6_act1=softsign,act2=softmax,act3=softsign,act4=exponential,batch_size=128,bi1=truncated_normal,bi2=glorot_normal,bi3=truncated_normal,bi4=he_normal,epochs=44,ki1=lecun_normal,ki2=glorot_normal,ki3=lecun_normal,ki4=random_uniform,layer1=2,loss=hinge,lr=3.7500,optimizer=adamax,unit1=1000",hinge,128.0,adamax,3.750000476837158,softsign,softmax,softsign,exponential,lecun_normal,glorot_normal,lecun_normal,random_uniform,truncated_normal,glorot_normal,truncated_normal,he_normal,44.0,1000.0,2.0
eecbcbf2,1.0236263275146484,1.0236661434173584,575.7841372489929,True,,,1.0,-1.0236263275146484,0bb11431919243f5bdcd70108342e5b9,2022-10-20_08-48-36,1666255716.0,575.7841372489929,910053.0,104-171-202-133,104.171.202.133,575.7841372489929,0.0,1.0,0.00569915771484375,"7_act1=exponential,act2=tanh,act3=exponential,act4=softsign,batch_size=32,bi1=lecun_normal,bi2=constant,bi3=lecun_normal,bi4=random_uniform,epochs=30,ki1=truncated_normal,ki2=constant,ki3=truncated_normal,ki4=he_normal,layer1=1,loss=kullback_leibler_divergence,lr=8.7500,optimizer=adagrad,unit1=500",kullback_leibler_divergence,32.0,adagrad,8.75,exponential,tanh,exponential,softsign,truncated_normal,constant,truncated_normal,he_normal,lecun_normal,constant,lecun_normal,random_uniform,30.0,500.0,1.0
a1b7010a,1.002210021018982,0.9998884797096252,146.30969429016113,True,,,1.0,-1.002210021018982,b60791ee01cb4b1689a8dfb12b6f33f5,2022-10-20_08-51-09,1666255869.0,146.30969429016113,964435.0,104-171-202-133,104.171.202.133,146.30969429016113,0.0,1.0,0.00808858871459961,"8_act1=tanh,act2=exponential,act3=softmax,act4=softmax,batch_size=256,bi1=constant,bi2=lecun_normal,bi3=glorot_normal,bi4=glorot_normal,epochs=50,ki1=constant,ki2=random_uniform,ki3=constant,ki4=glorot_normal,layer1=0,loss=mean_absolute_percentage_error,lr=6.2500,optimizer=adam,unit1=500",mean_absolute_percentage_error,256.0,adam,6.250000476837158,tanh,exponential,softmax,softmax,constant,random_uniform,constant,glorot_normal,constant,lecun_normal,glorot_normal,glorot_normal,50.0,500.0,0.0
008981d4,,,450.4176173210144,True,,,1.0,,faaec32fe2f44fb9ae1e5b34d86194c5,2022-10-20_08-58-46,1666256326.0,450.4176173210144,983222.0,104-171-202-133,104.171.202.133,450.4176173210144,0.0,1.0,0.007544994354248047,"9_act1=softmax,act2=softsign,act3=tanh,act4=tanh,batch_size=64,bi1=glorot_normal,bi2=truncated_normal,bi3=constant,bi4=constant,epochs=39,ki1=glorot_normal,ki2=he_normal,ki3=glorot_normal,ki4=constant,layer1=1,loss=categorical_crossentropy,lr=1.2500,optimizer=rmsprop,unit1=250",categorical_crossentropy,64.0,rmsprop,1.2500008344650269,softmax,softsign,tanh,tanh,glorot_normal,he_normal,glorot_normal,constant,glorot_normal,truncated_normal,constant,constant,39.0,250.0,1.0
57ff9386,0.2817973792552948,0.28026002645492554,133.34635257720947,True,,,1.0,-0.2817973792552948,0a0f98d2339d4abcafbbdac0fa0810ce,2022-10-20_09-01-05,1666256465.0,133.34635257720947,1019422.0,104-171-202-133,104.171.202.133,133.34635257720947,0.0,1.0,0.024114608764648438,"10_act1=tanh,act2=softplus,act3=softsign,act4=exponential,batch_size=512,bi1=he_uniform,bi2=he_uniform,bi3=lecun_normal,bi4=lecun_normal,epochs=56,ki1=he_uniform,ki2=random_uniform,ki3=glorot_uniform,ki4=ones,layer1=2,loss=squared_hinge,lr=1.8750,optimizer=adadelta,unit1=1000",squared_hinge,512.0,adadelta,1.8750007152557373,tanh,softplus,softsign,exponential,he_uniform,random_uniform,glorot_uniform,ones,he_uniform,he_uniform,lecun_normal,lecun_normal,56.0,1000.0,2.0
67f264d4,,,,,,,,,52f0c5a46dff4c6fad5e7299dec653b8,2022-10-20_09-01-12,1666256472.0,,1030704.0,104-171-202-133,104.171.202.133,,,,,,kullback_leibler_divergence,64.0,nadam,6.875000476837158,softmax,hard_sigmoid,exponential,softsign,orthogonal,he_normal,constant,lecun_uniform,orthogonal,orthogonal,random_uniform,truncated_normal,71.0,500.0,1.0
bb6e7a80,1.749634861946106,1.7504076957702637,201.62150502204895,True,,,1.0,-1.749634861946106,c68d08d8daec4a038304e281ddbcc6dd,2022-10-20_09-04-42,1666256682.0,201.62150502204895,1031060.0,104-171-202-133,104.171.202.133,201.62150502204895,0.0,1.0,0.005497932434082031,"12_act1=softplus,act2=tanh,act3=selu,act4=selu,batch_size=128,bi1=glorot_uniform,bi2=glorot_uniform,bi3=ones,bi4=glorot_normal,epochs=34,ki1=constant,ki2=lecun_uniform,ki3=orthogonal,ki4=he_normal,layer1=0,loss=mean_absolute_error,lr=9.3750,optimizer=rmsprop,unit1=500",mean_absolute_error,128.0,rmsprop,9.375,softplus,tanh,selu,selu,constant,lecun_uniform,orthogonal,he_normal,glorot_uniform,glorot_uniform,ones,glorot_normal,34.0,500.0,0.0
c0ccafce,0.2817973792552948,0.28026002645492554,1699.3507690429688,True,,,1.0,-0.2817973792552948,15f425ae1a9d4b55aaadca49f50b968c,2022-10-20_09-33-09,1666258389.0,1699.3507690429688,1040282.0,104-171-202-133,104.171.202.133,1699.3507690429688,0.0,1.0,0.0059087276458740234,"13_act1=hard_sigmoid,act2=softmax,act3=sigmoid,act4=sigmoid,batch_size=32,bi1=constant,bi2=constant,bi3=lecun_uniform,bi4=constant,epochs=81,ki1=glorot_uniform,ki2=ones,ki3=he_uniform,ki4=random_uniform,layer1=1,loss=logcosh,lr=4.3750,optimizer=adam,unit1=250",logcosh,32.0,adam,4.375000476837158,hard_sigmoid,softmax,sigmoid,sigmoid,glorot_uniform,ones,he_uniform,random_uniform,constant,constant,lecun_uniform,constant,81.0,250.0,1.0
3cd72b80,1.002210021018982,0.9998884797096252,572.075198173523,True,,,1.0,-1.002210021018982,2fbb1dd22f10459d960ad1c98b63aafe,2022-10-20_09-42-47,1666258967.0,572.075198173523,1124559.0,104-171-202-133,104.171.202.133,572.075198173523,0.0,1.0,0.006487846374511719,"14_act1=exponential,act2=softsign,act3=softmax,act4=softmax,batch_size=64,bi1=lecun_uniform,bi2=random_uniform,bi3=glorot_uniform,bi4=ones,epochs=56,ki1=ones,ki2=lecun_normal,ki3=random_uniform,ki4=truncated_normal,layer1=0,loss=mean_absolute_percentage_error,lr=3.1250,optimizer=adadelta,unit1=250",mean_absolute_percentage_error,64.0,adadelta,3.1250007152557373,exponential,softsign,softmax,softmax,ones,lecun_normal,random_uniform,truncated_normal,lecun_uniform,random_uniform,glorot_uniform,ones,56.0,250.0,0.0
359bf7c0,,,,,,,,,5e8f07c87cbf4b87af974b85fca60820,2022-10-20_09-42-54,1666258974.0,,1161462.0,104-171-202-133,104.171.202.133,,,,,,sparse_categorical_crossentropy,256.0,sgd,8.125,softsign,exponential,tanh,tanh,lecun_uniform,truncated_normal,lecun_normal,lecun_normal,ones,lecun_normal,constant,lecun_uniform,71.0,500.0,1.0
8e4ded82,,,,,,,,,05a6af5dc436446d90e254650e7182b1,2022-10-20_09-43-10,1666258990.0,,1162498.0,104-171-202-133,104.171.202.133,,,,,,categorical_hinge,16.0,adamax,5.625000476837158,selu,sigmoid,softplus,hard_sigmoid,lecun_normal,constant,lecun_uniform,glorot_normal,lecun_normal,ones,orthogonal,random_uniform,81.0,500.0,2.0
9bfa5718,0.2817974090576172,0.28025996685028076,346.61951875686646,True,,,1.0,-0.2817974090576172,d042f45854c44e6c93313000c5cde259,2022-10-20_09-49-06,1666259346.0,346.61951875686646,1163312.0,104-171-202-133,104.171.202.133,346.61951875686646,0.0,1.0,0.0059566497802734375,"17_act1=sigmoid,act2=selu,act3=hard_sigmoid,act4=softplus,batch_size=128,bi1=random_uniform,bi2=lecun_uniform,bi3=he_uniform,bi4=he_normal,epochs=63,ki1=random_uniform,ki2=glorot_normal,ki3=ones,ki4=constant,layer1=1,loss=poisson,lr=0.6250,optimizer=adagrad,unit1=1000",poisson,128.0,adagrad,0.6250009536743164,sigmoid,selu,hard_sigmoid,softplus,random_uniform,glorot_normal,ones,constant,random_uniform,lecun_uniform,he_uniform,he_normal,63.0,1000.0,1.0
9e667784,0.2817973792552948,0.28026002645492554,651.096174955368,True,,,1.0,-0.2817973792552948,3f7a92d33dcd49c4afb5cdacb24a0d3f,2022-10-20_10-00-05,1666260005.0,651.096174955368,1184788.0,104-171-202-133,104.171.202.133,651.096174955368,0.0,1.0,0.006768703460693359,"18_act1=softplus,act2=linear,act3=relu,act4=hard_sigmoid,batch_size=64,bi1=glorot_uniform,bi2=glorot_uniform,bi3=random_uniform,bi4=zeros,epochs=56,ki1=orthogonal,ki2=constant,ki3=ones,ki4=truncated_normal,layer1=2,loss=categorical_hinge,lr=0.9375,optimizer=adam,unit1=500",categorical_hinge,64.0,adam,0.9375008940696716,softplus,linear,relu,hard_sigmoid,orthogonal,constant,ones,truncated_normal,glorot_uniform,glorot_uniform,random_uniform,zeros,56.0,500.0,2.0
70e80aec,,,,,,,,,ba1d04afe79d4e1dae69478f39f7cfbb,2022-10-20_10-00-12,1666260012.0,,1234437.0,104-171-202-133,104.171.202.133,,,,,,angle_loss_fn,512.0,rmsprop,5.937500476837158,hard_sigmoid,relu,elu,softplus,initialiser_normal,glorot_normal,glorot_normal,lecun_normal,constant,constant,lecun_normal,orthogonal,71.0,250.0,1.0
