trial_id,mean_loss,holdout_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.loss,config.batch_size,config.optimizer,config.lr,config.act1,config.act2,config.act3,config.act4,config.ki1,config.ki2,config.ki3,config.ki4,config.bi1,config.bi2,config.bi3,config.bi4,config.epochs,config.unit1,config.layer1
54824_00000,0.2817994952201843,0.28020551800727844,265.9327938556671,True,,,1.0,-0.2817994952201843,22e3406e42ec4cb8b4f1b3dd62e7aaa3,2022-10-19_12-38-46,1666183126.0,265.9327938556671,67857.0,104-171-202-133,104.171.202.133,265.9327938556671,0.0,1.0,0.007077932357788086,0,<function angle_loss_fn at 0x7fae50bab8c8>,128.0,sgd,0.01,relu,relu,relu,linear,<keras.initializers.initializers_v2.RandomNormal object at 0x7fae407423c8>,ones,<keras.initializers.initializers_v2.GlorotNormal object at 0x7fae407424a8>,glorot_uniform,<keras.initializers.initializers_v2.Constant object at 0x7fae407426a0>,<keras.initializers.initializers_v2.Constant object at 0x7fae407426a0>,<keras.initializers.initializers_v2.Constant object at 0x7fae407426a0>,zeros,50.0,500.0,1.0
54824_00001,0.2817973792552948,0.28026002645492554,176.53293347358704,True,,,1.0,-0.2817973792552948,d7b3e5588edd475c8739b5a650ca820f,2022-10-19_12-41-49,1666183309.0,176.53293347358704,113950.0,104-171-202-133,104.171.202.133,176.53293347358704,0.0,1.0,0.006519794464111328,"1_act1=softsign,act2=softmax,act3=relu,act4=sigmoid,batch_size=512,bi1=random_uniform,bi2=glorot_uniform,bi3=truncated_normal,bi4=glorot_normal,epochs=87,ki1=random_uniform,ki2=orthogonal,ki3=initialiser_xavier,ki4=zeros,layer1=0,loss=mean_absolute_percentage_error,lr=0.1127,optimizer=rmsprop,unit1=500",mean_absolute_percentage_error,512.0,rmsprop,0.11272369482365956,softsign,softmax,relu,sigmoid,random_uniform,orthogonal,<keras.initializers.initializers_v2.GlorotNormal object at 0x7fae4076b160>,zeros,random_uniform,glorot_uniform,truncated_normal,glorot_normal,87.0,500.0,0.0
54824_00002,0.8379454612731934,0.8378041386604309,397.1718108654022,True,,,1.0,-0.8379454612731934,d67d537ae1b84817afd5d6f238d52c0b,2022-10-19_12-48-33,1666183713.0,397.1718108654022,133766.0,104-171-202-133,104.171.202.133,397.1718108654022,0.0,1.0,0.006472587585449219,"2_act1=softplus,act2=exponential,act3=elu,act4=softsign,batch_size=128,bi1=lecun_uniform,bi2=glorot_uniform,bi3=glorot_normal,bi4=lecun_uniform,epochs=66,ki1=lecun_normal,ki2=lecun_uniform,ki3=lecun_normal,ki4=random_uniform,layer1=1,loss=hinge,lr=2.0536,optimizer=adadelta,unit1=250",hinge,128.0,adadelta,2.0536266010432596,softplus,exponential,elu,softsign,lecun_normal,lecun_uniform,lecun_normal,random_uniform,lecun_uniform,glorot_uniform,glorot_normal,lecun_uniform,66.0,250.0,1.0
54824_00003,,,,,,,,,23452ffee66642c6bbc95aa6978ebbf5,2022-10-19_12-48-39,1666183719.0,,151913.0,104-171-202-133,104.171.202.133,,,,,,sparse_categorical_crossentropy,64.0,adamax,4.496269712406317,selu,tanh,elu,hard_sigmoid,lecun_uniform,ones,random_uniform,truncated_normal,orthogonal,initialiser_const,random_uniform,random_uniform,87.0,500.0,0.0
54824_00004,1.023626446723938,1.0236661434173584,844.9789946079254,True,,,1.0,-1.023626446723938,a66e7be6e1294a8b989e66efa8583466,2022-10-19_13-02-54,1666184574.0,844.9789946079254,152243.0,104-171-202-133,104.171.202.133,844.9789946079254,0.0,1.0,0.006226539611816406,"4_act1=softmax,act2=softsign,act3=hard_sigmoid,act4=tanh,batch_size=32,bi1=random_uniform,bi2=he_normal,bi3=he_normal,bi4=ones,epochs=37,ki1=orthogonal,ki2=he_uniform,ki3=random_normal,ki4=constant,layer1=2,loss=angle_loss_fn,lr=8.1603,optimizer=sgd,unit1=1000",<function angle_loss_fn at 0x7faf7ca562f0>,32.0,sgd,8.160345156526937,softmax,softsign,hard_sigmoid,tanh,orthogonal,he_uniform,random_normal,constant,random_uniform,he_normal,he_normal,ones,37.0,1000.0,2.0
54824_00005,1.749634861946106,1.7504076957702637,81.34496474266052,True,,,1.0,-1.749634861946106,9454e3cfbae24c9f94bfff6043305bd6,2022-10-19_13-04-22,1666184662.0,81.34496474266052,178177.0,104-171-202-133,104.171.202.133,81.34496474266052,0.0,1.0,0.0062868595123291016,"5_act1=relu,act2=sigmoid,act3=hard_sigmoid,act4=selu,batch_size=512,bi1=truncated_normal,bi2=glorot_normal,bi3=ones,bi4=zeros,epochs=37,ki1=random_uniform,ki2=truncated_normal,ki3=initialiser_xavier,ki4=zeros,layer1=1,loss=categorical_hinge,lr=8.3285,optimizer=sgd,unit1=250",categorical_hinge,512.0,sgd,8.3284715336369,relu,sigmoid,hard_sigmoid,selu,random_uniform,truncated_normal,<keras.initializers.initializers_v2.GlorotNormal object at 0x7fae500bdbe0>,zeros,truncated_normal,glorot_normal,ones,zeros,37.0,250.0,1.0
54824_00006,0.2817973792552948,0.28026002645492554,1453.1763932704926,True,,,1.0,-0.2817973792552948,745950e684734b488d73646e67b42a78,2022-10-19_13-28-42,1666186122.0,1453.1763932704926,184410.0,104-171-202-133,104.171.202.133,1453.1763932704926,0.0,1.0,0.006238698959350586,"6_act1=linear,act2=softmax,act3=linear,act4=sigmoid,batch_size=16,bi1=he_uniform,bi2=random_normal,bi3=lecun_normal,bi4=truncated_normal,epochs=37,ki1=ones,ki2=he_normal,ki3=glorot_uniform,ki4=he_uniform,layer1=2,loss=mean_squared_error,lr=5.9176,optimizer=adadelta,unit1=500",mean_squared_error,16.0,adadelta,5.917586415381124,linear,softmax,linear,sigmoid,ones,he_normal,glorot_uniform,he_uniform,he_uniform,random_normal,lecun_normal,truncated_normal,37.0,500.0,2.0
54824_00007,0.2817973792552948,0.28026002645492554,494.64263582229614,True,,,1.0,-0.2817973792552948,fdd793cf16ac4ea89e4570dc75c8b592,2022-10-19_13-37-02,1666186622.0,494.64263582229614,260126.0,104-171-202-133,104.171.202.133,494.64263582229614,0.0,1.0,0.006285429000854492,"7_act1=relu,act2=relu,act3=selu,act4=softmax,batch_size=64,bi1=random_uniform,bi2=lecun_normal,bi3=glorot_uniform,bi4=lecun_uniform,epochs=43,ki1=random_normal,ki2=glorot_normal,ki3=constant,ki4=truncated_normal,layer1=2,loss=logcosh,lr=0.5773,optimizer=rmsprop,unit1=500",logcosh,64.0,rmsprop,0.5773139519062025,relu,relu,selu,softmax,random_normal,glorot_normal,constant,truncated_normal,random_uniform,lecun_normal,glorot_uniform,lecun_uniform,43.0,500.0,2.0
54824_00008,1.0015753507614136,0.998925507068634,1644.4825820922852,True,,,1.0,-1.0015753507614136,65aefa315aa54c4893620a7fad8191df,2022-10-19_14-04-33,1666188273.0,1644.4825820922852,287154.0,104-171-202-133,104.171.202.133,1644.4825820922852,0.0,1.0,0.0073850154876708984,"8_act1=hard_sigmoid,act2=exponential,act3=exponential,act4=softmax,batch_size=32,bi1=lecun_normal,bi2=glorot_uniform,bi3=constant,bi4=random_normal,epochs=76,ki1=he_uniform,ki2=random_normal,ki3=orthogonal,ki4=truncated_normal,layer1=2,loss=mean_squared_error,lr=9.3541,optimizer=adamax,unit1=1000",mean_squared_error,32.0,adamax,9.354133674110443,hard_sigmoid,exponential,exponential,softmax,he_uniform,random_normal,orthogonal,truncated_normal,lecun_normal,glorot_uniform,constant,random_normal,76.0,1000.0,2.0
54824_00009,,,1225.5234475135803,True,,,1.0,,82200e7f9c2741048f4e3642f8c5cf81,2022-10-19_14-25-05,1666189505.0,1225.5234475135803,393717.0,104-171-202-133,104.171.202.133,1225.5234475135803,0.0,1.0,0.005565166473388672,"9_act1=exponential,act2=relu,act3=selu,act4=softmax,batch_size=16,bi1=ones,bi2=random_uniform,bi3=lecun_normal,bi4=constant,epochs=28,ki1=ones,ki2=random_normal,ki3=glorot_uniform,ki4=orthogonal,layer1=2,loss=categorical_hinge,lr=7.3884,optimizer=adamax,unit1=500",categorical_hinge,16.0,adamax,7.3883592662630715,exponential,relu,selu,softmax,ones,random_normal,glorot_uniform,orthogonal,ones,random_uniform,lecun_normal,constant,28.0,500.0,2.0
